language,real_value,language_family,simulated_mean,simulated_sd,zscore
ASF_Auslan,0.88654,Other,0.1059441,0.05304570791230821,14.715533654304915
Abui,0,Other,0,0,NA
Aché,0.27205,Tupian,0.16138608,0.04819526876120274,2.29615733752448
Achuar,0,Other,0,0,NA
Adang,0.78808,Other,0.60876073,0.08149964984029803,2.200245894937998
Adnyamathanha,1.15564,Pama-Nyungan,0.30002207,0.10941200099247009,7.820146987887417
Aghul,0.9183,Nakh-Daghestanian,0.14848182,0.05470321296227486,14.072631904288547
Agob-Ende-Kawam,0,Other,0,0,NA
Aguaruna,0.9183,Other,0.23344283,0.0628985199675255,10.888287520176814
Akhvakh_Northern_Akhvakh_,0.91829,Nakh-Daghestanian,0.30881122,0.043621441611664785,13.971999949607802
Alamblak,0,Other,0,0,NA
Albanian,0.91829,Indo-European,0.38578776,0.07209185336571744,7.386441257081431
Albanian_Tosk_,0.91829,Indo-European,0.24132388,0.04884557155573273,13.859314128970377
Alyawarr,1.5,Pama-Nyungan,0.46790930000000003,0.1432076705543932,7.206951247824332
Amanab,1.11459,Other,0.5283939,0.11101991527729688,5.280098606955744
Anambé,0,Tupian,0,0,NA
Ancient_Greek,0.9183,Indo-European,0.14782002,0.07570349970422152,10.177600547006614
Andi,1.00794,Nakh-Daghestanian,0.3842731,0.047421403149492176,13.151591023866168
Angaite,0,Other,0,0,NA
Arabana,0,Pama-Nyungan,0,0,NA
Arabana,1,Pama-Nyungan,0.29126423,0.11605529980237576,6.10687983406934
Araweté,1.3037,Tupian,0.68666736,0.11643271562880898,5.299478215101663
Archi,0.91829,Nakh-Daghestanian,0.39115323,0.07556972570487609,6.975501963029976
Arizona_Yaqui,0,Uto-Aztecan,0,0,NA
Armenian,2.25163,Indo-European,0.81104107,0.11938182871938043,12.067070386283463
Assamese,1.5,Indo-European,0.57594818,0.1294111709941057,7.140433185958018
Atsugewi,0.72193,Other,0.27954223,0.06396001604267527,6.916630066271885
Au,0.5615,Other,0.21917974,0.05073875127368837,6.7467222075194675
Avar,0.9183,Nakh-Daghestanian,0.34198277,0.04713846072058576,12.226051109647658
Avar_Ancux_,0.9183,Nakh-Daghestanian,0.3419669,0.046648019822317685,12.354931724760299
Avar_Andalal_,1.00794,Nakh-Daghestanian,0.38382896,0.047250428022047236,13.208579607126255
Avar_Batlux_,0.9183,Nakh-Daghestanian,0.19635544,0.0496691701105008,14.535063871489374
Avar_Hid_dialect_,0.91829,Nakh-Daghestanian,0.30916476,0.04353205175583242,13.992569048124167
Avaz_Khunzakh_,0.9183,Nakh-Daghestanian,0.25137804,0.04716753341194096,14.139428368564248
Avá_Canoeiro,0,Tupian,0,0,NA
Avestan,0,Indo-European,0,0,NA
Awa,0,Other,0,0,NA
Awetí,0.91829,Tupian,0.41072345,0.04349275712483425,11.670139663557475
Awiakay,1.38429,Other,1.00414028,0.10935704991031299,3.476225083904258
Ayoreo,0.61749,Other,0.30860126,0.06997757426856774,4.414110423641041
Aztec,0,Uto-Aztecan,0,0,NA
Badimaya,0,Pama-Nyungan,0,0,NA
Bahvalal,0.91829,Nakh-Daghestanian,0.30721281,0.04299495874962298,14.21276372326694
