code,language,language_family,simulation_code,simulation,simulated_value,entropy_gn,entropy_gn1,conditional_entropy,variation_gn,variation_gn1,number_of_pairs,real_value
nepa1254,Nepali,Indo-European,nepa1254_0,Y,0.504,2.504,1.82307,1.31907,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_1,Y,0.69141,2.44096,1.82307,1.13166,6,4,13,1.0958
nepa1254,Nepali,Indo-European,nepa1254_2,Y,0.41309,2.504,1.82307,1.40998,6,4,16,1.0958
nepa1254,Nepali,Indo-European,nepa1254_3,Y,0.25356,2.52628,1.82307,1.56951,6,4,18,1.0958
nepa1254,Nepali,Indo-European,nepa1254_4,Y,0.53187,2.46324,1.82307,1.2912,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_5,Y,0.41309,2.504,1.82307,1.40998,6,4,16,1.0958
nepa1254,Nepali,Indo-European,nepa1254_6,Y,0.69141,2.44096,1.82307,1.13166,6,4,13,1.0958
nepa1254,Nepali,Indo-European,nepa1254_7,Y,0.53187,2.46324,1.82307,1.2912,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_8,Y,0.78232,2.44096,1.82307,1.04075,6,4,12,1.0958
nepa1254,Nepali,Indo-European,nepa1254_9,Y,0.84535,2.39081,1.82307,0.97772,6,4,12,1.0958
nepa1254,Nepali,Indo-European,nepa1254_10,Y,0.37424,2.55605,1.82307,1.44883,6,4,17,1.0958
nepa1254,Nepali,Indo-European,nepa1254_11,Y,0.44096,2.46324,1.82307,1.38211,6,4,16,1.0958
nepa1254,Nepali,Indo-European,nepa1254_12,Y,0.28143,2.48553,1.82307,1.54164,6,4,18,1.0958
nepa1254,Nepali,Indo-European,nepa1254_13,Y,0.59491,2.504,1.82307,1.22816,6,4,14,1.0958
nepa1254,Nepali,Indo-European,nepa1254_14,Y,0.62468,2.53377,1.82307,1.19839,6,4,14,1.0958
nepa1254,Nepali,Indo-European,nepa1254_15,Y,0.59491,2.504,1.82307,1.22816,6,4,14,1.0958
nepa1254,Nepali,Indo-European,nepa1254_16,Y,0.53187,2.46324,1.82307,1.2912,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_17,Y,0.59491,2.504,1.82307,1.22816,6,4,14,1.0958
nepa1254,Nepali,Indo-European,nepa1254_18,Y,0.44096,2.46324,1.82307,1.38211,6,4,16,1.0958
nepa1254,Nepali,Indo-European,nepa1254_19,Y,0.41309,2.504,1.82307,1.40998,6,4,16,1.0958
nepa1254,Nepali,Indo-European,nepa1254_20,Y,0.34446,2.52628,1.82307,1.47861,6,4,17,1.0958
nepa1254,Nepali,Indo-European,nepa1254_21,Y,0.504,2.504,1.82307,1.31907,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_22,Y,0.37424,2.55605,1.82307,1.44883,6,4,17,1.0958
nepa1254,Nepali,Indo-European,nepa1254_23,Y,0.69141,2.44096,1.82307,1.13166,6,4,13,1.0958
nepa1254,Nepali,Indo-European,nepa1254_24,Y,0.37424,2.55605,1.82307,1.44883,6,4,17,1.0958
nepa1254,Nepali,Indo-European,nepa1254_25,Y,0.25356,2.52628,1.82307,1.56951,6,4,18,1.0958
nepa1254,Nepali,Indo-European,nepa1254_26,Y,0.44096,2.46324,1.82307,1.38211,6,4,16,1.0958
nepa1254,Nepali,Indo-European,nepa1254_27,Y,0.53377,2.53377,1.82307,1.2893,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_28,Y,0.25356,2.52628,1.82307,1.56951,6,4,18,1.0958
nepa1254,Nepali,Indo-European,nepa1254_29,Y,0.44096,2.46324,1.82307,1.38211,6,4,16,1.0958
nepa1254,Nepali,Indo-European,nepa1254_30,Y,0.25356,2.52628,1.82307,1.56951,6,4,18,1.0958
nepa1254,Nepali,Indo-European,nepa1254_31,Y,0.53187,2.46324,1.82307,1.2912,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_32,Y,0.69141,2.44096,1.82307,1.13166,6,4,13,1.0958
nepa1254,Nepali,Indo-European,nepa1254_33,Y,0.25356,2.52628,1.82307,1.56951,6,4,18,1.0958
nepa1254,Nepali,Indo-European,nepa1254_34,Y,0.53187,2.46324,1.82307,1.2912,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_35,Y,0.59491,2.504,1.82307,1.22816,6,4,14,1.0958
nepa1254,Nepali,Indo-European,nepa1254_36,Y,0.37424,2.55605,1.82307,1.44883,6,4,17,1.0958
nepa1254,Nepali,Indo-European,nepa1254_37,Y,0.37424,2.55605,1.82307,1.44883,6,4,17,1.0958
nepa1254,Nepali,Indo-European,nepa1254_38,Y,0.75444,2.39081,1.82307,1.06863,6,4,13,1.0958
nepa1254,Nepali,Indo-European,nepa1254_39,Y,0.49946,2.55605,1.82307,1.32361,6,4,16,1.0958
nepa1254,Nepali,Indo-European,nepa1254_40,Y,0.41309,2.504,1.82307,1.40998,6,4,16,1.0958
nepa1254,Nepali,Indo-European,nepa1254_41,Y,0.37424,2.55605,1.82307,1.44883,6,4,17,1.0958
nepa1254,Nepali,Indo-European,nepa1254_42,Y,0.49946,2.55605,1.82307,1.32361,6,4,16,1.0958
nepa1254,Nepali,Indo-European,nepa1254_43,Y,0.25356,2.52628,1.82307,1.56951,6,4,18,1.0958
nepa1254,Nepali,Indo-European,nepa1254_44,Y,0.53187,2.46324,1.82307,1.2912,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_45,Y,0.53187,2.46324,1.82307,1.2912,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_46,Y,0.41309,2.504,1.82307,1.40998,6,4,16,1.0958
nepa1254,Nepali,Indo-European,nepa1254_47,Y,0.69141,2.44096,1.82307,1.13166,6,4,13,1.0958
nepa1254,Nepali,Indo-European,nepa1254_48,Y,0.69141,2.44096,1.82307,1.13166,6,4,13,1.0958
nepa1254,Nepali,Indo-European,nepa1254_49,Y,0.34446,2.52628,1.82307,1.47861,6,4,17,1.0958
nepa1254,Nepali,Indo-European,nepa1254_50,Y,0.504,2.504,1.82307,1.31907,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_51,Y,0.62468,2.53377,1.82307,1.19839,6,4,14,1.0958
nepa1254,Nepali,Indo-European,nepa1254_52,Y,0.44096,2.46324,1.82307,1.38211,6,4,16,1.0958
nepa1254,Nepali,Indo-European,nepa1254_53,Y,0.69141,2.44096,1.82307,1.13166,6,4,13,1.0958
nepa1254,Nepali,Indo-European,nepa1254_54,Y,0.41309,2.504,1.82307,1.40998,6,4,16,1.0958
nepa1254,Nepali,Indo-European,nepa1254_55,Y,0.44096,2.46324,1.82307,1.38211,6,4,16,1.0958
nepa1254,Nepali,Indo-European,nepa1254_56,Y,0.53187,2.46324,1.82307,1.2912,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_57,Y,0.53187,2.46324,1.82307,1.2912,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_58,Y,0.37424,2.55605,1.82307,1.44883,6,4,17,1.0958
nepa1254,Nepali,Indo-European,nepa1254_59,Y,0.41309,2.504,1.82307,1.40998,6,4,16,1.0958
nepa1254,Nepali,Indo-European,nepa1254_60,Y,0.44096,2.46324,1.82307,1.38211,6,4,16,1.0958
nepa1254,Nepali,Indo-European,nepa1254_61,Y,0.34446,2.52628,1.82307,1.47861,6,4,17,1.0958
nepa1254,Nepali,Indo-European,nepa1254_62,Y,0.37424,2.55605,1.82307,1.44883,6,4,17,1.0958
nepa1254,Nepali,Indo-European,nepa1254_63,Y,0.37424,2.55605,1.82307,1.44883,6,4,17,1.0958
nepa1254,Nepali,Indo-European,nepa1254_64,Y,0.53187,2.46324,1.82307,1.2912,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_65,Y,0.75444,2.39081,1.82307,1.06863,6,4,13,1.0958
nepa1254,Nepali,Indo-European,nepa1254_66,Y,0.504,2.504,1.82307,1.31907,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_67,Y,0.59491,2.504,1.82307,1.22816,6,4,14,1.0958
nepa1254,Nepali,Indo-European,nepa1254_68,Y,0.53187,2.46324,1.82307,1.2912,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_69,Y,0.25356,2.52628,1.82307,1.56951,6,4,18,1.0958
nepa1254,Nepali,Indo-European,nepa1254_70,Y,0.37424,2.55605,1.82307,1.44883,6,4,17,1.0958
nepa1254,Nepali,Indo-European,nepa1254_71,Y,0.504,2.504,1.82307,1.31907,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_72,Y,0.49946,2.55605,1.82307,1.32361,6,4,16,1.0958
nepa1254,Nepali,Indo-European,nepa1254_73,Y,0.53187,2.46324,1.82307,1.2912,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_74,Y,0.84535,2.39081,1.82307,0.97772,6,4,12,1.0958
nepa1254,Nepali,Indo-European,nepa1254_75,Y,0.44096,2.46324,1.82307,1.38211,6,4,16,1.0958
nepa1254,Nepali,Indo-European,nepa1254_76,Y,0.44096,2.46324,1.82307,1.38211,6,4,16,1.0958
nepa1254,Nepali,Indo-European,nepa1254_77,Y,0.69785,2.57262,1.82307,1.12522,6,4,14,1.0958
nepa1254,Nepali,Indo-European,nepa1254_78,Y,0.84535,2.57262,1.82307,0.97772,6,4,13,1.0958
nepa1254,Nepali,Indo-European,nepa1254_79,Y,0.504,2.504,1.82307,1.31907,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_80,Y,0.28143,2.48553,1.82307,1.54164,6,4,18,1.0958
nepa1254,Nepali,Indo-European,nepa1254_81,Y,0.37424,2.55605,1.82307,1.44883,6,4,17,1.0958
nepa1254,Nepali,Indo-European,nepa1254_82,Y,0.34446,2.52628,1.82307,1.47861,6,4,17,1.0958
nepa1254,Nepali,Indo-European,nepa1254_83,Y,0.25356,2.52628,1.82307,1.56951,6,4,18,1.0958
nepa1254,Nepali,Indo-European,nepa1254_84,Y,0.53187,2.46324,1.82307,1.2912,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_85,Y,0.62468,2.53377,1.82307,1.19839,6,4,14,1.0958
nepa1254,Nepali,Indo-European,nepa1254_86,Y,0.37424,2.55605,1.82307,1.44883,6,4,17,1.0958
nepa1254,Nepali,Indo-European,nepa1254_87,Y,0.66353,2.39081,1.82307,1.15954,6,4,14,1.0958
nepa1254,Nepali,Indo-European,nepa1254_88,Y,0.59491,2.504,1.82307,1.22816,6,4,14,1.0958
nepa1254,Nepali,Indo-European,nepa1254_89,Y,0.53187,2.46324,1.82307,1.2912,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_90,Y,0.59491,2.504,1.82307,1.22816,6,4,14,1.0958
nepa1254,Nepali,Indo-European,nepa1254_91,Y,0.504,2.504,1.82307,1.31907,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_92,Y,0.59491,2.504,1.82307,1.22816,6,4,14,1.0958
nepa1254,Nepali,Indo-European,nepa1254_93,Y,0.44096,2.46324,1.82307,1.38211,6,4,16,1.0958
nepa1254,Nepali,Indo-European,nepa1254_94,Y,0.62468,2.53377,1.82307,1.19839,6,4,14,1.0958
nepa1254,Nepali,Indo-European,nepa1254_95,Y,0.504,2.504,1.82307,1.31907,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_96,Y,0.25356,2.52628,1.82307,1.56951,6,4,18,1.0958
nepa1254,Nepali,Indo-European,nepa1254_97,Y,0.69141,2.44096,1.82307,1.13166,6,4,13,1.0958
nepa1254,Nepali,Indo-European,nepa1254_98,Y,0.25356,2.52628,1.82307,1.56951,6,4,18,1.0958
nepa1254,Nepali,Indo-European,nepa1254_99,Y,0.62468,2.53377,1.82307,1.19839,6,4,14,1.0958
nepa1254,Nepali,Indo-European,nepa1254_100,Y,0.504,2.504,1.82307,1.31907,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_101,Y,0.504,2.504,1.82307,1.31907,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_102,Y,0.34446,2.52628,1.82307,1.47861,6,4,17,1.0958
nepa1254,Nepali,Indo-European,nepa1254_103,Y,0.75444,2.39081,1.82307,1.06863,6,4,13,1.0958
nepa1254,Nepali,Indo-European,nepa1254_104,Y,0.28143,2.48553,1.82307,1.54164,6,4,18,1.0958
nepa1254,Nepali,Indo-European,nepa1254_105,Y,0.504,2.504,1.82307,1.31907,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_106,Y,0.37424,2.55605,1.82307,1.44883,6,4,17,1.0958
nepa1254,Nepali,Indo-European,nepa1254_107,Y,0.59491,2.504,1.82307,1.22816,6,4,14,1.0958
nepa1254,Nepali,Indo-European,nepa1254_108,Y,0.53187,2.46324,1.82307,1.2912,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_109,Y,0.66353,2.48171,1.82307,1.15954,6,4,13,1.0958
nepa1254,Nepali,Indo-European,nepa1254_110,Y,0.69785,2.57262,1.82307,1.12522,6,4,14,1.0958
nepa1254,Nepali,Indo-European,nepa1254_111,Y,0.25356,2.52628,1.82307,1.56951,6,4,18,1.0958
nepa1254,Nepali,Indo-European,nepa1254_112,Y,0.37424,2.55605,1.82307,1.44883,6,4,17,1.0958
nepa1254,Nepali,Indo-European,nepa1254_113,Y,0.504,2.504,1.82307,1.31907,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_114,Y,0.504,2.504,1.82307,1.31907,6,4,15,1.0958
nepa1254,Nepali,Indo-European,nepa1254_115,Y,0.84535,2.48171,1.82307,0.97772,6,4,11,1.0958
nepa1254,Nepali,Indo-European,nepa1254_116,Y,0.44096,2.46324,1.82307,1.38211,6,4,16,1.0958
nepa1254,Nepali,Indo-European,nepa1254_117,Y,0.504,2.504,1.82307,1.31907,6,4,15,1.0958
