language,code,family,true_value,true_upper_limit,sim_upper_limit,lower_limit,mean
'Are'are,area1240,Austronesian,0.53333,0.53333,0.2429,0,0.0639891
ASF_Auslan,aust1271,Other,0.88654,0.88654,0.34819,0.02281,0.10639997
Abui,abui1241,Other,0,0,0,0,0
Achinese,achi1257,Austronesian,0,0,0,0,0
Aché,ache1246,Tupian,0.27205,0.38644,0.38644,0.05458,0.1592848
Adang,adan1251,Other,0.00157,0.24147,0.24147,0.00157,0.02954699
Adnyamathanha,adny1235,Pama-Nyungan,1.15564,1.15564,0.72098,0.10222,0.29596185
Aghul,aghu1253,Nakh-Daghestanian,0.9183,0.9183,0.40031,0.05763,0.14969087
Agob-Ende-Kawam,agob1244,Other,0,0,0,0,0
Aguaruna,agua1253,Other,0.9183,0.9183,0.6008,0.10917,0.23245279
Akhvakh_Northern_Akhvakh_,akhv1239,Nakh-Daghestanian,0.91829,0.91829,0.5187,0.26019,0.30570051
Akkadian,akka1240,Afro-Asiatic,0,0,0,0,0
Aklanon,akla1241,Austronesian,0.88654,0.88654,0.38684,0.05781,0.14499359
Alamblak,alam1246,Other,0,0,0,0,0
Alangan,alan1249,Austronesian,0.88654,0.88654,0.27136,0.00218,0.05146676
Albanian,alba1267,Indo-European,0.91829,0.91829,0.77911,0.2645,0.38889050000000003
Albanian_Tosk_,tosk1239,Indo-European,0.91829,0.91829,0.43922,0.15905,0.24276025
Alyawarr,alya1239,Pama-Nyungan,1.5,1.5,0.96886,0.14193,0.4569267
Amanab,aman1265,Other,1.11459,1.11459,0.91127,0.27447,0.51971078
Amharic,amha1245,Afro-Asiatic,1.58497,1.58497,0.58913,0.11924,0.24126385
Amis,amis1246,Austronesian,0,0,0,0,0
Ampibabo_Lauje,ampi1237,Austronesian,0.88654,0.88654,0.30712,0.02281,0.10712384
An-ah'-ne-lin_(Gros_Ventres_of_Prairie),gros1243,Algic,0,0,0,0,0
Anambé,anam1249,Tupian,0,0,0,0,0
Ancient_Greek,anci1242,Indo-European,0.9183,0.9183,0.51595,0.01625,0.14592023
Andi,andi1255,Nakh-Daghestanian,1.00794,1.00794,0.58073,0.32312,0.38516029
Anejom,anei1239,Austronesian,0.50869,0.50869,0.42616,0.02442,0.16806828
Angaite,anga1316,Other,0,0,0,0,0
Aniwa,aniw1237,Austronesian,1.53012,1.53012,1.05131,0.22368,0.55383528
Anuta,anut1237,Austronesian,7.3e-4,0.27471,0.27471,7.3e-4,0.04692028
Arabana,arab1267,Pama-Nyungan,1,1,0.73346,0,0.145816785
Arabana,arab1267a,Pama-Nyungan,0,1,0.73346,0,0.145816785
Araki,arak1252,Austronesian,0.76304,0.879,0.879,0.21807000000000001,0.44336173
Araweté,araw1273,Tupian,1.3037,1.3037,1.2666,0.34936,0.67957499
Archi,arch1244,Nakh-Daghestanian,0.91829,0.91829,0.7265,0.2645,0.38848898
Aria_(Mouk-Aria),mouk1240a,Austronesian,0,0,0,0,0
Arikara_(Arickaree),arik1262,Other,0,0,0,0,0
Arizona_Yaqui,yaqu1251a,Uto-Aztecan,0,0,0,0,0
Armenian,nucl1235,Indo-European,2.25163,2.25163,1.2976,0.4773,0.81018431
Arosi,aros1241,Austronesian,0.98523,0.98523,0.98523,0.07417,0.21847576
Asera,aser1237,Austronesian,0,0,0,0,0
Assamese,assa1263,Indo-European,1.5,1.5,0.97935,0.28492,0.57320624
Assiniboine_(Asiniboine),assi1247,Other,0,0,0,0,0
Asu_Tanzania_,asut1235,Atlantic-Congo,0.9183,0.9183,0.89391,0.40738,0.6116718
Atayal,atay1247,Austronesian,0,0,0,0,0
Atchin,atch1238,Austronesian,0.90487,0.90487,0.51569,0.05443,0.15488144
Atoni_(Uab_Meto),uabm1237,Austronesian,0.99256,0.99256,0.79095,0.09833,0.38660501
Atsugewi,atsu1245,Other,0.72193,0.72193,0.72193,0.24449,0.27983013
Atta,atta1244,Austronesian,0,0,0,0,0
Au,auuu1241,Other,0,0,0,0,0
Avar,avar1256,Nakh-Daghestanian,0.9183,0.9183,0.55751,0.2645,0.34148591
Avar_Ancux_,ancu1238,Nakh-Daghestanian,0.9183,0.9183,0.54922,0.2645,0.34497219
Avar_Andalal_,anda1281,Nakh-Daghestanian,1.00794,1.00794,0.62145,0.32312,0.38526782
Avar_Batlux_,batl1238,Nakh-Daghestanian,0.9183,0.9183,0.44613,0.10917,0.19366059
Avar_Hid_dialect_,hidd1238,Nakh-Daghestanian,0.91829,0.91829,0.50978,0.26019,0.30645098
Avatime,avat1244,Atlantic-Congo,0,0,0,0,0
Avava,katb1237a,Austronesian,0,0,0,0,0
Avava_(Bangasa_Dialect),katb1237,Austronesian,1.53012,1.53012,1.00647,0.40468,0.58733296
Avava_(Niviar_Dialect),katb1237b,Austronesian,1.57662,1.57662,1.10007,0.20418,0.46932891
Avaz_Khunzakh_,kunz1243,Nakh-Daghestanian,0.9183,0.9183,0.48305,0.17686,0.25106566
Avestan,aves1237,Indo-European,0,0,0,0,0
Avá_Canoeiro,avac1239,Tupian,0,0,0,0,0
Awa,imbo1238,Other,0,0,0,0,0
Awetí,awet1244,Tupian,0.91829,0.91829,0.60212,0.30104,0.40974235
Awiakay,awia1234,Other,1.18969,1.18969,1.06991,0.45476,0.69889086
Ayiwo,ayiw1239,Austronesian,0.93211,0.93211,0.65146,0.12482,0.3527178
Ayoreo,ayor1240,Other,0.61749,0.65368,0.65368,0.20121,0.31268431
Aztec,clas1250,Uto-Aztecan,0,0,0,0,0
Bacanese_Malay_(Bacan),baca1243,Austronesian,0.96023,0.96023,0.55412,0.11929,0.27491145
Badimaya,badi1246,Pama-Nyungan,0,0,0,0,0
