parameter,word
mM,maatua
mF,tamana
mFeB,tamana
mMeZ,maatua
mFeZ,matua sa
mFyZ,matua sa
meZ,tua-fafine
mMBeS,tua-tina
mMeBS,tua-tina
mMyBS,tua-tina
mFBeS,taina
mFeBS,taina
mFyBS,taina
mMZeS,taina
mMeZS,taina
mMyZS,taina
mFZeS,ilamutu
mFeZS,ilamutu
mFyZS,ilamutu
mMBeD,fai-tua-fafine
mMByD,fai-tua-fafine
mMeBD,fai-tua-fafine
mMyBD,fai-tua-fafine
mFBeD,taina fetau taina
mFByD,taina fetau taina
mFeBD,taina fetau taina
mFyBD,taina fetau taina
mMZeD,tuafafine fetau taina
mMZyD,tuafafine fetau taina
mMeZD,tuafafine fetau taina
mMyZD,tuafafine fetau taina
mFZeD,ilamutu
mFZyD,ilamutu
mFeZD,ilamutu
mFyZD,ilamutu
fFeZ,matua sa
feB,tua-gane
feZ,fetau-taina
fyZ,fetau-taina
fMBeS,fai-tuagane
fMByS,fai-tuagane
fMeBS,fai-tuagane
fMyBS,fai-tuagane
fFBeS,taina fetau taina
fFByS,taina fetau taina
fFeBS,taina fetau taina
fFyBS,taina fetau taina
fMZeS,tuafafine fetau taina
fMZyS,tuafafine fetau taina
fMeZS,tuafafine fetau taina
fMyZS,tuafafine fetau taina
fFZyS,ilamutu
fMBeD,tua-tina
fMeBD,tua-tina
fMyBD,tua-tina
fMZeD,taina
fMeZD,taina
fMyZD,taina
fFZyD,ilamutu
