parameter,word
mM,mātua
mF,tamana
mMeB,tuatina
mFeB,tamana
mMeZ,matua
mFeZ,matua
meB,taina
meZ,tuafafine
mMBeS,tuatina
mMeBS,tuatina
mMyBS,tuatina
mFBeS,taina
mFeBS,taina
mFyBS,taina
mMZeS,taina
mMeZS,taina
mMyZS,taina
mFZeS,fakatau tuatina
mFeZS,fakatau tuatina
mFyZS,fakatau tuatina
mMBeD,tuatina
mMeBD,tuatina
mMyBD,tuatina
mFBeD,tuafafine
mFeBD,tuafafine
mFyBD,tuafafine
mMZeD,tuafafine
mMeZD,tuafafine
mMyZD,tuafafine
mFZeD,fakatau tuatina
mFeZD,fakatau tuatina
mFyZD,fakatau tuatina
feB,tuagāne
feZ,taina
fMZeS,tuangane
fMeZS,tuangane
fMyZS,tuangane
fMZeD,taina
fMeZD,taina
fMyZD,taina
