parameter,word
mM,nene
mMeB,momo
mMyB,momo
mFeB,momo
mFyB,momo
mMeZ,baba
mMyZ,baba
mFeZ,baba
mFyZ,baba
meB,fteno tenlol
myB,fteno tatetoetei
meZ,remo tenlol
myZ,remo tatetoetei
mMeBS,fono
mMyBS,fono
mFeBS,fono
mFyBS,fono
mMeZS,fono
mMyZS,fono
mFeZS,fono
mFyZS,fono
mMeBD,fono-meping
mMyBD,fono-meping
mFeBD,fono-meping
mFyBD,fono-meping
mMeZD,fono-meping
mMyZD,fono-meping
mFeZD,fono-meping
mFyZD,fono-meping
fF,momo
fMeB,momo
fFeB,momo
fMeZ,baba
fFeZ,baba
