parameter,word
mM,sinagu
mF,tamagu
mMeB,vavagu
mFeB,tamagu
mMeZ,sina
mFeZ,lalagu
meZ,taihugu
mMBeS,kakagu
mMByS,tadigu
mFBeS,kakagu
mFByS,tadigu
mMZeS,kakagu
mMZyS,tadigu
mFZeS,kakagu
mFZyS,tadigu
mMBeD,taihugu
mFBeD,taihugu
mMZeD,taihugu
mFZeD,taihugu
feB,taihugu
feZ,kakagu
fyZ,tadigu
fMBeS,taihugu
fFBeS,taihugu
fMZeS,taihugu
fFZeS,taihugu
fMBeD,kakagu
fMByD,tadigu
fFBeD,kakagu
fFByD,tadigu
fMZeD,kakagu
fMZyD,tadigu
fFZeD,kakagu
fFZyD,tadigu
