simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,feB,fyB,feZ,fyZ,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.4599028276770396,1.6287083626151013,1.1688055349380617,che-ruké,che-kywý,che-kypyý,che-riwý,che-kypyý,chen-rendý-miní,che-kywykeý,che-rikeý,che-ruké,chen-rendý-miní,chen-rendý-miní,che-riwý,che-ruké,che-kywykeý,chen-rendý-miní,che-rendý,che-riwý,che-rikeý,che-rikeý,che-kypyý,che-kywý,che-kywý,chen-rendý-miní,che-kypyý,che-ruké,che-kywykeý,che-rendý,che-rikeý,che-rendý,che-riwý,che-rendý,che-kywykeý,che-kywykeý,che-riwý,che-ruké,che-kywý,che-kypyý,che-rendý,che-tuty,che-ruwy,che-rú,che-tuty,che-syy,che-ruwy,che-tuty,che-syy,che-tuty,che-syy,che-djaiché,che-tuty,che-syy,che-ruwy,che-tuty,che-sy,che-sy,che-ruwy,che-ruwy,che-djaiché,che-rú,che-djaiché,che-syy,che-syy,che-djaiché,che-djaiché,che-djaiché,che-ruwy
1,0.6512588535372693,1.5912310343391949,0.9399721808019256,chen-rendý-miní,che-kywykeý,che-riwý,che-rendý,che-kypyý,che-kypyý,che-rikeý,che-kywý,che-rikeý,che-rendý,che-kypyý,che-ruké,che-ruké,che-ruké,chen-rendý-miní,che-kywý,che-rendý,chen-rendý-miní,che-rendý,che-kywý,che-riwý,che-rikeý,che-ruké,che-kypyý,che-kywykeý,che-kywykeý,chen-rendý-miní,che-rikeý,che-riwý,chen-rendý-miní,che-kypyý,che-kywykeý,che-rendý,che-riwý,che-kywykeý,che-riwý,che-kywý,che-ruké,che-syy,che-syy,che-sy,che-djaiché,che-ruwy,che-djaiché,che-djaiché,che-ruwy,che-syy,che-rú,che-syy,che-ruwy,che-djaiché,che-ruwy,che-tuty,che-sy,che-ruwy,che-djaiché,che-syy,che-tuty,che-tuty,che-syy,che-tuty,che-djaiché,che-tuty,che-tuty,che-rú,che-ruwy
2,0.312946413831213,1.2433792171380262,0.9304328033068132,che-riwý,che-ruké,chen-rendý-miní,che-kywý,che-ruké,che-riwý,chen-rendý-miní,che-ruké,che-kypyý,che-ruké,che-rikeý,che-kywykeý,che-rendý,che-kypyý,che-ruké,chen-rendý-miní,che-kypyý,che-rendý,che-kywykeý,che-kywykeý,che-riwý,che-kywykeý,che-rendý,che-rikeý,chen-rendý-miní,che-rendý,che-riwý,che-kywý,che-rikeý,chen-rendý-miní,che-rendý,che-rikeý,che-kywykeý,che-kypyý,che-kypyý,che-kywý,che-kywý,che-riwý,che-syy,che-djaiché,che-tuty,che-ruwy,che-djaiché,che-ruwy,che-ruwy,che-syy,che-djaiché,che-syy,che-tuty,che-syy,che-rú,che-djaiché,che-ruwy,che-djaiché,che-ruwy,che-ruwy,che-djaiché,che-tuty,che-syy,che-tuty,che-tuty,che-tuty,che-sy,che-rú,che-syy,che-sy
3,0.3805269303293364,1.418287920250086,1.0377609899207496,che-rikeý,chen-rendý-miní,che-kywykeý,che-rendý,chen-rendý-miní,che-kypyý,che-ruké,che-rendý,che-rendý,che-riwý,che-kypyý,che-kywykeý,che-rikeý,che-rendý,che-kypyý,che-rikeý,che-ruké,chen-rendý-miní,che-kywykeý,chen-rendý-miní,che-riwý,che-rikeý,chen-rendý-miní,che-kypyý,che-riwý,che-kywykeý,che-kypyý,che-kywý,che-ruké,che-kywý,che-kywý,che-riwý,che-riwý,che-rendý,che-ruké,che-ruké,che-kywý,che-kywykeý,che-djaiché,che-tuty,che-djaiché,che-rú,che-rú,che-sy,che-tuty,che-ruwy,che-syy,che-ruwy,che-ruwy,che-syy,che-ruwy,che-djaiché,che-tuty,che-tuty,che-ruwy,che-djaiché,che-djaiché,che-tuty,che-syy,che-syy,che-djaiché,che-ruwy,che-tuty,che-syy,che-syy,che-sy
4,0.43754927696796075,1.465924774067231,1.0283754970992702,che-kypyý,che-kywykeý,che-kywykeý,che-kypyý,chen-rendý-miní,che-riwý,che-kywykeý,che-riwý,che-rikeý,che-rendý,che-ruké,che-kywý,che-kywykeý,che-rendý,che-rendý,che-kypyý,chen-rendý-miní,che-riwý,che-riwý,che-kywykeý,che-ruké,che-rendý,chen-rendý-miní,che-ruké,che-rikeý,che-kywý,che-rikeý,che-kypyý,chen-rendý-miní,che-rikeý,che-ruké,che-kypyý,che-kywý,che-riwý,che-ruké,che-kywý,che-rendý,chen-rendý-miní,che-tuty,che-djaiché,che-tuty,che-sy,che-tuty,che-syy,che-ruwy,che-ruwy,che-syy,che-sy,che-syy,che-djaiché,che-ruwy,che-rú,che-syy,che-tuty,che-syy,che-rú,che-tuty,che-ruwy,che-djaiché,che-djaiché,che-djaiché,che-syy,che-djaiché,che-tuty,che-ruwy,che-ruwy
5,0.4844024458160552,1.713525251021283,1.2291228052052279,che-kypyý,chen-rendý-miní,che-rendý,che-ruké,che-kypyý,che-kypyý,che-rendý,che-ruké,che-rikeý,che-ruké,che-kypyý,che-ruké,che-riwý,che-kywykeý,che-kywykeý,chen-rendý-miní,che-rikeý,che-rendý,che-riwý,chen-rendý-miní,che-kywykeý,che-rikeý,che-kywý,chen-rendý-miní,che-riwý,che-riwý,che-kywykeý,che-kypyý,che-riwý,che-rendý,chen-rendý-miní,che-ruké,che-kywý,che-kywý,che-kywykeý,che-rendý,che-kywý,che-rikeý,che-syy,che-sy,che-sy,che-ruwy,che-syy,che-tuty,che-rú,che-syy,che-ruwy,che-tuty,che-djaiché,che-tuty,che-tuty,che-djaiché,che-syy,che-djaiché,che-rú,che-tuty,che-djaiché,che-ruwy,che-tuty,che-ruwy,che-ruwy,che-djaiché,che-ruwy,che-syy,che-syy,che-djaiché
6,0.522642505848085,1.448600917199441,0.9259584113513559,che-kypyý,che-kywý,che-kywykeý,che-ruké,che-rendý,che-ruké,che-rendý,che-kywykeý,che-rendý,chen-rendý-miní,che-rendý,che-rikeý,che-ruké,che-ruké,chen-rendý-miní,che-riwý,che-riwý,che-kywykeý,chen-rendý-miní,che-kypyý,che-kywykeý,chen-rendý-miní,che-rendý,che-kywý,che-riwý,che-kypyý,che-kywý,che-rikeý,che-rikeý,che-kywykeý,che-kypyý,che-riwý,che-riwý,che-rikeý,che-kypyý,che-ruké,che-kywý,chen-rendý-miní,che-tuty,che-djaiché,che-djaiché,che-tuty,che-ruwy,che-sy,che-tuty,che-sy,che-syy,che-rú,che-djaiché,che-djaiché,che-syy,che-djaiché,che-djaiché,che-rú,che-tuty,che-tuty,che-ruwy,che-tuty,che-syy,che-syy,che-ruwy,che-syy,che-syy,che-ruwy,che-ruwy,che-ruwy
7,0.5099010538750004,1.5389839665044447,1.0290829126294443,che-rendý,che-rikeý,che-rendý,che-kywykeý,che-rikeý,chen-rendý-miní,che-rendý,che-ruké,che-ruké,che-riwý,che-ruké,che-rendý,chen-rendý-miní,che-kywý,che-kypyý,che-riwý,chen-rendý-miní,che-riwý,che-kywý,che-kywý,che-rikeý,che-kywykeý,che-kywykeý,che-kywý,che-ruké,che-ruké,che-kywykeý,chen-rendý-miní,che-riwý,che-kypyý,che-rendý,che-kypyý,che-kypyý,che-riwý,che-kypyý,chen-rendý-miní,che-rikeý,che-kywykeý,che-ruwy,che-djaiché,che-syy,che-tuty,che-djaiché,che-syy,che-tuty,che-ruwy,che-djaiché,che-rú,che-tuty,che-djaiché,che-ruwy,che-rú,che-sy,che-syy,che-ruwy,che-ruwy,che-tuty,che-syy,che-sy,che-djaiché,che-djaiché,che-tuty,che-syy,che-tuty,che-syy,che-ruwy
8,0.3475360522000497,1.4293558927343757,1.081819840534326,che-riwý,che-rendý,che-kywý,chen-rendý-miní,che-kywý,che-kywykeý,che-rendý,chen-rendý-miní,che-kypyý,che-kywykeý,che-ruké,chen-rendý-miní,che-ruké,che-rikeý,che-rendý,che-rendý,che-kywykeý,che-ruké,che-rikeý,che-kywý,che-riwý,che-kywykeý,che-kypyý,che-rikeý,che-riwý,che-rendý,chen-rendý-miní,che-ruké,che-kywý,che-riwý,che-riwý,che-kypyý,che-kypyý,che-ruké,chen-rendý-miní,che-kypyý,che-rikeý,che-kywykeý,che-tuty,che-djaiché,che-tuty,che-syy,che-ruwy,che-ruwy,che-djaiché,che-ruwy,che-djaiché,che-syy,che-syy,che-sy,che-syy,che-syy,che-rú,che-tuty,che-djaiché,che-tuty,che-djaiché,che-tuty,che-djaiché,che-ruwy,che-tuty,che-sy,che-syy,che-rú,che-ruwy,che-ruwy
9,0.4895870441349477,1.7160406078439125,1.2264535637089649,chen-rendý-miní,che-kypyý,chen-rendý-miní,che-riwý,che-ruké,che-ruké,che-kywykeý,che-kywykeý,che-kywý,che-ruké,che-ruké,che-rikeý,che-kywykeý,che-riwý,che-ruké,che-kywý,che-kywykeý,che-rendý,che-rendý,chen-rendý-miní,che-kypyý,chen-rendý-miní,che-riwý,che-riwý,che-kypyý,che-rendý,che-rendý,che-kypyý,che-rendý,che-kypyý,chen-rendý-miní,che-rikeý,che-kywý,che-kywý,che-kywykeý,che-rikeý,che-rikeý,che-riwý,che-djaiché,che-djaiché,che-sy,che-ruwy,che-syy,che-djaiché,che-tuty,che-djaiché,che-rú,che-tuty,che-syy,che-syy,che-ruwy,che-djaiché,che-sy,che-tuty,che-ruwy,che-rú,che-tuty,che-ruwy,che-ruwy,che-djaiché,che-syy,che-syy,che-ruwy,che-tuty,che-syy,che-tuty
