simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.5303855059987066,1.7298481715857434,1.1994626655870368,bapajannitoemapin,mamnjanitoe maon,timnog,mamnjanitoe maon,bapajannitoemapin,nibapamnjanitoe maon,mamnjanitoe maon,majao,mamnjanitoemapin,timnog,nibapamnjanitoe maon,mamnjanitoemapin,nibapamnjanitoe maon,nibapamnjanitoe maon,mamnjanitoemapin,maboengoe,mamnjanitoemapin,mamnjanitoemapin,maboengoe,nibapamnjanitoe maon,mamnjanitoe maon,mamnjanitoe maon,mamnjanitoe maon,mamnjanitoe maon,nibapamnjanitoe maon,nibapamnjanitoe maon,majao,dimomaboengoe,mamnjanitoemapin,bapajannitoemapin,dimomaboengoe,bapajannitoemapin,mamnjanitoemapin,nibapamnjanitoe maon,mamnjanitoemapin,bapajannitoemapin,bapajannitoemapin,mamnjanitoe maon,bapajannitoemapin,"timno, mamoennja",mamoe,bapa,"nitano, babatoea","timno, mamoennja","timno, mamoennja",mamoe,"nidi momajaoe, mamoennja","nitano, babatoea","nidi momajaoe, mamoennja","nidi momajaoe, mamoennja","timno, babatoea","timno, babatoea","timno, babatoea","nidi momajaoe, mamoennja","nitano, babatoea","nitano, babatoea","timno, mamoennja","timno, babatoea"
1,0.5490561193633183,1.718561143628414,1.1695050242650957,mamnjanitoemapin,dimomaboengoe,nibapamnjanitoe maon,nibapamnjanitoe maon,bapajannitoemapin,mamnjanitoemapin,bapajannitoemapin,bapajannitoemapin,mamnjanitoemapin,bapajannitoemapin,mamnjanitoe maon,maboengoe,mamnjanitoe maon,mamnjanitoemapin,maboengoe,mamnjanitoemapin,nibapamnjanitoe maon,timnog,mamnjanitoemapin,majao,nibapamnjanitoe maon,mamnjanitoe maon,majao,bapajannitoemapin,nibapamnjanitoe maon,bapajannitoemapin,timnog,nibapamnjanitoe maon,mamnjanitoemapin,mamnjanitoe maon,nibapamnjanitoe maon,nibapamnjanitoe maon,mamnjanitoe maon,dimomaboengoe,mamnjanitoe maon,mamnjanitoemapin,mamnjanitoe maon,bapajannitoemapin,mamnjanitoe maon,"timno, babatoea","nidi momajaoe, mamoennja",bapa,"timno, mamoennja",mamoe,"timno, babatoea","nitano, babatoea","timno, mamoennja","timno, babatoea","nitano, babatoea","nidi momajaoe, mamoennja","timno, babatoea","nitano, babatoea","nidi momajaoe, mamoennja","timno, mamoennja","nitano, babatoea","timno, mamoennja",mamoe,"nidi momajaoe, mamoennja"
2,0.42977169659336845,1.7230076062417312,1.2932359096483628,bapajannitoemapin,mamnjanitoe maon,mamnjanitoemapin,nibapamnjanitoe maon,majao,bapajannitoemapin,nibapamnjanitoe maon,maboengoe,mamnjanitoe maon,mamnjanitoemapin,mamnjanitoemapin,mamnjanitoe maon,mamnjanitoe maon,mamnjanitoemapin,nibapamnjanitoe maon,majao,bapajannitoemapin,nibapamnjanitoe maon,mamnjanitoemapin,mamnjanitoemapin,nibapamnjanitoe maon,timnog,timnog,bapajannitoemapin,nibapamnjanitoe maon,bapajannitoemapin,nibapamnjanitoe maon,bapajannitoemapin,dimomaboengoe,dimomaboengoe,mamnjanitoe maon,mamnjanitoe maon,maboengoe,mamnjanitoe maon,mamnjanitoemapin,nibapamnjanitoe maon,bapajannitoemapin,mamnjanitoe maon,mamnjanitoemapin,"timno, mamoennja",bapa,"timno, mamoennja","nidi momajaoe, mamoennja",mamoe,"nitano, babatoea","nitano, babatoea","timno, babatoea","timno, mamoennja","timno, babatoea",mamoe,"nitano, babatoea","timno, mamoennja","timno, babatoea","nidi momajaoe, mamoennja","nidi momajaoe, mamoennja","nitano, babatoea","timno, babatoea","nidi momajaoe, mamoennja"
3,0.4125769799769403,1.7078460807052482,1.295269100728308,nibapamnjanitoe maon,mamnjanitoemapin,nibapamnjanitoe maon,mamnjanitoe maon,bapajannitoemapin,nibapamnjanitoe maon,majao,mamnjanitoemapin,bapajannitoemapin,mamnjanitoe maon,mamnjanitoe maon,dimomaboengoe,bapajannitoemapin,mamnjanitoemapin,nibapamnjanitoe maon,mamnjanitoemapin,mamnjanitoemapin,timnog,nibapamnjanitoe maon,maboengoe,bapajannitoemapin,mamnjanitoemapin,mamnjanitoe maon,mamnjanitoe maon,nibapamnjanitoe maon,mamnjanitoemapin,majao,nibapamnjanitoe maon,maboengoe,nibapamnjanitoe maon,bapajannitoemapin,mamnjanitoemapin,mamnjanitoe maon,timnog,mamnjanitoe maon,mamnjanitoe maon,bapajannitoemapin,dimomaboengoe,bapajannitoemapin,"nitano, babatoea","timno, mamoennja",mamoe,"timno, babatoea","timno, mamoennja","nidi momajaoe, mamoennja","nitano, babatoea","nidi momajaoe, mamoennja",bapa,"nidi momajaoe, mamoennja",mamoe,"nitano, babatoea","timno, babatoea","nidi momajaoe, mamoennja","timno, mamoennja","timno, mamoennja","nitano, babatoea","timno, babatoea","timno, babatoea"
4,0.4082119687804393,1.6995670661738211,1.2913550973933818,mamnjanitoemapin,nibapamnjanitoe maon,mamnjanitoe maon,dimomaboengoe,nibapamnjanitoe maon,nibapamnjanitoe maon,mamnjanitoe maon,mamnjanitoe maon,mamnjanitoe maon,mamnjanitoemapin,nibapamnjanitoe maon,mamnjanitoemapin,mamnjanitoemapin,mamnjanitoe maon,bapajannitoemapin,nibapamnjanitoe maon,majao,bapajannitoemapin,bapajannitoemapin,nibapamnjanitoe maon,timnog,mamnjanitoe maon,mamnjanitoe maon,bapajannitoemapin,dimomaboengoe,mamnjanitoemapin,timnog,maboengoe,mamnjanitoemapin,mamnjanitoe maon,bapajannitoemapin,bapajannitoemapin,bapajannitoemapin,mamnjanitoemapin,majao,nibapamnjanitoe maon,mamnjanitoemapin,maboengoe,nibapamnjanitoe maon,"timno, babatoea","timno, mamoennja","nitano, babatoea",mamoe,"nidi momajaoe, mamoennja","nitano, babatoea","nidi momajaoe, mamoennja","timno, babatoea",bapa,"timno, mamoennja","timno, babatoea","timno, babatoea","nitano, babatoea","nidi momajaoe, mamoennja","timno, mamoennja","nitano, babatoea","nidi momajaoe, mamoennja","timno, mamoennja",mamoe
5,0.41896657690543226,1.7078460807052482,1.288879503799816,mamnjanitoe maon,mamnjanitoemapin,nibapamnjanitoe maon,mamnjanitoe maon,majao,bapajannitoemapin,maboengoe,dimomaboengoe,mamnjanitoemapin,nibapamnjanitoe maon,dimomaboengoe,mamnjanitoe maon,bapajannitoemapin,bapajannitoemapin,nibapamnjanitoe maon,mamnjanitoemapin,mamnjanitoe maon,bapajannitoemapin,mamnjanitoemapin,nibapamnjanitoe maon,majao,timnog,nibapamnjanitoe maon,mamnjanitoemapin,nibapamnjanitoe maon,mamnjanitoemapin,bapajannitoemapin,mamnjanitoemapin,mamnjanitoe maon,mamnjanitoe maon,mamnjanitoe maon,nibapamnjanitoe maon,nibapamnjanitoe maon,maboengoe,bapajannitoemapin,bapajannitoemapin,timnog,mamnjanitoe maon,mamnjanitoemapin,mamoe,"nitano, babatoea","timno, babatoea","nitano, babatoea","nidi momajaoe, mamoennja","nidi momajaoe, mamoennja","timno, mamoennja","nidi momajaoe, mamoennja",bapa,mamoe,"timno, mamoennja","timno, babatoea","timno, mamoennja","nitano, babatoea","timno, babatoea","nitano, babatoea","timno, mamoennja","nidi momajaoe, mamoennja","timno, babatoea"
6,0.46143144702029715,1.6995670661738211,1.238135619153524,dimomaboengoe,mamnjanitoe maon,maboengoe,mamnjanitoe maon,mamnjanitoemapin,bapajannitoemapin,dimomaboengoe,maboengoe,bapajannitoemapin,nibapamnjanitoe maon,nibapamnjanitoe maon,mamnjanitoemapin,bapajannitoemapin,nibapamnjanitoe maon,mamnjanitoemapin,bapajannitoemapin,timnog,mamnjanitoe maon,nibapamnjanitoe maon,nibapamnjanitoe maon,mamnjanitoe maon,mamnjanitoemapin,majao,bapajannitoemapin,bapajannitoemapin,majao,mamnjanitoe maon,nibapamnjanitoe maon,mamnjanitoe maon,timnog,bapajannitoemapin,nibapamnjanitoe maon,mamnjanitoemapin,mamnjanitoemapin,mamnjanitoe maon,mamnjanitoemapin,nibapamnjanitoe maon,mamnjanitoe maon,mamnjanitoemapin,"nidi momajaoe, mamoennja","nitano, babatoea","timno, mamoennja","timno, babatoea","nitano, babatoea","timno, mamoennja","timno, babatoea",bapa,"nidi momajaoe, mamoennja","timno, mamoennja","nitano, babatoea","nidi momajaoe, mamoennja","nitano, babatoea",mamoe,mamoe,"nidi momajaoe, mamoennja","timno, babatoea","timno, babatoea","timno, mamoennja"
7,0.37198070604356737,1.6475496668860892,1.2755689608425218,timnog,maboengoe,nibapamnjanitoe maon,mamnjanitoemapin,mamnjanitoe maon,mamnjanitoe maon,bapajannitoemapin,nibapamnjanitoe maon,mamnjanitoemapin,mamnjanitoemapin,mamnjanitoemapin,dimomaboengoe,nibapamnjanitoe maon,majao,bapajannitoemapin,bapajannitoemapin,nibapamnjanitoe maon,bapajannitoemapin,mamnjanitoe maon,dimomaboengoe,bapajannitoemapin,mamnjanitoemapin,nibapamnjanitoe maon,bapajannitoemapin,maboengoe,mamnjanitoe maon,mamnjanitoe maon,nibapamnjanitoe maon,timnog,mamnjanitoemapin,mamnjanitoemapin,mamnjanitoe maon,bapajannitoemapin,nibapamnjanitoe maon,mamnjanitoemapin,mamnjanitoe maon,mamnjanitoe maon,majao,nibapamnjanitoe maon,mamoe,"timno, mamoennja","nitano, babatoea","nidi momajaoe, mamoennja","nitano, babatoea","timno, mamoennja","nitano, babatoea","timno, babatoea","nidi momajaoe, mamoennja","timno, mamoennja","timno, babatoea","nidi momajaoe, mamoennja",bapa,mamoe,"timno, babatoea","nidi momajaoe, mamoennja","nitano, babatoea","timno, mamoennja","timno, babatoea"
8,0.44513415441099236,1.6691857855646983,1.224051631153706,nibapamnjanitoe maon,timnog,mamnjanitoe maon,mamnjanitoe maon,mamnjanitoemapin,nibapamnjanitoe maon,bapajannitoemapin,nibapamnjanitoe maon,mamnjanitoe maon,mamnjanitoe maon,mamnjanitoe maon,dimomaboengoe,nibapamnjanitoe maon,mamnjanitoemapin,bapajannitoemapin,dimomaboengoe,nibapamnjanitoe maon,bapajannitoemapin,bapajannitoemapin,mamnjanitoe maon,nibapamnjanitoe maon,mamnjanitoemapin,mamnjanitoe maon,timnog,mamnjanitoemapin,bapajannitoemapin,maboengoe,mamnjanitoemapin,mamnjanitoemapin,bapajannitoemapin,nibapamnjanitoe maon,mamnjanitoe maon,bapajannitoemapin,nibapamnjanitoe maon,maboengoe,majao,majao,mamnjanitoemapin,mamnjanitoemapin,"timno, mamoennja","nidi momajaoe, mamoennja","nitano, babatoea",mamoe,"timno, mamoennja","timno, mamoennja","timno, mamoennja","nitano, babatoea","timno, babatoea","nitano, babatoea","timno, babatoea","nidi momajaoe, mamoennja",mamoe,"timno, babatoea",bapa,"nitano, babatoea","nidi momajaoe, mamoennja","nidi momajaoe, mamoennja","timno, babatoea"
9,0.45889071060744135,1.718561143628414,1.2596704330209727,nibapamnjanitoe maon,bapajannitoemapin,nibapamnjanitoe maon,mamnjanitoe maon,mamnjanitoemapin,mamnjanitoe maon,dimomaboengoe,bapajannitoemapin,nibapamnjanitoe maon,bapajannitoemapin,nibapamnjanitoe maon,timnog,mamnjanitoe maon,maboengoe,mamnjanitoe maon,mamnjanitoemapin,dimomaboengoe,bapajannitoemapin,mamnjanitoe maon,nibapamnjanitoe maon,maboengoe,nibapamnjanitoe maon,mamnjanitoemapin,mamnjanitoe maon,timnog,mamnjanitoemapin,mamnjanitoemapin,majao,majao,bapajannitoemapin,mamnjanitoemapin,nibapamnjanitoe maon,mamnjanitoe maon,nibapamnjanitoe maon,mamnjanitoemapin,bapajannitoemapin,mamnjanitoe maon,bapajannitoemapin,mamnjanitoemapin,"nitano, babatoea","nidi momajaoe, mamoennja",bapa,"nidi momajaoe, mamoennja","timno, mamoennja","nitano, babatoea","nitano, babatoea",mamoe,"timno, babatoea",mamoe,"nidi momajaoe, mamoennja","timno, mamoennja","timno, babatoea","timno, babatoea","nidi momajaoe, mamoennja","timno, mamoennja","timno, mamoennja","timno, babatoea","nitano, babatoea"
