simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.17273878269789522,1.800552169343966,1.6278133866460707,xe ryvy,0,0,xe ryvy,xe ryke'y,0,0,0,0,0,0,0,0,0,0,0,0,xe ryke,xe ryke,0,0,0,0,0,xe ryvy,0,xe ryke,0,0,0,0,0,0,0,0,xe kypy'y,xe kypy'y,0,0,0,0,0,xe ryvy,0,0,0,xe kypy'y,0,0,0,0,0,0,xe kypy'y,0,0,0,0,0,xe ryke,0,0,0,0,xe ryke'y,0,0,0,0,0,0,0,0,0,0,0,xe ryke'y,0,0,xe ryke'y,0,0,0,0,0,0,0,0,0,0,tuty,jaixe,jaixe,tuvy'i,0,tuvy'i,tuvy'i,0, -u,tuty,xy'y,tuty,0,tuvy'i,0,tuty,xy,jaixe,jaixe,xy'y
1,0.13608914160748364,1.815081815199682,1.6789926735921983,0,0,0,xe kypy'y,xe ryke'y,xe ryke,0,0,0,0,0,xe ryvy,0,0,0,0,0,xe ryke,0,0,0,0,0,0,0,0,0,0,0,xe ryvy,0,0,0,0,0,0,0,0,0,0,0,0,xe ryke'y,0,0,0,0,0,0,0,0,0,xe ryke,xe kypy'y,xe kypy'y,0,0,0,xe ryvy,0,0,0,0,xe ryke'y,0,0,0,0,0,0,0,0,0,xe ryke'y,0,0,0,0,0,0,xe ryvy,0,0,0,0,0,xe kypy'y,0,0,xe ryke,tuvy'i,tuty,tuty,tuvy'i,0,xy'y,tuty,tuvy'i,tuty,0,jaixe, -u,tuvy'i,jaixe,xy'y,0,jaixe,xy,jaixe,0
2,0.32552455206922004,1.8008199884673963,1.4752954363981763,0,0,xe ryke'y,0,0,0,0,xe kypy'y,0,0,0,0,0,0,0,0,xe ryke'y,0,0,0,0,0,0,xe ryke'y,0,0,0,0,xe kypy'y,0,0,0,xe ryke,0,0,0,0,0,0,0,0,0,xe ryke'y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,xe ryke,0,xe ryke,0,0,xe ryvy,0,0,xe ryvy,xe ryvy,0,0,xe kypy'y,0,0,0,0,xe ryvy,0,0,0,0,0,xe ryke,0,0,0,0,0,xe kypy'y,0,0,0,tuvy'i,tuvy'i,0,0,tuty,tuty,0, -u,tuvy'i,jaixe,tuvy'i,xy,tuty,jaixe,xy'y,xy'y,0,jaixe,jaixe,tuty
3,0.24394989989121685,1.8252620727118434,1.5813121728206265,0,xe ryvy,xe ryke,0,xe ryke,0,0,xe ryvy,xe ryke'y,0,0,0,xe kypy'y,0,0,0,0,0,0,0,xe ryvy,0,0,0,0,0,0,0,0,0,0,xe ryvy,0,0,0,0,0,0,0,xe ryke'y,0,0,0,0,xe ryke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,xe ryke,0,0,0,0,0,xe ryke'y,0,0,0,0,0,xe kypy'y,0,0,0,0,0,0,xe kypy'y,0,0,xe kypy'y,0,0,0,0,xe ryke'y,0,0,0,0,xy'y, -u,tuvy'i,tuvy'i,tuvy'i,jaixe,tuty,tuty,jaixe,jaixe,tuty,0,0,tuvy'i,tuty,jaixe,xy,0,xy'y
4,0.14703441028898,1.8123977416811845,1.6653633313922045,0,0,0,xe ryke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,xe kypy'y,xe ryvy,0,0,xe ryke'y,0,0,0,0,xe kypy'y,xe ryke'y,0,0,0,xe ryke,0,0,0,0,0,0,xe ryke,0,0,0,0,xe kypy'y,xe ryke'y,0,0,0,0,xe ryvy,0,0,0,0,0,xe ryvy,0,0,0,0,0,0,0,0,xe kypy'y,0,0,0,0,0,0,0,0,0,0,xe ryke'y,0,0,0,0,xe ryvy,xe ryke,0,0,0,0,jaixe,tuvy'i,tuvy'i,tuty,tuty,jaixe,xy,tuvy'i,xy'y,jaixe, -u,0,0,tuty,tuty,jaixe,xy'y,0,tuvy'i,0
5,0.1555536970117508,1.8389566616981827,1.683402964686432,0,0,xe ryvy,0,xe kypy'y,xe ryvy,0,0,0,0,0,0,0,0,0,0,xe ryke,0,0,0,0,0,0,0,0,0,0,xe kypy'y,0,xe ryvy,0,0,0,xe ryke'y,0,0,0,0,0,0,0,0,0,0,0,0,xe kypy'y,0,0,0,0,0,0,xe ryke,0,0,0,xe ryke'y,0,0,0,0,0,0,0,0,0,xe ryke'y,xe ryke'y,xe kypy'y,0,0,0,0,0,0,xe ryke,xe ryvy,xe ryke,0,0,0,0,0,0,0,0,0,0,0,xy'y,0,tuty,xy,tuvy'i,jaixe,tuty,jaixe,tuvy'i,tuty, -u,jaixe,0,0,0,tuty,tuvy'i,xy'y,tuvy'i,jaixe
6,0.19132956941525792,1.818925256285509,1.627595686870251,0,0,0,0,0,0,0,0,0,0,0,0,xe ryvy,0,0,0,xe ryke'y,0,0,xe ryvy,0,xe ryke,0,0,0,0,0,0,0,xe ryvy,0,0,0,0,xe kypy'y,0,0,0,0,xe kypy'y,0,0,0,0,0,0,0,0,0,xe ryvy,0,0,0,0,xe ryke'y,0,0,0,0,xe kypy'y,0,0,0,0,xe ryke,0,0,0,xe ryke,0,0,0,0,0,0,xe ryke,0,0,0,0,0,0,xe ryke'y,0,0,xe kypy'y,0,0,xe ryke'y,0,jaixe,xy'y,jaixe,tuty, -u,xy'y,tuty,jaixe,tuvy'i,xy,0,0,tuvy'i,tuvy'i,0,tuty,jaixe,0,tuty,tuvy'i
7,0.18815664325996395,1.819834395558379,1.631677752298415,xe ryvy,xe ryvy,0,xe ryke,0,0,xe ryke'y,0,0,0,0,0,xe ryke'y,0,xe ryke,0,0,xe kypy'y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,xe ryke,0,xe ryvy,0,0,0,0,0,0,0,0,0,0,0,xe ryke,0,0,0,xe ryke'y,0,0,0,0,0,0,0,0,0,0,xe kypy'y,0,0,0,0,0,0,xe ryke'y,0,0,xe kypy'y,0,xe ryvy,0,0,0,0,0,xe kypy'y,0,0,0,0,0,0,0,0,0,xy,xy'y,0,tuty,jaixe, -u,0,tuvy'i,tuvy'i,tuvy'i,tuty,0,xy'y,jaixe,jaixe,tuvy'i,tuty,jaixe,tuty
8,0.24108206156034928,1.7967327195350868,1.5556506579747376,0,0,0,0,0,xe ryke'y,0,0,xe ryke,0,0,0,0,0,0,0,0,0,0,0,0,0,xe ryke'y,0,0,0,xe ryvy,0,0,0,0,xe ryvy,0,0,0,0,xe ryke'y,0,0,0,0,0,0,0,xe ryvy,0,0,0,0,xe kypy'y,0,xe ryke,0,0,0,0,0,0,xe kypy'y,0,0,0,xe ryvy,0,0,xe kypy'y,0,0,xe ryke,0,0,xe ryke'y,0,0,0,0,xe ryke,0,0,0,0,0,0,xe kypy'y,0,0,0,0,0,0,tuvy'i,tuty,jaixe,xy'y,tuvy'i, -u,tuty,0,tuty,jaixe,0,0,tuty,tuvy'i,jaixe,xy,jaixe,tuvy'i,xy'y,0
9,0.1460218123177457,1.8005521693439661,1.6545303570262204,0,xe ryke'y,0,0,xe kypy'y,xe ryke'y,0,0,xe ryvy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,xe ryke,xe ryke,0,0,0,0,0,0,0,0,0,0,xe ryke'y,xe ryke'y,0,0,0,0,0,0,0,0,0,0,0,xe kypy'y,0,0,0,xe ryvy,0,xe kypy'y,0,0,0,0,0,xe ryvy,0,xe ryke,0,0,0,0,0,xe ryke,0,0,0,0,0,0,0,0,0,xe ryvy,0,xe kypy'y,0,0,0,0,0,0,0,0,0,tuty,tuvy'i,jaixe,xy'y,tuty,tuvy'i,tuty,0,xy,jaixe,tuty,xy'y,0,jaixe,tuvy'i,0,0, -u,tuvy'i,jaixe
