simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mFeZS,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fFeZS,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.11033889509192929,1.0772026481981085,0.9668637531061792,epalume,epalume,epalume,mume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,manjange,epalume,epalume,epalume,mbuale,epalume,mukāi,epalume,epalume,epalume,mbuale,epalume,epalume,epalume,epalume,epalume,manjange,epalume,epalume,epalume,huvange,epalume,epalume,epalume,mbuale,epalume,epalume,epalume,epalume,epalume,huvange,mume,mume,epalume,epalume,epalume,epalume,epalume,tatekāi,manu,manu,manu,tatekāi,tatekāi,tatekāi,tatekāi,manu,manu,manu,tatekāi,manu,manu,tatekāi,tatekāi,manu,tatekāi,tate,tate,tatekāi,mai,manu,manu,tatekāi,tatekāi,mai,manu
1,0.0425213700467203,0.9028207604925335,0.8602993904458132,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,mbuale,epalume,epalume,epalume,manjange,epalume,epalume,epalume,epalume,huvange,epalume,mbuale,epalume,epalume,epalume,mume,epalume,epalume,epalume,huvange,epalume,epalume,epalume,epalume,manjange,mukāi,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,mume,mbuale,mume,epalume,epalume,epalume,epalume,epalume,manu,mai,manu,tatekāi,manu,tatekāi,mai,tate,manu,manu,manu,tatekāi,manu,tatekāi,manu,tatekāi,manu,tatekāi,tatekāi,tatekāi,manu,manu,tatekāi,tatekāi,tate,tatekāi,tatekāi,manu
2,0.09079536127789356,0.9220845209778978,0.8312891597000043,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,mume,epalume,epalume,epalume,epalume,epalume,epalume,mume,epalume,epalume,epalume,epalume,mume,mukāi,epalume,huvange,mbuale,epalume,huvange,epalume,epalume,epalume,epalume,manjange,manjange,epalume,mbuale,epalume,epalume,epalume,epalume,epalume,mbuale,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,manu,manu,tate,manu,manu,tate,manu,tatekāi,mai,manu,tatekāi,tatekāi,tatekāi,tatekāi,manu,tatekāi,manu,tatekāi,manu,manu,tatekāi,tatekāi,tatekāi,mai,manu,manu,tatekāi,tatekāi
3,0.23377135768493273,1.2447441012196376,1.010972743534705,epalume,epalume,epalume,epalume,mbuale,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,huvange,epalume,epalume,epalume,epalume,epalume,epalume,epalume,manjange,epalume,epalume,epalume,epalume,epalume,mbuale,epalume,epalume,mbuale,mume,epalume,epalume,epalume,epalume,epalume,epalume,huvange,epalume,epalume,manjange,mume,mume,epalume,epalume,epalume,epalume,epalume,epalume,mukāi,manu,mai,tatekāi,tatekāi,tatekāi,tatekāi,manu,manu,manu,tatekāi,manu,tatekāi,manu,manu,manu,tatekāi,tatekāi,tate,mai,manu,tatekāi,tate,tatekāi,tatekāi,manu,manu,manu,tatekāi
4,0.1486831175865413,1.2020348517881039,1.0533517342015626,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,huvange,epalume,epalume,epalume,epalume,epalume,epalume,manjange,mume,manjange,epalume,epalume,epalume,epalume,mume,mbuale,mbuale,mukāi,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,mbuale,epalume,epalume,epalume,epalume,huvange,epalume,mume,epalume,epalume,epalume,epalume,epalume,epalume,mai,tatekāi,tatekāi,tatekāi,mai,manu,tatekāi,tate,manu,manu,manu,manu,manu,manu,tate,tatekāi,tatekāi,manu,tatekāi,tatekāi,manu,manu,manu,manu,tatekāi,tatekāi,tatekāi,tatekāi
5,0.13210179954495715,1.1667251980233817,1.0346233984784245,huvange,mume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,mukāi,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,mume,epalume,manjange,epalume,epalume,epalume,epalume,epalume,epalume,mbuale,epalume,epalume,epalume,epalume,epalume,epalume,mbuale,epalume,mume,manjange,epalume,epalume,huvange,epalume,mbuale,tatekāi,manu,tatekāi,tate,tatekāi,tatekāi,manu,tatekāi,manu,tatekāi,tatekāi,tatekāi,manu,tatekāi,manu,manu,mai,mai,tatekāi,tate,manu,tatekāi,manu,manu,manu,manu,tatekāi,manu
6,0.14767019075458565,0.8778137413827716,0.7301435506281859,epalume,mbuale,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,mbuale,epalume,mbuale,epalume,epalume,epalume,huvange,mume,epalume,epalume,manjange,epalume,epalume,epalume,manjange,epalume,mukāi,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,huvange,epalume,epalume,epalume,mume,epalume,epalume,mume,epalume,epalume,epalume,epalume,epalume,tatekāi,manu,manu,tatekāi,manu,mai,manu,mai,manu,tatekāi,tatekāi,manu,tatekāi,manu,manu,tate,tatekāi,manu,tatekāi,tate,tatekāi,tatekāi,manu,tatekāi,manu,tatekāi,tatekāi,manu
7,0.15833791858902724,1.1195187510161195,0.9611808324270923,manjange,epalume,epalume,epalume,manjange,epalume,epalume,mukāi,epalume,epalume,epalume,epalume,epalume,epalume,mume,epalume,epalume,epalume,huvange,epalume,epalume,epalume,mbuale,epalume,mbuale,epalume,epalume,epalume,mume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,huvange,epalume,epalume,mume,epalume,epalume,epalume,epalume,mbuale,epalume,epalume,tate,manu,manu,tatekāi,manu,tatekāi,tate,tatekāi,tatekāi,mai,tatekāi,manu,tatekāi,manu,tatekāi,manu,manu,tatekāi,tatekāi,manu,manu,manu,mai,manu,tatekāi,manu,tatekāi,tatekāi
8,0.20563657713188044,0.9957615767763404,0.7901249996444599,epalume,epalume,epalume,manjange,mume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,mume,epalume,epalume,epalume,epalume,mume,epalume,mbuale,epalume,huvange,epalume,epalume,mbuale,epalume,manjange,epalume,mukāi,epalume,epalume,epalume,huvange,epalume,mbuale,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,tatekāi,tatekāi,tatekāi,tatekāi,manu,mai,tate,manu,mai,manu,tatekāi,manu,tatekāi,manu,tatekāi,manu,manu,tatekāi,manu,tatekāi,manu,tatekāi,tatekāi,tate,manu,tatekāi,manu,manu
9,0.1488367010709588,1.165039767449919,1.0162030663789603,epalume,epalume,manjange,epalume,epalume,manjange,epalume,epalume,epalume,mukāi,epalume,epalume,epalume,mbuale,mume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,epalume,mbuale,epalume,epalume,epalume,epalume,epalume,epalume,epalume,mume,epalume,epalume,mbuale,huvange,epalume,epalume,epalume,epalume,epalume,huvange,epalume,epalume,epalume,epalume,epalume,epalume,mume,tatekāi,tatekāi,manu,manu,mai,tatekāi,tatekāi,tatekāi,tatekāi,tate,mai,manu,manu,manu,manu,tatekāi,tatekāi,tatekāi,manu,manu,manu,manu,tatekāi,tate,tatekāi,manu,manu,tatekāi
