simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM
0,0.03509574884825917,0.6917614988524178,0.6566657500041586,-čehi,-parape,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,ati,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,ati,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,natimuri,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,natimuri,-čehi,-čehi,-čehi,-čehi,-čehi,meme,iyare,meme,iyare
1,0.03509574884825917,0.6917614988524178,0.6566657500041586,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,ati,natimuri,-čehi,natimuri,ati,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,iyare,meme,iyare,meme
2,0.00755637286065125,0.6917614988524178,0.6842051259917665,-čehi,-parape,ati,natimuri,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,natimuri,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,ati,-čehi,-čehi,-čehi,-parape,-parape,meme,iyare,meme,iyare
3,0.00037000611836235375,0.6917614988524178,0.6913914927340554,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,ati,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,natimuri,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,ati,-čehi,-čehi,-parape,natimuri,meme,iyare,meme,iyare
4,0.00037000611836235375,0.6917614988524178,0.6913914927340554,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,ati,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,ati,-čehi,natimuri,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-parape,-parape,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,natimuri,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,iyare,meme,iyare,meme
5,0.0033787653980514865,0.6806294878916634,0.677250722493612,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-parape,natimuri,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,ati,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,ati,-čehi,-čehi,-čehi,-čehi,-čehi,natimuri,-čehi,-čehi,meme,meme,iyare,iyare
6,0.09972306511243878,0.6806294878916634,0.5809064227792247,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,natimuri,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,natimuri,ati,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,ati,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,meme,meme,iyare,iyare
7,0.00016319987289670213,0.6917614988524178,0.6915982989795211,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,natimuri,-čehi,-čehi,-čehi,-parape,-čehi,ati,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,ati,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,natimuri,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,iyare,meme,meme,iyare
8,0.03509574884825917,0.6917614988524178,0.6566657500041586,-čehi,ati,-čehi,-čehi,-čehi,-parape,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,ati,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,natimuri,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,natimuri,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,meme,iyare,iyare,meme
9,0.14930448762119786,0.6806294878916634,0.5313250002704656,-čehi,-čehi,-čehi,-parape,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,ati,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,natimuri,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,ati,-čehi,-čehi,-čehi,-čehi,-čehi,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,natimuri,-čehi,-čehi,iyare,iyare,meme,meme
