simulation_number,mutual_information,entropy,conditional_entropy,mB,myB,fB,fyB,mZ,meB,meZ,mFZD,mMBD,mMBS,mMZS,myZ,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,fZ,feB,feZ,fFZS,fMBS,fMZS,fyZ,fFeZS,fFyZS,fMeBS,fMyBS,fMeZS,fMyZS,fFZeS,fFZyS,fMBeS,fMByS,fMZyS,mF,mM,mFZ,mMB,mFyB,mMyZ,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fFyB,fMyZ,fFeZ,fFyZ,fMeB,fMyB
0,0.3053143435930574,1.6314473659559128,1.3261330223628554,muganda,mwanyina omukulu,kojja,muganda,muganda omukulu,kojja,kizibwe,kojja,kizibwe,muganda,kizibwe,kojja,kojja,mwanyina omukulu,kizibwe,kojja,kizibwe,mwanyina,kizibwe,kizibwe,kizibwe,kojja,mwanyina,muganda,kojja,kojja,kizibwe,mwanyina,kojja,kizibwe,kizibwe,kizibwe,kizibwe,kizibwe,kizibwe,muganda omukulu,mwanyina,kojja,kizibwe,kizibwe,kizibwe,kizibwe,kojja,kizibwe,kojja,kojja,kitange omuto,kojja,mmange omuto,kojja,senga,senga,kitange,kojja,senga,mmange,mmange omuto,senga,mmange,kojja,senga,senga,kojja,kitange omuto,kojja,kitange
1,0.34016523563903855,1.7219971287863192,1.3818318931472806,kizibwe,muganda,kojja,kojja,kizibwe,kizibwe,kojja,muganda omukulu,kizibwe,kizibwe,mwanyina omukulu,kizibwe,kojja,kojja,kojja,kojja,kizibwe,mwanyina omukulu,mwanyina,kizibwe,kizibwe,muganda omukulu,kizibwe,kojja,kizibwe,kojja,mwanyina,kizibwe,mwanyina,kojja,kojja,kojja,kojja,mwanyina,kizibwe,kizibwe,kizibwe,kizibwe,kizibwe,kizibwe,kojja,kizibwe,muganda,muganda,kizibwe,muganda,kojja,kitange,kitange omuto,mmange omuto,kojja,senga,kitange omuto,kojja,senga,senga,kojja,mmange,mmange omuto,kojja,kojja,senga,senga,senga,mmange,kitange
2,0.23754713708012276,1.5293504464581533,1.2918033093780306,kojja,kojja,mwanyina omukulu,kizibwe,kojja,kojja,mwanyina omukulu,kojja,kizibwe,kojja,kizibwe,muganda,kizibwe,muganda,mwanyina,kizibwe,muganda omukulu,kizibwe,kizibwe,kizibwe,muganda,kizibwe,kizibwe,kizibwe,kizibwe,mwanyina,kizibwe,kojja,mwanyina,muganda,kojja,kojja,kojja,kojja,mwanyina,muganda omukulu,kizibwe,kojja,kizibwe,kizibwe,kizibwe,kojja,kojja,kizibwe,kizibwe,kizibwe,mmange omuto,kojja,mmange,kojja,kitange,kojja,mmange omuto,kojja,kitange omuto,mmange,senga,senga,kojja,senga,kitange omuto,senga,senga,kojja,kitange,senga
3,0.30426714495969187,1.6203844526301716,1.3161173076704797,kojja,kizibwe,kizibwe,kizibwe,kojja,kojja,mwanyina,kizibwe,kizibwe,mwanyina,mwanyina,kojja,kojja,muganda,kizibwe,muganda omukulu,kojja,kizibwe,kizibwe,kizibwe,muganda,kojja,kizibwe,kojja,kojja,kizibwe,kojja,mwanyina omukulu,kizibwe,kizibwe,muganda,kizibwe,kojja,mwanyina omukulu,kizibwe,kojja,muganda,kojja,kizibwe,kizibwe,muganda omukulu,kizibwe,kizibwe,mwanyina,kizibwe,kojja,senga,kitange,mmange omuto,senga,kojja,senga,senga,kojja,kitange omuto,kitange,mmange omuto,kojja,kojja,kojja,kojja,senga,senga,kitange omuto,mmange,mmange
4,0.36807116189985334,1.6147237981236195,1.2466526362237662,kojja,mwanyina,kojja,mwanyina,kizibwe,kizibwe,muganda,mwanyina omukulu,muganda omukulu,muganda,mwanyina,muganda,kojja,kizibwe,kizibwe,kojja,kizibwe,kizibwe,kizibwe,kizibwe,muganda omukulu,kojja,kojja,kizibwe,kizibwe,kojja,kojja,kizibwe,kizibwe,kizibwe,kojja,kojja,kizibwe,kizibwe,kizibwe,kizibwe,muganda,mwanyina,mwanyina omukulu,kizibwe,kizibwe,kizibwe,kojja,kojja,kojja,kojja,kitange omuto,kojja,senga,senga,senga,kojja,senga,kitange,kitange,mmange,kojja,kojja,mmange omuto,kitange omuto,senga,senga,mmange omuto,kojja,kojja,mmange
5,0.2425381499509247,1.6246722378709695,1.3821340879200448,muganda omukulu,kizibwe,kizibwe,kojja,kizibwe,kojja,kizibwe,kojja,muganda,kojja,mwanyina omukulu,kizibwe,kizibwe,kizibwe,mwanyina,kizibwe,muganda,kizibwe,kizibwe,kojja,kizibwe,mwanyina,mwanyina,kizibwe,mwanyina,kizibwe,kojja,kojja,kizibwe,kojja,kizibwe,muganda,kojja,muganda omukulu,kojja,kojja,kizibwe,kizibwe,kojja,kizibwe,kizibwe,muganda,kojja,mwanyina omukulu,kizibwe,kojja,kitange,senga,senga,mmange,senga,senga,kojja,senga,mmange,kojja,kitange omuto,kojja,kojja,senga,kitange,mmange omuto,kitange omuto,kojja,kojja,mmange omuto
6,0.3544364816401149,1.549488324677651,1.195051843037536,kizibwe,mwanyina,kizibwe,kizibwe,kojja,kojja,kizibwe,kojja,kizibwe,kojja,muganda,kojja,kizibwe,kizibwe,kojja,kizibwe,kojja,kizibwe,mwanyina,muganda,kojja,mwanyina omukulu,mwanyina,kizibwe,kojja,mwanyina,kojja,kizibwe,kizibwe,kizibwe,kizibwe,kizibwe,kizibwe,mwanyina omukulu,kojja,kojja,muganda,kojja,muganda omukulu,kojja,kizibwe,muganda,kizibwe,kizibwe,kizibwe,muganda omukulu,mmange,senga,kitange omuto,senga,kitange,kojja,mmange omuto,senga,mmange,kitange,kojja,senga,kitange omuto,kojja,mmange omuto,kojja,kojja,senga,senga,kojja
7,0.45651694311259994,1.7077519278205966,1.2512349847079967,mwanyina omukulu,kizibwe,kizibwe,muganda,kojja,kizibwe,kizibwe,kojja,muganda omukulu,kizibwe,mwanyina,kojja,kojja,kojja,muganda,kojja,kizibwe,kojja,mwanyina,muganda omukulu,kizibwe,kizibwe,kizibwe,mwanyina,mwanyina omukulu,kizibwe,mwanyina,kizibwe,kojja,muganda,kizibwe,kizibwe,kojja,kojja,kojja,kizibwe,kizibwe,kojja,kizibwe,kojja,kizibwe,kizibwe,kojja,muganda,kizibwe,kizibwe,mmange,senga,senga,mmange omuto,kojja,kojja,senga,kojja,kitange omuto,kitange omuto,kitange,mmange,kojja,senga,senga,senga,mmange omuto,kitange,kojja,kojja
8,0.327626154481383,1.6660479918256157,1.3384218373442327,kizibwe,muganda,mwanyina,muganda,kizibwe,kizibwe,mwanyina,muganda omukulu,kizibwe,kizibwe,kizibwe,muganda,kizibwe,muganda,kojja,mwanyina omukulu,kizibwe,kojja,kojja,mwanyina,kizibwe,kizibwe,kizibwe,kizibwe,kojja,kizibwe,kojja,kizibwe,mwanyina omukulu,kojja,kojja,kizibwe,kizibwe,kojja,kojja,kojja,kizibwe,muganda omukulu,kojja,kizibwe,kojja,kizibwe,mwanyina,kizibwe,kojja,kojja,kojja,mmange,kitange,kojja,mmange omuto,senga,senga,mmange omuto,mmange,senga,kitange,kitange omuto,kojja,kitange omuto,kojja,kojja,senga,kojja,senga,senga
9,0.22295137109627805,1.4286654891084811,1.205714118012203,kojja,kojja,muganda omukulu,kojja,mwanyina omukulu,mwanyina omukulu,mwanyina,muganda,kizibwe,kizibwe,kojja,kizibwe,kizibwe,kojja,kizibwe,kizibwe,kizibwe,kojja,kojja,muganda,kojja,kizibwe,kizibwe,kizibwe,kizibwe,mwanyina,kizibwe,mwanyina,kizibwe,kizibwe,muganda,kizibwe,muganda,kizibwe,kizibwe,kojja,kojja,kojja,kojja,kojja,kizibwe,kizibwe,kizibwe,mwanyina,muganda omukulu,kojja,senga,kojja,kitange omuto,kojja,kitange omuto,mmange omuto,kitange,kojja,mmange,senga,senga,kojja,senga,senga,kojja,kojja,mmange,mmange omuto,kitange,senga
