simulation_number,mutual_information,entropy,conditional_entropy,meB,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,feB,fFZD,fFBD,fMBD,fMZD,fFeBD,fFeZD,fFyZD,fMeBD,fMyBD,fMeZD,fMyZD,fFBeD,fFByD,fFZeD,fFZyD,fMBeD,fMByD,fMZeD,fMZyD,myB,meZ,fyB,feZ,myZ,fyZ,mFB,mFZ,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,fFB,fFZ,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,mF,mM,mMB,fF,fM,fMB,mMeB,mMyB,fMeB,fMyB
0,0.20586607985680394,1.5146513598900229,1.308785280033219,pabi'i,haic,tii,nami',haic,paci,haic,tii,paci,nami',paci,haic,tii,paci',paci,haic,tii,tii,paci,haic,paci,tii,haic,tii,tami',paci,pabi'i,tii,haic,tii,paci,tii,tii,tii,samupi,paci,tii,paci,paci,haic,haic,paci,paci,tii,tami',tii,paci,haic,paci,haic,tii,paci,tii,paci,haic,paci,tii,haic,paci,haic,paci',haic,haic,paci,haic,tii,haic,haic,pia,ara',api,api,pia,pia,ara',paha,api,pia,api,pia,ara',api,paha,ara',pia,paha,pia,ara',paha,paha,ara',ahpï,pia,ahpï,api,paha
1,0.21761870229382319,1.5397729732449363,1.3221542709511132,paci,tii,tii,haic,paci,tii,paci,paci,haic,paci,haic,paci,haic,tii,haic,haic,haic,tii,haic,tii,pabi'i,haic,paci,tii,tii,pabi'i,tii,haic,paci,haic,paci,samupi,paci,paci,haic,paci,haic,nami',haic,tii,paci,tii,tii,tii,tii,paci,tami',tii,haic,paci,haic,tii,tii,haic,paci,paci,paci,haic,tami',tii,tii,paci,paci',haic,nami',paci',haic,paci,pia,ahpï,api,ara',api,paha,pia,ara',paha,paha,pia,pia,paha,ara',api,ara',pia,api,ara',ara',paha,pia,api,pia,pia,paha,api,ahpï
2,0.2981352974368765,1.5459839991966788,1.2478487017598023,paci,paci',haic,tii,haic,tii,paci,paci,haic,paci,tii,haic,paci,tii,tami',paci,tii,tii,tii,paci',haic,tii,paci,pabi'i,paci,paci,haic,paci,haic,pabi'i,tii,haic,paci,tii,haic,paci,tii,paci,tami',tii,haic,paci,haic,tii,haic,tii,paci,paci,haic,haic,paci,tii,paci,haic,tii,tii,nami',haic,haic,paci,tii,tii,samupi,nami',haic,haic,haic,paci,paha,ara',api,api,pia,paha,pia,pia,paha,ara',ara',pia,pia,pia,api,api,pia,ahpï,ahpï,api,ara',api,paha,paha,paha,pia,ara',ara'
3,0.3543573383935956,1.5625374641335708,1.2081801257399751,paci,haic,paci',haic,haic,paci,paci,tii,tii,tii,haic,haic,paci,haic,paci',haic,nami',nami',tii,paci,paci,haic,tami',tii,pabi'i,tii,paci,haic,pabi'i,haic,tii,haic,paci,paci,tii,tii,paci,haic,samupi,haic,tii,paci,tii,haic,paci,haic,haic,haic,haic,tami',paci,tii,tii,paci,paci,paci,paci,haic,tii,paci,paci,tii,paci,tii,tii,tii,haic,tii,ara',ahpï,paha,api,ara',paha,ara',api,ahpï,pia,ara',ara',pia,paha,pia,api,paha,pia,api,paha,pia,api,pia,pia,paha,api,ara',pia
4,0.1856576243907535,1.5061381237677454,1.3204804993769919,paci,haic,haic,paci,haic,tii,tii,paci,paci,haic,haic,haic,tii,haic,haic,paci,paci,tii,paci,paci,tami',haic,paci,paci,tii,paci',nami',tii,haic,paci,haic,paci,paci,tii,paci,haic,haic,haic,haic,tii,tii,paci,tii,paci,paci,samupi,haic,haic,tii,pabi'i,tii,tii,paci',tii,tami',haic,haic,tii,paci,tii,paci,haic,nami',tii,paci,tii,tii,pabi'i,pia,ara',ara',paha,paha,pia,pia,paha,ara',pia,paha,pia,ara',ara',ahpï,api,api,pia,api,pia,api,paha,ara',api,ahpï,pia,paha,api
5,0.2304118416223213,1.5581410595363467,1.3277292179140254,paci,tii,paci,tii,tami',tii,paci,tii,tii,haic,haic,paci,nami',haic,paci,tii,tii,haic,haic,haic,tii,paci,paci,tii,paci,tii,paci,paci,paci,tii,paci,tii,paci,paci,haic,tii,haic,paci,haic,paci,haic,haic,pabi'i,haic,tii,paci,haic,pabi'i,paci',haic,haic,tii,tami',tii,paci,paci,haic,haic,samupi,haic,tii,tii,nami',tii,paci,haic,paci',haic,api,ara',paha,api,pia,pia,ara',ara',ara',pia,paha,api,paha,pia,ahpï,paha,paha,api,pia,paha,ahpï,api,ara',pia,pia,api,ara',pia
6,0.2570503246163345,1.5645522206900981,1.3075018960737637,haic,tii,haic,tii,tii,pabi'i,paci,paci,haic,paci,tii,paci,tii,paci,paci,paci,tii,haic,haic,tami',haic,paci',paci,haic,samupi,paci,haic,haic,tii,nami',haic,tii,haic,tii,tii,tii,tii,paci',haic,tii,paci,paci,paci,tii,tii,paci,nami',haic,paci,tii,haic,tii,tii,haic,paci,paci,haic,paci,haic,haic,haic,paci,tii,paci,pabi'i,tami',paci,haic,ahpï,ara',api,ara',paha,api,paha,api,api,paha,paha,api,pia,ara',ara',pia,paha,paha,ara',ahpï,pia,pia,pia,pia,pia,pia,api,ara'
7,0.22280315777268234,1.490901872375551,1.2680987146028686,haic,paci,paci,tii,haic,tii,haic,haic,paci,haic,tii,paci,paci,samupi,paci,tii,haic,haic,paci,paci,haic,tii,paci,paci,paci,paci',tami',haic,tii,paci,tii,haic,paci,paci,haic,tii,nami',paci,nami',tii,paci,pabi'i,tii,tii,paci,paci,haic,tii,haic,tii,tii,tii,paci',haic,tii,haic,haic,tii,haic,tii,pabi'i,paci,tami',haic,paci,tii,haic,haic,api,pia,api,api,ara',ara',api,ara',paha,pia,pia,ara',api,pia,pia,ahpï,ahpï,paha,pia,pia,paha,paha,paha,ara',api,pia,ara',paha
8,0.2031924809808192,1.544461359562955,1.3412688785821358,paci,paci,tii,pabi'i,haic,tii,haic,paci,paci,tii,paci,haic,haic,haic,tii,paci,tii,tii,paci,haic,tii,haic,tii,haic,haic,paci,haic,haic,paci,haic,tii,tii,samupi,paci,tii,paci,tami',paci,nami',tii,paci,pabi'i,haic,nami',paci,haic,haic,tii,tii,haic,haic,tami',tii,paci',haic,haic,tii,tii,tii,paci,paci,paci',tii,haic,paci,paci,paci,paci,ara',paha,pia,pia,pia,paha,api,ara',api,paha,paha,pia,paha,ara',pia,pia,paha,ara',ara',api,api,ahpï,api,api,ara',ahpï,pia,pia
9,0.22208609206749297,1.561014824499847,1.338928732432354,paci,tii,tii,tii,tii,pabi'i,haic,paci,tii,haic,haic,tii,paci,haic,paci',paci,tii,paci,tii,haic,paci,haic,tii,paci',tii,nami',paci,tii,haic,tii,paci,tii,tii,paci,haic,tii,haic,haic,haic,tii,paci,paci,haic,tii,tami',haic,samupi,tii,haic,paci,paci,paci,paci,haic,paci,nami',haic,paci,haic,tami',paci,pabi'i,tii,paci,paci,haic,haic,haic,api,ahpï,api,pia,ara',pia,paha,ara',paha,pia,paha,pia,pia,api,api,pia,paha,paha,ara',ara',ara',paha,pia,ahpï,api,pia,ara',api
