simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,mFZD,mFBD,mMBD,mFBS,mFZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBD,mMyBD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeD,mMByD,fB,fZ,feZ,fyZ,fFZD,fFBD,fMBD,fFBS,fFZS,fMBS,fFeBD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mFeBD,mFyBD,fFeBS,fFyBS,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fMeZ,fMyZ,fFeZ,fFyZ,fMeB,fMyB
0,0.7619344762645412,1.854602559157675,1.0926680828931337,feto selek,feto dadik,tolanok,feto selek,tolano dadik,na selek,tolanok,feto selek,feto selek,na daek,tolano dadik,tolanok,tolano dadik,na dadik,fadik,tolano dadik,tolano dadik,tolano dadik,tolanok,feto dadik,fadik,tolano dadik,na dadik,na dadik,tolano selek,na selek,feto selek,na daek,na selek,kaäk,kaäk,fadik,feto dadik,tolanok,na daek,tolano selek,tolanok,na daek,tolano dadik,tolano selek,kaäk,feto dadik,feto dadik,feto daek,na selek,tolanok,tolano dadik,feto daek,feto daek,tolano selek,tolanok,tolano dadik,na daek,kaäk,na dadik,na selek,na dadik,tolano selek,tolanok,feto daek,feto daek,toök,toök,teök,toök,ina fadik,amak,amak,teök,ina,ina,amak,ama fadik,ama kaäk,teök,ama kaäk,teök,teök,ama fadik,ina,toök,teök,ina fadik,ina kaäk,ina,ina kaäk,toök,toök,amak
1,0.7858834667295258,2.004705443774272,1.2188219770447462,feto selek,feto daek,tolanok,tolano dadik,tolano dadik,tolano selek,tolanok,na daek,fadik,tolanok,kaäk,tolano selek,na selek,tolano dadik,na dadik,tolano dadik,feto dadik,tolano selek,feto daek,tolano dadik,tolano selek,na dadik,tolanok,tolano dadik,feto selek,feto daek,feto daek,na dadik,na selek,feto selek,na selek,tolano dadik,feto dadik,kaäk,fadik,tolano selek,na daek,feto selek,tolanok,feto dadik,kaäk,na selek,feto dadik,na dadik,fadik,na selek,na daek,na dadik,tolanok,feto dadik,tolano dadik,na daek,tolanok,tolano dadik,na daek,feto selek,kaäk,tolano dadik,tolanok,tolanok,feto daek,toök,toök,teök,teök,ama kaäk,amak,ina,ama fadik,teök,toök,ina kaäk,teök,teök,amak,ina kaäk,ina,ina fadik,toök,amak,teök,ama kaäk,ina,toök,toök,ina,ina fadik,amak,ama fadik
2,0.6508755511304838,1.8761505496434472,1.2252749985129634,na daek,tolanok,tolano dadik,tolano dadik,tolano selek,feto dadik,feto daek,tolano dadik,tolanok,na selek,feto selek,tolano selek,feto selek,na daek,tolano dadik,feto dadik,tolanok,na daek,feto daek,tolano selek,na dadik,na selek,na dadik,feto dadik,feto dadik,kaäk,tolanok,tolanok,tolano dadik,feto selek,kaäk,fadik,feto daek,feto selek,feto dadik,tolano dadik,tolano selek,na dadik,tolano dadik,tolano dadik,na selek,tolano selek,na daek,kaäk,tolanok,tolanok,tolanok,feto selek,feto daek,na daek,na dadik,fadik,tolano dadik,feto daek,tolano dadik,na selek,tolanok,kaäk,na dadik,fadik,na selek,teök,ina,ina,toök,toök,teök,ina fadik,ina,teök,ina kaäk,toök,toök,ama fadik,teök,teök,amak,amak,ama kaäk,teök,ama fadik,toök,amak,ina,ama kaäk,amak,ina kaäk,ina fadik,toök
3,0.6323928929544493,1.8390806067513386,1.2066877137968892,feto daek,tolanok,tolanok,na selek,tolanok,na dadik,tolano dadik,tolano selek,na selek,feto daek,na daek,na daek,tolano dadik,tolanok,na selek,feto daek,na selek,tolano dadik,feto dadik,tolano selek,tolanok,feto selek,tolano selek,tolanok,fadik,tolano dadik,kaäk,kaäk,feto daek,feto selek,na dadik,feto dadik,na selek,feto dadik,na daek,tolano dadik,na daek,tolano selek,na dadik,feto selek,na dadik,tolano dadik,tolano dadik,tolanok,tolanok,kaäk,feto selek,fadik,tolano selek,tolano dadik,na dadik,tolano dadik,feto dadik,feto dadik,kaäk,fadik,feto selek,feto daek,na daek,tolano dadik,tolanok,teök,toök,toök,teök,ina kaäk,amak,teök,toök,amak,teök,amak,ama kaäk,ina fadik,teök,ina kaäk,ama fadik,toök,teök,ama kaäk,amak,ina fadik,toök,ina,ina,ama fadik,ina,ina,toök
4,0.5970771834314004,1.9260274006446714,1.328950217213271,na selek,tolano dadik,feto selek,feto daek,tolano dadik,na selek,feto daek,tolanok,tolano selek,feto selek,tolanok,feto selek,tolano selek,tolano dadik,tolano dadik,feto daek,tolano dadik,na selek,tolano dadik,feto selek,tolano dadik,na daek,na selek,feto selek,na dadik,tolano selek,na daek,na dadik,feto dadik,tolano dadik,na selek,feto dadik,tolano dadik,fadik,tolanok,na daek,tolanok,kaäk,tolanok,tolanok,na dadik,feto dadik,fadik,kaäk,tolanok,tolano selek,tolano selek,feto daek,feto dadik,na dadik,kaäk,na dadik,tolano dadik,feto daek,tolanok,na daek,fadik,tolanok,feto dadik,na daek,kaäk,toök,ina,toök,ama fadik,teök,teök,ina fadik,toök,amak,ina,toök,ina kaäk,ama kaäk,teök,amak,ina,toök,amak,ama kaäk,teök,toök,teök,ina,ama fadik,amak,ina fadik,teök,ina kaäk
5,0.7169995300818073,1.8984109957843764,1.1814114657025692,tolanok,tolanok,na dadik,tolano selek,na dadik,tolano dadik,feto dadik,feto dadik,tolano dadik,kaäk,kaäk,na selek,na selek,tolanok,feto selek,tolanok,na daek,fadik,tolano dadik,na daek,feto daek,tolano selek,na daek,na dadik,kaäk,feto daek,tolanok,tolano selek,tolanok,feto selek,feto dadik,feto daek,tolano dadik,tolano dadik,na daek,fadik,tolanok,tolano dadik,feto daek,feto daek,na daek,kaäk,feto selek,na selek,fadik,feto selek,tolano dadik,feto dadik,feto dadik,na selek,tolanok,tolano selek,tolanok,tolano dadik,tolano dadik,tolano selek,na dadik,na selek,na dadik,tolano dadik,feto selek,toök,ina,ina kaäk,ina fadik,toök,amak,toök,toök,ama fadik,teök,ina,teök,teök,amak,ama kaäk,teök,toök,ina fadik,ina,amak,ina kaäk,toök,ina,amak,teök,teök,ama fadik,ama kaäk
6,0.6859815824163216,1.9710256217505882,1.2850440393342666,na daek,na dadik,tolanok,na selek,tolanok,tolanok,na daek,na dadik,tolano dadik,tolano selek,feto daek,tolano dadik,na selek,na dadik,feto daek,kaäk,na selek,feto selek,na daek,tolanok,tolanok,kaäk,feto daek,feto selek,tolano dadik,na daek,feto dadik,tolano dadik,tolano selek,feto dadik,tolanok,tolanok,tolanok,tolano dadik,tolano dadik,feto selek,feto dadik,feto daek,kaäk,tolanok,tolano dadik,tolano selek,fadik,na selek,tolano selek,feto daek,feto dadik,na daek,na selek,kaäk,tolano dadik,feto dadik,na dadik,fadik,fadik,tolano dadik,tolano dadik,feto selek,tolano selek,na dadik,feto selek,teök,toök,ina,amak,ama fadik,toök,amak,ina kaäk,ina,ina fadik,toök,amak,ama fadik,ina,teök,toök,ina fadik,ama kaäk,ina,ama kaäk,toök,ina kaäk,toök,teök,teök,amak,teök,teök
7,0.7728775222537734,1.9188441863415697,1.1459666640877963,tolanok,tolano selek,tolanok,tolano dadik,tolano dadik,tolano selek,feto daek,na daek,na dadik,feto dadik,feto dadik,fadik,na daek,kaäk,tolanok,tolano dadik,na selek,na selek,na dadik,feto selek,na dadik,na daek,tolano dadik,kaäk,feto selek,fadik,feto selek,kaäk,tolanok,na selek,tolano selek,kaäk,feto selek,na selek,tolanok,na daek,tolano dadik,feto dadik,tolano selek,na selek,feto daek,tolanok,tolanok,tolano selek,tolano dadik,tolano dadik,tolano dadik,tolano dadik,na daek,na dadik,feto daek,tolanok,fadik,feto selek,feto dadik,tolano dadik,feto dadik,feto daek,na dadik,feto daek,tolanok,toök,teök,amak,ina,teök,amak,ama kaäk,ina fadik,teök,teök,teök,ina kaäk,ama fadik,amak,toök,toök,ina kaäk,toök,ina,ina,toök,ina,ina fadik,ama kaäk,teök,ama fadik,toök,amak
8,0.6380026535995396,1.8868143127017731,1.2488116591022336,tolanok,feto dadik,feto daek,tolano dadik,feto selek,na daek,tolano selek,tolanok,na daek,feto selek,feto selek,tolano dadik,na selek,kaäk,tolanok,na daek,feto selek,tolano selek,tolano dadik,tolano dadik,feto dadik,feto dadik,na selek,tolano dadik,na selek,na dadik,fadik,tolano dadik,tolanok,fadik,tolano selek,na selek,tolano selek,tolano dadik,na daek,feto daek,tolano dadik,na dadik,feto daek,tolano selek,fadik,kaäk,kaäk,na daek,tolano dadik,tolanok,tolanok,feto selek,feto daek,tolanok,tolanok,na selek,tolanok,na dadik,kaäk,feto daek,feto dadik,na dadik,feto dadik,na dadik,tolano dadik,toök,amak,amak,ina kaäk,ina,ama kaäk,amak,ina fadik,toök,toök,teök,ina kaäk,amak,ama fadik,ina,ama fadik,toök,toök,teök,ina,ina fadik,ama kaäk,toök,teök,ina,teök,teök,teök
9,0.6497630575494444,1.7624921867536758,1.1127291292042314,feto daek,tolano dadik,kaäk,feto dadik,na selek,tolanok,tolano selek,tolanok,na daek,na daek,feto daek,tolanok,feto selek,kaäk,fadik,tolano dadik,tolano selek,tolanok,na selek,feto daek,na dadik,tolano dadik,tolano selek,tolano selek,tolano dadik,na daek,na dadik,feto daek,feto selek,feto dadik,na daek,tolano dadik,tolano dadik,tolano dadik,fadik,kaäk,feto selek,na selek,tolano dadik,tolano selek,fadik,feto dadik,kaäk,tolano dadik,na dadik,tolanok,feto daek,tolano dadik,feto dadik,na dadik,tolanok,na daek,tolanok,na selek,na dadik,feto selek,tolanok,feto selek,tolanok,na selek,feto dadik,amak,ama kaäk,amak,amak,teök,ina fadik,ina,ama kaäk,ama fadik,ina fadik,ina kaäk,teök,toök,ina kaäk,toök,toök,teök,ama fadik,teök,ina,ina,toök,ina,toök,teök,amak,toök,teök
