simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFBeS,mFZeS,mFBeD,mFZeD,mMBeS,mMZeS,mMBeD,mMZeD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFByS,mFZyS,mFByD,mFZyD,mMByS,mMZyS,mMByD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFBeS,fFZeS,fFBeD,fFZeD,fMBeS,fMBeD,fMZeD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFByS,fFZyS,fFByD,fFZyD,fMByS,fMZyS,fMByD,fMZyD,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.2982851055610565,1.381605500604659,1.0833203950436026,ééʃí,éŋéʃínássí,áɲɲínúʃí,áɲɲínúʃí,édí,ánɟínássí,áɲɲínássí,ánɟínássí,éŋéʃínássí,tízzínúʃí,édí,ánɟínúʃí,tízzínúʃí,tízzínássí,édí,édí,ánɟínúʃí,áɲɲínúʃí,tízzínúʃí,áɲɲínássí,áɲɲínássí,úmbèskà,ánɟínássí,ééʃí,ánɟínássí,édí,éŋéʃínássí,édí,áɲɲínássí,éŋéʃínúʃí,tízzínúʃí,ánɟínúʃí,éŋéʃínúʃí,áɲɲínúʃí,édí,tízzínúʃí,ánɟínúʃí,áɲɲínúʃí,ánɟínássí,éŋéʃínássí,áɲɲínúʃí,úmbèskà,édí,úmbèskà,tízzínúʃí,édí,ánɟínúʃí,éŋéʃínássí,ánɟínássí,tízzínúʃí,ánɟínássí,éŋéʃínúʃí,édí,édí,tízzínássí,ánɟínúʃí,éŋéʃínássí,tízzínúʃí,édí,édí,tízzínássí,éŋéʃínúʃí,édí,édí,éŋéʃínúʃí,tízzínássí,éŋéʃínúʃí,tízzínássí,tízzínássí,áɲɲínássí,éŋéʃínássí,ánɟínúʃí,áɲɲínúʃí,édí,édí,páánúʃí,áɲɲínássí,páánúʃí,úmbèskà,édí,éŋéʃínássí,édí,tízzínássí,áɲɲínássí,tízzínássí,áɲɲínássí,éŋéʃínúʃí,éŋéʃínúʃí,áɲɲínúʃí,ánɟínúʃí,éŋéʃí,éŋéʃí,éŋéʃí,áɲɲí,tízzí,tízzí,tízzí,tízzí,áɲɲí,ánɟí,éŋéʃí,ánɟí,ánɟí,áɲɲí,tízzí,tízzí,ánɟí,áɲɲí,áɲɲí,ánɟí,éŋéʃí,ánɟí,éŋéʃí,áɲɲí
1,0.2277324519751185,1.3856053167494182,1.1578728647742997,édí,áɲɲínúʃí,éŋéʃínássí,tízzínássí,áɲɲínássí,éŋéʃínúʃí,édí,áɲɲínúʃí,tízzínúʃí,ánɟínúʃí,tízzínúʃí,ánɟínúʃí,édí,áɲɲínássí,édí,ánɟínúʃí,tízzínássí,áɲɲínúʃí,édí,ánɟínássí,tízzínássí,áɲɲínúʃí,tízzínássí,áɲɲínássí,édí,úmbèskà,áɲɲínúʃí,édí,édí,éŋéʃínúʃí,tízzínássí,tízzínúʃí,tízzínúʃí,áɲɲínássí,ánɟínúʃí,éŋéʃínúʃí,ééʃí,tízzínúʃí,ánɟínássí,tízzínássí,áɲɲínássí,áɲɲínássí,úmbèskà,éŋéʃínássí,áɲɲínúʃí,édí,páánúʃí,éŋéʃínássí,édí,édí,ééʃí,áɲɲínúʃí,áɲɲínúʃí,éŋéʃínúʃí,édí,ánɟínássí,éŋéʃínássí,tízzínúʃí,éŋéʃínássí,édí,éŋéʃínúʃí,ánɟínássí,édí,édí,ánɟínúʃí,ánɟínúʃí,úmbèskà,édí,ánɟínássí,tízzínúʃí,ánɟínúʃí,ánɟínúʃí,éŋéʃínássí,páánúʃí,tízzínúʃí,áɲɲínássí,tízzínássí,éŋéʃínássí,édí,éŋéʃínássí,édí,áɲɲínássí,ánɟínássí,tízzínássí,édí,éŋéʃínúʃí,úmbèskà,éŋéʃínúʃí,ánɟínássí,éŋéʃínúʃí,ánɟí,tízzí,áɲɲí,tízzí,éŋéʃí,áɲɲí,áɲɲí,tízzí,ánɟí,áɲɲí,ánɟí,tízzí,ánɟí,éŋéʃí,áɲɲí,éŋéʃí,ánɟí,áɲɲí,éŋéʃí,tízzí,éŋéʃí,tízzí,ánɟí,éŋéʃí
2,0.30482002970570465,1.3816055006046593,1.0767854708989546,édí,éŋéʃínássí,áɲɲínássí,ánɟínássí,édí,áɲɲínássí,éŋéʃínúʃí,ánɟínúʃí,édí,áɲɲínúʃí,tízzínúʃí,ánɟínássí,áɲɲínúʃí,édí,áɲɲínúʃí,áɲɲínúʃí,úmbèskà,éŋéʃínúʃí,páánúʃí,tízzínúʃí,áɲɲínássí,édí,éŋéʃínássí,éŋéʃínássí,ánɟínúʃí,ánɟínássí,éŋéʃínássí,ééʃí,édí,édí,áɲɲínúʃí,úmbèskà,áɲɲínúʃí,tízzínássí,éŋéʃínúʃí,ánɟínúʃí,tízzínúʃí,páánúʃí,tízzínúʃí,áɲɲínássí,úmbèskà,áɲɲínássí,édí,édí,áɲɲínássí,ánɟínúʃí,éŋéʃínúʃí,tízzínúʃí,tízzínássí,tízzínássí,éŋéʃínássí,éŋéʃínássí,ánɟínássí,éŋéʃínúʃí,tízzínúʃí,édí,édí,ánɟínúʃí,édí,ánɟínúʃí,ánɟínássí,tízzínúʃí,tízzínúʃí,ánɟínássí,édí,tízzínássí,áɲɲínúʃí,édí,édí,tízzínássí,ééʃí,úmbèskà,ánɟínássí,édí,éŋéʃínúʃí,tízzínássí,áɲɲínúʃí,éŋéʃínúʃí,ánɟínúʃí,éŋéʃínúʃí,édí,édí,éŋéʃínássí,áɲɲínássí,tízzínássí,áɲɲínássí,tízzínássí,édí,ánɟínúʃí,éŋéʃínássí,éŋéʃí,áɲɲí,tízzí,éŋéʃí,ánɟí,áɲɲí,tízzí,tízzí,tízzí,tízzí,éŋéʃí,áɲɲí,ánɟí,ánɟí,éŋéʃí,áɲɲí,tízzí,ánɟí,áɲɲí,ánɟí,éŋéʃí,éŋéʃí,ánɟí,áɲɲí
3,0.22605544424188895,1.3842155198168307,1.1581600755749417,édí,ánɟínúʃí,édí,édí,édí,éŋéʃínúʃí,páánúʃí,édí,ánɟínássí,édí,úmbèskà,tízzínúʃí,ánɟínúʃí,édí,tízzínúʃí,áɲɲínúʃí,éŋéʃínúʃí,áɲɲínúʃí,édí,éŋéʃínássí,áɲɲínúʃí,tízzínássí,áɲɲínúʃí,tízzínássí,áɲɲínúʃí,áɲɲínúʃí,áɲɲínássí,ánɟínássí,édí,ánɟínássí,tízzínássí,éŋéʃínúʃí,tízzínúʃí,áɲɲínássí,áɲɲínúʃí,édí,áɲɲínúʃí,tízzínúʃí,éŋéʃínúʃí,úmbèskà,ánɟínássí,édí,tízzínássí,éŋéʃínássí,édí,tízzínássí,ánɟínúʃí,tízzínássí,édí,áɲɲínássí,tízzínúʃí,áɲɲínássí,páánúʃí,ánɟínúʃí,ánɟínássí,éŋéʃínúʃí,tízzínúʃí,ánɟínúʃí,ééʃí,édí,éŋéʃínássí,éŋéʃínássí,ééʃí,úmbèskà,éŋéʃínúʃí,éŋéʃínúʃí,ánɟínúʃí,ánɟínássí,ánɟínúʃí,tízzínássí,éŋéʃínássí,úmbèskà,édí,édí,ánɟínúʃí,tízzínássí,áɲɲínássí,édí,éŋéʃínássí,édí,tízzínúʃí,édí,éŋéʃínássí,tízzínúʃí,áɲɲínássí,éŋéʃínúʃí,áɲɲínássí,éŋéʃínássí,áɲɲínássí,ánɟínássí,ánɟí,áɲɲí,éŋéʃí,áɲɲí,ánɟí,tízzí,éŋéʃí,áɲɲí,éŋéʃí,ánɟí,ánɟí,tízzí,éŋéʃí,ánɟí,áɲɲí,tízzí,áɲɲí,áɲɲí,éŋéʃí,tízzí,tízzí,éŋéʃí,tízzí,ánɟí
4,0.23423701398789887,1.3746298614126846,1.1403928474247857,ánɟínássí,édí,tízzínúʃí,ánɟínássí,áɲɲínássí,édí,ééʃí,tízzínássí,édí,ánɟínúʃí,éŋéʃínássí,ánɟínúʃí,éŋéʃínássí,ánɟínúʃí,tízzínúʃí,páánúʃí,áɲɲínúʃí,éŋéʃínássí,édí,ánɟínássí,édí,áɲɲínúʃí,áɲɲínássí,édí,édí,ánɟínássí,éŋéʃínúʃí,ánɟínúʃí,áɲɲínássí,áɲɲínássí,éŋéʃínássí,édí,áɲɲínúʃí,úmbèskà,tízzínúʃí,éŋéʃínássí,éŋéʃínássí,ánɟínúʃí,édí,tízzínássí,ánɟínássí,áɲɲínúʃí,ánɟínúʃí,éŋéʃínúʃí,tízzínássí,tízzínássí,édí,ánɟínássí,éŋéʃínássí,tízzínúʃí,tízzínúʃí,éŋéʃínúʃí,éŋéʃínúʃí,áɲɲínássí,édí,áɲɲínássí,éŋéʃínúʃí,áɲɲínúʃí,édí,édí,áɲɲínúʃí,éŋéʃínúʃí,áɲɲínúʃí,édí,éŋéʃínássí,tízzínássí,édí,tízzínássí,édí,tízzínúʃí,úmbèskà,áɲɲínássí,éŋéʃínúʃí,tízzínúʃí,úmbèskà,úmbèskà,éŋéʃínúʃí,áɲɲínássí,édí,ánɟínúʃí,ánɟínúʃí,édí,ánɟínássí,áɲɲínúʃí,édí,páánúʃí,tízzínássí,tízzínássí,tízzínúʃí,ééʃí,éŋéʃí,tízzí,áɲɲí,áɲɲí,éŋéʃí,ánɟí,tízzí,éŋéʃí,ánɟí,áɲɲí,ánɟí,tízzí,tízzí,ánɟí,tízzí,áɲɲí,ánɟí,éŋéʃí,éŋéʃí,áɲɲí,ánɟí,éŋéʃí,tízzí,áɲɲí
5,0.374245023095938,1.3842155198168307,1.0099704967208927,áɲɲínássí,áɲɲínúʃí,édí,éŋéʃínássí,éŋéʃínássí,ánɟínúʃí,áɲɲínúʃí,tízzínúʃí,tízzínássí,tízzínúʃí,édí,áɲɲínúʃí,tízzínássí,éŋéʃínúʃí,ánɟínúʃí,tízzínúʃí,éŋéʃínássí,édí,áɲɲínássí,ééʃí,áɲɲínúʃí,tízzínássí,úmbèskà,áɲɲínúʃí,ánɟínássí,éŋéʃínúʃí,áɲɲínúʃí,ánɟínássí,tízzínássí,tízzínúʃí,áɲɲínássí,tízzínúʃí,ánɟínúʃí,édí,tízzínássí,édí,áɲɲínássí,ánɟínássí,tízzínúʃí,édí,éŋéʃínássí,áɲɲínássí,éŋéʃínássí,tízzínúʃí,édí,tízzínássí,édí,éŋéʃínúʃí,éŋéʃínássí,tízzínássí,édí,ánɟínássí,páánúʃí,ánɟínúʃí,ánɟínássí,édí,áɲɲínúʃí,ánɟínássí,páánúʃí,édí,éŋéʃínássí,édí,ánɟínúʃí,áɲɲínúʃí,éŋéʃínúʃí,ánɟínúʃí,áɲɲínássí,édí,éŋéʃínúʃí,édí,édí,éŋéʃínássí,áɲɲínássí,éŋéʃínúʃí,úmbèskà,áɲɲínássí,ánɟínúʃí,úmbèskà,édí,tízzínássí,éŋéʃínúʃí,édí,ééʃí,úmbèskà,édí,édí,ánɟínássí,éŋéʃínúʃí,ánɟínúʃí,tízzínúʃí,ánɟí,éŋéʃí,tízzí,tízzí,éŋéʃí,tízzí,tízzí,ánɟí,ánɟí,ánɟí,áɲɲí,áɲɲí,áɲɲí,tízzí,áɲɲí,ánɟí,ánɟí,tízzí,éŋéʃí,éŋéʃí,áɲɲí,áɲɲí,éŋéʃí,éŋéʃí
6,0.29911848295369947,1.3816055006046593,1.0824870176509598,áɲɲínúʃí,édí,édí,áɲɲínúʃí,édí,úmbèskà,áɲɲínúʃí,áɲɲínássí,ánɟínássí,tízzínúʃí,ánɟínássí,édí,tízzínássí,áɲɲínúʃí,ánɟínúʃí,éŋéʃínúʃí,éŋéʃínúʃí,édí,áɲɲínássí,áɲɲínúʃí,éŋéʃínúʃí,éŋéʃínássí,éŋéʃínúʃí,édí,tízzínássí,ééʃí,ánɟínássí,tízzínúʃí,édí,ééʃí,éŋéʃínássí,éŋéʃínássí,áɲɲínássí,éŋéʃínássí,tízzínúʃí,úmbèskà,ánɟínúʃí,ánɟínássí,éŋéʃínássí,ánɟínúʃí,áɲɲínássí,áɲɲínássí,édí,édí,áɲɲínúʃí,páánúʃí,tízzínássí,ánɟínássí,éŋéʃínássí,édí,ánɟínúʃí,éŋéʃínúʃí,éŋéʃínássí,édí,áɲɲínássí,tízzínássí,édí,áɲɲínássí,éŋéʃínássí,édí,édí,tízzínássí,édí,tízzínássí,tízzínúʃí,áɲɲínúʃí,ánɟínássí,éŋéʃínúʃí,édí,édí,tízzínúʃí,édí,ánɟínássí,tízzínúʃí,tízzínássí,ánɟínúʃí,úmbèskà,áɲɲínúʃí,édí,úmbèskà,tízzínúʃí,éŋéʃínúʃí,áɲɲínássí,ánɟínúʃí,tízzínúʃí,ánɟínúʃí,páánúʃí,ánɟínúʃí,éŋéʃínúʃí,tízzínássí,tízzí,éŋéʃí,áɲɲí,áɲɲí,ánɟí,tízzí,tízzí,tízzí,éŋéʃí,éŋéʃí,éŋéʃí,áɲɲí,áɲɲí,ánɟí,éŋéʃí,ánɟí,éŋéʃí,ánɟí,tízzí,tízzí,áɲɲí,ánɟí,ánɟí,áɲɲí
7,0.23156746732873357,1.3710764293490505,1.139508962020317,úmbèskà,ánɟínássí,áɲɲínúʃí,áɲɲínúʃí,páánúʃí,édí,éŋéʃínúʃí,áɲɲínássí,éŋéʃínúʃí,éŋéʃínúʃí,édí,éŋéʃínássí,ééʃí,ánɟínúʃí,áɲɲínúʃí,tízzínássí,ánɟínúʃí,tízzínássí,ánɟínássí,éŋéʃínúʃí,áɲɲínúʃí,ánɟínássí,úmbèskà,ánɟínúʃí,édí,tízzínássí,tízzínúʃí,édí,tízzínúʃí,éŋéʃínássí,édí,ánɟínássí,tízzínúʃí,tízzínássí,tízzínássí,áɲɲínássí,áɲɲínássí,éŋéʃínúʃí,áɲɲínúʃí,édí,áɲɲínúʃí,tízzínúʃí,édí,tízzínúʃí,édí,tízzínássí,áɲɲínássí,ánɟínássí,áɲɲínássí,éŋéʃínássí,tízzínúʃí,édí,édí,édí,áɲɲínássí,páánúʃí,áɲɲínássí,éŋéʃínássí,éŋéʃínúʃí,édí,tízzínássí,ánɟínúʃí,édí,éŋéʃínássí,éŋéʃínúʃí,édí,éŋéʃínúʃí,áɲɲínúʃí,ánɟínássí,édí,éŋéʃínássí,ánɟínúʃí,úmbèskà,úmbèskà,édí,áɲɲínúʃí,ééʃí,tízzínássí,ánɟínúʃí,éŋéʃínássí,ánɟínássí,édí,ánɟínúʃí,áɲɲínássí,ánɟínúʃí,édí,édí,éŋéʃínássí,tízzínúʃí,tízzínúʃí,ánɟí,éŋéʃí,ánɟí,éŋéʃí,éŋéʃí,tízzí,ánɟí,tízzí,áɲɲí,tízzí,áɲɲí,éŋéʃí,ánɟí,tízzí,ánɟí,áɲɲí,tízzí,tízzí,áɲɲí,éŋéʃí,áɲɲí,éŋéʃí,áɲɲí,ánɟí
8,0.21830489815788634,1.3756407974369873,1.157335899279101,áɲɲínássí,éŋéʃínúʃí,úmbèskà,áɲɲínássí,éŋéʃínúʃí,úmbèskà,áɲɲínássí,ánɟínúʃí,tízzínúʃí,tízzínássí,ééʃí,ánɟínúʃí,tízzínássí,tízzínúʃí,ánɟínássí,ánɟínássí,éŋéʃínássí,éŋéʃínúʃí,éŋéʃínássí,éŋéʃínássí,ánɟínúʃí,tízzínúʃí,édí,tízzínúʃí,éŋéʃínássí,édí,tízzínássí,ééʃí,áɲɲínúʃí,éŋéʃínássí,tízzínássí,édí,édí,tízzínássí,ánɟínúʃí,ánɟínúʃí,áɲɲínássí,áɲɲínúʃí,ánɟínúʃí,áɲɲínássí,éŋéʃínúʃí,áɲɲínúʃí,tízzínúʃí,édí,áɲɲínássí,éŋéʃínássí,éŋéʃínúʃí,áɲɲínássí,édí,édí,éŋéʃínúʃí,édí,úmbèskà,tízzínássí,ánɟínássí,édí,édí,ánɟínássí,édí,úmbèskà,éŋéʃínúʃí,áɲɲínúʃí,édí,éŋéʃínássí,tízzínúʃí,tízzínássí,áɲɲínássí,édí,éŋéʃínúʃí,páánúʃí,ánɟínássí,édí,ánɟínássí,édí,áɲɲínúʃí,tízzínúʃí,édí,ánɟínássí,áɲɲínúʃí,édí,édí,ánɟínúʃí,ánɟínúʃí,áɲɲínúʃí,páánúʃí,áɲɲínúʃí,édí,tízzínássí,tízzínúʃí,éŋéʃínássí,ánɟí,áɲɲí,ánɟí,tízzí,ánɟí,éŋéʃí,ánɟí,éŋéʃí,éŋéʃí,éŋéʃí,áɲɲí,tízzí,tízzí,áɲɲí,áɲɲí,tízzí,éŋéʃí,tízzí,éŋéʃí,ánɟí,tízzí,áɲɲí,ánɟí,áɲɲí
9,0.3466205601407071,1.381605500604659,1.034984940463952,ánɟínássí,édí,édí,édí,éŋéʃínássí,áɲɲínúʃí,ánɟínúʃí,áɲɲínúʃí,ánɟínúʃí,édí,áɲɲínúʃí,áɲɲínássí,úmbèskà,tízzínúʃí,édí,éŋéʃínúʃí,tízzínúʃí,úmbèskà,ánɟínúʃí,éŋéʃínássí,áɲɲínássí,áɲɲínássí,éŋéʃínúʃí,áɲɲínássí,tízzínássí,áɲɲínássí,tízzínássí,édí,éŋéʃínúʃí,áɲɲínássí,édí,úmbèskà,tízzínássí,édí,tízzínúʃí,tízzínássí,édí,édí,páánúʃí,éŋéʃínúʃí,éŋéʃínássí,tízzínúʃí,ánɟínúʃí,éŋéʃínássí,édí,ánɟínássí,ánɟínássí,éŋéʃínúʃí,tízzínúʃí,ánɟínássí,áɲɲínúʃí,úmbèskà,édí,tízzínássí,édí,áɲɲínássí,ánɟínássí,édí,édí,ánɟínúʃí,páánúʃí,ánɟínúʃí,áɲɲínúʃí,éŋéʃínássí,éŋéʃínássí,tízzínúʃí,áɲɲínúʃí,ééʃí,éŋéʃínúʃí,ééʃí,tízzínúʃí,ánɟínúʃí,ánɟínássí,éŋéʃínássí,éŋéʃínúʃí,édí,éŋéʃínássí,édí,tízzínássí,áɲɲínúʃí,tízzínássí,ánɟínúʃí,áɲɲínúʃí,áɲɲínássí,ánɟínássí,éŋéʃínúʃí,édí,tízzínúʃí,tízzínássí,édí,ánɟí,tízzí,éŋéʃí,áɲɲí,tízzí,éŋéʃí,tízzí,tízzí,áɲɲí,áɲɲí,áɲɲí,áɲɲí,éŋéʃí,áɲɲí,ánɟí,éŋéʃí,ánɟí,ánɟí,éŋéʃí,ánɟí,tízzí,tízzí,éŋéʃí,ánɟí
