simulation_number,mutual_information,entropy,conditional_entropy,myZ,mFZeS,mFZyS,fFZeS,fFZyS,fFBeS,fFByS,mFByS,mFBeS,fyB,myB,fMBeS,mMBeS,fMByS,mMByS,fMZyS,mMZyS,mMZeS,feB,meB,fFZeD,mFZeD,fFZyD,mFZyD,fFBeD,fFByD,mFBeD,mFByD,mMByD,fMBeD,fMByD,mMBeD,mMZeD,fMZeD,fMZyD,mMZyD,feZ,meZ,fFeZ,fFyZ,mFeZ,mFyZ,fMeZ,fMyZ,mMeZ,mMyZ,fF,mF,fFeB,fFyB,mFeB,mFyB,fMeB,fMyB,mMeB,mMyB,fM,mM
0,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,mahǔna,mehǔna,mahǔne,mäzhä mäǔs bhäǔ,anǔz,mäzhi chûlat bahin,mäzhi chûlat bahin,mehǔna,agraz,mäzhä chǔlat bhäǔ,mahǔna,mahǔne,mahǔne,mäzhi wadel bahen,mäzhi chûlat bahïn,mäzhi wadel bahen,märi bǎhen,mahuni,mahǔna,mahuni,mäzhi mäǔs bahïn,anǔz,mehǔna,mäzhä chǔlat bhäǔ,mäzhi mǎus bahïn,mahuni,mäzhä chǔlat bhäǔ,mahuni,mehǔna,mäzhä chǔlat bhäǔ,mäzhi mäǔs bahïn,mäzhä mäǔs bhäǔ,mahǔne,mäzhi mäǔs bahïn,agraz,mahǔna,mäzhi chûlat bahin,mäzhä mäǔs bhäǔ,mäzhi äe,mäwalan,mäzhä mämä,mäzhä bäp,mähzi mäwase,mäwalan,mäzhä mämä,mäzhä chǔlata,mähzi mäwase,mähzi mäwase,mäzhä mämä,mäzhä bäp,mäzhä mämä,mäzhä chǔlata,mäwalan,mähzi mäwase,mäwalan,mäzhi äe,mäzhä chǔlata,mäzhä chǔlata
1,0.6829081047004719,1.376055285260417,0.6931471805599452,mahǔne,mäzhi chûlat bahin,mäzhä mäǔs bhäǔ,agraz,mehǔna,märi bǎhen,mahǔne,mahǔne,mäzhi mäǔs bahïn,mehǔna,mahuni,mahǔna,mäzhi wadel bahen,mahǔne,mäzhä mäǔs bhäǔ,mahuni,mäzhi chûlat bahïn,mäzhi chûlat bahin,mäzhi mäǔs bahïn,mäzhä mäǔs bhäǔ,agraz,mäzhä chǔlat bhäǔ,mäzhä chǔlat bhäǔ,mahǔna,mehǔna,mäzhä chǔlat bhäǔ,mahuni,mahǔna,mäzhä chǔlat bhäǔ,mäzhi mäǔs bahïn,mehǔna,mäzhi chûlat bahin,anǔz,anǔz,mahǔna,mäzhi wadel bahen,mäzhi mǎus bahïn,mahuni,mähzi mäwase,mäzhä mämä,mäzhä mämä,mähzi mäwase,mäwalan,mähzi mäwase,mäzhä mämä,mäzhä chǔlata,mäzhä mämä,mäzhä chǔlata,mäzhä chǔlata,mäzhä bäp,mäwalan,mäzhä chǔlata,mähzi mäwase,mäzhi äe,mäzhi äe,mäwalan,mäwalan,mäzhä bäp
2,0.34145405235023596,1.034601232910181,0.6931471805599451,anǔz,mehǔna,mahuni,mahuni,mahǔna,mäzhä mäǔs bhäǔ,mäzhä chǔlat bhäǔ,mahǔna,mäzhi mäǔs bahïn,mahǔna,mehǔna,anǔz,mehǔna,mäzhä chǔlat bhäǔ,mahǔne,mahǔne,mäzhä chǔlat bhäǔ,mäzhi mäǔs bahïn,mäzhi chûlat bahïn,mahǔne,mäzhi wadel bahen,mäzhi chûlat bahin,mahǔne,mahuni,mäzhi mäǔs bahïn,agraz,mäzhi chûlat bahin,mehǔna,mäzhi chûlat bahin,mäzhä chǔlat bhäǔ,mahǔna,mahuni,mäzhä mäǔs bhäǔ,mäzhi wadel bahen,märi bǎhen,mäzhä mäǔs bhäǔ,mäzhi mǎus bahïn,agraz,mähzi mäwase,mäzhä chǔlata,mäwalan,mäzhi äe,mäzhä mämä,mäzhä bäp,mäwalan,mäwalan,mäzhä mämä,mäzhä chǔlata,mähzi mäwase,mäzhä bäp,mähzi mäwase,mäzhä mämä,mähzi mäwase,mäzhä mämä,mäzhä chǔlata,mäzhi äe,mäzhä chǔlata,mäwalan
3,0.242433026555958,1.034601232910181,0.792168206354223,mäzhi chûlat bahin,mäzhi mǎus bahïn,mäzhi wadel bahen,mäzhä chǔlat bhäǔ,mahuni,märi bǎhen,mäzhä mäǔs bhäǔ,mäzhä mäǔs bhäǔ,mahǔne,mäzhi wadel bahen,mäzhä chǔlat bhäǔ,mahuni,mäzhi chûlat bahïn,mehǔna,mahǔne,agraz,mäzhi chûlat bahin,anǔz,mehǔna,mahǔne,anǔz,agraz,mehǔna,mehǔna,mahǔna,mäzhä chǔlat bhäǔ,mahǔna,mäzhä mäǔs bhäǔ,mahǔne,mäzhi mäǔs bahïn,mäzhi chûlat bahin,mahuni,mäzhi mäǔs bahïn,mahǔna,mahuni,mäzhi mäǔs bahïn,mäzhä chǔlat bhäǔ,mahǔna,mäzhi äe,mäzhä mämä,mäwalan,mäwalan,mäzhä chǔlata,mäzhä mämä,mäwalan,mäzhä mämä,mäzhä bäp,mäzhä chǔlata,mäzhä mämä,mäwalan,mähzi mäwase,mäzhä bäp,mähzi mäwase,mäzhä chǔlata,mähzi mäwase,mähzi mäwase,mäzhä chǔlata,mäzhi äe
4,0.2424330265559581,1.034601232910181,0.7921682063542229,mäzhi mäǔs bahïn,mahǔne,mäzhi chûlat bahïn,mahuni,mäzhä chǔlat bhäǔ,mahuni,mehǔna,mahǔna,mäzhi chûlat bahin,anǔz,anǔz,mäzhä mäǔs bhäǔ,mäzhi mǎus bahïn,mäzhi wadel bahen,märi bǎhen,mäzhi wadel bahen,mäzhi mäǔs bahïn,mäzhi chûlat bahin,mahǔne,mäzhä mäǔs bhäǔ,mahǔna,mehǔna,mahǔna,mahǔne,mäzhä chǔlat bhäǔ,mäzhä mäǔs bhäǔ,agraz,mehǔna,mäzhi mäǔs bahïn,mehǔna,agraz,mäzhä chǔlat bhäǔ,mahuni,mahǔne,mahǔna,mäzhi chûlat bahin,mahuni,mäzhä chǔlat bhäǔ,mähzi mäwase,mäzhä chǔlata,mäwalan,mäwalan,mäzhä chǔlata,mähzi mäwase,mäzhi äe,mäzhä mämä,mäwalan,mäzhä mämä,mäzhä chǔlata,mäwalan,mähzi mäwase,mäzhi äe,mäzhä bäp,mäzhä chǔlata,mäzhä bäp,mäzhä mämä,mäzhä mämä,mähzi mäwase
5,0.2424330265559581,1.034601232910181,0.7921682063542229,mahǔne,mahuni,anǔz,mehǔna,mäzhi mäǔs bahïn,märi bǎhen,mäzhi wadel bahen,mäzhä mäǔs bhäǔ,mahuni,mahǔne,mäzhä chǔlat bhäǔ,mäzhi chûlat bahin,mäzhä chǔlat bhäǔ,mäzhi mǎus bahïn,agraz,mahǔna,mäzhi mäǔs bahïn,mehǔna,mäzhä mäǔs bhäǔ,mehǔna,mahuni,mäzhä chǔlat bhäǔ,mäzhä mäǔs bhäǔ,agraz,mahǔna,mäzhi chûlat bahin,mahǔna,mäzhi chûlat bahin,mahuni,mahǔna,mehǔna,mahǔne,mahǔne,mäzhi mäǔs bahïn,mäzhi chûlat bahïn,mäzhä chǔlat bhäǔ,mäzhi wadel bahen,anǔz,mäwalan,mäwalan,mäwalan,mähzi mäwase,mäzhä chǔlata,mäzhä mämä,mähzi mäwase,mäzhä mämä,mäzhä mämä,mäzhä mämä,mäzhä chǔlata,mähzi mäwase,mäzhä bäp,mäzhä chǔlata,mäzhä chǔlata,mäzhi äe,mäwalan,mäzhi äe,mähzi mäwase,mäzhä bäp
6,0.48486605311191633,1.376055285260417,0.8911892321485008,mehǔna,mahuni,mäzhi chûlat bahin,mäzhä mäǔs bhäǔ,mäzhi mäǔs bahïn,anǔz,mahǔne,mäzhi wadel bahen,mehǔna,mäzhä chǔlat bhäǔ,mäzhi mäǔs bahïn,mäzhi chûlat bahïn,agraz,mehǔna,mahuni,märi bǎhen,agraz,anǔz,mäzhä mäǔs bhäǔ,mäzhä chǔlat bhäǔ,mäzhi chûlat bahin,mäzhi mäǔs bahïn,mäzhä mäǔs bhäǔ,mäzhä chǔlat bhäǔ,mahǔna,mahǔne,mahǔna,mahǔna,mahǔne,mäzhi chûlat bahin,mahǔne,mehǔna,mahuni,mäzhi wadel bahen,mäzhä chǔlat bhäǔ,mahuni,mäzhi mǎus bahïn,mahǔna,mäwalan,mäzhä bäp,mäzhä chǔlata,mäzhi äe,mähzi mäwase,mäzhä chǔlata,mähzi mäwase,mähzi mäwase,mäzhä bäp,mäzhä chǔlata,mäzhä chǔlata,mäwalan,mähzi mäwase,mäzhi äe,mäzhä mämä,mäzhä mämä,mäwalan,mäzhä mämä,mäwalan,mäzhä mämä
7,0.48486605311191605,0.9799711820833055,0.4951051289713894,agraz,mäzhä chǔlat bhäǔ,mäzhi wadel bahen,mahuni,mahuni,anǔz,mahǔne,mahǔna,mäzhä mäǔs bhäǔ,mäzhi wadel bahen,mäzhä chǔlat bhäǔ,mäzhi chûlat bahïn,mahuni,mäzhä chǔlat bhäǔ,mahuni,mäzhä mäǔs bhäǔ,mäzhä mäǔs bhäǔ,mahǔna,mehǔna,mäzhi mäǔs bahïn,märi bǎhen,mahǔna,mäzhi chûlat bahin,mäzhi chûlat bahin,mahǔne,mäzhi chûlat bahin,mahǔne,mehǔna,mehǔna,mahǔne,mäzhi mäǔs bahïn,mäzhi mäǔs bahïn,mäzhä chǔlat bhäǔ,mäzhi mǎus bahïn,anǔz,agraz,mahǔna,mehǔna,mäwalan,mäzhä bäp,mäzhä chǔlata,mähzi mäwase,mäwalan,mäzhä chǔlata,mäzhä mämä,mäzhä mämä,mäzhä chǔlata,mäwalan,mäzhä bäp,mähzi mäwase,mäzhä chǔlata,mäzhä mämä,mäzhi äe,mähzi mäwase,mähzi mäwase,mäzhi äe,mäzhä mämä,mäwalan
8,0.682908104700472,1.376055285260417,0.6931471805599451,mahuni,anǔz,mäzhi chûlat bahin,mehǔna,mäzhä chǔlat bhäǔ,mahuni,mahǔna,agraz,mäzhi chûlat bahïn,mahǔne,mäzhi mǎus bahïn,mahǔne,mehǔna,mäzhä mäǔs bhäǔ,mäzhä chǔlat bhäǔ,mäzhi wadel bahen,mäzhä mäǔs bhäǔ,mahǔna,mäzhä mäǔs bhäǔ,mehǔna,mäzhä chǔlat bhäǔ,mäzhä chǔlat bhäǔ,mahǔne,mäzhi mäǔs bahïn,mahuni,anǔz,mahǔna,mahuni,mäzhi chûlat bahin,mahǔna,mäzhi mäǔs bahïn,mahǔne,mäzhi wadel bahen,mehǔna,agraz,mäzhi mäǔs bahïn,märi bǎhen,mäzhi chûlat bahin,mähzi mäwase,mäzhi äe,mähzi mäwase,mäzhä chǔlata,mäzhä bäp,mäzhä mämä,mäzhä chǔlata,mäzhä chǔlata,mäzhi äe,mäzhä bäp,mäzhä mämä,mähzi mäwase,mäwalan,mäzhä mämä,mäwalan,mäwalan,mäzhä mämä,mäzhä chǔlata,mähzi mäwase,mäwalan
9,0.3414540523502362,1.0346012329101812,0.6931471805599451,anǔz,mehǔna,mahǔna,mäzhi chûlat bahin,mahǔne,mehǔna,mehǔna,mäzhi wadel bahen,mäzhi chûlat bahïn,mäzhi mäǔs bahïn,agraz,mäzhä chǔlat bhäǔ,mäzhä mäǔs bhäǔ,mäzhi mäǔs bahïn,agraz,mäzhä chǔlat bhäǔ,mahǔna,mahǔne,mahǔne,mehǔna,mahǔna,anǔz,märi bǎhen,mäzhi chûlat bahin,mäzhi chûlat bahin,mäzhä mäǔs bhäǔ,mahuni,mäzhi mäǔs bahïn,mäzhä chǔlat bhäǔ,mahǔne,mäzhä mäǔs bhäǔ,mahuni,mahǔna,mahuni,mäzhi wadel bahen,mahuni,mäzhi mǎus bahïn,mäzhä chǔlat bhäǔ,mäwalan,mäwalan,mähzi mäwase,mäzhä bäp,mäzhä mämä,mäzhä chǔlata,mäwalan,mäwalan,mäzhä mämä,mähzi mäwase,mäzhä chǔlata,mäzhä bäp,mäzhi äe,mähzi mäwase,mäzhä mämä,mäzhä chǔlata,mäzhä chǔlata,mähzi mäwase,mäzhi äe,mäzhä mämä
