simulation_number,mutual_information,entropy,conditional_entropy,mFBS,mMBS,mFeBS,mFyBS,mMeBS,mMyBS,mFBeS,mFByS,mMBeS,mMByS,fFBS,fMBS,fFeBS,fFyBS,fMeBS,fMyBS,fFBeS,fFByS,fMBeS,fMByS,mB,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mMB,mMZ,mMeZ,mMyZ,mMeB,mMyB,fMB,fMZ,fMeZ,fMyZ,fMeB,fMyB,mF,mM,mFB,mFZ,mFeB,mFyB,mFeZ,mFyZ,fF,fM,fFB,fFZ,fFeB,fFyB,fFeZ,fFyZ
0,0.18304321165046367,1.5850680575801663,1.4020248459297027,macc brāthar athar,macc brāthar athar,bráthair,bráthair,macc brāthar māthar,macc brāthar māthar,macc brāthar māthar,bráthair,siur,macc brāthar māthar,macc brāthar athar,macc brāthar athar,bráthair,macc brāthar athar,macc brāthar athar,siur,bráthair,macc brāthar athar,siur,macc brāthar māthar,bráthair,macc brāthar māthar,siur,macc brāthar māthar,siur,macc brāthar māthar,macc brāthar māthar,macc brāthar athar,macc brāthar māthar,siur,macc brāthar athar,macc brāthar athar,amnair,brāthir athar,siur athar,amnair,brāthir athar,athair,máthair,brāthir athar,amnair,siur māthar,siur māthar,amnair,siur māthar,siur athar,siur athar,máthair,amnair,athair,brāthir athar,siur māthar,siur māthar,siur athar,brāthir athar,siur athar,siur athar,brāthir athar,amnair,siur māthar
1,0.14369494448506037,1.7260688705486076,1.5823739260635472,siur,macc brāthar athar,macc brāthar māthar,siur,macc brāthar māthar,macc brāthar athar,siur,macc brāthar māthar,siur,macc brāthar athar,macc brāthar athar,macc brāthar māthar,macc brāthar athar,macc brāthar athar,bráthair,bráthair,macc brāthar māthar,bráthair,bráthair,macc brāthar athar,macc brāthar māthar,macc brāthar māthar,macc brāthar māthar,bráthair,macc brāthar athar,macc brāthar athar,siur,macc brāthar māthar,siur,macc brāthar māthar,macc brāthar athar,bráthair,amnair,siur māthar,brāthir athar,siur māthar,amnair,siur athar,brāthir athar,brāthir athar,siur athar,siur athar,siur māthar,amnair,brāthir athar,siur māthar,máthair,brāthir athar,siur athar,siur māthar,brāthir athar,siur athar,athair,athair,máthair,siur māthar,siur athar,amnair,amnair,amnair
2,0.39887960415653145,1.7496729331286391,1.3507933289721077,macc brāthar māthar,macc brāthar māthar,macc brāthar māthar,macc brāthar athar,bráthair,macc brāthar athar,macc brāthar māthar,bráthair,macc brāthar athar,macc brāthar māthar,siur,siur,macc brāthar athar,macc brāthar athar,macc brāthar athar,macc brāthar māthar,bráthair,siur,macc brāthar athar,macc brāthar athar,macc brāthar māthar,siur,siur,siur,macc brāthar athar,macc brāthar māthar,macc brāthar māthar,bráthair,bráthair,macc brāthar māthar,bráthair,macc brāthar athar,amnair,siur athar,siur māthar,siur athar,siur māthar,brāthir athar,siur athar,amnair,siur māthar,brāthir athar,brāthir athar,amnair,athair,brāthir athar,brāthir athar,brāthir athar,siur māthar,máthair,siur māthar,amnair,siur māthar,máthair,siur athar,amnair,siur athar,siur athar,athair,amnair
3,0.2735025520220955,1.6796093638605174,1.406106811838422,macc brāthar athar,macc brāthar athar,macc brāthar māthar,macc brāthar māthar,macc brāthar athar,bráthair,macc brāthar athar,siur,bráthair,macc brāthar athar,bráthair,macc brāthar athar,macc brāthar māthar,macc brāthar athar,bráthair,siur,macc brāthar māthar,macc brāthar athar,macc brāthar athar,macc brāthar māthar,siur,macc brāthar māthar,macc brāthar māthar,bráthair,macc brāthar māthar,macc brāthar māthar,macc brāthar athar,siur,macc brāthar māthar,siur,siur,bráthair,brāthir athar,amnair,siur māthar,siur athar,siur athar,athair,amnair,siur māthar,siur māthar,amnair,siur māthar,siur athar,máthair,amnair,siur athar,brāthir athar,brāthir athar,siur athar,amnair,brāthir athar,siur māthar,amnair,athair,siur māthar,brāthir athar,máthair,brāthir athar,siur athar
4,0.16363087978244817,1.5182491118545964,1.3546182320721483,macc brāthar athar,macc brāthar athar,macc brāthar athar,macc brāthar athar,macc brāthar athar,siur,bráthair,macc brāthar māthar,bráthair,siur,macc brāthar māthar,siur,macc brāthar māthar,siur,macc brāthar athar,macc brāthar māthar,macc brāthar māthar,bráthair,macc brāthar athar,bráthair,macc brāthar māthar,siur,macc brāthar athar,macc brāthar māthar,macc brāthar athar,bráthair,macc brāthar māthar,macc brāthar māthar,macc brāthar athar,macc brāthar māthar,bráthair,siur,athair,máthair,siur māthar,siur athar,siur athar,siur māthar,siur māthar,siur athar,amnair,amnair,siur athar,siur māthar,brāthir athar,brāthir athar,amnair,athair,amnair,máthair,siur māthar,amnair,siur athar,siur athar,brāthir athar,brāthir athar,amnair,brāthir athar,siur māthar,brāthir athar
5,0.21799897962692083,1.5892892026985268,1.371290223071606,macc brāthar māthar,macc brāthar athar,siur,macc brāthar māthar,bráthair,macc brāthar athar,bráthair,macc brāthar athar,macc brāthar athar,macc brāthar athar,bráthair,bráthair,macc brāthar māthar,macc brāthar māthar,macc brāthar athar,bráthair,siur,macc brāthar athar,siur,macc brāthar athar,macc brāthar māthar,siur,macc brāthar athar,macc brāthar māthar,macc brāthar māthar,macc brāthar māthar,siur,macc brāthar athar,macc brāthar māthar,bráthair,macc brāthar māthar,siur,siur māthar,brāthir athar,siur athar,siur māthar,amnair,siur athar,brāthir athar,athair,siur athar,brāthir athar,máthair,siur māthar,amnair,brāthir athar,siur athar,siur māthar,athair,siur athar,amnair,brāthir athar,amnair,máthair,brāthir athar,amnair,siur māthar,amnair,siur māthar,siur athar
6,0.15659464437839632,1.5692727521751086,1.4126781077967123,macc brāthar athar,macc brāthar māthar,macc brāthar māthar,macc brāthar māthar,siur,macc brāthar māthar,macc brāthar athar,macc brāthar athar,bráthair,siur,macc brāthar māthar,macc brāthar māthar,siur,macc brāthar māthar,macc brāthar athar,bráthair,macc brāthar māthar,macc brāthar athar,macc brāthar athar,bráthair,macc brāthar athar,siur,macc brāthar athar,bráthair,macc brāthar māthar,macc brāthar athar,bráthair,siur,siur,macc brāthar māthar,bráthair,macc brāthar athar,siur māthar,amnair,siur athar,siur māthar,brāthir athar,brāthir athar,siur māthar,siur athar,brāthir athar,athair,amnair,amnair,amnair,siur athar,siur māthar,siur māthar,máthair,siur māthar,siur athar,brāthir athar,athair,amnair,siur athar,siur athar,amnair,brāthir athar,máthair,brāthir athar
7,0.25971354327291296,1.6154094495821454,1.3556959063092324,siur,siur,macc brāthar athar,bráthair,macc brāthar māthar,macc brāthar athar,siur,macc brāthar athar,siur,macc brāthar athar,macc brāthar athar,bráthair,macc brāthar māthar,siur,siur,macc brāthar māthar,bráthair,macc brāthar māthar,macc brāthar māthar,macc brāthar māthar,bráthair,macc brāthar athar,macc brāthar māthar,macc brāthar athar,macc brāthar athar,macc brāthar māthar,bráthair,macc brāthar athar,bráthair,macc brāthar māthar,macc brāthar māthar,macc brāthar athar,siur athar,siur māthar,brāthir athar,amnair,brāthir athar,siur athar,brāthir athar,amnair,siur māthar,amnair,siur athar,siur athar,siur athar,amnair,siur māthar,siur māthar,athair,siur māthar,siur māthar,amnair,máthair,brāthir athar,amnair,brāthir athar,athair,siur athar,máthair,brāthir athar
8,0.29147406437888135,1.6744172684808794,1.382943204101998,macc brāthar athar,bráthair,siur,siur,macc brāthar māthar,macc brāthar māthar,macc brāthar athar,macc brāthar athar,macc brāthar māthar,macc brāthar athar,macc brāthar māthar,bráthair,macc brāthar athar,bráthair,macc brāthar athar,macc brāthar māthar,siur,macc brāthar māthar,bráthair,macc brāthar athar,siur,siur,macc brāthar athar,bráthair,macc brāthar māthar,macc brāthar māthar,macc brāthar māthar,bráthair,siur,macc brāthar māthar,macc brāthar athar,macc brāthar athar,siur athar,athair,siur athar,siur māthar,brāthir athar,brāthir athar,athair,siur māthar,siur māthar,amnair,brāthir athar,siur māthar,siur māthar,siur athar,amnair,siur athar,siur athar,brāthir athar,máthair,siur athar,brāthir athar,amnair,máthair,siur māthar,amnair,amnair,brāthir athar,amnair
9,0.26533517190941147,1.6278093851440234,1.362474213234612,bráthair,macc brāthar athar,bráthair,bráthair,macc brāthar māthar,macc brāthar athar,macc brāthar māthar,macc brāthar māthar,siur,macc brāthar athar,siur,bráthair,macc brāthar māthar,siur,macc brāthar māthar,macc brāthar athar,bráthair,macc brāthar māthar,macc brāthar athar,macc brāthar athar,macc brāthar māthar,macc brāthar māthar,macc brāthar athar,macc brāthar athar,macc brāthar māthar,siur,macc brāthar athar,bráthair,siur,macc brāthar māthar,macc brāthar athar,siur,siur athar,brāthir athar,athair,siur athar,siur athar,máthair,máthair,siur māthar,amnair,siur māthar,amnair,amnair,siur māthar,siur māthar,brāthir athar,amnair,siur athar,athair,brāthir athar,siur māthar,amnair,brāthir athar,siur athar,amnair,brāthir athar,brāthir athar,siur athar,siur māthar
