simulation_number,mutual_information,entropy,conditional_entropy,mFZD,mFBD,mMBD,mFBS,mFZS,mMBS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mB,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mF,mM,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,mFZ,mMZ,fFZ,fMZ,fFeZ,fFyZ,fMeZ,fMyZ
0,0.3298340712368073,1.7045514452672967,1.3747173740304894,nwa nna,okɛlɛ,nwa nnɛ,okɛlɛ,nwannē nwaàyì ̣,okɛlɛ,nwa nna,nwa nnɛ,nwa nna,nwa nna,nwannē nwaàyì ̣,nwannē nwokē,nwannē nwokē,nwa nnɛ,nwa nna,nwa nnɛ,okɛlɛ,nwannē nwokē,nwa nnɛ,nwa nna,okɛlɛ,nwa nnɛ,nwannē nwaàyì ̣,okɛlɛ,nwa nna,nwannē nwaàyì ̣,nwa nnɛ,nwa nna,nwa nnɛ,nwannē nwokē,nwa nna,okɛlɛ,nwa nna,nwannē nwokē,nwa nnɛ,okɛlɛ,nwannē nwokē,okɛlɛ,okɛlɛ,nwa nnɛ,nwannē nwaàyì ̣,nwannē nwaàyì ̣,nwa nna,àda nne nnà,nwa nna,nwa nnɛ,nnà,nnɛ ukwu,nna ukwu,àda nne nnà,àda nne nnē,nnɛ ukwu,nwa nnɛ,nna ukwu,àda nne nnē,àda nne nnē,àda nne nnē,nne,àda nne nnà,àda nne nnà
1,0.12710151718272522,1.3579778549873245,1.2308763378045993,nwannē nwokē,nwa nna,nwa nnɛ,nwa nnɛ,nwa nnɛ,nwa nna,nwa nnɛ,nwa nnɛ,nwa nnɛ,okɛlɛ,nwa nna,nwa nna,nwa nna,nwannē nwaàyì ̣,nwa nna,okɛlɛ,okɛlɛ,okɛlɛ,nwannē nwaàyì ̣,nwannē nwokē,nwa nnɛ,okɛlɛ,okɛlɛ,nwa nnɛ,nwannē nwaàyì ̣,okɛlɛ,nwa nna,nwa nna,nwa nnɛ,okɛlɛ,okɛlɛ,nwannē nwokē,nwa nna,okɛlɛ,nwa nna,nwannē nwokē,nwannē nwokē,nwannē nwaàyì ̣,nwa nnɛ,nwannē nwokē,nwannē nwaàyì ̣,nwannē nwaàyì ̣,àda nne nnà,àda nne nnē,nwa nnɛ,àda nne nnē,nwa nna,àda nne nnē,nna ukwu,àda nne nnē,nwa nna,àda nne nnà,nwa nnɛ,àda nne nnà,nnɛ ukwu,àda nne nnà,nnɛ ukwu,nne,nnà,nna ukwu
2,0.41459563872446403,1.863679987341,1.449084348616536,nwa nna,nwa nna,nwannē nwokē,okɛlɛ,nwannē nwokē,nwa nnɛ,nwa nnɛ,nwannē nwaàyì ̣,nwannē nwokē,okɛlɛ,nwa nna,nwannē nwaàyì ̣,nwa nna,okɛlɛ,nwa nna,nwannē nwaàyì ̣,nwa nna,nwannē nwaàyì ̣,okɛlɛ,nwa nnɛ,nwa nna,okɛlɛ,nwa nna,nwannē nwokē,okɛlɛ,nwa nnɛ,okɛlɛ,nwa nnɛ,nwannē nwaàyì ̣,nwa nnɛ,nwannē nwaàyì ̣,nwannē nwokē,nwannē nwokē,okɛlɛ,nwa nna,nwa nnɛ,nwa nna,okɛlɛ,nwa nnɛ,okɛlɛ,nwa nnɛ,nwa nnɛ,nnɛ ukwu,nnà,àda nne nnē,àda nne nnē,nna ukwu,àda nne nnē,nwa nna,àda nne nnà,àda nne nnà,nwa nnɛ,nwa nna,nna ukwu,àda nne nnà,àda nne nnē,nwa nnɛ,nne,àda nne nnà,nnɛ ukwu
3,0.27582305556383946,1.5454229031935938,1.2695998476297543,nwa nnɛ,nwa nnɛ,nwannē nwokē,nwa nna,nwa nnɛ,okɛlɛ,nwa nna,nwa nnɛ,nwa nna,nwa nna,nwa nnɛ,okɛlɛ,nwannē nwaàyì ̣,nwa nnɛ,nwannē nwaàyì ̣,okɛlɛ,nwa nnɛ,nwa nna,nwannē nwokē,okɛlɛ,nwa nna,okɛlɛ,nwa nna,nwa nnɛ,nwannē nwaàyì ̣,nwa nna,nwa nna,okɛlɛ,nwa nna,nwannē nwokē,okɛlɛ,okɛlɛ,okɛlɛ,nwannē nwokē,nwannē nwaàyì ̣,nwa nnɛ,nwannē nwokē,nwannē nwokē,okɛlɛ,nwannē nwaàyì ̣,nwa nnɛ,nwannē nwaàyì ̣,àda nne nnē,nwa nnɛ,àda nne nnē,àda nne nnà,àda nne nnà,nne,nwa nna,àda nne nnē,nnɛ ukwu,àda nne nnà,nnɛ ukwu,nna ukwu,nwa nnɛ,nnà,nwa nna,nna ukwu,àda nne nnà,àda nne nnē
4,0.46384568141282423,1.791759469228055,1.3279137878152307,okɛlɛ,nwannē nwokē,nwannē nwaàyì ̣,nwannē nwokē,nwannē nwaàyì ̣,okɛlɛ,nwa nnɛ,nwa nna,okɛlɛ,nwa nnɛ,okɛlɛ,okɛlɛ,nwa nnɛ,nwannē nwaàyì ̣,nwa nna,nwa nna,nwa nna,nwa nnɛ,nwannē nwokē,nwa nnɛ,nwa nna,nwannē nwaàyì ̣,okɛlɛ,nwa nna,nwa nna,nwa nna,nwa nnɛ,nwannē nwokē,nwannē nwaàyì ̣,nwa nnɛ,okɛlɛ,okɛlɛ,nwannē nwaàyì ̣,nwa nna,nwa nnɛ,nwa nnɛ,nwannē nwokē,nwa nnɛ,okɛlɛ,nwa nna,okɛlɛ,nwannē nwokē,nwa nnɛ,nwa nnɛ,nwa nna,nwa nna,àda nne nnē,nnà,nnɛ ukwu,àda nne nnē,nna ukwu,àda nne nnà,nnɛ ukwu,nna ukwu,àda nne nnà,àda nne nnà,àda nne nnē,àda nne nnē,nne,àda nne nnà
5,0.384051187695169,1.2342678660790765,0.8502166783839075,nwannē nwokē,okɛlɛ,nwa nna,nwa nnɛ,nwa nna,nwa nnɛ,okɛlɛ,nwa nna,nwa nna,nwannē nwaàyì ̣,nwa nna,nwa nnɛ,nwa nnɛ,nwa nnɛ,nwannē nwokē,nwannē nwaàyì ̣,nwannē nwokē,nwa nnɛ,okɛlɛ,nwannē nwaàyì ̣,nwa nna,nwannē nwokē,nwannē nwokē,okɛlɛ,okɛlɛ,okɛlɛ,nwa nnɛ,nwa nnɛ,nwa nnɛ,okɛlɛ,okɛlɛ,nwannē nwokē,okɛlɛ,nwannē nwaàyì ̣,nwa nna,nwa nnɛ,nwa nna,nwannē nwaàyì ̣,nwannē nwaàyì ̣,nwa nna,okɛlɛ,nwa nna,àda nne nnà,àda nne nnà,àda nne nnà,nnɛ ukwu,nna ukwu,àda nne nnē,nwa nna,àda nne nnē,nnɛ ukwu,nnà,àda nne nnà,nwa nnɛ,nwa nnɛ,àda nne nnē,nne,nna ukwu,àda nne nnē,nwa nna
6,0.6488705481086746,1.539654447440098,0.8907838993314233,nwa nna,okɛlɛ,nwa nnɛ,okɛlɛ,okɛlɛ,nwa nnɛ,nwa nna,nwannē nwaàyì ̣,nwa nna,nwannē nwaàyì ̣,nwa nnɛ,nwa nnɛ,nwa nna,nwa nna,okɛlɛ,nwannē nwokē,nwannē nwokē,nwannē nwaàyì ̣,nwa nna,okɛlɛ,nwannē nwokē,nwannē nwokē,nwa nnɛ,okɛlɛ,nwa nna,okɛlɛ,nwa nnɛ,nwannē nwaàyì ̣,nwa nna,nwa nnɛ,nwannē nwaàyì ̣,okɛlɛ,nwannē nwokē,nwa nnɛ,nwa nnɛ,nwannē nwokē,okɛlɛ,nwa nna,okɛlɛ,nwa nnɛ,nwa nna,nwannē nwaàyì ̣,àda nne nnà,àda nne nnà,nna ukwu,àda nne nnà,àda nne nnē,nwa nna,nnɛ ukwu,nna ukwu,nnɛ ukwu,nwa nnɛ,àda nne nnē,nwa nna,àda nne nnē,nnà,nwa nnɛ,àda nne nnē,nne,àda nne nnà
7,0.5721128454238829,1.8636799873410004,1.2915671419171175,nwa nnɛ,nwa nna,nwannē nwokē,nwa nnɛ,nwannē nwokē,nwa nna,nwa nnɛ,nwannē nwokē,nwannē nwokē,nwa nna,nwa nnɛ,nwa nna,nwa nnɛ,nwannē nwokē,okɛlɛ,nwa nnɛ,okɛlɛ,nwannē nwokē,nwannē nwaàyì ̣,okɛlɛ,nwannē nwaàyì ̣,nwa nnɛ,nwannē nwaàyì ̣,nwa nna,nwa nna,nwannē nwaàyì ̣,nwannē nwaàyì ̣,okɛlɛ,nwa nna,nwa nna,nwannē nwaàyì ̣,okɛlɛ,nwa nnɛ,nwa nnɛ,okɛlɛ,okɛlɛ,nwa nna,nwa nnɛ,okɛlɛ,nwa nna,okɛlɛ,okɛlɛ,àda nne nnà,nna ukwu,àda nne nnē,àda nne nnē,àda nne nnē,nnà,nne,nwa nna,nnɛ ukwu,nwa nna,nwa nnɛ,àda nne nnà,àda nne nnà,nna ukwu,nnɛ ukwu,nwa nnɛ,àda nne nnà,àda nne nnē
8,0.7607246985779723,2.022808529414703,1.2620838308367308,nwa nnɛ,okɛlɛ,nwa nnɛ,nwa nnɛ,nwa nna,nwa nna,nwa nna,nwa nnɛ,okɛlɛ,nwannē nwokē,nwannē nwokē,okɛlɛ,okɛlɛ,nwa nna,nwannē nwaàyì ̣,nwa nna,nwannē nwaàyì ̣,nwa nna,okɛlɛ,nwannē nwokē,nwannē nwaàyì ̣,okɛlɛ,nwa nnɛ,nwa nnɛ,okɛlɛ,okɛlɛ,nwa nna,nwa nnɛ,nwannē nwokē,nwa nna,okɛlɛ,nwannē nwokē,nwa nnɛ,nwa nna,nwannē nwokē,okɛlɛ,nwannē nwaàyì ̣,nwa nna,nwannē nwaàyì ̣,nwa nnɛ,nwa nnɛ,nwannē nwaàyì ̣,nne,nwa nnɛ,àda nne nnà,nwa nna,nwa nna,àda nne nnē,nwa nnɛ,nnɛ ukwu,nna ukwu,nnɛ ukwu,nnà,àda nne nnē,àda nne nnē,àda nne nnà,àda nne nnē,nna ukwu,àda nne nnà,àda nne nnà
9,0.44920423849912927,1.5171063970610275,1.0679021585618982,nwa nna,okɛlɛ,nwa nnɛ,nwannē nwaàyì ̣,nwa nnɛ,nwa nna,okɛlɛ,nwa nnɛ,nwa nna,nwannē nwaàyì ̣,nwannē nwaàyì ̣,nwa nna,nwa nna,nwannē nwaàyì ̣,okɛlɛ,nwannē nwokē,nwannē nwokē,nwannē nwokē,nwa nna,okɛlɛ,nwa nnɛ,okɛlɛ,okɛlɛ,okɛlɛ,okɛlɛ,nwannē nwokē,okɛlɛ,nwannē nwokē,nwa nnɛ,nwa nna,nwa nnɛ,nwannē nwaàyì ̣,nwa nna,nwa nna,nwannē nwokē,nwa nnɛ,nwannē nwaàyì ̣,nwa nnɛ,nwa nna,nwa nnɛ,okɛlɛ,nwa nnɛ,nwa nna,àda nne nnà,àda nne nnē,nna ukwu,nnɛ ukwu,àda nne nnà,nna ukwu,nwa nna,àda nne nnē,àda nne nnà,nnɛ ukwu,àda nne nnē,nnà,àda nne nnà,nwa nnɛ,nne,nwa nnɛ,àda nne nnē
