simulation_number,mutual_information,entropy,conditional_entropy,mFZD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,fFZD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,mB,mZ,mFBD,mMBD,mMZD,mFBS,mMZS,meB,myB,meZ,myZ,mFeBS,mFyBS,mFeBD,mFyBD,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFBeD,mFByD,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFBD,fMBD,fMZD,fFBS,fMZS,feB,fyB,feZ,fyZ,fFeBS,fFyBS,fFeBD,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFBeD,fFByD,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mFZ,mFeZ,mFyZ,fF,fFZ,fFeZ,fFyZ,mFB,mMB,mFeB,mFyB,mMeB,mMyB,fFB,fMB,fFeB,fFyB,fMeB,fMyB
0,0.10477274158688277,0.9194610046145139,0.8146882630276311,tata,kisoni,kisoni,pangi,pikanu,bana,pangi,kisoni,kisoni,kisoni,makyani,kisoni,kisoni,bana,kisoni,bana,pikanu,kisoni,bana,kisoni,kisoni,kisoni,kisoni,kisoni,kisoni,kisoni,kisoni,pikanu,pikanu,kisoni,kisoni,kisoni,kisoni,bana,kisoni,tata,kisoni,kisoni,kisoni,pangi,kisoni,pangi,kisoni,bana,kisoni,kisoni,kisoni,makyani,kisoni,bana,makyani,kisoni,kisoni,kisoni,pangi,kisoni,makyani,bana,makyani,tata,bana,pikanu,kisoni,kisoni,bana,pikanu,pikanu,bana,tata,kisoni,kisoni,bana,kisoni,kisoni,pangi,bana,tata,kisoni,bana,pikanu,makyani,kisoni,pikanu,kisoni,kisoni,pikanu,kisoni,kisoni,kisoni,bana,gokash,tata,tata nkento,gokash,gokash,gokash,gokash,tata nkento,gokash,gokash,tata nkento,gokash,gokash,gokash,tata nkento,tata nkento,tata,gokash,gokash,tata nkento
1,0.10749890212615609,0.7909873504355757,0.6834884483094196,pikanu,bana,bana,kisoni,kisoni,pangi,makyani,kisoni,kisoni,pikanu,pikanu,kisoni,pangi,pikanu,kisoni,kisoni,kisoni,kisoni,kisoni,kisoni,bana,kisoni,pikanu,kisoni,kisoni,kisoni,makyani,pikanu,makyani,kisoni,kisoni,kisoni,bana,kisoni,kisoni,pangi,kisoni,makyani,tata,bana,kisoni,kisoni,kisoni,kisoni,kisoni,kisoni,bana,pangi,makyani,tata,bana,bana,kisoni,bana,kisoni,kisoni,bana,tata,bana,kisoni,tata,pikanu,kisoni,bana,kisoni,kisoni,pangi,kisoni,kisoni,kisoni,bana,bana,kisoni,pikanu,kisoni,kisoni,kisoni,tata,pikanu,makyani,bana,kisoni,kisoni,kisoni,kisoni,pangi,kisoni,kisoni,pikanu,kisoni,tata nkento,gokash,tata,gokash,gokash,gokash,gokash,tata nkento,gokash,gokash,gokash,gokash,tata nkento,gokash,tata nkento,gokash,gokash,tata,tata nkento,tata nkento
2,0.09874440544261276,0.9660861121637345,0.8673417067211218,bana,kisoni,kisoni,pikanu,kisoni,kisoni,kisoni,bana,kisoni,pikanu,tata,bana,kisoni,bana,kisoni,kisoni,kisoni,bana,kisoni,pangi,kisoni,makyani,kisoni,kisoni,bana,kisoni,pikanu,makyani,pikanu,kisoni,bana,kisoni,makyani,tata,pangi,kisoni,tata,kisoni,kisoni,bana,makyani,pikanu,kisoni,kisoni,pikanu,kisoni,kisoni,kisoni,pangi,pangi,kisoni,pikanu,kisoni,pikanu,kisoni,pikanu,kisoni,kisoni,makyani,bana,kisoni,kisoni,bana,tata,kisoni,kisoni,kisoni,pikanu,kisoni,kisoni,makyani,kisoni,kisoni,bana,kisoni,bana,kisoni,bana,kisoni,pangi,kisoni,tata,kisoni,pangi,kisoni,bana,kisoni,bana,kisoni,kisoni,tata,tata nkento,gokash,gokash,tata nkento,tata nkento,gokash,gokash,tata nkento,tata nkento,gokash,gokash,gokash,gokash,gokash,tata nkento,gokash,gokash,gokash,tata
3,0.12612281197395425,0.9274713714710145,0.8013485594970603,bana,kisoni,pikanu,pikanu,bana,kisoni,makyani,bana,pikanu,kisoni,makyani,kisoni,pikanu,kisoni,tata,bana,kisoni,kisoni,makyani,pikanu,kisoni,kisoni,pangi,bana,pikanu,tata,kisoni,pikanu,kisoni,bana,pikanu,bana,tata,kisoni,kisoni,kisoni,kisoni,pangi,kisoni,tata,kisoni,bana,bana,makyani,tata,kisoni,bana,kisoni,bana,kisoni,makyani,kisoni,kisoni,kisoni,pangi,pikanu,kisoni,kisoni,kisoni,pangi,kisoni,kisoni,kisoni,kisoni,pangi,kisoni,bana,bana,kisoni,pikanu,kisoni,kisoni,bana,kisoni,kisoni,kisoni,bana,pangi,kisoni,kisoni,kisoni,kisoni,kisoni,kisoni,kisoni,kisoni,kisoni,kisoni,makyani,kisoni,tata,gokash,gokash,tata nkento,gokash,tata nkento,gokash,gokash,tata nkento,tata nkento,gokash,tata nkento,tata,gokash,gokash,gokash,gokash,tata nkento,gokash,gokash
4,0.06796492328922477,0.8292995827303129,0.7613346594410881,kisoni,kisoni,bana,tata,pangi,pangi,kisoni,kisoni,kisoni,makyani,kisoni,pikanu,kisoni,pangi,kisoni,pikanu,kisoni,kisoni,bana,pikanu,tata,kisoni,bana,kisoni,kisoni,kisoni,pikanu,kisoni,kisoni,kisoni,kisoni,pangi,kisoni,bana,kisoni,bana,kisoni,pikanu,pikanu,kisoni,kisoni,tata,pikanu,kisoni,makyani,pangi,pikanu,bana,bana,kisoni,kisoni,kisoni,kisoni,kisoni,makyani,kisoni,pikanu,kisoni,bana,kisoni,kisoni,kisoni,pangi,kisoni,tata,bana,makyani,kisoni,bana,kisoni,kisoni,bana,kisoni,kisoni,kisoni,kisoni,makyani,kisoni,pikanu,kisoni,bana,bana,kisoni,kisoni,tata,bana,makyani,bana,kisoni,kisoni,gokash,tata nkento,gokash,tata nkento,tata nkento,gokash,tata nkento,gokash,gokash,gokash,gokash,gokash,gokash,tata nkento,gokash,gokash,tata nkento,gokash,tata,tata
5,0.07634961508184246,0.770111010513465,0.6937613954316225,kisoni,kisoni,kisoni,makyani,pikanu,pangi,pikanu,kisoni,kisoni,kisoni,kisoni,kisoni,kisoni,kisoni,kisoni,makyani,kisoni,bana,tata,kisoni,pikanu,kisoni,kisoni,bana,kisoni,kisoni,kisoni,bana,kisoni,kisoni,tata,bana,kisoni,kisoni,bana,pikanu,pangi,kisoni,kisoni,bana,pikanu,kisoni,kisoni,kisoni,kisoni,kisoni,kisoni,kisoni,pikanu,kisoni,kisoni,pangi,kisoni,kisoni,bana,kisoni,bana,bana,makyani,pikanu,tata,makyani,bana,bana,tata,pangi,kisoni,kisoni,kisoni,kisoni,kisoni,bana,makyani,pangi,kisoni,kisoni,bana,pikanu,kisoni,tata,kisoni,makyani,pikanu,bana,kisoni,kisoni,kisoni,pangi,pikanu,bana,gokash,gokash,gokash,tata nkento,tata nkento,gokash,tata nkento,gokash,gokash,gokash,gokash,tata nkento,tata,gokash,gokash,tata nkento,gokash,tata,gokash,tata nkento
6,0.08514629857182976,0.8906373514285671,0.8054910528567374,kisoni,tata,kisoni,bana,kisoni,kisoni,kisoni,kisoni,bana,makyani,makyani,kisoni,kisoni,kisoni,pangi,makyani,kisoni,bana,bana,bana,pikanu,pikanu,kisoni,pangi,tata,kisoni,pangi,kisoni,pikanu,kisoni,kisoni,bana,kisoni,kisoni,bana,kisoni,kisoni,kisoni,kisoni,kisoni,pikanu,kisoni,kisoni,bana,kisoni,kisoni,pangi,pangi,kisoni,kisoni,bana,kisoni,kisoni,tata,kisoni,pikanu,kisoni,kisoni,kisoni,kisoni,kisoni,kisoni,tata,makyani,bana,bana,pikanu,kisoni,pangi,bana,bana,tata,kisoni,makyani,makyani,kisoni,pikanu,kisoni,kisoni,pikanu,pikanu,kisoni,kisoni,pikanu,kisoni,kisoni,kisoni,bana,bana,kisoni,gokash,gokash,tata,tata nkento,gokash,gokash,gokash,tata nkento,tata nkento,gokash,gokash,tata nkento,tata nkento,gokash,tata,gokash,gokash,gokash,tata nkento,gokash
7,0.17994102771274367,0.8906373514285671,0.7106963237158235,kisoni,kisoni,makyani,kisoni,pangi,bana,makyani,makyani,kisoni,tata,kisoni,tata,kisoni,kisoni,kisoni,kisoni,kisoni,kisoni,kisoni,kisoni,kisoni,pikanu,bana,bana,pikanu,pangi,makyani,pikanu,pikanu,makyani,kisoni,bana,bana,pikanu,pangi,pangi,kisoni,kisoni,kisoni,tata,kisoni,pikanu,bana,kisoni,bana,pangi,kisoni,kisoni,tata,kisoni,kisoni,bana,kisoni,bana,kisoni,tata,pikanu,kisoni,kisoni,kisoni,kisoni,kisoni,bana,pikanu,kisoni,pikanu,kisoni,kisoni,kisoni,kisoni,kisoni,kisoni,bana,bana,pikanu,kisoni,kisoni,kisoni,bana,makyani,kisoni,kisoni,kisoni,bana,kisoni,kisoni,kisoni,bana,kisoni,pangi,tata,gokash,tata nkento,tata nkento,gokash,gokash,gokash,gokash,tata nkento,gokash,tata,gokash,gokash,tata nkento,gokash,gokash,gokash,gokash,tata nkento,tata nkento
8,0.10203545167030192,0.9481417812986236,0.8461063296283217,tata,pikanu,kisoni,kisoni,pikanu,pangi,kisoni,kisoni,pikanu,kisoni,kisoni,kisoni,kisoni,kisoni,bana,bana,kisoni,kisoni,bana,pikanu,kisoni,kisoni,kisoni,kisoni,pikanu,kisoni,bana,kisoni,kisoni,kisoni,makyani,pangi,kisoni,kisoni,kisoni,makyani,kisoni,bana,kisoni,kisoni,pikanu,bana,kisoni,kisoni,pangi,bana,bana,kisoni,kisoni,pangi,pikanu,bana,kisoni,kisoni,kisoni,pikanu,makyani,kisoni,makyani,tata,makyani,bana,kisoni,kisoni,tata,kisoni,pangi,kisoni,tata,bana,pikanu,kisoni,bana,bana,kisoni,kisoni,pangi,bana,makyani,kisoni,tata,kisoni,kisoni,kisoni,pikanu,kisoni,kisoni,kisoni,bana,kisoni,tata nkento,gokash,gokash,tata nkento,gokash,gokash,tata nkento,gokash,gokash,gokash,gokash,gokash,gokash,tata nkento,tata,tata,tata nkento,gokash,tata nkento,gokash
9,0.0981129627438514,0.8831401948154944,0.785027232071643,kisoni,kisoni,bana,makyani,tata,kisoni,kisoni,pikanu,kisoni,kisoni,makyani,pikanu,bana,bana,kisoni,bana,kisoni,kisoni,kisoni,makyani,bana,kisoni,bana,pangi,kisoni,bana,pangi,pikanu,pikanu,kisoni,pikanu,bana,bana,kisoni,kisoni,pikanu,kisoni,kisoni,tata,pangi,kisoni,kisoni,kisoni,pikanu,kisoni,kisoni,makyani,pikanu,kisoni,kisoni,pikanu,bana,bana,kisoni,kisoni,kisoni,pangi,kisoni,kisoni,kisoni,kisoni,bana,kisoni,kisoni,kisoni,bana,bana,kisoni,kisoni,tata,kisoni,tata,kisoni,tata,pikanu,kisoni,kisoni,kisoni,makyani,kisoni,pangi,bana,kisoni,pangi,kisoni,kisoni,kisoni,makyani,kisoni,kisoni,gokash,tata nkento,tata,gokash,tata,gokash,gokash,gokash,gokash,tata nkento,gokash,tata nkento,gokash,gokash,gokash,tata nkento,tata nkento,tata nkento,gokash,gokash
