simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.05943550784469953,1.1397322162276198,1.0802967083829202,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,sestra,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,brat,dvojúrodnyj brat,dvojúrodnaja sestrá,sestra,brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,sestra,sestra,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,sestra,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,sestra,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,djádja,djádja,djádja,tjótja,tjótja,djádja,djádja,tjótja,tjótja,djádja,djádja,tjótja,tjótja,djádja,otets,tjótja,otets,mat',djádja,djádja,mat',djádja,tjótja,tjótja,tjótja,tjótja,djádja,tjótja
1,0.05434454532867661,1.1247324941389025,1.070387948810226,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,sestra,brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,sestra,brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,brat,dvojúrodnyj brat,sestra,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,sestra,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,sestra,brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,sestra,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,brat,brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,djádja,mat',tjótja,tjótja,tjótja,djádja,otets,tjótja,djádja,djádja,mat',tjótja,djádja,djádja,tjótja,tjótja,otets,tjótja,tjótja,djádja,djádja,djádja,djádja,tjótja,djádja,djádja,tjótja,tjótja
2,0.06601444331312867,1.0798307037434225,1.0138162604302938,dvojúrodnyj brat,dvojúrodnaja sestrá,brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,brat,dvojúrodnaja sestrá,brat,brat,sestra,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,sestra,dvojúrodnyj brat,sestra,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,sestra,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,sestra,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,sestra,dvojúrodnyj brat,dvojúrodnyj brat,brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,djádja,djádja,tjótja,otets,djádja,tjótja,djádja,tjótja,otets,djádja,djádja,mat',djádja,djádja,tjótja,djádja,djádja,tjótja,tjótja,tjótja,tjótja,tjótja,djádja,tjótja,tjótja,tjótja,djádja,mat'
3,0.057731621676829104,1.16779985634795,1.1100682346711208,brat,brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,sestra,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,sestra,sestra,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,sestra,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,sestra,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,sestra,dvojúrodnaja sestrá,tjótja,djádja,otets,otets,mat',tjótja,tjótja,djádja,tjótja,tjótja,tjótja,mat',djádja,tjótja,djádja,djádja,tjótja,tjótja,djádja,tjótja,djádja,tjótja,djádja,djádja,djádja,djádja,tjótja,djádja
4,0.049415185380802695,1.0294709284964414,0.9800557431156387,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,sestra,sestra,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,sestra,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,brat,dvojúrodnyj brat,dvojúrodnaja sestrá,brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,sestra,brat,sestra,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,sestra,dvojúrodnyj brat,dvojúrodnaja sestrá,brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,djádja,tjótja,tjótja,djádja,djádja,tjótja,tjótja,djádja,tjótja,mat',tjótja,otets,djádja,djádja,tjótja,djádja,tjótja,djádja,tjótja,djádja,djádja,tjótja,mat',otets,djádja,djádja,tjótja,tjótja
5,0.07440971466809265,1.166666376116316,1.0922566614482234,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,brat,sestra,dvojúrodnyj brat,dvojúrodnyj brat,brat,sestra,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,sestra,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,sestra,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,sestra,brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,brat,sestra,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,djádja,djádja,tjótja,otets,tjótja,tjótja,djádja,djádja,djádja,djádja,djádja,tjótja,tjótja,tjótja,tjótja,tjótja,tjótja,mat',djádja,mat',djádja,djádja,tjótja,tjótja,tjótja,otets,djádja,djádja
6,0.06640909241364668,1.1201846896171463,1.0537755972034997,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,sestra,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,brat,dvojúrodnyj brat,brat,sestra,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,sestra,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,sestra,dvojúrodnyj brat,dvojúrodnyj brat,brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,sestra,dvojúrodnaja sestrá,brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,sestra,dvojúrodnaja sestrá,tjótja,tjótja,djádja,tjótja,djádja,otets,djádja,djádja,djádja,mat',tjótja,djádja,tjótja,tjótja,djádja,tjótja,tjótja,djádja,djádja,otets,tjótja,tjótja,djádja,tjótja,djádja,mat',tjótja,djádja
7,0.0673617198034373,1.0787753357044239,1.0114136159009866,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,sestra,brat,brat,dvojúrodnyj brat,dvojúrodnyj brat,sestra,sestra,dvojúrodnyj brat,dvojúrodnaja sestrá,brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,sestra,dvojúrodnaja sestrá,dvojúrodnaja sestrá,brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,sestra,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,sestra,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,djádja,mat',tjótja,djádja,djádja,mat',djádja,otets,tjótja,djádja,tjótja,djádja,tjótja,tjótja,djádja,tjótja,tjótja,tjótja,tjótja,tjótja,djádja,otets,tjótja,djádja,djádja,djádja,djádja,tjótja
8,0.10321809621985545,1.0762815311530087,0.9730634349331533,dvojúrodnaja sestrá,brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,sestra,sestra,dvojúrodnyj brat,brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,sestra,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,sestra,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,sestra,dvojúrodnyj brat,sestra,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,brat,dvojúrodnyj brat,dvojúrodnaja sestrá,brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,djádja,tjótja,tjótja,tjótja,tjótja,tjótja,djádja,djádja,djádja,djádja,djádja,djádja,otets,tjótja,tjótja,tjótja,djádja,otets,tjótja,djádja,tjótja,tjótja,djádja,mat',djádja,djádja,tjótja,mat'
9,0.07656178546017367,1.0798307037434227,1.003268918283249,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,brat,sestra,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,sestra,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,sestra,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,sestra,dvojúrodnyj brat,dvojúrodnyj brat,sestra,dvojúrodnaja sestrá,brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,sestra,brat,brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnyj brat,dvojúrodnaja sestrá,dvojúrodnyj brat,dvojúrodnaja sestrá,djádja,djádja,djádja,djádja,tjótja,tjótja,tjótja,tjótja,djádja,tjótja,djádja,djádja,otets,djádja,djádja,tjótja,tjótja,tjótja,tjótja,otets,tjótja,tjótja,djádja,mat',tjótja,mat',djádja,djádja
