simulation_number,mutual_information,entropy,conditional_entropy,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mMBS,mMZS,mFeBS,mFyBS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fMBS,fMZS,fFeBS,fFyBS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.2141535060551576,1.6431300525712549,1.4289765465160973,e,posi,tu,ka,eti,ka,posi,eti,eti,eti,posi,posi,posi,ka,posi,e,ka,eti,eti,tu,posi,e,posi,ka,posi,tu,eti,posi,posi,e,tu,posi,tu,posi,e,tu,e,e,ka,posi,eti,tu,ka,tu,eti,tu,tu,posi,e,posi,tu,tu,tu,posi,tu,tu,posi,posi,tu,ka,e,e,tu,tu,tu,eti,ka,eti,ka,posi,ka,ka,tu,kumi,de,toiti,kumi,de,kati,de,kati,toiti,kuli,toiti,kati,kumi,kati,kati,konti,kumi,toiti,kati,de,kuli,kumi,konti,kumi,de,de,toiti,toiti
1,0.16276520965737862,1.68295866701676,1.5201934573593814,eti,ka,eti,e,e,posi,e,ka,tu,ka,posi,tu,eti,tu,e,posi,tu,posi,tu,tu,tu,posi,eti,e,tu,posi,posi,tu,tu,posi,tu,ka,posi,e,tu,tu,eti,posi,tu,eti,tu,ka,ka,posi,posi,posi,posi,tu,e,posi,e,posi,tu,tu,ka,posi,tu,posi,ka,eti,posi,ka,e,ka,ka,tu,eti,posi,eti,ka,eti,e,eti,de,kuli,kumi,kati,kati,de,toiti,toiti,kumi,de,konti,toiti,kati,toiti,kumi,kumi,kati,kumi,kuli,kati,toiti,de,toiti,kati,kumi,konti,de,de
2,0.2096434369480049,1.6923459592618266,1.4827025223138217,e,tu,posi,e,posi,posi,ka,e,tu,ka,tu,eti,posi,posi,eti,e,posi,tu,posi,tu,ka,eti,ka,ka,posi,posi,tu,tu,tu,tu,eti,tu,posi,posi,tu,eti,tu,posi,tu,e,posi,tu,e,eti,e,ka,posi,posi,posi,ka,e,tu,ka,posi,tu,tu,ka,e,eti,eti,e,ka,tu,ka,eti,tu,posi,tu,eti,ka,posi,posi,eti,kati,kati,toiti,kumi,kumi,toiti,toiti,toiti,kumi,kumi,de,kumi,kati,de,konti,de,de,kumi,kuli,kati,kuli,toiti,de,konti,kati,kati,toiti,de
3,0.14588845472711043,1.690016558533935,1.5441281038068246,e,tu,ka,ka,ka,ka,tu,tu,ka,eti,posi,tu,e,posi,tu,posi,posi,tu,eti,ka,tu,tu,eti,eti,tu,tu,tu,e,tu,tu,tu,posi,e,ka,e,ka,ka,posi,posi,posi,posi,posi,e,posi,tu,ka,e,e,posi,posi,tu,e,eti,ka,eti,posi,posi,eti,posi,posi,eti,e,eti,posi,tu,tu,tu,tu,posi,eti,posi,eti,ka,kuli,toiti,kumi,kuli,toiti,de,toiti,kumi,de,de,kati,kumi,konti,kumi,kati,kati,toiti,konti,kati,kati,toiti,de,de,toiti,kumi,kumi,de,kati
4,0.19280874730522246,1.7086833894448237,1.5158746421396012,e,eti,posi,posi,posi,posi,ka,posi,tu,tu,tu,posi,tu,posi,tu,eti,ka,tu,ka,e,e,e,tu,eti,posi,ka,eti,eti,tu,posi,tu,ka,posi,posi,e,tu,eti,ka,ka,e,tu,posi,posi,tu,posi,posi,ka,tu,posi,e,e,posi,e,tu,e,eti,ka,tu,posi,tu,ka,posi,ka,eti,eti,tu,tu,ka,posi,tu,eti,eti,tu,kumi,de,toiti,kuli,kati,kuli,kumi,toiti,kati,kumi,kati,kati,kumi,kati,konti,kumi,de,de,toiti,de,konti,de,kati,toiti,toiti,toiti,de,kumi
5,0.18902573832138514,1.615322495154343,1.4262967568329579,e,tu,posi,tu,tu,e,e,eti,e,tu,eti,ka,tu,tu,ka,tu,eti,ka,tu,ka,eti,tu,tu,posi,e,eti,posi,ka,ka,posi,posi,tu,posi,e,eti,tu,posi,ka,posi,ka,eti,tu,posi,eti,posi,posi,posi,eti,posi,tu,eti,posi,e,posi,tu,tu,e,posi,ka,posi,eti,posi,ka,tu,ka,tu,tu,posi,e,e,tu,ka,posi,de,de,toiti,de,kati,de,kumi,konti,kumi,de,toiti,kumi,toiti,kati,toiti,kati,kati,toiti,kati,de,toiti,kuli,kumi,konti,kumi,kati,kuli,kumi
6,0.22242227080861854,1.6388253724455732,1.4164031016369547,tu,tu,posi,e,e,e,posi,tu,tu,ka,tu,posi,ka,posi,posi,eti,tu,eti,e,e,eti,tu,tu,tu,tu,ka,tu,eti,eti,ka,posi,tu,e,posi,ka,ka,posi,eti,tu,eti,ka,e,posi,ka,posi,posi,posi,posi,posi,posi,ka,eti,eti,posi,tu,tu,ka,tu,tu,tu,ka,eti,posi,e,posi,tu,tu,e,eti,posi,ka,posi,e,kumi,kuli,kati,kumi,toiti,de,kati,de,kumi,kumi,kati,kuli,toiti,toiti,de,de,de,de,toiti,kumi,toiti,kumi,kati,konti,kati,kati,konti,toiti
7,0.22479141518997436,1.6780375243705872,1.4532461091806128,eti,e,tu,ka,ka,tu,tu,tu,e,posi,posi,eti,tu,posi,ka,tu,e,posi,tu,eti,posi,posi,eti,ka,e,ka,eti,posi,eti,ka,e,posi,ka,tu,posi,eti,posi,tu,e,tu,e,e,posi,ka,ka,tu,tu,tu,posi,tu,tu,ka,tu,e,e,posi,posi,eti,tu,posi,tu,ka,tu,posi,posi,ka,tu,posi,eti,posi,posi,eti,eti,de,toiti,kumi,toiti,kati,kuli,toiti,kati,de,de,kumi,konti,toiti,konti,toiti,kati,kati,kati,kumi,kumi,de,kumi,kuli,de,kati,de,kumi,toiti
8,0.2201393608101614,1.7182688070635292,1.4981294462533679,posi,ka,tu,tu,tu,eti,ka,posi,e,tu,e,tu,tu,tu,tu,tu,ka,posi,eti,eti,posi,ka,ka,posi,posi,tu,posi,posi,eti,ka,tu,eti,e,tu,e,tu,eti,eti,posi,ka,posi,posi,tu,ka,tu,e,ka,ka,posi,e,ka,tu,e,posi,tu,ka,posi,posi,e,posi,e,posi,posi,eti,posi,posi,e,eti,eti,tu,tu,eti,tu,toiti,konti,kati,de,kuli,de,toiti,kuli,toiti,de,kati,toiti,kumi,kumi,de,kati,konti,kati,de,toiti,de,toiti,kumi,kumi,kati,kumi,kumi,kati
9,0.22599474486266113,1.6457035952593424,1.4197088503966813,posi,posi,tu,posi,posi,posi,tu,eti,eti,eti,ka,posi,posi,e,posi,e,ka,ka,e,tu,eti,posi,tu,ka,posi,e,ka,e,ka,eti,tu,tu,posi,tu,posi,e,ka,tu,eti,tu,tu,posi,eti,e,tu,posi,posi,ka,tu,tu,tu,ka,tu,e,tu,tu,posi,posi,eti,eti,posi,eti,e,tu,ka,ka,tu,posi,e,eti,posi,tu,ka,kati,toiti,toiti,de,kati,kati,kumi,kuli,konti,de,kuli,toiti,konti,kati,toiti,de,kati,kati,kumi,de,kumi,toiti,toiti,de,kumi,kumi,kumi,de
