simulation_number,mutual_information,entropy,conditional_entropy,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,NA,NA,NA,noyung,noyung,somba,tua daying,tua daying,somba,tua dari,tua dari,tua dari,tua dari,somba,tua daying,noyung,noyung,somba,tua daying
1,NA,NA,NA,somba,tua dari,tua dari,tua daying,noyung,somba,tua daying,noyung,tua daying,tua dari,somba,tua daying,noyung,somba,tua dari,noyung
2,NA,NA,NA,somba,tua daying,noyung,somba,tua dari,noyung,somba,tua dari,tua dari,somba,noyung,tua daying,tua dari,tua daying,noyung,tua daying
3,NA,NA,NA,noyung,somba,tua daying,tua daying,tua dari,tua dari,tua dari,tua dari,somba,tua daying,somba,somba,tua daying,noyung,noyung,noyung
4,NA,NA,NA,tua dari,somba,somba,somba,tua dari,tua dari,tua daying,tua daying,noyung,noyung,tua daying,noyung,somba,noyung,tua dari,tua daying
5,NA,NA,NA,somba,noyung,tua dari,tua dari,tua dari,noyung,somba,tua daying,tua dari,tua daying,somba,tua daying,tua daying,somba,noyung,noyung
6,NA,NA,NA,somba,tua dari,noyung,noyung,tua dari,tua daying,tua daying,tua dari,noyung,somba,tua dari,noyung,tua daying,somba,tua daying,somba
7,NA,NA,NA,somba,somba,tua daying,somba,noyung,somba,noyung,tua dari,tua daying,tua dari,noyung,tua dari,tua daying,noyung,tua daying,tua dari
8,NA,NA,NA,tua daying,somba,noyung,somba,somba,tua dari,noyung,tua daying,somba,tua dari,noyung,tua daying,noyung,tua daying,tua dari,tua dari
9,NA,NA,NA,tua daying,noyung,noyung,somba,tua dari,noyung,somba,tua dari,tua dari,tua daying,tua dari,tua daying,somba,somba,tua daying,noyung
