simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.10109274270407276,1.034601232910181,0.9335084902061083,yapa,waawa,yapa,yapa,yapa,yapa,waawa,"gutha', yukuyuku",yapa,"gutha', yukuyuku",waawa,"gutha', yukuyuku",yapa,waawa,"gutha', yukuyuku","gutha', yukuyuku",yapa,waawa,"gutha', yukuyuku",yapa,yapa,yapa,waawa,yapa,gyukuyuku,"gutha', yukuyuku",yapa,yapa,waawa,yapa,waawa,"gutha', yukuyuku",yapa,"gutha', yukuyuku",yapa,yapa,yapa,yapa,"amala, mgaarndi, ngaarnrdi",ngapipi,"baapa, maarlu'",ngapipi,"amala, mgaarndi, ngaarnrdi","amala, mgaarndi, ngaarnrdi","baapa, maarlu'",ngapipi,"baapa, maarlu'",ngapipi,"baapa, maarlu'","amala, mgaarndi, ngaarnrdi","baapa, maarlu'","baapa, maarlu'",mukul,"amala, mgaarndi, ngaarnrdi",mukul,mukul,mukul,"amala, mgaarndi, ngaarnrdi"
1,0.06312851080896043,0.5195798391305154,0.456451328321555,yapa,"gutha', yukuyuku",yapa,yapa,waawa,yapa,yapa,"gutha', yukuyuku",yapa,yapa,yapa,"gutha', yukuyuku",waawa,yapa,yapa,yapa,yapa,yapa,yapa,"gutha', yukuyuku",waawa,waawa,yapa,yapa,waawa,yapa,waawa,yapa,waawa,"gutha', yukuyuku",yapa,"gutha', yukuyuku","gutha', yukuyuku","gutha', yukuyuku","gutha', yukuyuku",yapa,gyukuyuku,waawa,"amala, mgaarndi, ngaarnrdi","baapa, maarlu'","baapa, maarlu'","baapa, maarlu'","baapa, maarlu'","amala, mgaarndi, ngaarnrdi",ngapipi,ngapipi,"amala, mgaarndi, ngaarnrdi","amala, mgaarndi, ngaarnrdi",mukul,mukul,"baapa, maarlu'","amala, mgaarndi, ngaarnrdi",ngapipi,"amala, mgaarndi, ngaarnrdi",ngapipi,"baapa, maarlu'",mukul,mukul
2,0.14341200076168015,1.034601232910181,0.8911892321485009,gyukuyuku,"gutha', yukuyuku",waawa,yapa,"gutha', yukuyuku",waawa,yapa,yapa,waawa,yapa,"gutha', yukuyuku",yapa,yapa,yapa,waawa,yapa,yapa,"gutha', yukuyuku",yapa,yapa,yapa,yapa,waawa,yapa,yapa,yapa,yapa,"gutha', yukuyuku","gutha', yukuyuku",yapa,"gutha', yukuyuku",waawa,yapa,waawa,waawa,"gutha', yukuyuku","gutha', yukuyuku",yapa,ngapipi,"amala, mgaarndi, ngaarnrdi","amala, mgaarndi, ngaarnrdi","baapa, maarlu'",mukul,ngapipi,mukul,"amala, mgaarndi, ngaarnrdi","baapa, maarlu'","amala, mgaarndi, ngaarnrdi",ngapipi,"baapa, maarlu'","baapa, maarlu'",ngapipi,"amala, mgaarndi, ngaarnrdi",mukul,mukul,"baapa, maarlu'","amala, mgaarndi, ngaarnrdi","baapa, maarlu'"
3,0.2868240015233601,1.3760552852604169,1.0892312837370568,yapa,yapa,yapa,gyukuyuku,yapa,waawa,waawa,waawa,waawa,yapa,yapa,waawa,yapa,yapa,yapa,yapa,"gutha', yukuyuku","gutha', yukuyuku","gutha', yukuyuku",yapa,waawa,waawa,yapa,yapa,"gutha', yukuyuku",yapa,yapa,yapa,"gutha', yukuyuku","gutha', yukuyuku","gutha', yukuyuku",yapa,yapa,"gutha', yukuyuku",waawa,yapa,yapa,"gutha', yukuyuku",ngapipi,"amala, mgaarndi, ngaarnrdi","baapa, maarlu'",mukul,ngapipi,mukul,ngapipi,"amala, mgaarndi, ngaarnrdi","baapa, maarlu'",ngapipi,"baapa, maarlu'",mukul,"baapa, maarlu'","amala, mgaarndi, ngaarnrdi","baapa, maarlu'","amala, mgaarndi, ngaarnrdi","amala, mgaarndi, ngaarnrdi","baapa, maarlu'","amala, mgaarndi, ngaarnrdi",mukul
4,0.1060371333499266,1.034601232910181,0.9285640995602544,"gutha', yukuyuku",yapa,"gutha', yukuyuku",yapa,yapa,gyukuyuku,waawa,"gutha', yukuyuku",waawa,yapa,yapa,yapa,waawa,yapa,waawa,yapa,yapa,"gutha', yukuyuku",yapa,"gutha', yukuyuku","gutha', yukuyuku","gutha', yukuyuku",yapa,waawa,yapa,"gutha', yukuyuku",waawa,yapa,yapa,yapa,yapa,yapa,"gutha', yukuyuku",waawa,yapa,yapa,yapa,waawa,"amala, mgaarndi, ngaarnrdi",ngapipi,ngapipi,mukul,"amala, mgaarndi, ngaarnrdi","baapa, maarlu'","amala, mgaarndi, ngaarnrdi","amala, mgaarndi, ngaarnrdi","baapa, maarlu'",mukul,"baapa, maarlu'","baapa, maarlu'",mukul,ngapipi,"amala, mgaarndi, ngaarnrdi",mukul,"amala, mgaarndi, ngaarnrdi","baapa, maarlu'","baapa, maarlu'",ngapipi
5,0.24243302655595822,1.0346012329101812,0.792168206354223,waawa,yapa,"gutha', yukuyuku",yapa,waawa,"gutha', yukuyuku","gutha', yukuyuku",yapa,"gutha', yukuyuku",yapa,waawa,yapa,yapa,yapa,waawa,waawa,yapa,yapa,yapa,"gutha', yukuyuku",yapa,waawa,yapa,"gutha', yukuyuku","gutha', yukuyuku",waawa,yapa,gyukuyuku,yapa,"gutha', yukuyuku",yapa,yapa,yapa,yapa,yapa,waawa,yapa,"gutha', yukuyuku","amala, mgaarndi, ngaarnrdi",mukul,"amala, mgaarndi, ngaarnrdi",ngapipi,"amala, mgaarndi, ngaarnrdi","baapa, maarlu'",ngapipi,mukul,ngapipi,"baapa, maarlu'","baapa, maarlu'","baapa, maarlu'",mukul,"baapa, maarlu'","amala, mgaarndi, ngaarnrdi",ngapipi,"baapa, maarlu'",mukul,"amala, mgaarndi, ngaarnrdi","amala, mgaarndi, ngaarnrdi"
6,0.1284401265992577,0.5195798391305154,0.39113971253125773,yapa,yapa,yapa,waawa,waawa,"gutha', yukuyuku","gutha', yukuyuku",yapa,"gutha', yukuyuku","gutha', yukuyuku",gyukuyuku,"gutha', yukuyuku",yapa,yapa,waawa,yapa,waawa,yapa,waawa,yapa,yapa,yapa,waawa,"gutha', yukuyuku",yapa,waawa,"gutha', yukuyuku",yapa,yapa,"gutha', yukuyuku",yapa,yapa,waawa,yapa,yapa,yapa,"gutha', yukuyuku",yapa,"amala, mgaarndi, ngaarnrdi","baapa, maarlu'","amala, mgaarndi, ngaarnrdi","amala, mgaarndi, ngaarnrdi","baapa, maarlu'",mukul,mukul,"amala, mgaarndi, ngaarnrdi",mukul,"baapa, maarlu'","amala, mgaarndi, ngaarnrdi",mukul,ngapipi,"baapa, maarlu'","amala, mgaarndi, ngaarnrdi",ngapipi,ngapipi,"baapa, maarlu'","baapa, maarlu'",ngapipi
7,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,waawa,"gutha', yukuyuku",yapa,yapa,"gutha', yukuyuku",waawa,"gutha', yukuyuku",yapa,yapa,yapa,yapa,waawa,gyukuyuku,yapa,yapa,waawa,"gutha', yukuyuku",yapa,waawa,"gutha', yukuyuku",yapa,yapa,waawa,yapa,yapa,"gutha', yukuyuku",yapa,yapa,yapa,"gutha', yukuyuku","gutha', yukuyuku",yapa,waawa,yapa,yapa,yapa,waawa,"gutha', yukuyuku","baapa, maarlu'","amala, mgaarndi, ngaarnrdi","amala, mgaarndi, ngaarnrdi","baapa, maarlu'","amala, mgaarndi, ngaarnrdi",ngapipi,mukul,ngapipi,"amala, mgaarndi, ngaarnrdi","amala, mgaarndi, ngaarnrdi","baapa, maarlu'",mukul,mukul,ngapipi,ngapipi,"baapa, maarlu'","amala, mgaarndi, ngaarnrdi","baapa, maarlu'",mukul,"baapa, maarlu'"
8,0.2120742666998533,0.9799711820833054,0.7678969153834521,yapa,"gutha', yukuyuku",waawa,"gutha', yukuyuku",yapa,yapa,gyukuyuku,"gutha', yukuyuku","gutha', yukuyuku",yapa,yapa,"gutha', yukuyuku",waawa,yapa,yapa,"gutha', yukuyuku",yapa,waawa,yapa,yapa,yapa,yapa,yapa,"gutha', yukuyuku",yapa,yapa,waawa,yapa,waawa,yapa,waawa,yapa,yapa,"gutha', yukuyuku",waawa,"gutha', yukuyuku",yapa,waawa,mukul,"amala, mgaarndi, ngaarnrdi","baapa, maarlu'","baapa, maarlu'","baapa, maarlu'",ngapipi,"baapa, maarlu'",mukul,"baapa, maarlu'","amala, mgaarndi, ngaarnrdi","baapa, maarlu'","amala, mgaarndi, ngaarnrdi","amala, mgaarndi, ngaarnrdi",ngapipi,ngapipi,mukul,ngapipi,mukul,"amala, mgaarndi, ngaarnrdi","amala, mgaarndi, ngaarnrdi"
9,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,yapa,yapa,"gutha', yukuyuku",yapa,yapa,"gutha', yukuyuku",waawa,"gutha', yukuyuku","gutha', yukuyuku",waawa,yapa,yapa,yapa,yapa,"gutha', yukuyuku",yapa,gyukuyuku,waawa,yapa,waawa,yapa,waawa,yapa,waawa,yapa,"gutha', yukuyuku",waawa,waawa,yapa,yapa,"gutha', yukuyuku","gutha', yukuyuku",yapa,yapa,"gutha', yukuyuku",yapa,yapa,yapa,"amala, mgaarndi, ngaarnrdi",mukul,mukul,"amala, mgaarndi, ngaarnrdi","amala, mgaarndi, ngaarnrdi",mukul,mukul,"baapa, maarlu'",ngapipi,"baapa, maarlu'","baapa, maarlu'",ngapipi,ngapipi,"baapa, maarlu'","baapa, maarlu'","baapa, maarlu'",ngapipi,"amala, mgaarndi, ngaarnrdi","amala, mgaarndi, ngaarnrdi","amala, mgaarndi, ngaarnrdi"
