simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mMBD,mMZD,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeBD,mFyBD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fMBD,fMZD,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeBD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFZ,mMB,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fFeB,fFyB,fMeZ,fMyZ,fFeZ,fFyZ,fMeB,fMyB
0,0.37717457202536564,1.9687063066991497,1.591531734673784,makweru,manana kokwane,kokwane,ndisana,ndisana,ntukulu,ntukulu,ntukulu,ntukulu,makweru,makweru,manana kokwane,makweru,ndisana,ndisana,manana kokwane,makweru,makweru,kokwane,ntukulu,makweru,manana kokwane,makweru,ntukulu,makweru,manana kokwane,makweru,kokwane,hosi ya mina,makweru,ntukulu,ntukulu,makweru,hosi ya mina,hosi ya mina,ntukulu,makweru,hosi ya mina,makweru,makweru,kokwane,makweru,ntukulu,manana kokwane,makweru,kokwane,makweru,ntukulu,makweru,makweru,hosi,kokwane,hosi ya mina,makweru,makweru,makweru,ntukulu,hosi,kokwane,manana kokwane,manana kokwane,manana kokwane,kokwane,kokwane,ntukulu,hosi ya mina,kokwane,ntukulu,ntukulu,makweru,makweru,ntukulu,ntukulu,manana kokwane,ntukulu,ntukulu,ntukulu,makweru,malume,tatana,manana,malume,hahane,manana lo'nkulu,hahane,tatana lo'nkulu,manana,hahane,malume,tatana lo'ntsongo,manana lo'tongo,hahane,manana lo'tongo,manana lo'nkulu,tatana lo'nkulu,malume,malume,tatana,hahane,tatana lo'ntsongo,malume,hahane
1,0.3731527833449346,1.8919725565454155,1.518819773200481,ntukulu,makweru,makweru,kokwane,kokwane,kokwane,hosi ya mina,kokwane,manana kokwane,makweru,makweru,hosi ya mina,manana kokwane,ntukulu,manana kokwane,ntukulu,ndisana,ntukulu,makweru,makweru,kokwane,hosi ya mina,manana kokwane,makweru,ntukulu,ntukulu,makweru,ntukulu,ntukulu,ntukulu,makweru,makweru,kokwane,hosi ya mina,ntukulu,makweru,ntukulu,manana kokwane,manana kokwane,manana kokwane,makweru,hosi ya mina,makweru,kokwane,makweru,ntukulu,kokwane,makweru,ndisana,kokwane,ntukulu,makweru,hosi,makweru,manana kokwane,ntukulu,makweru,makweru,ndisana,makweru,makweru,makweru,makweru,manana kokwane,ntukulu,ndisana,kokwane,ntukulu,hosi ya mina,makweru,ntukulu,makweru,manana kokwane,ntukulu,makweru,ntukulu,hosi,ntukulu,manana,hahane,hahane,hahane,tatana lo'nkulu,malume,tatana lo'nkulu,manana lo'tongo,manana lo'nkulu,manana lo'tongo,tatana lo'ntsongo,manana lo'nkulu,malume,manana,tatana,malume,hahane,malume,malume,hahane,tatana,tatana lo'ntsongo,hahane,malume
2,0.3566872265551888,1.9369688105195597,1.580281583964371,makweru,kokwane,ntukulu,makweru,makweru,hosi ya mina,makweru,ntukulu,makweru,manana kokwane,makweru,makweru,manana kokwane,ntukulu,makweru,ntukulu,makweru,kokwane,hosi ya mina,ntukulu,ndisana,manana kokwane,kokwane,makweru,makweru,ntukulu,kokwane,ndisana,ntukulu,ntukulu,ntukulu,makweru,ntukulu,hosi ya mina,makweru,ntukulu,manana kokwane,ntukulu,makweru,kokwane,ntukulu,makweru,manana kokwane,manana kokwane,makweru,ntukulu,manana kokwane,ndisana,makweru,makweru,hosi,hosi ya mina,makweru,makweru,ntukulu,hosi ya mina,makweru,makweru,makweru,kokwane,ndisana,kokwane,manana kokwane,ntukulu,kokwane,ntukulu,makweru,kokwane,makweru,hosi,ntukulu,manana kokwane,makweru,kokwane,ntukulu,hosi ya mina,ntukulu,manana kokwane,manana lo'tongo,tatana,hahane,malume,hahane,tatana lo'nkulu,tatana lo'nkulu,malume,hahane,tatana lo'ntsongo,hahane,hahane,manana,tatana,manana lo'tongo,malume,manana lo'nkulu,malume,malume,manana,hahane,manana lo'nkulu,malume,tatana lo'ntsongo
3,0.3542901799470768,1.924120167332274,1.5698299873851973,manana kokwane,makweru,makweru,manana kokwane,makweru,kokwane,makweru,makweru,makweru,ntukulu,makweru,kokwane,makweru,kokwane,manana kokwane,hosi ya mina,kokwane,hosi ya mina,hosi ya mina,kokwane,ntukulu,makweru,hosi ya mina,ndisana,makweru,makweru,kokwane,makweru,makweru,ntukulu,ntukulu,ntukulu,makweru,ntukulu,ntukulu,ntukulu,manana kokwane,makweru,ntukulu,ntukulu,makweru,kokwane,manana kokwane,ntukulu,ndisana,ntukulu,hosi,manana kokwane,makweru,kokwane,ntukulu,makweru,ntukulu,makweru,kokwane,manana kokwane,makweru,ntukulu,ntukulu,ntukulu,makweru,makweru,makweru,makweru,hosi,hosi ya mina,makweru,manana kokwane,manana kokwane,manana kokwane,ndisana,ntukulu,ntukulu,kokwane,makweru,ntukulu,hosi ya mina,ndisana,manana lo'tongo,manana lo'nkulu,manana,tatana lo'ntsongo,hahane,manana lo'tongo,hahane,malume,malume,tatana lo'nkulu,hahane,tatana,hahane,malume,malume,malume,manana lo'nkulu,tatana lo'nkulu,tatana lo'ntsongo,hahane,manana,tatana,hahane,malume
4,0.35153601582254956,1.927546781160753,1.5760107653382034,ntukulu,makweru,makweru,hosi ya mina,ntukulu,ntukulu,ntukulu,kokwane,makweru,kokwane,ntukulu,ntukulu,ntukulu,makweru,ntukulu,makweru,makweru,hosi ya mina,ntukulu,makweru,makweru,ntukulu,manana kokwane,makweru,makweru,makweru,makweru,makweru,kokwane,hosi,manana kokwane,kokwane,manana kokwane,ntukulu,manana kokwane,ntukulu,manana kokwane,ndisana,hosi ya mina,ntukulu,makweru,hosi ya mina,makweru,ndisana,makweru,manana kokwane,kokwane,kokwane,hosi ya mina,makweru,manana kokwane,makweru,kokwane,ntukulu,manana kokwane,ndisana,ntukulu,hosi ya mina,makweru,makweru,makweru,hosi,kokwane,makweru,ntukulu,ntukulu,kokwane,makweru,ntukulu,manana kokwane,kokwane,makweru,ndisana,ntukulu,manana kokwane,ntukulu,makweru,makweru,malume,tatana lo'nkulu,tatana,manana,hahane,manana lo'nkulu,malume,manana lo'tongo,tatana lo'nkulu,manana lo'nkulu,tatana lo'ntsongo,hahane,hahane,tatana lo'ntsongo,malume,tatana,malume,manana lo'tongo,manana,hahane,hahane,malume,hahane,malume
5,0.33837054490804874,1.9041891191998443,1.5658185742917956,makweru,ntukulu,makweru,kokwane,kokwane,makweru,makweru,makweru,makweru,hosi ya mina,manana kokwane,ntukulu,ntukulu,ntukulu,makweru,manana kokwane,ntukulu,makweru,ndisana,ntukulu,makweru,hosi,hosi ya mina,manana kokwane,makweru,hosi ya mina,ndisana,manana kokwane,ntukulu,makweru,makweru,manana kokwane,makweru,manana kokwane,makweru,makweru,manana kokwane,kokwane,manana kokwane,makweru,makweru,makweru,makweru,hosi,makweru,ntukulu,ntukulu,manana kokwane,hosi ya mina,makweru,kokwane,hosi ya mina,kokwane,kokwane,ntukulu,manana kokwane,hosi ya mina,makweru,ntukulu,makweru,kokwane,ntukulu,ntukulu,ntukulu,ntukulu,makweru,ntukulu,kokwane,kokwane,ntukulu,ndisana,ntukulu,kokwane,makweru,ndisana,ntukulu,ntukulu,makweru,malume,tatana lo'ntsongo,malume,malume,tatana,tatana lo'nkulu,hahane,hahane,manana lo'tongo,tatana lo'nkulu,hahane,tatana,manana,tatana lo'ntsongo,hahane,manana lo'tongo,malume,hahane,manana lo'nkulu,malume,manana,manana lo'nkulu,malume,hahane
6,0.3743842028869979,1.8514853767543653,1.4771011738673674,ntukulu,ndisana,makweru,makweru,hosi,hosi,hosi ya mina,makweru,makweru,ntukulu,kokwane,makweru,ntukulu,ntukulu,kokwane,ntukulu,makweru,makweru,ntukulu,kokwane,manana kokwane,manana kokwane,kokwane,kokwane,ntukulu,kokwane,makweru,manana kokwane,ntukulu,makweru,makweru,ntukulu,manana kokwane,hosi ya mina,ntukulu,makweru,ndisana,ndisana,kokwane,ntukulu,makweru,kokwane,makweru,ntukulu,makweru,makweru,ntukulu,manana kokwane,makweru,makweru,makweru,kokwane,hosi ya mina,ntukulu,makweru,hosi ya mina,makweru,makweru,kokwane,ntukulu,makweru,ntukulu,ntukulu,hosi ya mina,ntukulu,manana kokwane,manana kokwane,makweru,makweru,ndisana,manana kokwane,ntukulu,makweru,ntukulu,hosi ya mina,manana kokwane,manana kokwane,makweru,manana lo'nkulu,hahane,hahane,hahane,malume,malume,manana lo'nkulu,manana,tatana lo'nkulu,malume,manana,hahane,malume,manana lo'tongo,hahane,malume,tatana lo'ntsongo,malume,tatana,hahane,tatana lo'ntsongo,tatana,tatana lo'nkulu,manana lo'tongo
7,0.3913666852129529,1.8871370898680344,1.4957704046550815,makweru,makweru,manana kokwane,makweru,makweru,ntukulu,makweru,ntukulu,ntukulu,ntukulu,ntukulu,hosi ya mina,ntukulu,makweru,manana kokwane,makweru,kokwane,makweru,ntukulu,makweru,kokwane,kokwane,ndisana,ntukulu,hosi,hosi,hosi ya mina,hosi ya mina,kokwane,ntukulu,makweru,kokwane,makweru,hosi ya mina,kokwane,ndisana,manana kokwane,makweru,ntukulu,ntukulu,ntukulu,ntukulu,hosi ya mina,makweru,manana kokwane,makweru,kokwane,makweru,ntukulu,ndisana,ndisana,kokwane,ntukulu,manana kokwane,ntukulu,makweru,makweru,manana kokwane,makweru,makweru,manana kokwane,manana kokwane,makweru,ntukulu,ntukulu,makweru,kokwane,makweru,manana kokwane,ntukulu,kokwane,ntukulu,makweru,hosi ya mina,makweru,makweru,manana kokwane,makweru,manana lo'tongo,hahane,hahane,hahane,hahane,malume,tatana lo'ntsongo,manana,malume,manana,tatana,malume,malume,malume,tatana lo'nkulu,malume,manana lo'nkulu,hahane,hahane,tatana lo'ntsongo,manana lo'tongo,tatana lo'nkulu,manana lo'nkulu,tatana
8,0.33369895361000146,1.925409281725417,1.5917103281154155,makweru,manana kokwane,kokwane,makweru,manana kokwane,ntukulu,manana kokwane,makweru,ntukulu,ntukulu,kokwane,kokwane,ntukulu,makweru,manana kokwane,manana kokwane,ntukulu,hosi,ndisana,ntukulu,makweru,kokwane,kokwane,makweru,manana kokwane,ntukulu,makweru,ndisana,makweru,ntukulu,ntukulu,kokwane,ntukulu,manana kokwane,ntukulu,makweru,hosi ya mina,hosi ya mina,kokwane,ntukulu,manana kokwane,makweru,ntukulu,makweru,ntukulu,makweru,makweru,kokwane,makweru,manana kokwane,makweru,makweru,kokwane,hosi ya mina,makweru,hosi,makweru,ntukulu,manana kokwane,ndisana,ntukulu,kokwane,ntukulu,hosi ya mina,makweru,makweru,makweru,makweru,ndisana,hosi ya mina,makweru,ntukulu,hosi ya mina,ntukulu,makweru,makweru,makweru,ntukulu,hahane,tatana lo'ntsongo,tatana,malume,malume,manana lo'tongo,malume,tatana lo'nkulu,hahane,malume,manana lo'nkulu,tatana lo'nkulu,malume,hahane,hahane,manana,tatana lo'ntsongo,hahane,manana lo'nkulu,hahane,tatana,manana lo'tongo,malume,manana
9,0.26670318888296474,1.9630838056591433,1.6963806167761786,ntukulu,ntukulu,ntukulu,makweru,kokwane,makweru,makweru,makweru,ntukulu,manana kokwane,manana kokwane,manana kokwane,kokwane,hosi ya mina,ntukulu,makweru,kokwane,ntukulu,manana kokwane,hosi ya mina,manana kokwane,hosi ya mina,manana kokwane,makweru,makweru,ntukulu,makweru,makweru,manana kokwane,kokwane,makweru,ntukulu,ntukulu,hosi,ntukulu,manana kokwane,manana kokwane,kokwane,manana kokwane,ntukulu,makweru,ndisana,makweru,hosi ya mina,ntukulu,makweru,kokwane,hosi,ntukulu,kokwane,makweru,ntukulu,ntukulu,makweru,makweru,ndisana,ntukulu,ntukulu,makweru,makweru,ndisana,makweru,ntukulu,kokwane,kokwane,makweru,hosi ya mina,ndisana,hosi ya mina,makweru,makweru,ntukulu,makweru,makweru,ntukulu,makweru,kokwane,makweru,tatana,malume,manana lo'tongo,tatana lo'nkulu,hahane,hahane,hahane,malume,malume,tatana lo'ntsongo,tatana lo'ntsongo,malume,malume,manana lo'nkulu,malume,manana,manana lo'nkulu,hahane,hahane,tatana lo'nkulu,hahane,manana,tatana,manana lo'tongo
