simulation_number,mutual_information,entropy,conditional_entropy,myB,myZ,mFZD,mFZS,meZ,mFeZS,mFyZS,mFeZD,mFyZD,mFZeS,mFZyS,mFZeD,mFZyD,fZ,feB,fyB,fyZ,fFZD,fFZS,feZ,fFeZS,fFyZS,fFeZD,fFyZD,fFZeS,fFZyS,fFZeD,fFZyD,mF,mM,mFB,mMB,mFeB,mFyB,mMeB,mMyB,fF,fM,fFB,fMB,fFeB,fFyB,fMeB,fMyB
0,0.10109274270407287,1.034601232910181,0.9335084902061082,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,nyenga,mufyala,mufyala,mufyala,dikolo,mufyala,nyenga,nkasa,mufyala,mufyala,nyenga,mufyala,nyenga,mufyala,nyenga,mufyala,mufyala,nkasa,mufyala,mufyala,mufyala,manseva,ina,manseva,manseva,tata,tata,tata,manseva,manseva,tata,tata,tata,manseva,ina,tata,tata
1,0.044390974967402186,1.034601232910181,0.9902102579427788,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,dikolo,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,nyenga,mufyala,mufyala,mufyala,nyenga,nyenga,nyenga,nyenga,mufyala,mufyala,nkasa,mufyala,nkasa,mufyala,mufyala,manseva,tata,ina,tata,tata,tata,manseva,tata,ina,manseva,manseva,tata,tata,tata,manseva,manseva
2,0.14341200076168026,1.0346012329101812,0.891189232148501,mufyala,mufyala,nkasa,mufyala,nkasa,mufyala,mufyala,nyenga,mufyala,dikolo,mufyala,nyenga,mufyala,mufyala,mufyala,nyenga,mufyala,mufyala,mufyala,nyenga,mufyala,nyenga,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,tata,ina,tata,tata,tata,ina,manseva,manseva,manseva,tata,tata,tata,manseva,manseva,manseva,tata
3,0.6829081047004717,0.6829081047004717,-0.0,nyenga,nyenga,mufyala,mufyala,dikolo,mufyala,mufyala,nyenga,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,nyenga,mufyala,nyenga,nkasa,mufyala,mufyala,nkasa,mufyala,ina,ina,tata,tata,tata,tata,manseva,tata,manseva,manseva,manseva,tata,manseva,tata,tata,manseva
4,0.09922444498263283,0.5195798391305154,0.4203553941478826,mufyala,dikolo,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,nyenga,nkasa,mufyala,mufyala,mufyala,mufyala,nyenga,nyenga,mufyala,mufyala,nyenga,nkasa,nyenga,manseva,tata,manseva,tata,tata,tata,manseva,tata,manseva,manseva,ina,tata,tata,ina,manseva,tata
5,0.034363491450833616,0.5195798391305154,0.4852163476796818,nkasa,mufyala,mufyala,mufyala,mufyala,nyenga,mufyala,mufyala,mufyala,nyenga,nkasa,nyenga,mufyala,nyenga,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,nyenga,mufyala,dikolo,mufyala,mufyala,mufyala,mufyala,tata,ina,manseva,tata,tata,manseva,manseva,manseva,tata,tata,tata,manseva,tata,tata,ina,manseva
6,0.21207426669985324,0.6829081047004717,0.47083383800061845,dikolo,mufyala,nyenga,mufyala,nkasa,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,nkasa,mufyala,nyenga,mufyala,mufyala,mufyala,mufyala,nyenga,mufyala,mufyala,nyenga,nyenga,mufyala,mufyala,tata,tata,tata,tata,tata,manseva,manseva,tata,manseva,manseva,tata,ina,ina,manseva,manseva,tata
7,0.08878194993480437,0.9799711820833054,0.891189232148501,mufyala,mufyala,mufyala,nkasa,mufyala,mufyala,nyenga,mufyala,mufyala,dikolo,mufyala,nyenga,nyenga,mufyala,mufyala,mufyala,nyenga,mufyala,mufyala,mufyala,nyenga,mufyala,mufyala,mufyala,nkasa,mufyala,mufyala,mufyala,ina,tata,manseva,tata,tata,manseva,manseva,tata,manseva,manseva,manseva,ina,tata,tata,tata,tata
8,0.14341200076168004,1.034601232910181,0.891189232148501,mufyala,nyenga,mufyala,nyenga,mufyala,mufyala,mufyala,mufyala,nyenga,mufyala,dikolo,mufyala,mufyala,mufyala,mufyala,nkasa,mufyala,mufyala,mufyala,nkasa,mufyala,mufyala,nyenga,mufyala,nyenga,mufyala,mufyala,mufyala,manseva,tata,manseva,manseva,tata,ina,tata,manseva,tata,ina,tata,tata,manseva,tata,manseva,tata
9,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,dikolo,mufyala,mufyala,mufyala,nyenga,nkasa,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,mufyala,nyenga,mufyala,nyenga,mufyala,mufyala,mufyala,nkasa,mufyala,nyenga,nyenga,mufyala,manseva,ina,manseva,tata,tata,tata,tata,tata,ina,manseva,manseva,tata,tata,manseva,tata,manseva
