simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.21207426669985363,1.376055285260417,1.1639810185605635,tokoua,tuafafine,tuaga'ane,tokoua,tuaga'ane,tuafafine,tokoua,"ta'ee tangata, tuasina","fa'ee tangata, tuasina",mehikitanga,fa'ee,fa'ee,fa'ee,tamai,tamai,mehikitanga,fa'ee,fa'ee,fa'ee,"fa'ee tangata, tuasina",mehikitanga,tamai,tamai,mehikitanga,"ta'ee tangata, tuasina",tamai,tamai
1,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,tuafafine,tokoua,tuaga'ane,tokoua,tuafafine,tuaga'ane,tokoua,fa'ee,tamai,tamai,fa'ee,fa'ee,"fa'ee tangata, tuasina",mehikitanga,fa'ee,"ta'ee tangata, tuasina",tamai,"fa'ee tangata, tuasina",fa'ee,fa'ee,tamai,mehikitanga,"ta'ee tangata, tuasina",tamai,mehikitanga,tamai,mehikitanga
2,0.007016107555648965,1.0346012329101812,1.0275851253545323,tuaga'ane,tuaga'ane,tokoua,tuafafine,tokoua,tuafafine,tokoua,mehikitanga,tamai,"ta'ee tangata, tuasina",mehikitanga,fa'ee,"fa'ee tangata, tuasina",tamai,tamai,mehikitanga,fa'ee,mehikitanga,fa'ee,tamai,fa'ee,fa'ee,"ta'ee tangata, tuasina","fa'ee tangata, tuasina",tamai,fa'ee,tamai
3,0.4101163182884091,1.0789922078775833,0.6688758895891742,tokoua,tokoua,tuafafine,tuaga'ane,tuaga'ane,tuafafine,tokoua,fa'ee,fa'ee,mehikitanga,tamai,tamai,fa'ee,mehikitanga,tamai,fa'ee,"fa'ee tangata, tuasina",mehikitanga,"fa'ee tangata, tuasina",fa'ee,fa'ee,tamai,"ta'ee tangata, tuasina",tamai,tamai,"ta'ee tangata, tuasina",mehikitanga
4,0.007016107555648965,1.0346012329101812,1.0275851253545323,tokoua,tuafafine,tuaga'ane,tuafafine,tuaga'ane,tokoua,tokoua,tamai,fa'ee,"ta'ee tangata, tuasina",tamai,mehikitanga,"fa'ee tangata, tuasina",tamai,fa'ee,fa'ee,fa'ee,tamai,tamai,fa'ee,mehikitanga,mehikitanga,"fa'ee tangata, tuasina",tamai,fa'ee,"ta'ee tangata, tuasina",mehikitanga
5,0.41011631828840905,0.6829081047004717,0.27279178641206264,tuaga'ane,tuafafine,tuafafine,tokoua,tuaga'ane,tokoua,tokoua,tamai,tamai,fa'ee,fa'ee,fa'ee,fa'ee,"ta'ee tangata, tuasina",mehikitanga,tamai,tamai,mehikitanga,tamai,"fa'ee tangata, tuasina",fa'ee,tamai,"fa'ee tangata, tuasina",mehikitanga,fa'ee,"ta'ee tangata, tuasina",mehikitanga
6,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,tuaga'ane,tuafafine,tokoua,tuaga'ane,tuafafine,tokoua,tokoua,tamai,mehikitanga,mehikitanga,tamai,mehikitanga,fa'ee,"fa'ee tangata, tuasina","ta'ee tangata, tuasina",tamai,tamai,mehikitanga,fa'ee,"fa'ee tangata, tuasina",tamai,fa'ee,fa'ee,fa'ee,fa'ee,tamai,"ta'ee tangata, tuasina"
7,0.4101163182884091,0.9799711820833054,0.5698548637948962,tuaga'ane,tokoua,tokoua,tuaga'ane,tokoua,tuafafine,tuafafine,"ta'ee tangata, tuasina",mehikitanga,fa'ee,fa'ee,tamai,"ta'ee tangata, tuasina","fa'ee tangata, tuasina",tamai,fa'ee,mehikitanga,tamai,mehikitanga,fa'ee,tamai,tamai,tamai,mehikitanga,"fa'ee tangata, tuasina",fa'ee,fa'ee
8,0.41011631828840933,1.376055285260417,0.9659389669720078,tuaga'ane,tokoua,tokoua,tuaga'ane,tokoua,tuafafine,tuafafine,"ta'ee tangata, tuasina",fa'ee,tamai,mehikitanga,fa'ee,mehikitanga,fa'ee,tamai,mehikitanga,tamai,"fa'ee tangata, tuasina",mehikitanga,fa'ee,fa'ee,tamai,tamai,"ta'ee tangata, tuasina",fa'ee,"fa'ee tangata, tuasina",tamai
9,0.007016107555648965,1.0346012329101812,1.0275851253545323,tokoua,tokoua,tuaga'ane,tuafafine,tuaga'ane,tuafafine,tokoua,fa'ee,mehikitanga,fa'ee,tamai,fa'ee,mehikitanga,"ta'ee tangata, tuasina",tamai,mehikitanga,mehikitanga,fa'ee,"ta'ee tangata, tuasina",fa'ee,tamai,"fa'ee tangata, tuasina",fa'ee,tamai,tamai,"fa'ee tangata, tuasina",tamai
