simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.20218548540814563,0.9799711820833054,0.7777856966751597,to'a,"tari, marau","tari, marau","tari, marau","tari, marau","tari, marau",tari,to'a,"to'a, marau",to'a,to'a,to'a,tari,tari,tari,"to'a, marau","to'a, marau","to'a, marau","to'a, marau","to'a, marau",to'a,"tari, marau","tari, marau",tari,"to'a, marau","to'a, marau",tari,"to'a, marau","to'a, marau","tari, marau","to'a, marau","a'a, marau",tari,"to'a, marau",to'a,tari,"tari, marau",to'a,tina,tama,elukwa,elukwa,tina,tama,pwapwa,elukwa,pwapwa,tina,tina,tina,pwapwa,tama,tama,elukwa,tina,pwapwa,tama,tama
1,0.033359115436214726,0.5982695885852573,0.5649104731490425,"tari, marau","tari, marau",tari,"to'a, marau","to'a, marau","tari, marau","to'a, marau",tari,"to'a, marau",tari,"to'a, marau","to'a, marau","to'a, marau",to'a,tari,"tari, marau",to'a,"to'a, marau","to'a, marau",tari,to'a,to'a,"to'a, marau",tari,"tari, marau",to'a,"a'a, marau",tari,tari,"to'a, marau","tari, marau",to'a,"to'a, marau",to'a,"tari, marau","tari, marau",to'a,"tari, marau",pwapwa,pwapwa,tina,pwapwa,tama,tina,tama,tama,tama,tina,tina,tina,elukwa,tina,tama,elukwa,elukwa,tama,elukwa,pwapwa
2,0.4101163182884092,1.376055285260417,0.9659389669720079,tari,"tari, marau","to'a, marau","tari, marau",to'a,"tari, marau","to'a, marau",tari,to'a,"tari, marau",to'a,to'a,to'a,"to'a, marau","tari, marau","to'a, marau","to'a, marau",tari,"to'a, marau",tari,"a'a, marau","tari, marau",tari,tari,to'a,"to'a, marau","to'a, marau","to'a, marau",tari,to'a,"tari, marau","to'a, marau","to'a, marau",to'a,"to'a, marau",tari,"tari, marau","tari, marau",pwapwa,elukwa,tina,tama,tama,tina,tama,tina,elukwa,elukwa,pwapwa,elukwa,pwapwa,pwapwa,tama,tina,tama,tama,tina,tina
3,0.21207426669985324,0.6829081047004717,0.47083383800061845,"to'a, marau","to'a, marau","tari, marau",to'a,"tari, marau",tari,"to'a, marau","to'a, marau",to'a,"tari, marau","tari, marau",tari,"to'a, marau","tari, marau","to'a, marau","to'a, marau",to'a,"to'a, marau",tari,"tari, marau",tari,to'a,"to'a, marau","to'a, marau","tari, marau","a'a, marau",tari,to'a,"to'a, marau",tari,to'a,"tari, marau","tari, marau",tari,tari,to'a,"to'a, marau",to'a,tama,tama,pwapwa,pwapwa,elukwa,tina,tama,tina,pwapwa,elukwa,tina,tina,tama,tina,tama,tina,pwapwa,elukwa,elukwa,tama
4,0.16353168475831137,0.9799711820833054,0.816439497324994,"to'a, marau",tari,"to'a, marau",tari,to'a,"to'a, marau","to'a, marau",to'a,to'a,tari,to'a,"tari, marau",tari,"to'a, marau","to'a, marau","tari, marau","tari, marau",to'a,tari,"to'a, marau","tari, marau","tari, marau","tari, marau",to'a,tari,"to'a, marau","to'a, marau","to'a, marau",tari,to'a,"tari, marau","to'a, marau","a'a, marau","to'a, marau","tari, marau","tari, marau",tari,to'a,pwapwa,tina,tama,tama,tama,elukwa,elukwa,tama,tina,tina,pwapwa,elukwa,tina,pwapwa,tama,pwapwa,tina,elukwa,tama,tina
5,0.4101163182884091,1.0789922078775833,0.6688758895891742,"to'a, marau",tari,"to'a, marau","tari, marau","tari, marau",tari,"to'a, marau",tari,to'a,"to'a, marau","tari, marau","a'a, marau",to'a,"to'a, marau","to'a, marau","tari, marau","tari, marau",to'a,"tari, marau",tari,"to'a, marau","to'a, marau","to'a, marau","tari, marau",tari,to'a,tari,tari,to'a,"to'a, marau",tari,"tari, marau",to'a,"to'a, marau","tari, marau",to'a,to'a,"to'a, marau",tina,tina,tama,pwapwa,tama,tama,tama,pwapwa,elukwa,pwapwa,tina,elukwa,pwapwa,tina,tama,tina,tina,elukwa,tama,elukwa
6,0.484866053111916,1.0789922078775833,0.5941261547656673,tari,"to'a, marau","to'a, marau",to'a,"tari, marau","tari, marau","a'a, marau","tari, marau",tari,"to'a, marau",to'a,"tari, marau","to'a, marau","tari, marau",to'a,tari,tari,"tari, marau","to'a, marau","to'a, marau","to'a, marau","to'a, marau",to'a,"tari, marau",to'a,"to'a, marau","tari, marau","to'a, marau",to'a,tari,to'a,tari,tari,tari,"to'a, marau",to'a,"tari, marau","to'a, marau",pwapwa,pwapwa,tina,elukwa,pwapwa,tama,elukwa,tina,tama,tina,tama,elukwa,tina,tama,tina,tama,elukwa,tina,pwapwa,tama
7,0.4101163182884091,1.0789922078775833,0.6688758895891742,"to'a, marau",tari,to'a,tari,"a'a, marau",to'a,tari,"tari, marau",to'a,tari,"to'a, marau",tari,"tari, marau","tari, marau","to'a, marau","to'a, marau","tari, marau",to'a,"tari, marau","to'a, marau",tari,"to'a, marau","to'a, marau","to'a, marau",to'a,to'a,"to'a, marau","to'a, marau","tari, marau","to'a, marau","to'a, marau","tari, marau",to'a,tari,"tari, marau",tari,to'a,"tari, marau",tina,tina,pwapwa,elukwa,elukwa,pwapwa,tina,pwapwa,tama,pwapwa,tina,tama,tina,tama,elukwa,tina,elukwa,tama,tama,tama
8,0.4101163182884091,1.0789922078775833,0.6688758895891742,"to'a, marau","to'a, marau",to'a,tari,"tari, marau","to'a, marau",to'a,"to'a, marau","tari, marau",to'a,to'a,"tari, marau",tari,to'a,"to'a, marau",tari,"to'a, marau",to'a,"tari, marau",tari,tari,to'a,"tari, marau","to'a, marau",tari,"to'a, marau","to'a, marau","tari, marau",tari,to'a,"to'a, marau","tari, marau","to'a, marau","a'a, marau","tari, marau",tari,"to'a, marau","tari, marau",tama,tama,pwapwa,tina,elukwa,tama,elukwa,tina,elukwa,elukwa,tama,pwapwa,pwapwa,pwapwa,tina,tina,tina,tina,tama,tama
9,0.2120742666998534,0.9799711820833055,0.7678969153834521,"tari, marau",tari,to'a,tari,tari,"tari, marau",to'a,"a'a, marau","to'a, marau","tari, marau","tari, marau","to'a, marau","to'a, marau",tari,"to'a, marau","to'a, marau","to'a, marau","to'a, marau","tari, marau",tari,"tari, marau",to'a,"tari, marau","to'a, marau","to'a, marau",tari,tari,"to'a, marau",to'a,to'a,"tari, marau","to'a, marau","to'a, marau","tari, marau",to'a,to'a,to'a,tari,tama,pwapwa,tina,tina,pwapwa,elukwa,tina,tama,pwapwa,pwapwa,tina,tama,tina,tina,tama,elukwa,elukwa,tama,tama,elukwa
