simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,mFZS,mMBS,mFZD,mMBD,fFZS,fMBS,fFZD,fMBD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeZ,mFyZ,mMeB,mMyB,fFeZ,fFyZ,fMeB,fMyB
0,0.12169001293988302,1.3423955354308434,1.2207055224909604,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,tata,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,tata,natu,natu,natu,natu,tasi,natu,natu,natu,natu,natu,natu,tata,natu,natu,tata,natu,natu,natu,ivev,"ivev, vev",moru,ivev,"imama, mam","ivev, vev","imama, mam",moru,moru,ivev,moru,ivev
1,0.16467951578580475,1.3206701076815464,1.1559905918957416,natu,tata,natu,natu,natu,natu,tata,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,tasi,natu,natu,natu,natu,natu,natu,natu,natu,natu,tata,natu,natu,tata,natu,natu,natu,natu,natu,natu,ivev,ivev,"imama, mam",ivev,moru,moru,"ivev, vev",ivev,moru,moru,"imama, mam","ivev, vev"
2,0.10669206890405114,1.339718043494599,1.2330259745905479,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,tata,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,tata,natu,natu,natu,natu,tata,natu,tasi,natu,natu,natu,natu,natu,natu,natu,tata,natu,natu,natu,natu,ivev,moru,moru,moru,ivev,ivev,"ivev, vev","ivev, vev","imama, mam",moru,"imama, mam",ivev
3,0.08091664937753329,1.3206701076815464,1.239753458304013,natu,natu,natu,natu,tasi,natu,tata,tata,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,tata,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,tata,natu,moru,"imama, mam",moru,"ivev, vev","ivev, vev","imama, mam",ivev,ivev,moru,moru,ivev,ivev
4,0.06469647293654979,1.3206701076815464,1.2559736347449966,natu,natu,natu,natu,natu,natu,natu,natu,natu,tata,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,tasi,natu,natu,natu,natu,natu,natu,natu,tata,natu,natu,natu,tata,tata,natu,natu,natu,natu,"ivev, vev",moru,ivev,"ivev, vev",ivev,moru,ivev,"imama, mam",moru,"imama, mam",moru,ivev
5,0.06124173306047931,1.3206701076815464,1.259428374621067,natu,natu,natu,tata,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,tata,natu,natu,tata,natu,natu,natu,natu,natu,natu,natu,tata,natu,natu,natu,tasi,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,moru,ivev,moru,"imama, mam",moru,"ivev, vev","ivev, vev",ivev,ivev,"imama, mam",moru,ivev
6,0.12474577209388427,1.3206701076815464,1.195924335587662,natu,natu,natu,natu,natu,natu,tata,natu,natu,natu,natu,tata,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,tasi,natu,natu,natu,natu,natu,natu,natu,natu,tata,natu,natu,natu,tata,natu,natu,natu,natu,natu,ivev,ivev,moru,"imama, mam",moru,moru,"ivev, vev","ivev, vev",moru,ivev,"imama, mam",ivev
7,0.14103656853962532,1.2930224700643995,1.1519859015247742,natu,natu,natu,natu,natu,tata,tata,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,tata,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,tasi,tata,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,moru,moru,"ivev, vev","ivev, vev",ivev,ivev,moru,"imama, mam",ivev,ivev,moru,"imama, mam"
8,0.11851056192422704,1.3206701076815464,1.2021595457573193,tata,natu,natu,natu,natu,natu,tata,natu,natu,natu,natu,natu,natu,natu,natu,tasi,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,tata,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,tata,moru,"imama, mam",moru,"ivev, vev",moru,ivev,ivev,moru,"imama, mam",ivev,ivev,"ivev, vev"
9,0.03428634286328314,1.339718043494599,1.3054317006313159,natu,natu,tata,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,tasi,natu,natu,natu,tata,natu,natu,natu,natu,tata,tata,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,moru,moru,moru,moru,"imama, mam",ivev,"ivev, vev","ivev, vev",ivev,ivev,ivev,"imama, mam"
