simulation_number,mutual_information,entropy,conditional_entropy,mZ,myB,myZ,meB,meZ,fB,fZ,fyB,fyZ,feB,feZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.12585242632377502,1.0366279688586069,0.9107755425348318,kústān,kústān,típah,čī́š,čá̄s,típah,čī́š,kústān,típah,čá̄s,kústān,ʔáka,xúkam,xúkam,mī́θ,xúkam,xúkam,párah,mī́θ,ʔáka,párah,tá̄t,mī́θ,xúkam,θúxaθ,xúkam,mī́θ,párah,párah,θúxaθ,tá̄t,párah,mī́θ,mī́θ,θúxaθ,θúxaθ,párah,θúxaθ,θúxaθ
1,0.3309491509398288,1.3801087571572688,1.04915960621744,čá̄s,čá̄s,kústān,čī́š,típah,čī́š,típah,kústān,kústān,típah,kústān,mī́θ,tá̄t,párah,mī́θ,xúkam,θúxaθ,párah,mī́θ,θúxaθ,mī́θ,θúxaθ,ʔáka,tá̄t,θúxaθ,párah,θúxaθ,xúkam,párah,xúkam,ʔáka,mī́θ,xúkam,párah,párah,θúxaθ,xúkam,xúkam,mī́θ
2,0.0996747845820331,0.5908422462755826,0.49116746169354947,típah,kústān,čá̄s,čá̄s,típah,čī́š,kústān,kústān,čī́š,típah,kústān,párah,mī́θ,ʔáka,tá̄t,θúxaθ,tá̄t,párah,xúkam,θúxaθ,θúxaθ,xúkam,θúxaθ,párah,mī́θ,párah,párah,xúkam,ʔáka,θúxaθ,párah,mī́θ,xúkam,mī́θ,xúkam,mī́θ,θúxaθ,mī́θ,xúkam
3,0.26646443490311233,1.036627968858607,0.7701635339554948,típah,čá̄s,čá̄s,kústān,kústān,típah,típah,čī́š,kústān,kústān,čī́š,mī́θ,párah,párah,xúkam,párah,θúxaθ,xúkam,xúkam,mī́θ,párah,mī́θ,θúxaθ,tá̄t,xúkam,mī́θ,ʔáka,θúxaθ,θúxaθ,θúxaθ,xúkam,ʔáka,mī́θ,tá̄t,mī́θ,párah,párah,xúkam,θúxaθ
4,0.33578951396066703,1.3801087571572688,1.0443192431966017,kústān,kústān,típah,čī́š,čī́š,kústān,čá̄s,kústān,típah,čá̄s,típah,mī́θ,xúkam,ʔáka,mī́θ,θúxaθ,xúkam,párah,mī́θ,mī́θ,xúkam,mī́θ,θúxaθ,θúxaθ,xúkam,θúxaθ,párah,párah,párah,mī́θ,xúkam,θúxaθ,tá̄t,ʔáka,θúxaθ,párah,párah,xúkam,tá̄t
5,0.1389357964674942,0.5908422462755826,0.45190644980808836,čá̄s,típah,kústān,kústān,čī́š,čī́š,típah,čá̄s,kústān,kústān,típah,xúkam,párah,mī́θ,xúkam,xúkam,θúxaθ,mī́θ,θúxaθ,θúxaθ,θúxaθ,xúkam,θúxaθ,párah,mī́θ,párah,párah,párah,xúkam,xúkam,párah,ʔáka,mī́θ,ʔáka,mī́θ,θúxaθ,tá̄t,mī́θ,tá̄t
6,0.1376554322632686,1.3801087571572688,1.2424533248940002,čī́š,kústān,kústān,čá̄s,típah,kústān,típah,čá̄s,típah,čī́š,kústān,θúxaθ,tá̄t,párah,mī́θ,mī́θ,xúkam,párah,mī́θ,ʔáka,θúxaθ,θúxaθ,mī́θ,ʔáka,xúkam,xúkam,párah,mī́θ,xúkam,párah,párah,θúxaθ,xúkam,θúxaθ,mī́θ,párah,tá̄t,xúkam,θúxaθ
7,0.20832575226260697,1.036627968858607,0.8283022165960001,čī́š,čī́š,kústān,kústān,čá̄s,típah,kústān,típah,típah,čá̄s,kústān,xúkam,θúxaθ,xúkam,ʔáka,mī́θ,tá̄t,mī́θ,párah,xúkam,tá̄t,xúkam,mī́θ,mī́θ,mī́θ,párah,θúxaθ,θúxaθ,θúxaθ,mī́θ,ʔáka,θúxaθ,párah,xúkam,párah,párah,xúkam,párah,θúxaθ
8,0.044101374906299506,0.6931471805599453,0.6490458056536458,típah,čá̄s,čī́š,típah,čī́š,kústān,čá̄s,típah,kústān,kústān,kústān,mī́θ,θúxaθ,párah,mī́θ,ʔáka,mī́θ,mī́θ,xúkam,tá̄t,θúxaθ,párah,xúkam,ʔáka,xúkam,θúxaθ,mī́θ,θúxaθ,θúxaθ,xúkam,párah,mī́θ,párah,párah,párah,xúkam,tá̄t,θúxaθ,xúkam
9,0.23739509358285948,1.0366279688586069,0.7992328752757474,čá̄s,čī́š,kústān,kústān,čá̄s,típah,čī́š,kústān,kústān,típah,típah,mī́θ,xúkam,θúxaθ,párah,xúkam,mī́θ,xúkam,párah,θúxaθ,mī́θ,mī́θ,tá̄t,ʔáka,xúkam,xúkam,párah,párah,ʔáka,tá̄t,θúxaθ,θúxaθ,párah,θúxaθ,mī́θ,mī́θ,θúxaθ,párah,xúkam
