language,family,code,correlation,mean,sd,z
Akkadian,Afro-Asiatic,akka1240,-0.2863020931969051,-0.28630209319690514,5.903526765724995e-17,0.9403048962790747
Amharic,Afro-Asiatic,amha1245,0.1750236556019848,-0.02157702239239466,0.027620452963079734,7.1179382270513685
Hausa,Afro-Asiatic,haus1257,-0.023458929505546306,-0.013742086938307158,0.01202095177003268,-0.8083255596667893
Lebanese_Arabic,Afro-Asiatic,stan1323,0.061817897928542975,-0.001733146543892043,0.03403751103155582,1.8670884722892198
Old_Aramaic,Afro-Asiatic,olda1245,0.11816882900066014,-0.052228660205264094,0.03368250589455753,5.058931474378732
Polci,Afro-Asiatic,polc1243,0.0338238077027255,0.008890780347875953,0.010954397153708504,2.2760748040259537
Morgan1871_An-ah'-ne-lin_(Gros_Ventres_of_Prairie)_gros1243.csv,Algic,rgan1871,-0.1914095366976494,-0.19140953669764935,2.6184557666721352e-17,-2.11999576001272
Northern_Ojibwa,Algic,nort2961,0.00888114867853231,-0.027706519477242536,0.04346958198186135,0.8416843799197763
Ottowa_Ojibwa,Algic,otta1242,-0.21868504748000506,-0.028172813229210794,0.05875138926800521,-3.2426847539168455
Wiyot,Algic,wiyo1248,-0.04421007248853954,-0.04421007248853955,1.3877787807814457e-17,1.0
Yurok,Algic,yuro1248,-0.05984831523149465,-0.06800870366056133,0.014708768393281552,0.554797533748241
Baure,Arawakan,baur1253,0.425943428891925,-0.000276453667790423,0.07233519229798614,5.892289341042944
Ignaciano,Arawakan,igna1246,0.3681577499183791,-0.0013190158821899645,0.07310937989537773,5.053753243828687
Mashco_Piro,Arawakan,mash1270,-0.0924233759591543,8.08704539642762e-05,0.015875606562299603,-5.826816509347862
Trinitario,Arawakan,trin1274,0.0,0.0,0.0,
Wapishana,Arawakan,wapi1253,0.12647662478613814,0.016225703300468425,0.022832936007921797,4.828591533187786
Waurá,Arawakan,waur1244,-0.007031679863411758,0.001727156366450486,0.022199156695276227,-0.39455716044051536
Wayuu,Arawakan,wayu1243,-0.013474886633908847,-0.00700508309928151,0.007221068592609095,-0.8959620659536883
Yavitero,Arawakan,yavi1244,-0.15574195586086076,0.0031276468438505216,0.05959789360134682,-2.665691572380019
Asu_Tanzania_,Atlantic-Congo,asut1235,-0.0539863125669619,-0.015215518162516433,0.022676665912002812,-1.7097219915350959
Avatime,Atlantic-Congo,avat1244,0.18098645627405544,0.18098645627405546,9.079085946270897e-18,-3.057089202578715
Bafia,Atlantic-Congo,bafi1243,-0.12499999999999997,-0.125,3.0233199493374536e-17,0.91804956407976
Bali_Congo_,Atlantic-Congo,bali1274,0.5773502691896257,0.5773502691896261,3.3306690738754696e-16,-1.0
Bali_DRC_,Atlantic-Congo,bali1275,0.4000000000000001,0.40000000000000013,5.551115123125783e-17,-1.0
Bamun,Atlantic-Congo,bamu1253,0.0,0.0,0.0,
Batanga,Atlantic-Congo,bata1285,0.12201669136115223,-0.06329618351837005,0.032339843059378266,5.73017236166776
Bemba,Atlantic-Congo,bemb1257,-0.10947091266163139,-0.13973999260023523,0.03382262156529142,0.8949359493075425
Bena_Tanzania_,Atlantic-Congo,bena1262,0.011348271819127311,0.0042464440416399105,0.022504956971189354,0.31556726753928466
Bende,Atlantic-Congo,bend1258,-0.14439383779919637,-0.10084405910553616,0.029180331688058437,-1.4924360407966928
Bera,Atlantic-Congo,bera1259,-0.06539273501344908,-0.015135546177386524,0.018160892035126355,-2.767330411901372
Bila,Atlantic-Congo,bila1255,-0.14610975768499274,-0.021255691892645024,0.035798961956341,-3.487644863686685
Budza,Atlantic-Congo,budz1238,,,,
Bukusu,Atlantic-Congo,buku1249,-0.06196653417480106,0.03771773270907898,0.02664991839211874,-3.740509273505317
Bushoong,Atlantic-Congo,bush1247,0.0659261091890692,-0.012104204768810698,0.02304138394742021,3.3865289574594515
Chokwe,Atlantic-Congo,chok1245,-0.028805096333561035,0.0044203912777442695,0.017002347757613213,-1.9541705701453957
Digo,Atlantic-Congo,digo1243,0.05675556151058531,0.0303351902590475,0.015713867827902427,1.681341063886532
Ding,Atlantic-Congo,ding1239,-0.07209252421821115,-0.05224165468311554,0.02345387088202004,-0.8463792452406427
Duala,Atlantic-Congo,dual1243,-0.2785708329659318,-0.09195203395825471,0.048482023695043015,-3.849236991044945
Ekonda_Mongo,Atlantic-Congo,ekon1238,-0.06737149775386572,-0.008554025840367626,0.021218810263212658,-2.7719495666291314
Fang_EG,Atlantic-Congo,fang1246,0.07254082258930593,-0.02216460785164575,0.02555722686874909,3.7056223246488353
Fefe,Atlantic-Congo,fefe1239,-0.2834947070441444,-0.11615466416937854,0.03635266285692277,-4.603240305486967
Fipa,Atlantic-Congo,fipa1238,0.012034029020004654,-0.0016578851366683678,0.03586857331488211,0.3817245262719205
Ganda,Atlantic-Congo,gand1255,0.10215901611294853,0.07687736475590073,0.035774929780283765,0.7066862608066107
Giryama,Atlantic-Congo,giry1241,0.04734678017582454,0.006788647417690669,0.017729658940673954,2.2875867434250905
Gogo,Atlantic-Congo,gogo1263,0.04233869884569526,0.0001438060208380796,0.031548967356700465,1.3374413288330878
Gusii,Atlantic-Congo,gusi1247,-0.2882781695192114,0.001653989981794903,0.06384405006118289,-4.541255750898622
Haya,Atlantic-Congo,haya1250,-0.1693024951975589,-0.031083491716472133,0.034156793067863546,-4.046603649425458
Ha,Atlantic-Congo,haaa1252,0.022208174099955742,0.00047353216966687845,0.025192775504995164,0.862733124660257
Hehe,Atlantic-Congo,hehe1240,0.012359609822342925,0.028715151452150756,0.022792265369055528,-0.717591751630504
