simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mMeBS,mMyBS,mMeZS,mMyZS,mFBeS,mFByS,mFZeS,mFZyS,mMBeS,mMByS,mMZeS,mMZyS,mFZ,mFeZ,mFyZ,mF,mM,mFB,mMB,mFeB,mFyB,mMeB,mMyB
0,0.07555848197135284,1.505072122628115,1.4295136406567621,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀nyèèr,tɔ̀ɔ̀kɔ̀ɔ̀m,etjul,lém,etjul,tɔ̀ɔ̀nyèèr,etjul,lém,måã,lém,tåã,tɔ̀ɔ̀nyèèr,tɔ̀ɔ̀nyèèr
1,0.116171700282099,1.378497421782984,1.262325721500885,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀nyèèr,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,etjul,lém,tɔ̀ɔ̀nyèèr,etjul,tɔ̀ɔ̀nyèèr,etjul,lém,måã,lém,tɔ̀ɔ̀nyèèr,tåã
2,0.07555848197135284,1.505072122628115,1.4295136406567621,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀nyèèr,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,etjul,etjul,tɔ̀ɔ̀nyèèr,lém,etjul,tɔ̀ɔ̀nyèèr,måã,lém,tåã,lém,tɔ̀ɔ̀nyèèr
3,0.06437208555430352,1.4357470435705602,1.3713749580162566,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀nyèèr,tɔ̀ɔ̀kɔ̀ɔ̀m,tåã,etjul,tɔ̀ɔ̀nyèèr,lém,lém,etjul,etjul,tɔ̀ɔ̀nyèèr,tɔ̀ɔ̀nyèèr,lém,måã
4,0.31976275452277925,1.5050721226281147,1.1853093681053355,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀nyèèr,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,lém,lém,lém,tåã,tɔ̀ɔ̀nyèèr,tɔ̀ɔ̀nyèèr,etjul,etjul,tɔ̀ɔ̀nyèèr,etjul,måã
5,0.07555848197135306,1.472157144138865,1.396598662167512,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀nyèèr,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,etjul,etjul,tɔ̀ɔ̀nyèèr,tɔ̀ɔ̀nyèèr,etjul,måã,lém,lém,tɔ̀ɔ̀nyèèr,lém,tåã
6,0.1618844105626831,1.378497421782984,1.2166130112203009,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀nyèèr,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,etjul,tɔ̀ɔ̀nyèèr,lém,tɔ̀ɔ̀nyèèr,lém,etjul,etjul,tɔ̀ɔ̀nyèèr,måã,tåã,lém
7,0.09255933150512785,1.4938857262110654,1.4013263947059376,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀nyèèr,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀nyèèr,tɔ̀ɔ̀nyèèr,lém,tåã,etjul,lém,etjul,tɔ̀ɔ̀nyèèr,lém,etjul,måã
8,0.13666070641142802,1.4798484184768599,1.3431877120654319,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀nyèèr,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,lém,tåã,etjul,tɔ̀ɔ̀nyèèr,lém,tɔ̀ɔ̀nyèèr,måã,etjul,tɔ̀ɔ̀nyèèr,lém,etjul
9,0.06437905103780439,1.4404817415924864,1.376102690554682,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀nyèèr,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀kɔ̀ɔ̀m,tɔ̀ɔ̀nyèèr,etjul,tɔ̀ɔ̀nyèèr,lém,tåã,etjul,lém,etjul,lém,måã,tɔ̀ɔ̀nyèèr
