simulation_number,mutual_information,entropy,conditional_entropy,meB,meZ,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,feB,feZ,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.12618050872192077,0.861706987778103,0.7355264790561822,kapingsan,sulud un bebyai,kapingsan,sulud un bebyai,sulud un leyaki,sulud un leyaki,sulud un bebyai,sulud un bebyai,kapingsan,sulud un leyaki,sulud un bebyai,kapingsan,kapingsan,sulud un bebyai,sulud un bebyai,kapingsan,kapingsan,sulud un leyaki,sulud un leyaki,sulud un leyaki,kapingsan,sulud un bebyai,kapingsan,kapingsan,sulud un leyaki,sulud un leyaki,kapingsan,kapingsan,sulud un bebyai,kapingsan,sulud un bebyai,kapingsan,kapingsan,kapingsan,sulud un leyaki,uilitog un leyaki,ila,uilitog un bebyai,uilitog un leyaki,uilitog un bebyai,uilitog un leyaki,uilitog un leyaki,uilitog un bebyai,uilitog un bebyai,uilitog un bebyai,uilitog un bebyai,uilitog un leyaki,uilitog un leyaki,uilitog un leyaki,uilitog un bebyai,uilitog un bebyai,uilitog un bebyai,uilitog un leyaki,uilitog un leyaki,uilitog un leyaki,ila,uilitog un bebyai,uilitog un leyaki,uilitog un leyaki,ama,ama,uilitog un bebyai,uilitog un bebyai
1,0.05714188526408226,1.0348915257957338,0.9777496405316516,sulud un leyaki,kapingsan,sulud un leyaki,sulud un bebyai,sulud un bebyai,sulud un leyaki,sulud un leyaki,sulud un bebyai,kapingsan,kapingsan,kapingsan,sulud un bebyai,kapingsan,sulud un bebyai,kapingsan,kapingsan,sulud un bebyai,kapingsan,sulud un leyaki,sulud un bebyai,sulud un leyaki,sulud un bebyai,sulud un leyaki,kapingsan,kapingsan,kapingsan,sulud un bebyai,kapingsan,kapingsan,kapingsan,kapingsan,sulud un leyaki,kapingsan,sulud un leyaki,sulud un bebyai,uilitog un bebyai,uilitog un bebyai,uilitog un leyaki,ila,uilitog un leyaki,uilitog un bebyai,uilitog un bebyai,uilitog un leyaki,uilitog un leyaki,uilitog un bebyai,uilitog un leyaki,uilitog un leyaki,ila,uilitog un bebyai,uilitog un bebyai,uilitog un bebyai,uilitog un bebyai,uilitog un bebyai,uilitog un bebyai,ama,uilitog un leyaki,uilitog un leyaki,uilitog un leyaki,ama,uilitog un leyaki,uilitog un leyaki,uilitog un leyaki,uilitog un bebyai
2,0.11049712170026837,1.0831279852976656,0.9726308635973973,sulud un bebyai,kapingsan,kapingsan,kapingsan,kapingsan,sulud un bebyai,sulud un leyaki,sulud un leyaki,kapingsan,sulud un leyaki,sulud un bebyai,sulud un bebyai,kapingsan,kapingsan,sulud un leyaki,sulud un bebyai,sulud un bebyai,sulud un bebyai,sulud un leyaki,kapingsan,sulud un bebyai,kapingsan,kapingsan,sulud un leyaki,sulud un leyaki,kapingsan,sulud un bebyai,kapingsan,sulud un leyaki,kapingsan,kapingsan,kapingsan,sulud un bebyai,kapingsan,sulud un leyaki,uilitog un bebyai,uilitog un leyaki,uilitog un bebyai,uilitog un bebyai,uilitog un leyaki,ama,ama,uilitog un leyaki,uilitog un leyaki,uilitog un leyaki,uilitog un bebyai,uilitog un leyaki,uilitog un leyaki,uilitog un bebyai,ila,uilitog un bebyai,uilitog un bebyai,uilitog un leyaki,uilitog un bebyai,uilitog un leyaki,uilitog un bebyai,ila,uilitog un leyaki,uilitog un leyaki,uilitog un leyaki,uilitog un bebyai,uilitog un bebyai,uilitog un bebyai
3,0.0240035029688509,0.6829081047004717,0.6589046017316208,kapingsan,sulud un bebyai,kapingsan,sulud un bebyai,kapingsan,sulud un bebyai,sulud un leyaki,sulud un bebyai,sulud un leyaki,sulud un leyaki,kapingsan,kapingsan,sulud un leyaki,sulud un leyaki,sulud un leyaki,kapingsan,sulud un bebyai,kapingsan,kapingsan,kapingsan,sulud un bebyai,kapingsan,kapingsan,kapingsan,sulud un leyaki,kapingsan,sulud un leyaki,sulud un bebyai,sulud un leyaki,sulud un bebyai,sulud un bebyai,kapingsan,sulud un bebyai,kapingsan,kapingsan,uilitog un bebyai,uilitog un bebyai,uilitog un leyaki,uilitog un bebyai,uilitog un bebyai,uilitog un leyaki,ila,uilitog un bebyai,uilitog un leyaki,uilitog un bebyai,uilitog un leyaki,ila,uilitog un bebyai,uilitog un leyaki,uilitog un bebyai,uilitog un leyaki,uilitog un leyaki,uilitog un bebyai,uilitog un leyaki,uilitog un bebyai,uilitog un bebyai,uilitog un leyaki,uilitog un leyaki,uilitog un bebyai,ama,ama,uilitog un leyaki,uilitog un leyaki
4,0.09752493099390813,1.0831279852976654,0.9856030543037573,sulud un leyaki,kapingsan,kapingsan,sulud un leyaki,kapingsan,sulud un bebyai,sulud un leyaki,sulud un bebyai,kapingsan,sulud un bebyai,sulud un leyaki,kapingsan,sulud un leyaki,sulud un bebyai,sulud un bebyai,sulud un leyaki,kapingsan,sulud un leyaki,sulud un leyaki,kapingsan,kapingsan,kapingsan,kapingsan,kapingsan,sulud un bebyai,kapingsan,sulud un bebyai,kapingsan,sulud un bebyai,sulud un bebyai,kapingsan,kapingsan,sulud un bebyai,sulud un leyaki,kapingsan,uilitog un bebyai,uilitog un bebyai,uilitog un bebyai,uilitog un leyaki,uilitog un leyaki,uilitog un leyaki,uilitog un bebyai,uilitog un bebyai,uilitog un leyaki,ama,uilitog un leyaki,ila,uilitog un leyaki,uilitog un bebyai,uilitog un leyaki,ila,ama,uilitog un leyaki,uilitog un bebyai,uilitog un leyaki,uilitog un bebyai,uilitog un bebyai,uilitog un leyaki,uilitog un bebyai,uilitog un leyaki,uilitog un bebyai,uilitog un leyaki,uilitog un bebyai
5,0.04686447496691848,0.9869834614392003,0.9401189864722819,sulud un leyaki,kapingsan,kapingsan,sulud un leyaki,kapingsan,sulud un leyaki,kapingsan,kapingsan,kapingsan,sulud un leyaki,sulud un bebyai,sulud un bebyai,sulud un leyaki,sulud un bebyai,sulud un bebyai,kapingsan,sulud un bebyai,sulud un bebyai,kapingsan,kapingsan,kapingsan,sulud un bebyai,sulud un leyaki,sulud un bebyai,kapingsan,sulud un leyaki,kapingsan,sulud un bebyai,kapingsan,kapingsan,kapingsan,sulud un leyaki,sulud un bebyai,kapingsan,sulud un leyaki,uilitog un leyaki,ila,uilitog un bebyai,uilitog un bebyai,uilitog un bebyai,uilitog un leyaki,uilitog un bebyai,uilitog un leyaki,ama,uilitog un bebyai,uilitog un leyaki,uilitog un leyaki,uilitog un leyaki,uilitog un bebyai,uilitog un leyaki,uilitog un bebyai,uilitog un bebyai,ila,uilitog un leyaki,uilitog un bebyai,uilitog un bebyai,uilitog un bebyai,uilitog un leyaki,uilitog un leyaki,ama,uilitog un leyaki,uilitog un leyaki,uilitog un bebyai
6,0.20225592742216003,1.2527775465189768,1.0505216190968167,kapingsan,kapingsan,sulud un bebyai,kapingsan,kapingsan,sulud un leyaki,sulud un bebyai,kapingsan,sulud un leyaki,sulud un leyaki,sulud un leyaki,kapingsan,sulud un bebyai,sulud un leyaki,kapingsan,kapingsan,sulud un bebyai,kapingsan,sulud un bebyai,sulud un bebyai,kapingsan,kapingsan,sulud un bebyai,sulud un leyaki,sulud un leyaki,sulud un leyaki,kapingsan,kapingsan,kapingsan,sulud un bebyai,kapingsan,sulud un bebyai,sulud un bebyai,kapingsan,sulud un leyaki,uilitog un leyaki,uilitog un bebyai,uilitog un bebyai,uilitog un bebyai,uilitog un bebyai,ila,uilitog un leyaki,uilitog un bebyai,uilitog un leyaki,uilitog un bebyai,uilitog un leyaki,uilitog un bebyai,uilitog un bebyai,uilitog un bebyai,ila,uilitog un leyaki,uilitog un leyaki,uilitog un leyaki,ama,uilitog un bebyai,ama,uilitog un leyaki,uilitog un leyaki,uilitog un bebyai,uilitog un leyaki,uilitog un leyaki,uilitog un bebyai,uilitog un leyaki
7,0.12563505824030907,0.9100760867132229,0.7844410284729139,kapingsan,kapingsan,sulud un bebyai,kapingsan,kapingsan,sulud un leyaki,kapingsan,sulud un bebyai,kapingsan,sulud un leyaki,sulud un leyaki,sulud un leyaki,sulud un bebyai,sulud un bebyai,kapingsan,sulud un leyaki,sulud un leyaki,kapingsan,kapingsan,sulud un bebyai,sulud un bebyai,sulud un leyaki,kapingsan,sulud un bebyai,kapingsan,sulud un leyaki,sulud un bebyai,kapingsan,kapingsan,kapingsan,sulud un leyaki,sulud un bebyai,kapingsan,kapingsan,sulud un bebyai,uilitog un leyaki,uilitog un bebyai,ama,uilitog un leyaki,uilitog un leyaki,uilitog un bebyai,uilitog un bebyai,ila,uilitog un leyaki,uilitog un leyaki,uilitog un bebyai,uilitog un leyaki,uilitog un bebyai,uilitog un leyaki,uilitog un bebyai,uilitog un bebyai,uilitog un leyaki,uilitog un leyaki,uilitog un bebyai,uilitog un leyaki,uilitog un bebyai,ila,uilitog un bebyai,uilitog un leyaki,ama,uilitog un bebyai,uilitog un leyaki,uilitog un bebyai
8,0.12847499718967748,1.0042424730540764,0.875767475864399,kapingsan,sulud un bebyai,sulud un leyaki,kapingsan,kapingsan,sulud un bebyai,sulud un leyaki,kapingsan,sulud un leyaki,sulud un leyaki,kapingsan,kapingsan,sulud un leyaki,kapingsan,sulud un bebyai,kapingsan,kapingsan,sulud un bebyai,sulud un leyaki,kapingsan,sulud un leyaki,sulud un bebyai,kapingsan,kapingsan,kapingsan,sulud un bebyai,kapingsan,sulud un leyaki,sulud un bebyai,sulud un bebyai,sulud un bebyai,kapingsan,sulud un leyaki,sulud un bebyai,kapingsan,uilitog un bebyai,uilitog un leyaki,uilitog un leyaki,uilitog un leyaki,uilitog un bebyai,uilitog un bebyai,uilitog un bebyai,uilitog un bebyai,uilitog un leyaki,uilitog un leyaki,uilitog un bebyai,uilitog un bebyai,uilitog un bebyai,uilitog un leyaki,uilitog un bebyai,ama,uilitog un leyaki,ama,uilitog un leyaki,uilitog un bebyai,uilitog un bebyai,uilitog un leyaki,uilitog un bebyai,uilitog un leyaki,ila,ila,uilitog un leyaki,uilitog un leyaki
9,0.037151749446511895,1.028024689540705,0.9908729400941931,sulud un bebyai,sulud un leyaki,kapingsan,kapingsan,kapingsan,kapingsan,kapingsan,sulud un bebyai,kapingsan,sulud un bebyai,kapingsan,sulud un leyaki,kapingsan,kapingsan,sulud un bebyai,kapingsan,kapingsan,kapingsan,sulud un leyaki,kapingsan,kapingsan,sulud un bebyai,kapingsan,sulud un leyaki,sulud un leyaki,sulud un bebyai,sulud un bebyai,sulud un bebyai,sulud un leyaki,sulud un leyaki,sulud un leyaki,sulud un bebyai,kapingsan,sulud un bebyai,sulud un leyaki,uilitog un leyaki,uilitog un bebyai,ila,uilitog un bebyai,uilitog un leyaki,uilitog un leyaki,uilitog un bebyai,uilitog un bebyai,uilitog un leyaki,uilitog un leyaki,uilitog un leyaki,uilitog un bebyai,uilitog un leyaki,uilitog un bebyai,uilitog un bebyai,uilitog un bebyai,uilitog un leyaki,uilitog un bebyai,uilitog un bebyai,ila,uilitog un leyaki,uilitog un leyaki,uilitog un bebyai,uilitog un leyaki,uilitog un leyaki,ama,ama,uilitog un bebyai
