simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fyZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM
0,0.22475476413425344,0.6806294878916634,0.45587472375741,či-'koǰiβi,-koǰiβa,či-'koǰiβi,mi-'tɔ̃rene,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,či-'koǰiβi,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,peče,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,βada-čao,βada-čao,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,peče,-koǰiβa,-koǰiβa,-koǰiβa,peče,-koǰiβa,-koǰiβa,-koǰiβa,peče,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,βɔp,βɔp,pipi,pipi
1,0.00016319987289670213,0.6917614988524178,0.6915982989795211,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,či-'koǰiβi,mi-'tɔ̃rene,-koǰiβa,či-'koǰiβi,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,či-'koǰiβi,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,peče,-koǰiβa,-koǰiβa,-koǰiβa,peče,βada-čao,-koǰiβa,či-'koǰiβi,či-'koǰiβi,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,βada-čao,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,peče,peče,-koǰiβa,βɔp,pipi,βɔp,pipi
2,0.0006406108732531779,0.6917614988524178,0.6911208879791646,-koǰiβa,-koǰiβa,peče,či-'koǰiβi,mi-'tɔ̃rene,-koǰiβa,βada-čao,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,či-'koǰiβi,peče,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,či-'koǰiβi,či-'koǰiβi,βada-čao,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,peče,mi-'tɔ̃rene,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,peče,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,pipi,βɔp,pipi,βɔp
3,0.00016319987289670213,0.6917614988524178,0.6915982989795211,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,βada-čao,-koǰiβa,či-'koǰiβi,-koǰiβa,či-'koǰiβi,či-'koǰiβi,peče,-koǰiβa,peče,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,peče,-koǰiβa,mi-'tɔ̃rene,či-'koǰiβi,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,peče,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,βada-čao,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,pipi,βɔp,pipi,βɔp
4,0.0010099689722701255,0.6917614988524178,0.6907515298801477,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,βada-čao,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,βada-čao,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,peče,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,peče,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,peče,či-'koǰiβi,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,mi-'tɔ̃rene,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,peče,pipi,βɔp,pipi,βɔp
5,0.00016319987289670213,0.6917614988524178,0.6915982989795211,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,peče,βada-čao,-koǰiβa,peče,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,peče,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,βada-čao,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,peče,-koǰiβa,či-'koǰiβi,mi-'tɔ̃rene,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,-koǰiβa,pipi,βɔp,pipi,βɔp
6,0.0003700061183625758,0.6917614988524178,0.6913914927340552,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,peče,či-'koǰiβi,-koǰiβa,βada-čao,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,peče,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,či-'koǰiβi,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,mi-'tɔ̃rene,peče,či-'koǰiβi,-koǰiβa,-koǰiβa,βada-čao,peče,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,pipi,βɔp,pipi,βɔp
7,0.14930448762119786,0.6806294878916634,0.5313250002704656,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,βada-čao,peče,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,či-'koǰiβi,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,peče,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,βada-čao,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,peče,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,peče,-koǰiβa,-koǰiβa,βɔp,βɔp,pipi,pipi
8,0.0003700061183624648,0.6917614988524178,0.6913914927340553,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,peče,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,peče,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,mi-'tɔ̃rene,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,či-'koǰiβi,-koǰiβa,peče,či-'koǰiβi,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,peče,-koǰiβa,βada-čao,-koǰiβa,βada-čao,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,βɔp,pipi,βɔp,pipi
9,0.0010099689722701255,0.6917614988524178,0.6907515298801477,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,či-'koǰiβi,či-'koǰiβi,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,βada-čao,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,mi-'tɔ̃rene,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,peče,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,-koǰiβa,či-'koǰiβi,-koǰiβa,peče,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,či-'koǰiβi,peče,-koǰiβa,-koǰiβa,-koǰiβa,βada-čao,či-'koǰiβi,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,-koǰiβa,peče,-koǰiβa,pipi,βɔp,pipi,βɔp
