simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFBD,mMBD,mMZD,mFBS,mMBS,mFeBS,mFyBS,mFeBD,mFyBD,mMeBS,mMyBS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFBeD,mFByD,mMBeS,mMByS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFBD,fMBD,fMZD,fFBS,fMBS,fFeBS,fFyBS,fFeBD,fMeBS,fMyBS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFBeD,fFByD,fMBeS,fMByS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.11161563662439722,1.3744581396720692,1.262842503047672,galay,yapa,gutha\',yapa,galay,galay,galay,gutha\',gutha\',gutha\',galay,yapa,galay,galay,galay,gutha\',galay,yapa,yapa,galay,galay,galay,waawa,galay,yapa,yapa,yapa,gutha\',yapa,yapa,yapa,yapa,gutha\',gutha\',yapa,yapa,maarlu\',gutha\',yapa,galay,yapa,gutha\',yapa,yapa,galay,galay,gutha\',galay,yapa,yapa,galay,gutha\',gutha\',gutha\',galay,waawa,yapa,yapa,yapa,galay,mukul,ngama\',maarlu\',maarlu\',ngapipi,maarlu\',ngama\',maarlu\',ngama\',ngama\',mukul,ngama\',ngapipi,maarlu\',ngapipi,ngama\',mukul,maarlu\',mukul,maarlu\',ngapipi,ngapipi,ngapipi,ngama\',maarlu\',mukul,mukul,ngama\'
1,0.15358435779871793,1.358220780938504,1.2046364231397861,yapa,gutha\',yapa,gutha\',yapa,yapa,galay,yapa,galay,yapa,galay,galay,galay,yapa,yapa,galay,galay,yapa,gutha\',yapa,waawa,yapa,gutha\',yapa,yapa,gutha\',galay,yapa,yapa,gutha\',galay,galay,galay,galay,yapa,galay,yapa,yapa,galay,yapa,gutha\',gutha\',galay,yapa,galay,gutha\',gutha\',yapa,waawa,galay,galay,gutha\',maarlu\',gutha\',galay,gutha\',yapa,yapa,galay,gutha\',ngama\',mukul,maarlu\',ngama\',mukul,maarlu\',mukul,mukul,maarlu\',ngapipi,ngapipi,ngapipi,maarlu\',maarlu\',maarlu\',ngama\',ngapipi,ngama\',ngama\',maarlu\',mukul,ngama\',ngapipi,mukul,maarlu\',ngama\',ngama\',ngapipi
2,0.12523510221013234,1.2924985316668733,1.167263429456741,galay,yapa,yapa,yapa,yapa,yapa,galay,yapa,yapa,yapa,yapa,gutha\',galay,galay,galay,yapa,galay,galay,yapa,galay,yapa,gutha\',maarlu\',gutha\',yapa,gutha\',yapa,gutha\',yapa,gutha\',gutha\',galay,yapa,yapa,gutha\',yapa,galay,gutha\',waawa,yapa,galay,galay,yapa,yapa,galay,galay,yapa,waawa,gutha\',galay,gutha\',gutha\',yapa,gutha\',galay,galay,galay,galay,gutha\',galay,maarlu\',ngapipi,ngama\',ngapipi,ngama\',maarlu\',ngapipi,mukul,ngapipi,ngama\',mukul,maarlu\',maarlu\',ngama\',maarlu\',ngama\',ngapipi,mukul,maarlu\',ngama\',ngapipi,mukul,mukul,ngama\',mukul,maarlu\',maarlu\',ngama\'
3,0.10199604459497036,1.371510140637267,1.2695140960422966,galay,galay,yapa,gutha\',yapa,yapa,maarlu\',yapa,galay,gutha\',gutha\',yapa,gutha\',yapa,galay,gutha\',waawa,gutha\',gutha\',gutha\',galay,yapa,galay,yapa,yapa,yapa,galay,gutha\',yapa,yapa,galay,galay,galay,yapa,yapa,galay,yapa,gutha\',galay,yapa,galay,yapa,galay,yapa,galay,galay,yapa,yapa,galay,gutha\',gutha\',galay,yapa,gutha\',yapa,galay,yapa,waawa,galay,gutha\',mukul,maarlu\',ngama\',ngama\',maarlu\',ngapipi,mukul,maarlu\',ngapipi,ngama\',maarlu\',ngapipi,ngapipi,maarlu\',maarlu\',mukul,ngapipi,maarlu\',ngama\',mukul,ngama\',maarlu\',ngapipi,mukul,ngama\',ngama\',ngama\',mukul
4,0.12114057320635774,1.354653309514755,1.2335127363083973,yapa,galay,gutha\',gutha\',galay,galay,galay,maarlu\',gutha\',yapa,yapa,galay,yapa,galay,gutha\',galay,galay,yapa,gutha\',yapa,yapa,gutha\',galay,yapa,gutha\',yapa,gutha\',waawa,yapa,yapa,yapa,gutha\',galay,gutha\',galay,yapa,yapa,gutha\',galay,waawa,galay,galay,galay,yapa,gutha\',yapa,yapa,yapa,yapa,galay,gutha\',galay,yapa,galay,gutha\',yapa,galay,yapa,galay,yapa,ngapipi,ngama\',maarlu\',maarlu\',ngama\',ngapipi,ngapipi,maarlu\',ngama\',ngama\',ngapipi,maarlu\',mukul,ngama\',mukul,mukul,maarlu\',ngama\',maarlu\',ngama\',maarlu\',mukul,ngama\',mukul,mukul,maarlu\',ngapipi,ngapipi
5,0.08980483513048565,1.3831649170192795,1.2933600818887938,galay,gutha\',yapa,yapa,galay,gutha\',yapa,yapa,gutha\',yapa,galay,galay,waawa,yapa,yapa,yapa,galay,gutha\',yapa,yapa,gutha\',galay,galay,galay,yapa,galay,maarlu\',yapa,yapa,gutha\',galay,galay,gutha\',yapa,gutha\',galay,gutha\',galay,gutha\',galay,galay,gutha\',galay,yapa,galay,waawa,yapa,galay,yapa,galay,yapa,gutha\',yapa,gutha\',yapa,yapa,yapa,galay,yapa,gutha\',ngama\',ngapipi,maarlu\',maarlu\',ngapipi,mukul,ngama\',ngama\',ngama\',mukul,maarlu\',maarlu\',mukul,mukul,ngapipi,ngama\',maarlu\',ngama\',mukul,ngama\',mukul,maarlu\',ngapipi,ngapipi,maarlu\',maarlu\',ngapipi,ngama\'
6,0.09662978501221797,1.3698771292414764,1.2732473442292584,galay,yapa,waawa,yapa,yapa,galay,galay,gutha\',yapa,yapa,yapa,maarlu\',gutha\',gutha\',galay,yapa,galay,yapa,yapa,yapa,galay,yapa,galay,yapa,gutha\',gutha\',galay,gutha\',yapa,galay,gutha\',yapa,galay,galay,yapa,yapa,galay,gutha\',galay,galay,gutha\',galay,yapa,yapa,galay,gutha\',yapa,gutha\',galay,yapa,galay,yapa,waawa,yapa,galay,galay,yapa,gutha\',gutha\',gutha\',ngapipi,ngapipi,ngama\',maarlu\',mukul,maarlu\',ngapipi,ngama\',ngapipi,mukul,ngama\',ngama\',maarlu\',ngama\',maarlu\',ngapipi,maarlu\',mukul,ngama\',mukul,maarlu\',maarlu\',ngama\',maarlu\',ngapipi,mukul,mukul,ngama\'
7,0.08812888677824882,1.3507134595845331,1.2625845728062843,galay,gutha\',waawa,galay,yapa,gutha\',yapa,galay,gutha\',yapa,yapa,gutha\',gutha\',yapa,yapa,galay,yapa,yapa,yapa,galay,galay,galay,waawa,gutha\',gutha\',galay,galay,gutha\',yapa,galay,yapa,galay,gutha\',yapa,galay,galay,yapa,yapa,gutha\',yapa,yapa,gutha\',galay,yapa,gutha\',galay,gutha\',yapa,yapa,galay,yapa,galay,gutha\',yapa,galay,yapa,galay,maarlu\',galay,yapa,maarlu\',maarlu\',ngapipi,mukul,ngama\',maarlu\',maarlu\',ngama\',ngapipi,ngama\',maarlu\',ngama\',maarlu\',ngama\',ngapipi,ngama\',ngapipi,ngama\',maarlu\',mukul,mukul,ngapipi,mukul,maarlu\',ngapipi,ngama\',mukul,mukul
8,0.16164092497820937,1.3844483765077877,1.2228074515295784,gutha\',galay,gutha\',galay,gutha\',galay,yapa,galay,yapa,gutha\',yapa,yapa,gutha\',yapa,yapa,gutha\',galay,yapa,galay,galay,yapa,yapa,gutha\',yapa,yapa,galay,waawa,yapa,galay,gutha\',galay,galay,gutha\',gutha\',yapa,maarlu\',galay,yapa,yapa,galay,galay,gutha\',galay,yapa,yapa,yapa,gutha\',galay,waawa,yapa,galay,yapa,galay,galay,galay,gutha\',yapa,gutha\',yapa,yapa,maarlu\',mukul,mukul,ngama\',ngapipi,ngama\',ngapipi,maarlu\',maarlu\',maarlu\',ngama\',maarlu\',maarlu\',ngama\',ngama\',ngama\',mukul,maarlu\',maarlu\',ngapipi,ngama\',ngapipi,ngama\',mukul,ngapipi,mukul,ngapipi,mukul
9,0.19999282126315787,1.336221297756624,1.136228476493466,galay,gutha\',gutha\',yapa,galay,galay,gutha\',galay,galay,yapa,gutha\',gutha\',waawa,gutha\',gutha\',galay,maarlu\',gutha\',galay,yapa,yapa,galay,galay,yapa,yapa,gutha\',yapa,yapa,gutha\',gutha\',waawa,yapa,galay,yapa,galay,galay,yapa,yapa,yapa,yapa,gutha\',yapa,galay,yapa,yapa,yapa,yapa,galay,gutha\',galay,galay,gutha\',galay,galay,yapa,galay,yapa,yapa,yapa,galay,maarlu\',ngama\',ngapipi,maarlu\',mukul,maarlu\',maarlu\',mukul,ngama\',ngapipi,ngama\',ngama\',maarlu\',mukul,ngama\',ngapipi,mukul,ngama\',mukul,maarlu\',ngama\',ngapipi,ngapipi,ngapipi,ngama\',maarlu\',mukul,maarlu\'
