simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.1906309312174268,1.5553379741458317,1.364707042928405,wuRaN,waTakiya,pileku,wuRaN,wuRaN,urang-,pileku,waTakiya,urang-,nant,waTakiya,waTakiya,urang-,pileku,waTakiya,waTakiya,pileku,waTakiya,urang-,waTakiya,urang-,urang-,waTakiya,urang-,pileku,waTakiya,wuRaN,waTakiya,waTakiya,nant,pileku,pileku,urang-,urang-,waTakiya,waTakiya,waTakiya,waTakiya,waTakiya,urang-,pileku,waTakiya,waTakiya,waTakiya,pileku,pileku,lalu,wurtikiya,pileku,pernawurr,urtiki,pileku,pileku,wakathuwa,urtiki,urtiki,wakathuwa,wakathuwa,pernawurr,wakathuwa,wakathuwa,pernawurr,pileku,pileku,pernawurr,pileku,wakathuwa,pernawurr,urtiki,wakathuwa,urtiki,wakathuwa,pernawurr,urtiki,wurtikiya
1,0.21434302486940848,1.4945866072801823,1.2802435824107739,urang-,waTakiya,urang-,waTakiya,urang-,pileku,waTakiya,waTakiya,waTakiya,lalu,waTakiya,pileku,waTakiya,waTakiya,pileku,urang-,waTakiya,waTakiya,waTakiya,waTakiya,wuRaN,pileku,waTakiya,wuRaN,waTakiya,pileku,pileku,nant,waTakiya,urang-,urang-,waTakiya,pileku,pileku,urang-,wuRaN,urang-,urang-,wuRaN,urang-,nant,waTakiya,waTakiya,pileku,waTakiya,waTakiya,pileku,pernawurr,wakathuwa,pileku,pileku,wakathuwa,wurtikiya,pernawurr,pernawurr,urtiki,pernawurr,pileku,urtiki,urtiki,wakathuwa,wakathuwa,pernawurr,wakathuwa,urtiki,pileku,pileku,wakathuwa,pernawurr,urtiki,wurtikiya,wakathuwa,urtiki,wakathuwa,pileku
2,0.30422495745898304,1.3569827426744625,1.0527577852154795,waTakiya,waTakiya,pileku,urang-,urang-,urang-,lalu,waTakiya,waTakiya,waTakiya,pileku,urang-,pileku,urang-,waTakiya,urang-,wuRaN,urang-,pileku,pileku,pileku,nant,waTakiya,waTakiya,pileku,nant,waTakiya,urang-,waTakiya,pileku,wuRaN,pileku,waTakiya,waTakiya,urang-,waTakiya,waTakiya,wuRaN,pileku,urang-,waTakiya,waTakiya,waTakiya,waTakiya,wuRaN,waTakiya,waTakiya,wakathuwa,urtiki,pileku,urtiki,pileku,pernawurr,wakathuwa,wakathuwa,pernawurr,wakathuwa,pernawurr,urtiki,wakathuwa,pileku,pileku,urtiki,pileku,urtiki,pernawurr,pernawurr,wakathuwa,wurtikiya,wakathuwa,urtiki,wurtikiya,pileku,pernawurr,wakathuwa
3,0.23181438153442357,1.523568787811791,1.2917544062773674,urang-,waTakiya,pileku,waTakiya,waTakiya,waTakiya,waTakiya,waTakiya,pileku,urang-,pileku,waTakiya,waTakiya,urang-,waTakiya,wuRaN,waTakiya,waTakiya,urang-,urang-,urang-,urang-,waTakiya,waTakiya,pileku,pileku,nant,urang-,wuRaN,waTakiya,pileku,pileku,waTakiya,waTakiya,urang-,pileku,waTakiya,waTakiya,urang-,pileku,waTakiya,wuRaN,waTakiya,lalu,wuRaN,nant,pileku,urtiki,pileku,urtiki,wakathuwa,pernawurr,wakathuwa,urtiki,wakathuwa,pernawurr,wakathuwa,pileku,pileku,wakathuwa,urtiki,wakathuwa,wurtikiya,urtiki,pernawurr,pileku,urtiki,pernawurr,pileku,pernawurr,pileku,wakathuwa,pernawurr,wurtikiya,wakathuwa
4,0.21429595579656446,1.3490851714679262,1.1347892156713617,waTakiya,waTakiya,waTakiya,waTakiya,urang-,pileku,waTakiya,urang-,urang-,urang-,urang-,waTakiya,wuRaN,waTakiya,waTakiya,nant,pileku,pileku,pileku,waTakiya,waTakiya,pileku,waTakiya,urang-,pileku,urang-,pileku,waTakiya,urang-,pileku,urang-,waTakiya,waTakiya,wuRaN,wuRaN,waTakiya,wuRaN,waTakiya,waTakiya,waTakiya,urang-,nant,waTakiya,waTakiya,lalu,pileku,pileku,wakathuwa,wakathuwa,pernawurr,wakathuwa,pileku,wakathuwa,urtiki,wakathuwa,pernawurr,urtiki,wurtikiya,wakathuwa,urtiki,pernawurr,urtiki,pileku,wurtikiya,urtiki,wakathuwa,pileku,urtiki,wakathuwa,pileku,pileku,pernawurr,pernawurr,pernawurr,pileku
5,0.2349519980278918,1.4324654126307612,1.1975134146028694,waTakiya,waTakiya,wuRaN,pileku,wuRaN,urang-,urang-,waTakiya,pileku,pileku,nant,waTakiya,waTakiya,urang-,waTakiya,urang-,nant,pileku,waTakiya,urang-,waTakiya,pileku,urang-,urang-,waTakiya,waTakiya,waTakiya,wuRaN,pileku,pileku,waTakiya,waTakiya,pileku,waTakiya,lalu,waTakiya,pileku,waTakiya,pileku,waTakiya,urang-,waTakiya,wuRaN,waTakiya,urang-,waTakiya,urang-,pileku,wurtikiya,wakathuwa,wakathuwa,pileku,urtiki,wakathuwa,pileku,pileku,urtiki,pernawurr,urtiki,pileku,pernawurr,wakathuwa,pernawurr,wakathuwa,pernawurr,pernawurr,pileku,urtiki,wakathuwa,urtiki,wakathuwa,urtiki,wurtikiya,wakathuwa,pernawurr
6,0.31600795128475867,1.5616011173201467,1.245593166035388,urang-,waTakiya,nant,waTakiya,waTakiya,wuRaN,waTakiya,urang-,urang-,waTakiya,urang-,waTakiya,waTakiya,waTakiya,pileku,pileku,urang-,urang-,waTakiya,waTakiya,urang-,wuRaN,waTakiya,waTakiya,waTakiya,nant,urang-,pileku,urang-,pileku,pileku,wuRaN,waTakiya,pileku,waTakiya,urang-,pileku,waTakiya,waTakiya,waTakiya,lalu,wuRaN,pileku,waTakiya,pileku,waTakiya,pileku,pileku,wakathuwa,pileku,pernawurr,wakathuwa,pileku,wakathuwa,wakathuwa,wurtikiya,wurtikiya,pernawurr,pernawurr,urtiki,pileku,wakathuwa,pernawurr,urtiki,urtiki,pileku,wakathuwa,wakathuwa,urtiki,urtiki,wakathuwa,pernawurr,urtiki,pileku,pernawurr
7,0.24057832853228822,1.508471700340573,1.2678933718082848,waTakiya,nant,waTakiya,pileku,pileku,pileku,wuRaN,wuRaN,waTakiya,waTakiya,urang-,urang-,pileku,waTakiya,waTakiya,urang-,waTakiya,waTakiya,urang-,waTakiya,wuRaN,urang-,urang-,pileku,pileku,waTakiya,waTakiya,waTakiya,pileku,waTakiya,urang-,urang-,waTakiya,waTakiya,wuRaN,waTakiya,lalu,urang-,urang-,pileku,waTakiya,waTakiya,waTakiya,waTakiya,pileku,pileku,nant,wakathuwa,urtiki,pileku,pileku,pernawurr,pernawurr,pernawurr,wakathuwa,pernawurr,pernawurr,wakathuwa,pileku,wurtikiya,urtiki,pileku,urtiki,wakathuwa,pileku,wakathuwa,pileku,wakathuwa,wakathuwa,urtiki,urtiki,urtiki,wurtikiya,wakathuwa,pernawurr
8,0.18147297840161092,1.4924290629300518,1.310956084528441,pileku,waTakiya,wuRaN,waTakiya,pileku,urang-,waTakiya,urang-,waTakiya,nant,urang-,pileku,pileku,urang-,waTakiya,pileku,waTakiya,urang-,wuRaN,waTakiya,waTakiya,waTakiya,pileku,waTakiya,pileku,waTakiya,nant,wuRaN,pileku,lalu,waTakiya,waTakiya,pileku,waTakiya,waTakiya,urang-,urang-,urang-,waTakiya,waTakiya,waTakiya,waTakiya,wuRaN,pileku,urang-,waTakiya,urang-,wakathuwa,wurtikiya,wurtikiya,pileku,urtiki,pileku,wakathuwa,pernawurr,pileku,wakathuwa,urtiki,wakathuwa,pileku,urtiki,pernawurr,wakathuwa,urtiki,pernawurr,wakathuwa,pileku,wakathuwa,pernawurr,pernawurr,pileku,pernawurr,urtiki,urtiki,wakathuwa
9,0.2483945097568756,1.3792734387159977,1.1308789289591221,waTakiya,waTakiya,waTakiya,waTakiya,pileku,wuRaN,urang-,urang-,pileku,pileku,urang-,nant,waTakiya,waTakiya,waTakiya,waTakiya,pileku,wuRaN,pileku,urang-,urang-,waTakiya,pileku,urang-,lalu,pileku,urang-,waTakiya,waTakiya,waTakiya,pileku,waTakiya,waTakiya,wuRaN,wuRaN,waTakiya,waTakiya,urang-,waTakiya,waTakiya,pileku,waTakiya,nant,urang-,waTakiya,pileku,urang-,pileku,pileku,pernawurr,wakathuwa,urtiki,pernawurr,wakathuwa,wakathuwa,urtiki,pileku,urtiki,wakathuwa,urtiki,pileku,wakathuwa,wurtikiya,wurtikiya,urtiki,pileku,pernawurr,wakathuwa,pernawurr,pernawurr,pileku,pernawurr,wakathuwa,urtiki,wakathuwa
