simulation_number,mutual_information,entropy,conditional_entropy,mFZeS,fFZeS,mFZyS,fFZyS,mFZeD,mFZyD,fFZeD,fFZyD,mMBeS,fMBeS,mMByS,fMByS,mMBeD,fMBeD,mMByD,fMByD,myB,fyB,mFByS,fFByS,mMZyS,fMZyS,meB,feB,mFBeS,fFBeS,mMZeS,mFByD,fFByD,mMZyD,fMZyD,myZ,fyZ,meZ,feZ,mFBeD,fFBeD,mMZeD,fMZeD,mF,fF,mFeB,mFyB,fFeB,fFyB,mMeB,mMyB,fMeB,fMyB,mM,fM,mFeZ,mFyZ,fFeZ,fFyZ,mMeZ,mMyZ,fMeZ,fMyZ
0,0.2599301927099794,1.0397207708399179,0.7797905781299385,läk-jeʼ-hä,ahk-jeʼ-hä,läk-jeʼ-hä,un-gǎ-läʼ-seh,le-gäʼ-ah,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,le-gäʼ-ah,ka-gäʼ-ah,läk-jeʼ-hä,ka-gä-ahʼ,ahk-jeʼ-hä,un-gǎ-läʼ-seh,ahk-jeʼ-hä,le-gäʼ-hä,läk-jeʼ-hä,le-gäʼ-ah,le-gäʼ-ah,ahk-jeʼ-hä,ka-gä-ahʼ,läk-jeʼ-hä,un-gǎ-läʼ-seh,ka-gäʼ-ah,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,ahk-jeʼ-hä,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,le-gäʼ-ah,ahk-jeʼ-hä,un-gǎ-läʼ-seh,ka-gäʼ-ah,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,ka-gäʼ-ah,ahk-noleʼ-hä,läg-noleʼ-hä,ahk-noleʼ-hä,läʼ-ga-nih,ahk-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,läg-noleʼ-hä,läʼ-ga-nih,läʼ-ga-nih,ahk-noleʼ-hä,läg-noleʼ-hä,läʼ-ga-nih,läʼ-ga-nih,läg-noleʼ-hä,ahk-noleʼ-hä,läʼ-ga-nih,ahk-noleʼ-hä
1,0.053940388584708954,0.5623351446188083,0.5083947560340993,ahk-jeʼ-hä,ka-gä-ahʼ,le-gäʼ-ah,ahk-jeʼ-hä,le-gäʼ-ah,ka-gäʼ-ah,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,ahk-jeʼ-hä,läk-jeʼ-hä,ahk-jeʼ-hä,läk-jeʼ-hä,un-gǎ-läʼ-seh,le-gäʼ-hä,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,ka-gäʼ-ah,un-gǎ-läʼ-seh,ka-gä-ahʼ,un-gǎ-läʼ-seh,ka-gäʼ-ah,läk-jeʼ-hä,läk-jeʼ-hä,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,le-gäʼ-ah,ahk-jeʼ-hä,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,le-gäʼ-ah,le-gäʼ-ah,un-gǎ-läʼ-seh,ahk-jeʼ-hä,un-gǎ-läʼ-seh,ka-gäʼ-ah,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,läk-jeʼ-hä,un-gǎ-läʼ-seh,ahk-noleʼ-hä,ahk-noleʼ-hä,läʼ-ga-nih,läʼ-ga-nih,ahk-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,läg-noleʼ-hä,läʼ-ga-nih,läg-noleʼ-hä,ahk-noleʼ-hä,läg-noleʼ-hä,ahk-noleʼ-hä,läʼ-ga-nih,läʼ-ga-nih,läg-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,läʼ-ga-nih,ahk-noleʼ-hä
2,0.13625744433957987,1.0397207708399179,0.903463326500338,un-gǎ-läʼ-seh,le-gäʼ-ah,läk-jeʼ-hä,läk-jeʼ-hä,ahk-jeʼ-hä,un-gǎ-läʼ-seh,läk-jeʼ-hä,ka-gäʼ-ah,un-gǎ-läʼ-seh,le-gäʼ-ah,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,ahk-jeʼ-hä,un-gǎ-läʼ-seh,ka-gäʼ-ah,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,läk-jeʼ-hä,le-gäʼ-ah,un-gǎ-läʼ-seh,le-gäʼ-hä,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,ka-gäʼ-ah,le-gäʼ-ah,le-gäʼ-ah,ahk-jeʼ-hä,un-gǎ-läʼ-seh,ahk-jeʼ-hä,un-gǎ-läʼ-seh,ka-gäʼ-ah,un-gǎ-läʼ-seh,läk-jeʼ-hä,ahk-jeʼ-hä,ka-gä-ahʼ,un-gǎ-läʼ-seh,ahk-jeʼ-hä,ka-gä-ahʼ,läg-noleʼ-hä,ahk-noleʼ-hä,läʼ-ga-nih,ahk-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,läʼ-ga-nih,ahk-noleʼ-hä,ahk-noleʼ-hä,läʼ-ga-nih,ahk-noleʼ-hä,läʼ-ga-nih,läg-noleʼ-hä,ahk-noleʼ-hä,läʼ-ga-nih,ahk-noleʼ-hä,läg-noleʼ-hä,läʼ-ga-nih,ahk-noleʼ-hä,läg-noleʼ-hä
3,0.17328679513998624,1.0397207708399179,0.8664339756999316,ka-gä-ahʼ,läk-jeʼ-hä,le-gäʼ-ah,le-gäʼ-hä,ahk-jeʼ-hä,ahk-jeʼ-hä,le-gäʼ-ah,ka-gäʼ-ah,le-gäʼ-ah,un-gǎ-läʼ-seh,läk-jeʼ-hä,läk-jeʼ-hä,un-gǎ-läʼ-seh,ahk-jeʼ-hä,un-gǎ-läʼ-seh,ka-gäʼ-ah,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,ka-gä-ahʼ,ahk-jeʼ-hä,läk-jeʼ-hä,le-gäʼ-ah,ka-gäʼ-ah,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,ahk-jeʼ-hä,un-gǎ-läʼ-seh,ahk-jeʼ-hä,läk-jeʼ-hä,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,le-gäʼ-ah,ka-gäʼ-ah,ahk-noleʼ-hä,läʼ-ga-nih,ahk-noleʼ-hä,läʼ-ga-nih,ahk-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,läʼ-ga-nih,läg-noleʼ-hä,ahk-noleʼ-hä,läg-noleʼ-hä,ahk-noleʼ-hä,läʼ-ga-nih,läg-noleʼ-hä,ahk-noleʼ-hä,läg-noleʼ-hä,läʼ-ga-nih,ahk-noleʼ-hä,läʼ-ga-nih,ahk-noleʼ-hä
4,0.1078807771694178,0.5623351446188083,0.4544543674493905,ka-gä-ahʼ,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,le-gäʼ-ah,un-gǎ-läʼ-seh,ahk-jeʼ-hä,ka-gäʼ-ah,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,läk-jeʼ-hä,läk-jeʼ-hä,läk-jeʼ-hä,un-gǎ-läʼ-seh,le-gäʼ-hä,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,ka-gäʼ-ah,ahk-jeʼ-hä,le-gäʼ-ah,un-gǎ-läʼ-seh,le-gäʼ-ah,ahk-jeʼ-hä,un-gǎ-läʼ-seh,le-gäʼ-ah,un-gǎ-läʼ-seh,ka-gäʼ-ah,le-gäʼ-ah,läk-jeʼ-hä,ahk-jeʼ-hä,ahk-jeʼ-hä,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,ka-gä-ahʼ,läk-jeʼ-hä,ka-gäʼ-ah,ahk-jeʼ-hä,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,ahk-noleʼ-hä,ahk-noleʼ-hä,läʼ-ga-nih,läʼ-ga-nih,ahk-noleʼ-hä,läʼ-ga-nih,läʼ-ga-nih,ahk-noleʼ-hä,läg-noleʼ-hä,ahk-noleʼ-hä,läʼ-ga-nih,ahk-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,läʼ-ga-nih,läg-noleʼ-hä,läg-noleʼ-hä,ahk-noleʼ-hä,läg-noleʼ-hä
5,0.17328679513998624,1.0397207708399179,0.8664339756999316,un-gǎ-läʼ-seh,ahk-jeʼ-hä,ka-gä-ahʼ,ahk-jeʼ-hä,läk-jeʼ-hä,ka-gäʼ-ah,läk-jeʼ-hä,le-gäʼ-hä,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,ka-gäʼ-ah,un-gǎ-läʼ-seh,le-gäʼ-ah,un-gǎ-läʼ-seh,läk-jeʼ-hä,ahk-jeʼ-hä,un-gǎ-läʼ-seh,ka-gä-ahʼ,ka-gäʼ-ah,läk-jeʼ-hä,le-gäʼ-ah,un-gǎ-läʼ-seh,läk-jeʼ-hä,un-gǎ-läʼ-seh,ahk-jeʼ-hä,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,ahk-jeʼ-hä,ka-gäʼ-ah,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,le-gäʼ-ah,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,le-gäʼ-ah,un-gǎ-läʼ-seh,ahk-jeʼ-hä,un-gǎ-läʼ-seh,le-gäʼ-ah,ahk-noleʼ-hä,läʼ-ga-nih,ahk-noleʼ-hä,läg-noleʼ-hä,läg-noleʼ-hä,läʼ-ga-nih,läg-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,läʼ-ga-nih,läg-noleʼ-hä,läʼ-ga-nih,ahk-noleʼ-hä,ahk-noleʼ-hä,läʼ-ga-nih,läʼ-ga-nih,ahk-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä
6,0.1618211657541267,0.5623351446188083,0.4005139788646816,un-gǎ-läʼ-seh,läk-jeʼ-hä,ka-gä-ahʼ,ahk-jeʼ-hä,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,ahk-jeʼ-hä,le-gäʼ-hä,ka-gäʼ-ah,ka-gäʼ-ah,un-gǎ-läʼ-seh,ka-gäʼ-ah,ahk-jeʼ-hä,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,ka-gäʼ-ah,un-gǎ-läʼ-seh,le-gäʼ-ah,le-gäʼ-ah,läk-jeʼ-hä,ahk-jeʼ-hä,le-gäʼ-ah,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,le-gäʼ-ah,ahk-jeʼ-hä,ka-gä-ahʼ,un-gǎ-läʼ-seh,läk-jeʼ-hä,ahk-jeʼ-hä,le-gäʼ-ah,läk-jeʼ-hä,läk-jeʼ-hä,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,ahk-noleʼ-hä,ahk-noleʼ-hä,läg-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,läʼ-ga-nih,ahk-noleʼ-hä,läʼ-ga-nih,ahk-noleʼ-hä,läʼ-ga-nih,läg-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,läʼ-ga-nih,läʼ-ga-nih,ahk-noleʼ-hä,läg-noleʼ-hä,läʼ-ga-nih,läg-noleʼ-hä,ahk-noleʼ-hä
7,0.21576155433883565,0.5623351446188083,0.34657359027997264,ahk-jeʼ-hä,le-gäʼ-ah,un-gǎ-läʼ-seh,ka-gäʼ-ah,le-gäʼ-ah,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,ka-gä-ahʼ,ahk-jeʼ-hä,un-gǎ-läʼ-seh,le-gäʼ-ah,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,ka-gäʼ-ah,un-gǎ-läʼ-seh,läk-jeʼ-hä,un-gǎ-läʼ-seh,läk-jeʼ-hä,le-gäʼ-ah,ka-gäʼ-ah,läk-jeʼ-hä,un-gǎ-läʼ-seh,ka-gä-ahʼ,le-gäʼ-ah,ahk-jeʼ-hä,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,le-gäʼ-hä,läk-jeʼ-hä,ka-gäʼ-ah,ahk-jeʼ-hä,un-gǎ-läʼ-seh,ahk-jeʼ-hä,ahk-jeʼ-hä,läk-jeʼ-hä,läʼ-ga-nih,ahk-noleʼ-hä,ahk-noleʼ-hä,läg-noleʼ-hä,läʼ-ga-nih,läʼ-ga-nih,läg-noleʼ-hä,läg-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,läg-noleʼ-hä,ahk-noleʼ-hä,läʼ-ga-nih,ahk-noleʼ-hä,läʼ-ga-nih,läʼ-ga-nih
8,0.2157615543388357,0.5623351446188083,0.3465735902799726,un-gǎ-läʼ-seh,läk-jeʼ-hä,ka-gäʼ-ah,läk-jeʼ-hä,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,ahk-jeʼ-hä,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,ka-gä-ahʼ,läk-jeʼ-hä,le-gäʼ-ah,ka-gäʼ-ah,un-gǎ-läʼ-seh,ahk-jeʼ-hä,un-gǎ-läʼ-seh,ka-gäʼ-ah,un-gǎ-läʼ-seh,le-gäʼ-hä,läk-jeʼ-hä,le-gäʼ-ah,läk-jeʼ-hä,ahk-jeʼ-hä,un-gǎ-läʼ-seh,le-gäʼ-ah,le-gäʼ-ah,ka-gä-ahʼ,ahk-jeʼ-hä,un-gǎ-läʼ-seh,ahk-jeʼ-hä,un-gǎ-läʼ-seh,ahk-jeʼ-hä,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,ka-gäʼ-ah,un-gǎ-läʼ-seh,le-gäʼ-ah,ahk-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,läʼ-ga-nih,läʼ-ga-nih,läʼ-ga-nih,ahk-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,läg-noleʼ-hä,läg-noleʼ-hä,läg-noleʼ-hä,läʼ-ga-nih,läʼ-ga-nih,ahk-noleʼ-hä,läʼ-ga-nih,ahk-noleʼ-hä,läg-noleʼ-hä
9,0.05394038858470884,0.5623351446188083,0.5083947560340994,un-gǎ-läʼ-seh,ka-gäʼ-ah,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,le-gäʼ-ah,ka-gä-ahʼ,le-gäʼ-ah,ahk-jeʼ-hä,ka-gäʼ-ah,un-gǎ-läʼ-seh,ahk-jeʼ-hä,le-gäʼ-ah,läk-jeʼ-hä,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,le-gäʼ-hä,ka-gäʼ-ah,un-gǎ-läʼ-seh,läk-jeʼ-hä,un-gǎ-läʼ-seh,läk-jeʼ-hä,un-gǎ-läʼ-seh,ka-gäʼ-ah,un-gǎ-läʼ-seh,ahk-jeʼ-hä,ahk-jeʼ-hä,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,le-gäʼ-ah,le-gäʼ-ah,ka-gä-ahʼ,läk-jeʼ-hä,läk-jeʼ-hä,un-gǎ-läʼ-seh,ahk-jeʼ-hä,ahk-jeʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,läʼ-ga-nih,läg-noleʼ-hä,läg-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,läʼ-ga-nih,ahk-noleʼ-hä,läʼ-ga-nih,läg-noleʼ-hä,läg-noleʼ-hä,ahk-noleʼ-hä,ahk-noleʼ-hä,läʼ-ga-nih,läʼ-ga-nih,läʼ-ga-nih,ahk-noleʼ-hä
