simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFBD,mMBD,mMZD,mFBS,mMZS,mFeBS,mFyBS,mFeBD,mFyBD,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFBeD,mFByD,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fZ,feB,fyB,feZ,fyZ,fFBD,fMBD,fMZD,fFBS,fMZS,fFeBS,fFyBS,fFeBD,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFBeD,fFByD,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mZ,mFZD,mFeZD,mFyZD,mFZeD,mFZyD,fFZD,fFeZD,fFyZD,fFZeD,fFZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.17771383031694588,1.66042918871533,1.482715358398384,baɳgiji,parnku,parnku,gawulu,gawulu,gawulu,ŋaɖaji,gawulu,gawulu,gawulu,baɳgiji,gawulu,parnku,gawulu,baɳgiji,gawulu,gawulu,gawulu,parnku,baɳgiji,parnku,baɳgiji,baɳgiji,baɳgiji,baɳgiji,baɳgiji,gawulu,babaji,parnku,parnku,gawulu,baɳgiji,parnku,baɳgiji,baɳgiji,parnku,parnku,parnku,baɳgiji,parnku,parnku,gawulu,baɳgiji,gawulu,gawulu,baɳgiji,babaji,gawulu,parnku,parnku,parnku,gawulu,parnku,parnku,gawulu,gawulu,baɳgiji,gawulu,baɳgiji,parnku,baɳgiji,baɳgiji,gawulu,ŋaɖaji,gawulu,ŋaɖaji,baɳgiji,gawulu,ŋawiji,ŋamiɳi,ŋamiɳi,mugul,ŋamaji,ŋawiji,ŋamaji,mugul,ŋamaji,ŋamaji,ŋamiɳi,ŋamaji,ŋawiji,ŋawiji,ŋawiji,ŋamaji,murrkul,murrkul,ngawiyi,ŋamaji,ŋawiji,ngawiyi,ngawiyi,ŋawiji,ŋamaji,ŋawiji,murrkul,mugul
1,0.15459367674277824,1.5356920091313409,1.3810983323885626,gawulu,gawulu,baɳgiji,gawulu,gawulu,parnku,gawulu,baɳgiji,parnku,ŋaɖaji,baɳgiji,baɳgiji,gawulu,baɳgiji,gawulu,babaji,baɳgiji,baɳgiji,parnku,baɳgiji,parnku,parnku,baɳgiji,gawulu,babaji,gawulu,baɳgiji,gawulu,parnku,parnku,gawulu,baɳgiji,gawulu,baɳgiji,parnku,gawulu,gawulu,ŋaɖaji,ŋaɖaji,parnku,parnku,baɳgiji,parnku,baɳgiji,parnku,gawulu,parnku,gawulu,parnku,gawulu,baɳgiji,gawulu,gawulu,parnku,gawulu,gawulu,baɳgiji,baɳgiji,gawulu,baɳgiji,baɳgiji,gawulu,parnku,parnku,gawulu,parnku,parnku,baɳgiji,ŋawiji,ŋamaji,ŋawiji,ŋamaji,ŋamaji,ŋawiji,ŋawiji,ŋamaji,ŋamiɳi,ŋawiji,mugul,ŋawiji,ŋamiɳi,ŋamiɳi,ngawiyi,murrkul,ŋawiji,ŋamaji,mugul,ŋamaji,ngawiyi,murrkul,mugul,ŋamaji,ŋamaji,ŋawiji,ngawiyi,murrkul
2,0.2543851861107498,1.6548922964555879,1.400507110344838,gawulu,baɳgiji,gawulu,parnku,baɳgiji,baɳgiji,baɳgiji,gawulu,baɳgiji,parnku,gawulu,baɳgiji,parnku,gawulu,baɳgiji,baɳgiji,baɳgiji,gawulu,baɳgiji,babaji,gawulu,parnku,gawulu,gawulu,gawulu,ŋaɖaji,baɳgiji,gawulu,gawulu,gawulu,parnku,parnku,baɳgiji,baɳgiji,ŋaɖaji,gawulu,parnku,gawulu,parnku,gawulu,gawulu,gawulu,baɳgiji,parnku,parnku,gawulu,parnku,gawulu,baɳgiji,parnku,parnku,parnku,parnku,parnku,baɳgiji,parnku,parnku,gawulu,parnku,gawulu,gawulu,baɳgiji,baɳgiji,gawulu,baɳgiji,babaji,ŋaɖaji,baɳgiji,ngawiyi,ŋamaji,mugul,ŋamaji,ŋawiji,ŋamaji,ŋamaji,ngawiyi,murrkul,murrkul,ŋamiɳi,ŋamaji,ŋamiɳi,ŋamaji,ŋawiji,ŋawiji,ŋawiji,mugul,ŋawiji,ŋamiɳi,ŋawiji,ŋamaji,ŋamaji,murrkul,ŋawiji,mugul,ngawiyi,ŋawiji
3,0.1640672097505027,1.690449681322787,1.5263824715722842,parnku,parnku,gawulu,gawulu,baɳgiji,gawulu,parnku,parnku,baɳgiji,gawulu,gawulu,parnku,baɳgiji,gawulu,parnku,baɳgiji,parnku,gawulu,parnku,parnku,baɳgiji,baɳgiji,parnku,gawulu,gawulu,baɳgiji,baɳgiji,gawulu,ŋaɖaji,parnku,gawulu,gawulu,parnku,gawulu,gawulu,gawulu,baɳgiji,babaji,gawulu,baɳgiji,ŋaɖaji,gawulu,baɳgiji,gawulu,gawulu,gawulu,gawulu,gawulu,parnku,baɳgiji,parnku,baɳgiji,babaji,parnku,baɳgiji,gawulu,baɳgiji,gawulu,baɳgiji,parnku,parnku,baɳgiji,baɳgiji,ŋaɖaji,parnku,parnku,baɳgiji,baɳgiji,ŋamaji,murrkul,ŋamaji,ngawiyi,ŋamaji,murrkul,ŋawiji,ŋawiji,ŋawiji,ŋawiji,mugul,ŋamaji,ŋamaji,mugul,ŋawiji,ngawiyi,ŋawiji,ŋawiji,mugul,ŋamiɳi,murrkul,ŋawiji,ŋamaji,ŋamaji,ŋamiɳi,ŋamaji,ngawiyi,ŋamiɳi
4,0.16416486683587372,1.6922085052642928,1.528043638428419,parnku,parnku,gawulu,baɳgiji,gawulu,baɳgiji,parnku,gawulu,gawulu,babaji,ŋaɖaji,gawulu,baɳgiji,parnku,baɳgiji,gawulu,baɳgiji,baɳgiji,babaji,gawulu,baɳgiji,baɳgiji,gawulu,baɳgiji,ŋaɖaji,baɳgiji,baɳgiji,baɳgiji,parnku,parnku,gawulu,baɳgiji,gawulu,ŋaɖaji,gawulu,baɳgiji,parnku,parnku,baɳgiji,baɳgiji,parnku,gawulu,gawulu,parnku,parnku,baɳgiji,gawulu,gawulu,gawulu,parnku,parnku,gawulu,parnku,parnku,gawulu,gawulu,parnku,gawulu,baɳgiji,baɳgiji,gawulu,gawulu,baɳgiji,gawulu,parnku,parnku,parnku,gawulu,ŋamiɳi,murrkul,ngawiyi,mugul,ŋamaji,ŋamaji,ngawiyi,ŋawiji,ŋawiji,mugul,ŋamaji,murrkul,ŋamaji,ŋamaji,ŋawiji,ŋamaji,ŋamaji,ŋamiɳi,ŋawiji,mugul,ŋamaji,murrkul,ŋawiji,ŋawiji,ŋawiji,ŋawiji,ŋamiɳi,ngawiyi
5,0.11106353439366301,1.6896490593007347,1.5785855249070717,gawulu,baɳgiji,gawulu,parnku,parnku,gawulu,gawulu,baɳgiji,baɳgiji,gawulu,parnku,gawulu,baɳgiji,gawulu,parnku,gawulu,gawulu,parnku,baɳgiji,parnku,parnku,baɳgiji,parnku,baɳgiji,parnku,parnku,gawulu,gawulu,ŋaɖaji,baɳgiji,parnku,babaji,baɳgiji,gawulu,parnku,parnku,gawulu,baɳgiji,gawulu,gawulu,parnku,baɳgiji,ŋaɖaji,ŋaɖaji,gawulu,babaji,baɳgiji,baɳgiji,gawulu,baɳgiji,gawulu,gawulu,parnku,baɳgiji,baɳgiji,baɳgiji,gawulu,gawulu,baɳgiji,baɳgiji,parnku,parnku,gawulu,gawulu,parnku,parnku,gawulu,baɳgiji,ŋawiji,ŋawiji,mugul,murrkul,ŋamaji,ŋamaji,ŋamiɳi,ŋamaji,murrkul,murrkul,ŋamaji,ŋawiji,mugul,ŋawiji,ŋamiɳi,mugul,ngawiyi,ngawiyi,ŋamiɳi,ŋamaji,ngawiyi,ŋawiji,ŋamaji,ŋamaji,ŋawiji,ŋamaji,ŋawiji,ŋawiji
6,0.18882003320071994,1.6412059275628401,1.4523858943621202,gawulu,parnku,babaji,baɳgiji,gawulu,baɳgiji,gawulu,gawulu,gawulu,baɳgiji,gawulu,parnku,gawulu,gawulu,parnku,parnku,parnku,parnku,gawulu,baɳgiji,gawulu,ŋaɖaji,baɳgiji,gawulu,gawulu,parnku,babaji,baɳgiji,baɳgiji,parnku,baɳgiji,baɳgiji,gawulu,baɳgiji,baɳgiji,gawulu,parnku,gawulu,baɳgiji,parnku,gawulu,parnku,baɳgiji,parnku,baɳgiji,baɳgiji,gawulu,baɳgiji,gawulu,parnku,baɳgiji,parnku,baɳgiji,gawulu,ŋaɖaji,parnku,baɳgiji,gawulu,baɳgiji,parnku,parnku,gawulu,parnku,gawulu,gawulu,gawulu,ŋaɖaji,parnku,ngawiyi,mugul,ŋamiɳi,ŋawiji,murrkul,ŋawiji,ngawiyi,ŋawiji,ŋawiji,ŋawiji,mugul,ŋamaji,ŋamaji,ngawiyi,ŋamaji,ŋamaji,ŋamaji,ŋawiji,ŋawiji,ŋawiji,ŋamaji,murrkul,ŋamiɳi,ŋamaji,ŋamiɳi,murrkul,ŋamaji,mugul
7,0.1509085977822726,1.6637028513280663,1.5127942535457937,baɳgiji,gawulu,gawulu,gawulu,gawulu,baɳgiji,baɳgiji,baɳgiji,parnku,gawulu,parnku,baɳgiji,baɳgiji,gawulu,baɳgiji,gawulu,gawulu,baɳgiji,baɳgiji,baɳgiji,parnku,gawulu,parnku,babaji,parnku,gawulu,baɳgiji,parnku,parnku,parnku,baɳgiji,gawulu,parnku,gawulu,gawulu,parnku,gawulu,parnku,baɳgiji,parnku,baɳgiji,baɳgiji,parnku,gawulu,ŋaɖaji,baɳgiji,parnku,parnku,gawulu,baɳgiji,baɳgiji,gawulu,gawulu,baɳgiji,gawulu,babaji,ŋaɖaji,parnku,parnku,parnku,gawulu,gawulu,gawulu,gawulu,ŋaɖaji,baɳgiji,gawulu,parnku,murrkul,ŋamaji,mugul,ŋawiji,ŋamaji,ŋamaji,ŋamiɳi,ŋamiɳi,murrkul,murrkul,ŋawiji,ŋawiji,ŋawiji,ŋawiji,ŋawiji,mugul,ngawiyi,ŋamaji,mugul,ŋawiji,ŋamiɳi,ngawiyi,ngawiyi,ŋawiji,ŋamaji,ŋamaji,ŋamaji,ŋamaji
8,0.2024180838118299,1.6507984334138024,1.4483803496019725,gawulu,gawulu,parnku,baɳgiji,baɳgiji,parnku,parnku,baɳgiji,baɳgiji,parnku,baɳgiji,baɳgiji,parnku,gawulu,baɳgiji,ŋaɖaji,gawulu,babaji,gawulu,baɳgiji,ŋaɖaji,parnku,gawulu,babaji,baɳgiji,gawulu,parnku,parnku,gawulu,gawulu,parnku,baɳgiji,gawulu,baɳgiji,gawulu,gawulu,baɳgiji,parnku,baɳgiji,gawulu,gawulu,parnku,ŋaɖaji,baɳgiji,parnku,gawulu,gawulu,parnku,parnku,gawulu,gawulu,baɳgiji,baɳgiji,parnku,gawulu,baɳgiji,gawulu,gawulu,parnku,gawulu,parnku,gawulu,parnku,baɳgiji,gawulu,parnku,baɳgiji,baɳgiji,ŋamaji,mugul,ŋamaji,ŋamaji,ŋamiɳi,mugul,ŋamiɳi,ŋamiɳi,ŋawiji,ŋamaji,ŋamaji,ŋawiji,ngawiyi,ŋawiji,ŋawiji,ngawiyi,mugul,ŋawiji,murrkul,ŋawiji,ŋamaji,ngawiyi,ŋamaji,ŋamaji,murrkul,ŋawiji,murrkul,ŋawiji
9,0.14924189289039247,1.6896490593007352,1.5404071664103427,parnku,baɳgiji,baɳgiji,gawulu,baɳgiji,gawulu,parnku,gawulu,parnku,parnku,baɳgiji,gawulu,baɳgiji,parnku,parnku,baɳgiji,babaji,parnku,gawulu,babaji,parnku,baɳgiji,parnku,baɳgiji,gawulu,parnku,gawulu,gawulu,baɳgiji,gawulu,parnku,baɳgiji,baɳgiji,gawulu,parnku,gawulu,baɳgiji,parnku,gawulu,baɳgiji,baɳgiji,parnku,baɳgiji,gawulu,baɳgiji,gawulu,baɳgiji,gawulu,baɳgiji,gawulu,gawulu,parnku,parnku,parnku,ŋaɖaji,gawulu,gawulu,baɳgiji,gawulu,gawulu,gawulu,gawulu,baɳgiji,ŋaɖaji,gawulu,parnku,parnku,ŋaɖaji,murrkul,ŋamaji,ŋawiji,ŋamaji,ŋamaji,ŋamiɳi,ŋamaji,mugul,ŋawiji,ŋawiji,ŋawiji,ngawiyi,ŋamaji,ŋamaji,ŋawiji,ngawiyi,ŋawiji,ŋamiɳi,ngawiyi,murrkul,mugul,murrkul,mugul,ŋamaji,ŋamiɳi,ŋawiji,ŋawiji,ŋamaji
