simulation_number,mutual_information,entropy,conditional_entropy,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB
0,NA,NA,NA,nguyi,katsi,tayi mughetu,katsi,tayi mughetu,tayi,tayi,tayi mughetu,nguyi,nguyi,tayi,nguyi,katsi
1,NA,NA,NA,tayi mughetu,nguyi,katsi,tayi mughetu,tayi,tayi,tayi,katsi,tayi mughetu,nguyi,katsi,nguyi,nguyi
2,NA,NA,NA,tayi mughetu,nguyi,nguyi,tayi mughetu,katsi,katsi,nguyi,tayi,tayi,katsi,tayi,nguyi,tayi mughetu
3,NA,NA,NA,nguyi,katsi,tayi,katsi,katsi,tayi mughetu,nguyi,tayi mughetu,nguyi,tayi,nguyi,tayi,tayi mughetu
4,NA,NA,NA,tayi mughetu,nguyi,nguyi,katsi,tayi mughetu,tayi,nguyi,katsi,nguyi,tayi,tayi mughetu,tayi,katsi
5,NA,NA,NA,katsi,tayi mughetu,tayi mughetu,tayi,katsi,tayi,tayi,nguyi,tayi mughetu,nguyi,nguyi,katsi,nguyi
6,NA,NA,NA,tayi mughetu,nguyi,katsi,katsi,nguyi,tayi,tayi mughetu,katsi,nguyi,tayi,tayi,nguyi,tayi mughetu
7,NA,NA,NA,nguyi,tayi,tayi mughetu,katsi,tayi,katsi,nguyi,nguyi,tayi mughetu,nguyi,tayi,tayi mughetu,katsi
8,NA,NA,NA,tayi mughetu,katsi,tayi,nguyi,tayi mughetu,tayi,katsi,tayi,nguyi,nguyi,tayi mughetu,nguyi,katsi
9,NA,NA,NA,nguyi,katsi,nguyi,katsi,nguyi,tayi,nguyi,tayi mughetu,tayi,tayi mughetu,katsi,tayi,tayi mughetu
