simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mMeBS,mMyBS,mMeZS,mMyZS,mFBeS,mFByS,mFZeS,mFZyS,mMBeS,mMByS,mMZeS,mMZyS,feB,fyB,feZ,fyZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.16540633523668857,1.334170300586368,1.1687639653496795,ai-,papi-ci,ai-,paci-,ai-,ai-,ai-,ai-,ai-,paci-,ai-,ai-,cahkai,ai-,ai-,ai-,ai-,nami-(n)ci,ai-,ai-,ai-,cahkai,ai-,nami-(n)ci,ai-,ai-,ai-,paá,ai-,ai-,ai-,moa,ai-,paha,paá,ai-,paá,ai-,paha,ai-,paá,pia,ai-,pia,ai-,moa,paha,paha,paha,paha,ai-,paá,paá,ai-,ai-
1,0.15570623362398428,1.1755305543141217,1.0198243206901374,ai-,ai-,papi-ci,nami-(n)ci,cahkai,paci-,ai-,ai-,cahkai,nami-(n)ci,ai-,ai-,ai-,ai-,ai-,ai-,ai-,ai-,ai-,ai-,ai-,ai-,ai-,ai-,paci-,ai-,ai-,ai-,pia,ai-,ai-,ai-,ai-,ai-,paá,ai-,paá,moa,paha,paá,paha,ai-,paha,paha,paá,ai-,paha,paá,pia,moa,paá,paha,ai-,ai-,ai-
2,0.15516995347511076,1.1048429582711154,0.9496730047960047,ai-,ai-,ai-,cahkai,ai-,ai-,ai-,ai-,paci-,ai-,nami-(n)ci,ai-,ai-,ai-,ai-,ai-,ai-,papi-ci,ai-,ai-,ai-,ai-,ai-,cahkai,ai-,nami-(n)ci,paci-,ai-,pia,ai-,paá,ai-,moa,paha,ai-,ai-,paha,ai-,pia,paha,ai-,ai-,ai-,paá,ai-,paá,paha,paha,paha,ai-,ai-,paá,paá,paá,moa
3,0.20660417024058697,1.24257372975021,1.035969559509623,ai-,ai-,cahkai,ai-,ai-,ai-,ai-,papi-ci,cahkai,ai-,ai-,nami-(n)ci,ai-,ai-,nami-(n)ci,ai-,ai-,ai-,ai-,ai-,paci-,ai-,ai-,ai-,paci-,ai-,ai-,paá,paá,paá,paha,ai-,ai-,ai-,pia,ai-,paha,paha,paha,ai-,pia,paha,paá,paá,moa,paha,paá,moa,ai-,ai-,ai-,ai-,ai-,ai-,ai-
4,0.2385643236580658,1.184306999350379,0.9457426756923132,ai-,nami-(n)ci,nami-(n)ci,ai-,ai-,ai-,ai-,ai-,ai-,ai-,ai-,ai-,cahkai,papi-ci,ai-,paci-,cahkai,ai-,ai-,ai-,ai-,ai-,ai-,ai-,ai-,ai-,paci-,paha,ai-,paá,ai-,ai-,paha,paá,ai-,paá,ai-,ai-,ai-,ai-,pia,paha,paá,paá,paha,paá,ai-,pia,paha,ai-,ai-,ai-,moa,paha,moa
5,0.2597858485977691,1.3946231452907716,1.1348372966930025,ai-,ai-,ai-,cahkai,ai-,papi-ci,ai-,ai-,nami-(n)ci,paci-,ai-,ai-,ai-,ai-,ai-,cahkai,ai-,ai-,nami-(n)ci,ai-,ai-,ai-,ai-,ai-,ai-,paci-,ai-,ai-,paá,ai-,ai-,pia,ai-,ai-,paha,moa,ai-,pia,paá,ai-,paha,paha,paá,ai-,paha,ai-,paá,moa,ai-,paha,paha,ai-,paá,ai-,paá
6,0.23539887207747534,1.3050963719483404,1.069697499870865,ai-,nami-(n)ci,ai-,ai-,ai-,ai-,cahkai,papi-ci,ai-,ai-,paci-,ai-,ai-,nami-(n)ci,ai-,ai-,ai-,ai-,ai-,ai-,ai-,ai-,ai-,ai-,cahkai,paci-,ai-,paá,pia,ai-,paá,pia,ai-,paha,paá,paha,ai-,paha,paha,paá,ai-,ai-,paá,ai-,paha,paha,ai-,paá,ai-,ai-,moa,ai-,ai-,moa,ai-
7,0.3656460442406173,1.5437891850588952,1.1781431408182779,ai-,ai-,ai-,ai-,ai-,papi-ci,ai-,ai-,ai-,ai-,paci-,ai-,ai-,ai-,cahkai,ai-,cahkai,ai-,ai-,ai-,ai-,paci-,ai-,ai-,nami-(n)ci,nami-(n)ci,ai-,ai-,ai-,paá,paha,paá,paha,ai-,paha,paha,paha,paha,ai-,ai-,paá,pia,moa,ai-,ai-,ai-,paá,moa,ai-,paá,ai-,pia,ai-,paá,ai-
8,0.2697613794854329,1.162759270059456,0.8929978905740231,ai-,ai-,cahkai,ai-,nami-(n)ci,ai-,ai-,ai-,ai-,papi-ci,ai-,ai-,paci-,ai-,ai-,ai-,ai-,cahkai,ai-,ai-,ai-,ai-,nami-(n)ci,ai-,paci-,ai-,ai-,paá,paha,paha,ai-,ai-,ai-,ai-,ai-,paá,ai-,moa,paha,paha,pia,ai-,ai-,ai-,moa,paá,paá,ai-,pia,ai-,paha,paá,paha,paá,ai-
9,0.2529521908702477,1.2586417714613902,1.0056895805911426,ai-,ai-,ai-,cahkai,papi-ci,ai-,ai-,ai-,ai-,ai-,nami-(n)ci,ai-,ai-,ai-,ai-,ai-,ai-,cahkai,ai-,paci-,ai-,paci-,ai-,ai-,nami-(n)ci,ai-,ai-,ai-,ai-,ai-,paá,ai-,ai-,paha,ai-,paá,moa,paha,paha,ai-,ai-,paá,pia,moa,paá,paha,ai-,paá,ai-,ai-,paha,ai-,paha,paá,pia
