simulation_number,mutual_information,entropy,conditional_entropy,myB,fyB,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.07930195975357002,1.5720317366709429,1.4927297769173729,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka","vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"nana, nanaka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vaiuki, vaiumu","mama, mamaka","nina, ninaka, ine, neina","vaiuki, vaiumu","nina, ninaka","yaya, yayaika","yaya, yayaika","nina, ninaka","nina, ninaka","yaya, yayaika","yaya, yayaika","mama, mamaka","vaiuki, vaiumu","mama, mamaka","nina, ninaka","mama, mamaka","mama, mamaka","vaiuki, vaiumu","mama, mamaka","nina, ninaka, ine, neina"
1,0.06407651138050174,1.551123201645794,1.4870466902652923,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"nana, nanaka",kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vaiuki, vaiumu","nina, ninaka","vaiuki, vaiumu","nina, ninaka","mama, mamaka","vaiuki, vaiumu","nina, ninaka, ine, neina","yaya, yayaika","nina, ninaka, ine, neina","mama, mamaka","vaiuki, vaiumu","yaya, yayaika","mama, mamaka","yaya, yayaika","yaya, yayaika","nina, ninaka","mama, mamaka","mama, mamaka","mama, mamaka","nina, ninaka"
2,0.05752727319967854,1.5720317366709429,1.5145044634712643,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"nana, nanaka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"nina, ninaka","mama, mamaka","mama, mamaka","vaiuki, vaiumu","mama, mamaka","nina, ninaka, ine, neina","vaiuki, vaiumu","yaya, yayaika","nina, ninaka","yaya, yayaika","mama, mamaka","nina, ninaka","vaiuki, vaiumu","mama, mamaka","vaiuki, vaiumu","nina, ninaka","yaya, yayaika","mama, mamaka","yaya, yayaika","nina, ninaka, ine, neina"
3,0.11373149249826864,1.5650733533055547,1.451341860807286,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"nana, nanaka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"mama, mamaka","mama, mamaka","yaya, yayaika","mama, mamaka","nina, ninaka","mama, mamaka","mama, mamaka","vaiuki, vaiumu","nina, ninaka","vaiuki, vaiumu","yaya, yayaika","nina, ninaka, ine, neina","yaya, yayaika","vaiuki, vaiumu","nina, ninaka","nina, ninaka","yaya, yayaika","vaiuki, vaiumu","mama, mamaka","nina, ninaka, ine, neina"
4,0.018630227432334445,1.547708879096518,1.5290786516641837,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka","vovo, vovoka",kahida,kahida,kahida,kahida,kahida,"nana, nanaka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"yaya, yayaika","vaiuki, vaiumu","yaya, yayaika","mama, mamaka","mama, mamaka","yaya, yayaika","nina, ninaka","vaiuki, vaiumu","mama, mamaka","mama, mamaka","nina, ninaka","nina, ninaka","nina, ninaka, ine, neina","vaiuki, vaiumu","yaya, yayaika","nina, ninaka","mama, mamaka","nina, ninaka, ine, neina","vaiuki, vaiumu","mama, mamaka"
5,0.05056888983429064,1.5666989734097032,1.5161300835754126,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"nana, nanaka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,"yaya, yayaika","vaiuki, vaiumu","mama, mamaka","nina, ninaka, ine, neina","nina, ninaka, ine, neina","yaya, yayaika","nina, ninaka","nina, ninaka","yaya, yayaika","vaiuki, vaiumu","vaiuki, vaiumu","mama, mamaka","nina, ninaka","mama, mamaka","nina, ninaka","mama, mamaka","mama, mamaka","mama, mamaka","yaya, yayaika","vaiuki, vaiumu"
6,0.06763530215040525,1.5666989734097032,1.499063671259298,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"nana, nanaka","vovo, vovoka",kahida,kahida,kahida,kahida,kahida,"yaya, yayaika","nina, ninaka","vaiuki, vaiumu","nina, ninaka, ine, neina","vaiuki, vaiumu","vaiuki, vaiumu","mama, mamaka","yaya, yayaika","nina, ninaka","yaya, yayaika","mama, mamaka","yaya, yayaika","mama, mamaka","mama, mamaka","mama, mamaka","vaiuki, vaiumu","nina, ninaka","mama, mamaka","nina, ninaka, ine, neina","nina, ninaka"
7,0.06094159574895408,1.5586237908690324,1.4976821951200783,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"nana, nanaka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,"mama, mamaka","yaya, yayaika","vaiuki, vaiumu","nina, ninaka, ine, neina","mama, mamaka","yaya, yayaika","nina, ninaka","nina, ninaka","mama, mamaka","vaiuki, vaiumu","mama, mamaka","nina, ninaka","mama, mamaka","nina, ninaka","yaya, yayaika","vaiuki, vaiumu","yaya, yayaika","mama, mamaka","nina, ninaka, ine, neina","vaiuki, vaiumu"
8,0.08923543825575964,1.5720317366709429,1.4827962984151832,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,"nana, nanaka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"mama, mamaka","yaya, yayaika","mama, mamaka","nina, ninaka","vaiuki, vaiumu","vaiuki, vaiumu","yaya, yayaika","nina, ninaka","mama, mamaka","yaya, yayaika","nina, ninaka","vaiuki, vaiumu","nina, ninaka, ine, neina","mama, mamaka","nina, ninaka, ine, neina","nina, ninaka","mama, mamaka","yaya, yayaika","mama, mamaka","vaiuki, vaiumu"
9,0.09971543378768222,1.5720317366709429,1.4723163028832607,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,"vovo, vovoka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"nana, nanaka",kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,kahida,"vaiuki, vaiumu","mama, mamaka","vaiuki, vaiumu","mama, mamaka","vaiuki, vaiumu","yaya, yayaika","nina, ninaka","yaya, yayaika","yaya, yayaika","mama, mamaka","nina, ninaka","yaya, yayaika","mama, mamaka","mama, mamaka","nina, ninaka","nina, ninaka","nina, ninaka, ine, neina","mama, mamaka","vaiuki, vaiumu","nina, ninaka, ine, neina"
