simulation_number,mutual_information,entropy,conditional_entropy,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.05123301813905723,1.3625486190488267,1.3113156009097695,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,šoa-ye,naa-ye,yaa-ye,naa-ye,naa-ye,naa-ye,popa-ye,šoa-ye,yaa-ye,popa-ye,popa-ye,šoa-ye,yaa-ye,šoa-ye,popa-ye,naa-ye,popa-ye,popa-ye,popa-ye,yaa-ye,naa-ye,popa-ye,naa-ye,yaa-ye,naa-ye,šoa-ye,yaa-ye,šoa-ye
1,0.033335479467549334,1.38125247778201,1.3479169983144608,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,yaa-ye,yaa-ye,yaa-ye,yaa-ye,šoa-ye,naa-ye,šoa-ye,popa-ye,yaa-ye,naa-ye,popa-ye,popa-ye,naa-ye,naa-ye,naa-ye,popa-ye,šoa-ye,šoa-ye,popa-ye,naa-ye,popa-ye,naa-ye,popa-ye,naa-ye,yaa-ye,šoa-ye,popa-ye,šoa-ye
2,0.033304442816787905,1.3783435155871906,1.3450390727704027,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,popa-ye,popa-ye,popa-ye,yaa-ye,popa-ye,šoa-ye,naa-ye,popa-ye,naa-ye,šoa-ye,yaa-ye,yaa-ye,naa-ye,naa-ye,yaa-ye,šoa-ye,šoa-ye,šoa-ye,naa-ye,naa-ye,popa-ye,naa-ye,popa-ye,naa-ye,yaa-ye,popa-ye,šoa-ye,yaa-ye
3,0.03263920851205793,1.3633496155621772,1.3307104070501192,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,šoa-ye,naa-ye,naa-ye,popa-ye,naa-ye,naa-ye,popa-ye,popa-ye,yaa-ye,yaa-ye,popa-ye,naa-ye,šoa-ye,naa-ye,yaa-ye,yaa-ye,yaa-ye,naa-ye,šoa-ye,šoa-ye,popa-ye,popa-ye,šoa-ye,naa-ye,yaa-ye,popa-ye,šoa-ye,popa-ye
4,0.035904528592477725,1.3176741943694241,1.2817696657769464,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,yaa-ye,naa-ye,popa-ye,naa-ye,popa-ye,popa-ye,popa-ye,šoa-ye,popa-ye,yaa-ye,yaa-ye,naa-ye,popa-ye,naa-ye,yaa-ye,šoa-ye,naa-ye,popa-ye,popa-ye,šoa-ye,šoa-ye,yaa-ye,naa-ye,naa-ye,naa-ye,šoa-ye,šoa-ye,yaa-ye
5,0.04266619044418385,1.3657034094928457,1.323037219048662,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,yaa-ye,popa-ye,naa-ye,naa-ye,yaa-ye,šoa-ye,popa-ye,naa-ye,naa-ye,naa-ye,popa-ye,šoa-ye,yaa-ye,naa-ye,popa-ye,naa-ye,šoa-ye,popa-ye,naa-ye,šoa-ye,šoa-ye,yaa-ye,popa-ye,yaa-ye,popa-ye,šoa-ye,popa-ye,yaa-ye
6,0.025271114267085615,1.3790072735514851,1.3537361592843995,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,naa-ye,naa-ye,popa-ye,popa-ye,šoa-ye,naa-ye,šoa-ye,yaa-ye,popa-ye,yaa-ye,šoa-ye,yaa-ye,yaa-ye,naa-ye,naa-ye,popa-ye,yaa-ye,yaa-ye,naa-ye,naa-ye,popa-ye,popa-ye,šoa-ye,šoa-ye,naa-ye,popa-ye,popa-ye,šoa-ye
7,0.07259735368730169,1.362492759227278,1.2898954055399763,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šoa-ye,naa-ye,šoa-ye,popa-ye,popa-ye,naa-ye,šoa-ye,popa-ye,naa-ye,popa-ye,popa-ye,yaa-ye,yaa-ye,šoa-ye,naa-ye,yaa-ye,popa-ye,yaa-ye,naa-ye,šoa-ye,šoa-ye,yaa-ye,naa-ye,naa-ye,popa-ye,popa-ye,yaa-ye,naa-ye
8,0.030109366073699073,1.375363571433731,1.3452542053600318,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,popa-ye,yaa-ye,yaa-ye,naa-ye,naa-ye,šoa-ye,yaa-ye,yaa-ye,popa-ye,popa-ye,popa-ye,šoa-ye,popa-ye,naa-ye,yaa-ye,šoa-ye,yaa-ye,naa-ye,popa-ye,šoa-ye,naa-ye,naa-ye,šoa-ye,popa-ye,naa-ye,šoa-ye,naa-ye,popa-ye
9,0.03372039483466094,1.370473193917429,1.3367527990827681,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,heli-ye,šĩa-ye,heli-ye,heli-ye,popa-ye,popa-ye,yaa-ye,šoa-ye,naa-ye,naa-ye,yaa-ye,šoa-ye,popa-ye,naa-ye,naa-ye,šoa-ye,yaa-ye,yaa-ye,popa-ye,naa-ye,šoa-ye,popa-ye,naa-ye,naa-ye,yaa-ye,naa-ye,popa-ye,šoa-ye,šoa-ye,yaa-ye,popa-ye,popa-ye
