simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,mFBeS,mFByS,mFZeS,mFZyS,mMBeS,mMByS,mMZeS,mMZyS,meZ,myZ,fZ,feB,fFBeS,fFByS,fFZeS,fFZyS,fMBeS,fMByS,fMZyS,feZ,fyZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.15345973011167363,0.6350047569400391,0.4815450268283655,mutambane,muto,muto,yeye,mutambane,muto,yeye,muto,mutambane,yeye,muto,yeye,muto,mutambane,mutambane,yeye,yeye,mutwane,muto,yeye,muto,mutambane,yeye,ngu,ngu,ngu,munso,asa moto,ngu,munso,ngu,asa moto,asa moto,ngu,munso,ngu,asa moto,ngu,ngu,munso,munso,ngu,ngu,ngu,asa moto,ngu,asa,munso,asa,asa moto,ngu
1,0.11782013286078508,1.0740922213659423,0.9562720885051572,mutambane,yeye,mutambane,yeye,yeye,mutambane,muto,muto,muto,yeye,yeye,muto,yeye,mutwane,muto,mutambane,yeye,mutambane,mutambane,muto,muto,yeye,muto,ngu,asa moto,munso,ngu,ngu,asa moto,munso,ngu,asa,ngu,asa,ngu,ngu,asa moto,munso,ngu,asa moto,asa moto,munso,munso,munso,ngu,ngu,ngu,ngu,ngu,asa moto,ngu
2,0.3226263251205487,0.958944995575212,0.6363186704546633,mutambane,muto,mutambane,yeye,mutambane,muto,mutwane,muto,yeye,mutambane,muto,muto,muto,yeye,yeye,yeye,yeye,mutambane,muto,mutambane,yeye,muto,yeye,asa moto,ngu,ngu,ngu,ngu,asa,ngu,munso,munso,ngu,munso,ngu,asa moto,ngu,ngu,ngu,munso,asa moto,ngu,munso,asa moto,munso,asa moto,ngu,asa,asa moto,ngu,ngu
3,0.22339592217896875,1.0116279112583295,0.7882319890793608,muto,mutambane,yeye,muto,yeye,yeye,mutambane,yeye,muto,muto,muto,mutambane,mutambane,mutambane,mutambane,yeye,muto,yeye,yeye,muto,yeye,mutwane,muto,ngu,ngu,ngu,asa moto,asa,asa moto,asa moto,ngu,ngu,munso,munso,munso,asa,ngu,ngu,asa moto,munso,ngu,ngu,munso,munso,asa moto,ngu,ngu,ngu,ngu,ngu,asa moto
4,0.15350214302448373,0.899564200899253,0.7460620578747693,yeye,muto,mutambane,mutambane,mutambane,yeye,mutambane,muto,muto,muto,yeye,mutambane,muto,muto,yeye,yeye,muto,yeye,mutwane,mutambane,muto,yeye,yeye,asa moto,ngu,ngu,ngu,ngu,asa moto,munso,ngu,asa,munso,ngu,munso,ngu,asa moto,ngu,ngu,asa moto,asa,ngu,munso,asa moto,ngu,munso,munso,asa moto,ngu,ngu,ngu
5,0.08176566567359511,1.020960769860117,0.939195104186522,mutambane,yeye,muto,yeye,mutambane,mutambane,muto,yeye,muto,muto,yeye,mutwane,muto,muto,yeye,yeye,mutambane,mutambane,yeye,muto,muto,mutambane,yeye,ngu,asa moto,asa moto,ngu,asa moto,ngu,munso,ngu,asa moto,munso,ngu,ngu,asa moto,ngu,munso,asa moto,ngu,munso,ngu,ngu,ngu,ngu,asa,munso,ngu,asa,munso,ngu
6,0.21019015773798144,1.2187590034236118,1.0085688456856303,muto,yeye,mutwane,mutambane,muto,muto,yeye,muto,muto,yeye,yeye,yeye,mutambane,muto,mutambane,yeye,mutambane,yeye,yeye,mutambane,mutambane,muto,muto,ngu,asa moto,asa,munso,munso,asa,munso,ngu,munso,ngu,ngu,ngu,munso,ngu,asa moto,asa moto,asa moto,ngu,munso,asa moto,ngu,ngu,ngu,ngu,asa moto,ngu,ngu,ngu
7,0.2832451255700422,0.9937390880265914,0.7104939624565492,yeye,yeye,yeye,muto,muto,mutambane,mutambane,mutambane,yeye,mutwane,muto,yeye,mutambane,mutambane,yeye,muto,muto,muto,mutambane,muto,muto,yeye,yeye,ngu,ngu,munso,munso,munso,ngu,ngu,ngu,ngu,ngu,asa moto,ngu,asa moto,asa moto,ngu,munso,asa moto,asa moto,ngu,asa,ngu,munso,ngu,munso,ngu,asa moto,asa,ngu
8,0.13942384831188215,1.0503510239408722,0.9109271756289901,mutambane,muto,muto,muto,muto,muto,yeye,mutambane,mutambane,muto,yeye,yeye,mutambane,mutambane,mutwane,yeye,yeye,yeye,yeye,mutambane,muto,muto,yeye,ngu,ngu,munso,ngu,asa moto,ngu,ngu,ngu,ngu,munso,asa moto,ngu,asa moto,ngu,ngu,munso,munso,ngu,asa moto,asa,asa moto,asa,ngu,ngu,asa moto,munso,munso,ngu
9,0.27237880338701304,0.8622684782952406,0.5898896749082275,yeye,mutambane,muto,yeye,muto,muto,muto,mutambane,muto,mutambane,mutambane,yeye,yeye,yeye,mutambane,mutambane,muto,mutwane,yeye,yeye,muto,muto,yeye,munso,ngu,ngu,ngu,ngu,asa,ngu,munso,munso,ngu,asa,asa moto,ngu,asa moto,ngu,ngu,munso,ngu,ngu,asa moto,asa moto,ngu,asa moto,munso,asa moto,ngu,munso,ngu
