simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mMeZ,mMyZ,fFeB,fFyB,fMeZ,fMyZ
0,0.13528808325230546,0.6869615765973234,0.5516734933450179,"naru, vino",apogbwa,miaru,"naru, ruelxi",ŋmano,"naru, vino",miaru,apogbwa,"naru, ina",apogbwa,"naru, ruelxi",ina,vino,miaru,miaru,apogbwa,miaru,"naru, ruelxi",miaru,ruelxi,apogbwa,apogbwa,miaru,miaru,apogbwa,apogbwa,miaru,miaru,"naru, vino",miaru,miaru,"naru, vino","naru, ina","naru, vino",ina,"naru, ina",apogbwa,"naru, ruelxi",apogbwa,"naru, ruelxi","naru, ina","naru, ŋmano","naru, vino","naru, ina","naru, ŋmano","naru, vino",apogbwa,"naru, ruelxi",apogbwa,miaru,apogbwa,"naru, vino","naru, ina",apogbwa,"naru, ina","naru, ŋmano",miaru,"naru, ŋmano","naru, ŋmano","naru, ruelxi","naru, ŋmano","naru, vino",apogbwa,"naru, ŋmano",vino,miaru,ŋmano,"naru, ŋmano","naru, ruelxi","naru, vino",miaru,"naru, ina","naru, ŋmano",miaru,apogbwa,apogbwa,miaru,"naru, ruelxi",apogbwa,apogbwa,miaru,apogbwa,"naru, ina","naru, ruelxi",miaru,ane,ane,ane,ane,ane,arima,ane,arima,arima,arima,arima,arima
1,0.13603121285602637,0.6916031758694977,0.5555719630134713,"naru, ŋmano",apogbwa,miaru,apogbwa,"naru, ruelxi",ina,apogbwa,"naru, ruelxi",apogbwa,"naru, vino","naru, ina",apogbwa,"naru, ŋmano",miaru,miaru,"naru, ina",miaru,"naru, vino","naru, ruelxi","naru, ŋmano","naru, ruelxi",apogbwa,apogbwa,miaru,miaru,miaru,"naru, ina",apogbwa,apogbwa,"naru, vino",apogbwa,"naru, ŋmano","naru, vino","naru, ruelxi","naru, vino","naru, ŋmano","naru, ina",apogbwa,"naru, ŋmano",apogbwa,miaru,apogbwa,miaru,"naru, ruelxi",miaru,"naru, vino",miaru,vino,"naru, vino",miaru,ŋmano,apogbwa,"naru, ina",ina,"naru, vino","naru, ruelxi","naru, ŋmano","naru, ŋmano",miaru,apogbwa,apogbwa,miaru,apogbwa,miaru,apogbwa,apogbwa,"naru, ina",miaru,"naru, ina","naru, ina","naru, vino","naru, vino",apogbwa,"naru, ŋmano","naru, ruelxi",miaru,"naru, ruelxi","naru, ina",miaru,ŋmano,miaru,vino,ruelxi,"naru, ruelxi",miaru,ane,ane,arima,ane,arima,ane,arima,ane,ane,arima,arima,arima
2,0.16385035606267218,0.6916031758694977,0.5277528198068255,apogbwa,apogbwa,miaru,apogbwa,miaru,vino,"naru, ina",vino,ruelxi,apogbwa,"naru, vino",apogbwa,miaru,"naru, vino","naru, ina",miaru,"naru, ŋmano",apogbwa,miaru,"naru, ina","naru, vino",miaru,miaru,ina,"naru, ruelxi","naru, ŋmano","naru, ŋmano",ina,miaru,"naru, ruelxi",apogbwa,apogbwa,apogbwa,"naru, ŋmano","naru, ruelxi",miaru,"naru, vino",miaru,apogbwa,"naru, ina","naru, ŋmano",apogbwa,miaru,"naru, ina",miaru,ŋmano,apogbwa,apogbwa,"naru, ruelxi","naru, ruelxi","naru, ŋmano","naru, ina",apogbwa,"naru, ŋmano",miaru,miaru,"naru, ruelxi","naru, ruelxi","naru, vino","naru, ŋmano","naru, vino",miaru,miaru,miaru,"naru, ina","naru, ŋmano","naru, ina",miaru,"naru, vino","naru, vino",miaru,apogbwa,"naru, ruelxi","naru, ina","naru, ruelxi",apogbwa,apogbwa,ŋmano,"naru, ruelxi",apogbwa,apogbwa,"naru, vino","naru, vino",apogbwa,miaru,ane,ane,ane,arima,ane,ane,arima,arima,ane,arima,arima,arima
3,0.12026673821297007,0.6916031758694977,0.5713364376565276,"naru, vino","naru, ŋmano",miaru,miaru,miaru,apogbwa,"naru, ŋmano",miaru,"naru, vino","naru, ŋmano","naru, ŋmano",ŋmano,"naru, ruelxi","naru, ruelxi","naru, ina","naru, ina",apogbwa,"naru, ina",miaru,miaru,ina,apogbwa,apogbwa,vino,miaru,"naru, vino",apogbwa,"naru, ŋmano",apogbwa,miaru,miaru,miaru,apogbwa,"naru, vino",miaru,"naru, ina",apogbwa,"naru, ruelxi",vino,"naru, ŋmano",miaru,miaru,apogbwa,"naru, ŋmano",miaru,miaru,"naru, ruelxi","naru, ŋmano","naru, ina",ina,apogbwa,apogbwa,"naru, vino","naru, ruelxi","naru, vino","naru, ruelxi",apogbwa,miaru,apogbwa,miaru,"naru, vino",apogbwa,ŋmano,"naru, ina",miaru,"naru, ruelxi",apogbwa,ruelxi,"naru, vino",miaru,apogbwa,"naru, ruelxi","naru, ruelxi","naru, ŋmano","naru, ruelxi",apogbwa,"naru, ina","naru, vino","naru, vino","naru, ina",miaru,apogbwa,apogbwa,apogbwa,"naru, ina",arima,arima,arima,ane,arima,arima,ane,ane,ane,arima,ane,ane
4,0.20337953357496963,0.6916031758694977,0.4882236422945281,miaru,miaru,"naru, vino",ruelxi,miaru,"naru, ruelxi","naru, ŋmano",vino,apogbwa,"naru, ŋmano","naru, ruelxi",miaru,"naru, ruelxi",apogbwa,apogbwa,miaru,apogbwa,"naru, vino","naru, vino","naru, vino",miaru,miaru,"naru, ŋmano","naru, ruelxi",miaru,"naru, ina","naru, ina",apogbwa,apogbwa,"naru, vino",apogbwa,apogbwa,"naru, ŋmano","naru, ina","naru, ina",miaru,miaru,miaru,"naru, ina",miaru,miaru,"naru, ŋmano",ina,"naru, vino",apogbwa,apogbwa,"naru, ŋmano","naru, ŋmano",apogbwa,"naru, ruelxi",miaru,"naru, vino",ŋmano,"naru, ina",apogbwa,"naru, ina",apogbwa,miaru,"naru, ruelxi","naru, vino","naru, ruelxi",apogbwa,"naru, vino",vino,miaru,miaru,"naru, ina",apogbwa,ina,"naru, ruelxi","naru, ruelxi","naru, ŋmano",miaru,miaru,"naru, ŋmano",miaru,"naru, ina","naru, vino",apogbwa,ŋmano,apogbwa,apogbwa,"naru, ruelxi",apogbwa,apogbwa,ane,ane,arima,ane,arima,ane,arima,arima,arima,ane,arima,ane
5,0.17484769431502312,0.6916031758694977,0.5167554815544746,ŋmano,apogbwa,miaru,"naru, vino","naru, ina",miaru,"naru, ina","naru, ina","naru, ina",apogbwa,"naru, ina",miaru,"naru, ŋmano",apogbwa,apogbwa,apogbwa,ina,vino,apogbwa,miaru,"naru, ina",vino,miaru,"naru, ruelxi",miaru,apogbwa,"naru, ŋmano","naru, vino","naru, ina",miaru,"naru, ruelxi","naru, vino","naru, vino","naru, ruelxi",apogbwa,apogbwa,"naru, ŋmano","naru, ŋmano","naru, ŋmano","naru, ruelxi",ruelxi,ina,miaru,miaru,apogbwa,miaru,"naru, ruelxi","naru, ruelxi",apogbwa,apogbwa,"naru, ŋmano",apogbwa,miaru,apogbwa,miaru,"naru, vino","naru, ruelxi",apogbwa,ŋmano,"naru, ina",miaru,"naru, ina","naru, ŋmano",miaru,miaru,"naru, vino","naru, ŋmano","naru, ruelxi",apogbwa,"naru, vino","naru, vino",miaru,"naru, ruelxi","naru, ruelxi",miaru,apogbwa,"naru, ŋmano",miaru,miaru,apogbwa,apogbwa,apogbwa,"naru, vino","naru, vino",miaru,arima,arima,ane,arima,ane,arima,ane,arima,arima,ane,ane,ane
6,0.13499634786979975,0.6916031758694977,0.556606827999698,miaru,"naru, ŋmano",ruelxi,"naru, ruelxi",apogbwa,ina,miaru,miaru,miaru,"naru, vino",apogbwa,"naru, vino","naru, ruelxi",miaru,"naru, ina","naru, ŋmano","naru, vino","naru, ruelxi",ŋmano,"naru, ruelxi","naru, ina",miaru,vino,apogbwa,apogbwa,apogbwa,miaru,"naru, vino",apogbwa,"naru, ŋmano","naru, vino","naru, ina","naru, ina",apogbwa,miaru,miaru,apogbwa,"naru, ruelxi",miaru,miaru,apogbwa,apogbwa,miaru,"naru, ŋmano",apogbwa,"naru, vino",miaru,"naru, vino",apogbwa,miaru,"naru, ŋmano","naru, ruelxi","naru, ina",miaru,"naru, ina",apogbwa,apogbwa,"naru, ruelxi",apogbwa,"naru, ŋmano",miaru,"naru, vino","naru, ina",miaru,"naru, ŋmano",ŋmano,"naru, ruelxi",apogbwa,apogbwa,vino,"naru, ŋmano","naru, vino","naru, ruelxi",apogbwa,"naru, vino",apogbwa,miaru,miaru,apogbwa,ina,"naru, ruelxi",miaru,"naru, ina","naru, ina","naru, ŋmano",ane,ane,arima,ane,ane,arima,arima,arima,arima,ane,arima,ane
7,0.2057029309898778,0.6931471805599453,0.4874442495700675,miaru,miaru,"naru, ŋmano","naru, ruelxi",miaru,"naru, ŋmano",miaru,"naru, ina","naru, ŋmano",apogbwa,apogbwa,apogbwa,"naru, vino",apogbwa,miaru,apogbwa,"naru, ŋmano",miaru,miaru,"naru, ruelxi",miaru,"naru, ruelxi",miaru,apogbwa,"naru, ruelxi",miaru,"naru, vino",miaru,ŋmano,"naru, vino",vino,"naru, ina","naru, ina",miaru,"naru, ŋmano","naru, ŋmano",apogbwa,miaru,ŋmano,ruelxi,miaru,miaru,"naru, ŋmano",apogbwa,"naru, ruelxi",apogbwa,apogbwa,"naru, ruelxi","naru, vino","naru, vino",apogbwa,apogbwa,"naru, vino",vino,"naru, ruelxi",apogbwa,"naru, ina","naru, ŋmano","naru, ina",miaru,apogbwa,ina,"naru, ina","naru, ruelxi","naru, vino",apogbwa,apogbwa,"naru, ina","naru, vino",apogbwa,"naru, ina",apogbwa,miaru,ina,"naru, vino","naru, vino",miaru,"naru, ŋmano","naru, ruelxi","naru, ina","naru, ruelxi",apogbwa,miaru,miaru,apogbwa,arima,ane,arima,arima,arima,ane,ane,arima,ane,arima,ane,ane
8,0.010703227382751423,0.6916031758694977,0.6808999484867463,apogbwa,ŋmano,ŋmano,"naru, ina",miaru,apogbwa,"naru, vino","naru, ruelxi",vino,miaru,ruelxi,ina,apogbwa,miaru,apogbwa,"naru, vino","naru, ŋmano","naru, ruelxi","naru, vino",apogbwa,"naru, ruelxi",miaru,miaru,"naru, ina",miaru,miaru,miaru,apogbwa,apogbwa,"naru, vino","naru, ina",miaru,"naru, vino","naru, ruelxi",miaru,"naru, vino",miaru,apogbwa,"naru, ruelxi",apogbwa,miaru,"naru, vino","naru, ruelxi",miaru,miaru,"naru, vino","naru, ina","naru, ina","naru, ŋmano",apogbwa,"naru, ruelxi","naru, vino","naru, ruelxi",apogbwa,"naru, ŋmano",apogbwa,apogbwa,"naru, ŋmano","naru, ŋmano",miaru,"naru, ŋmano","naru, ina","naru, ŋmano","naru, ina",apogbwa,miaru,"naru, vino","naru, ŋmano",apogbwa,apogbwa,ina,apogbwa,apogbwa,miaru,miaru,"naru, ŋmano",vino,miaru,"naru, ruelxi",apogbwa,"naru, ina","naru, ina",miaru,"naru, ruelxi",apogbwa,arima,ane,arima,ane,arima,arima,ane,arima,ane,ane,ane,arima
9,0.11411675106811892,0.6916031758694977,0.5774864248013788,"naru, vino",apogbwa,"naru, ruelxi","naru, ŋmano",apogbwa,miaru,miaru,apogbwa,miaru,"naru, ina",miaru,ruelxi,"naru, ŋmano","naru, vino","naru, vino",apogbwa,miaru,"naru, ina",apogbwa,"naru, ruelxi",miaru,apogbwa,ina,"naru, ŋmano","naru, ruelxi",miaru,apogbwa,"naru, ruelxi","naru, ina","naru, ŋmano","naru, ina",ina,"naru, ruelxi",miaru,apogbwa,apogbwa,"naru, ruelxi","naru, ŋmano","naru, ŋmano",apogbwa,"naru, vino",miaru,vino,"naru, ŋmano",apogbwa,miaru,"naru, ruelxi",apogbwa,apogbwa,"naru, vino","naru, ruelxi","naru, vino",miaru,"naru, ruelxi",miaru,"naru, vino",apogbwa,"naru, vino",miaru,vino,"naru, ŋmano",apogbwa,"naru, ŋmano",miaru,apogbwa,miaru,miaru,miaru,miaru,"naru, vino","naru, ina","naru, ina",miaru,miaru,"naru, ina",ŋmano,"naru, ruelxi","naru, ina",ŋmano,apogbwa,apogbwa,apogbwa,apogbwa,"naru, vino","naru, ina",ane,ane,arima,ane,ane,arima,arima,arima,ane,ane,arima,arima
