simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFeBD,mFyBD,mFeZD,mFyZD,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,feB,fyB,feZ,fyZ,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fMeBS,fMyBS,fMeZS,fMyZS,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.24444670099000998,1.713815828645405,1.469369127655395,tue'ine,teina,tue'ine,tue'ine,tugane,tugane,tue'ine,tuakana,tuakana,teina,tuakana,teina,tuakana,tue'ine,tue'ine,tugane,teina,tue'ine,tugane,tuakana,tugane,tugane,tugane,tugane,tuakana,tue'ine,teina,teina,tuakana,tuagane,tugane,tugane,tugane,tue'ine,tugane,tue'ine,tue'ine,tuakana,tugane,tue'ine,tue'ine,tugane,teina,tuakana,tue'ine,tugane,tuakana,tue'ine,tue'ine,tue'ine,tugane,teina,tugane,tugane,tue'ine,tugane,teina,tue'ine,tue'ine,tuagane,tuagane,teina,tue'ine,tue'ine,kui,kui-nui,motua,motua-nui,kui,motua-nui,kui,motua,kui,motua,motua-nui,motua,kui-iti,motua-iti,kui-iti,kui,kui,kui-iti,motua,motua-iti,kui-iti,motua-iti,kui-nui,motua,kui-nui,motua-iti,kui-nui,motua-nui
1,0.17732915848983377,1.7411925552565575,1.5638633967667237,tugane,tue'ine,tue'ine,tue'ine,tugane,tue'ine,tuagane,tue'ine,tue'ine,tuakana,tuakana,tugane,tue'ine,tugane,tugane,tuagane,teina,tuakana,tue'ine,tue'ine,tue'ine,tue'ine,tugane,tue'ine,tuakana,tue'ine,teina,tugane,tugane,tuakana,tuagane,tue'ine,teina,tugane,tugane,tue'ine,tuakana,teina,tuakana,tugane,tugane,tugane,teina,teina,tue'ine,tugane,tue'ine,teina,teina,tue'ine,tue'ine,tugane,tugane,teina,teina,tue'ine,tugane,tugane,tue'ine,tugane,tue'ine,tuakana,tuakana,tuakana,kui-nui,kui-iti,motua-nui,kui-nui,kui,kui,motua-iti,kui,motua,kui-iti,motua-iti,kui-nui,motua,kui,motua-iti,motua,motua,kui-iti,kui,kui-nui,motua-nui,motua-nui,kui,kui-iti,motua,motua-nui,motua,motua-iti
2,0.3057214256895644,1.7572688347234366,1.4515474090338722,tue'ine,tuagane,tuakana,tuakana,tue'ine,tue'ine,tuakana,tugane,tugane,tugane,tugane,tue'ine,tugane,teina,tuakana,tugane,teina,tuakana,tuagane,tue'ine,teina,tugane,tue'ine,tuakana,teina,tue'ine,tugane,tugane,tue'ine,tue'ine,teina,tugane,tue'ine,tue'ine,tugane,tue'ine,tugane,tuakana,tugane,tugane,teina,teina,tue'ine,tue'ine,tue'ine,tuakana,teina,tugane,tue'ine,tugane,tue'ine,tuakana,teina,tue'ine,teina,tue'ine,tue'ine,tuagane,tue'ine,tue'ine,tugane,tugane,tuakana,tugane,motua-iti,motua-iti,motua,kui,kui,motua,kui-iti,motua,kui-nui,kui-iti,kui-iti,motua-nui,motua,motua,kui-nui,motua-nui,motua-iti,kui-iti,motua-nui,kui,kui-nui,motua-nui,kui,kui,motua-iti,kui-nui,kui,motua
3,0.13380878820016884,1.7587970335523455,1.6249882453521767,tue'ine,tuakana,teina,tue'ine,tuakana,teina,tue'ine,tugane,tugane,tue'ine,tue'ine,tue'ine,tugane,teina,tue'ine,tugane,tugane,tue'ine,tugane,tuakana,tugane,tue'ine,tugane,tuagane,tugane,tugane,teina,tue'ine,tugane,teina,tue'ine,tugane,tugane,teina,tue'ine,tugane,tuakana,tuakana,tuakana,tue'ine,tuakana,tue'ine,tugane,tue'ine,tugane,tue'ine,tue'ine,tue'ine,tuagane,tuakana,tue'ine,tue'ine,tuagane,teina,teina,tuakana,tue'ine,tugane,teina,teina,tugane,tue'ine,tugane,tuakana,motua-iti,kui,motua,motua,kui,motua-iti,kui-nui,motua-nui,kui-nui,motua,kui,kui-iti,kui,kui-iti,kui-nui,motua-nui,kui-iti,motua,motua-nui,motua-nui,kui,motua-iti,kui-iti,motua-iti,kui-nui,kui,motua,motua
4,0.24403712327977978,1.749170816053538,1.5051336927737582,tue'ine,tue'ine,tugane,tue'ine,teina,tue'ine,tuagane,tuakana,teina,tuakana,tue'ine,tuakana,tue'ine,tue'ine,tuagane,tugane,tugane,tugane,tugane,tuakana,tue'ine,tugane,tuakana,teina,tue'ine,tuagane,tue'ine,tue'ine,tue'ine,tugane,tugane,teina,tugane,tue'ine,teina,tugane,tugane,tuakana,tue'ine,tugane,teina,teina,tuakana,tugane,teina,tugane,teina,tuakana,tuakana,tugane,tuakana,tue'ine,tugane,tue'ine,teina,tue'ine,tue'ine,tue'ine,tugane,tugane,tugane,tue'ine,tue'ine,tue'ine,motua-iti,motua,motua,motua-iti,kui-iti,motua-iti,motua,motua-iti,kui,kui,kui,motua,motua-nui,motua-nui,kui-nui,kui-iti,motua-nui,kui-iti,kui-iti,kui-nui,kui,motua,motua-nui,motua,kui-nui,kui,kui-nui,kui
5,0.16381391838341108,1.774334646807652,1.6105207284242409,tue'ine,tugane,tugane,tuakana,tugane,teina,tugane,tue'ine,tue'ine,tugane,tue'ine,tue'ine,tuakana,tugane,teina,tuakana,tue'ine,tuagane,tugane,tue'ine,tugane,tugane,tue'ine,tue'ine,teina,tuakana,tugane,tuakana,tue'ine,tuakana,tugane,tugane,tue'ine,teina,tue'ine,tugane,tue'ine,tue'ine,teina,teina,tue'ine,tue'ine,teina,tugane,teina,tue'ine,tuakana,tugane,tue'ine,tuagane,tuakana,tue'ine,tugane,teina,tugane,tuakana,tue'ine,tugane,tugane,tuagane,tuakana,tue'ine,teina,tue'ine,kui-iti,kui-nui,motua-iti,motua,kui-nui,kui,kui,motua,motua-iti,motua,motua-nui,motua,kui,kui,kui,kui-iti,kui-iti,motua-nui,kui-nui,motua-nui,kui-nui,kui,motua-iti,motua-nui,motua,motua-iti,motua,kui-iti
6,0.34866508550945396,1.767482575790572,1.4188174902811181,tue'ine,teina,tue'ine,tuakana,tugane,tue'ine,teina,tue'ine,tue'ine,tue'ine,tuagane,tue'ine,teina,tugane,tue'ine,tue'ine,tuagane,tugane,teina,tugane,tugane,tue'ine,tuakana,teina,tue'ine,tuakana,tue'ine,teina,tue'ine,teina,tue'ine,tugane,tugane,tue'ine,tue'ine,tugane,tugane,teina,tugane,tugane,tue'ine,tuakana,tuakana,tugane,tugane,tuakana,tugane,tuakana,tuakana,tue'ine,teina,tue'ine,tugane,tue'ine,tugane,tuakana,tugane,tuakana,tuagane,tugane,tue'ine,tue'ine,tugane,teina,motua-iti,kui-nui,kui-iti,motua,motua-iti,motua-nui,kui,motua-iti,motua,kui,kui,kui-nui,motua-nui,motua,motua-nui,kui,kui-nui,motua,kui,motua-nui,motua,kui-nui,kui-iti,kui,kui-iti,kui-iti,motua-iti,motua
7,0.15852194021799426,1.7686840249387243,1.61016208472073,tue'ine,tue'ine,tuakana,tuakana,tuakana,tuakana,tue'ine,tugane,teina,teina,tue'ine,tuakana,tugane,tugane,tue'ine,tugane,tugane,tue'ine,tue'ine,tue'ine,teina,tue'ine,tuagane,tuakana,teina,tue'ine,tugane,tugane,tugane,tuakana,teina,tugane,tugane,tue'ine,tuakana,tue'ine,tugane,tue'ine,teina,tuakana,teina,tue'ine,tugane,tue'ine,tugane,tugane,tue'ine,tugane,tugane,tue'ine,teina,tugane,tuakana,tue'ine,tue'ine,teina,tuagane,teina,tugane,tue'ine,tue'ine,tugane,tuagane,tue'ine,kui,motua,kui,kui-iti,motua-iti,kui-iti,motua-nui,motua-nui,motua-iti,kui-iti,kui,kui,motua,kui-nui,motua-nui,motua,kui-nui,motua-iti,motua-nui,motua,kui-iti,motua,kui-nui,kui,motua,kui-nui,kui,motua-iti
8,0.1463634536051519,1.705926203135411,1.559562749530259,tugane,tue'ine,tugane,teina,tugane,tue'ine,teina,tue'ine,tugane,tugane,tuakana,tue'ine,tugane,tuagane,tugane,tue'ine,tue'ine,teina,tue'ine,tue'ine,tue'ine,tuakana,tue'ine,tuakana,tue'ine,tue'ine,tugane,tuakana,tugane,teina,teina,teina,tugane,tugane,tuagane,tuakana,teina,tugane,tue'ine,tue'ine,tugane,tugane,tue'ine,tue'ine,tuakana,tuagane,tue'ine,tugane,teina,tugane,tugane,tue'ine,tugane,tuakana,tue'ine,tue'ine,tue'ine,tugane,tuakana,tuakana,teina,tue'ine,tuakana,teina,motua-iti,motua-nui,kui,motua,kui,motua-iti,motua-iti,kui,kui-nui,kui,motua-nui,motua-iti,kui-iti,kui-nui,motua,kui,motua-nui,motua,kui-nui,kui,kui-iti,kui-nui,kui-iti,motua-nui,motua,motua,motua,kui-iti
9,0.1932781150063545,1.7425300409124505,1.549251925906096,tue'ine,teina,teina,tuakana,tuakana,teina,tuakana,tue'ine,tugane,tue'ine,tugane,tuakana,tue'ine,tuakana,tugane,tugane,tugane,tue'ine,tugane,tue'ine,tugane,tue'ine,tue'ine,tuakana,tue'ine,tue'ine,tue'ine,tugane,tugane,tuagane,tugane,tugane,tue'ine,tuakana,tue'ine,tue'ine,teina,tue'ine,tue'ine,tugane,tue'ine,teina,tuagane,teina,teina,tugane,tugane,tuagane,tugane,tue'ine,tugane,tuakana,teina,tuakana,tue'ine,tue'ine,tugane,tue'ine,tue'ine,tugane,teina,tuakana,tugane,teina,kui-iti,kui,kui-iti,motua-nui,kui-iti,motua-iti,motua-iti,kui,motua-nui,kui,kui,kui,motua,motua,motua,motua-nui,motua,motua,kui,kui-nui,motua,kui-nui,motua-nui,motua-iti,kui-nui,motua-iti,kui-iti,kui-nui
