simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.10908701488520456,1.2638913510584349,1.1548043361732303,fakatau taina,fakatau taina,fakatau taina,taina foolikiifoo,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau taina,tuangane matuaatu,fakatau tuangane,fakatau tuangane,fakatau taina,tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,tuangane foolikiifoo,fakatau taina,taina foolikiifoo,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,tuangane foolikiifoo,fakatau tuangane,tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,tuangane matuaatu,fakatau taina,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,taina matuaatu,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,taina matuaatu,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau taina,maatua,tuatina,tamana,tamana,tuatina,maatua,matua,maatua,tuatina,tamana,tamana,maatua,tamana,maatua,maatua,tuatina,tuatina,maatua,matua,maatua,tuatina,maatua,tamana,tamana,tamana,maatua,maatua,maatua
1,0.1897861538922354,1.261008821449943,1.0712226675577077,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau tuangane,tuangane matuaatu,fakatau taina,fakatau taina,taina foolikiifoo,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,taina matuaatu,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau tuangane,tuangane foolikiifoo,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,tuangane,fakatau taina,fakatau tuangane,tuangane,fakatau taina,taina matuaatu,fakatau taina,fakatau taina,fakatau tuangane,taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,tuangane matuaatu,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,tuangane foolikiifoo,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,taina foolikiifoo,fakatau taina,matua,maatua,tamana,maatua,maatua,maatua,maatua,tuatina,tuatina,maatua,maatua,tamana,tamana,maatua,tamana,tamana,tuatina,tuatina,matua,maatua,maatua,tamana,tamana,maatua,tamana,tuatina,tuatina,maatua
2,0.10016907620806692,1.1923681315564045,1.0921990553483376,tuangane matuaatu,fakatau taina,fakatau taina,fakatau tuangane,tuangane foolikiifoo,fakatau taina,fakatau taina,fakatau taina,tuangane,fakatau taina,taina foolikiifoo,fakatau tuangane,fakatau taina,taina matuaatu,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,taina matuaatu,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,tuangane,fakatau taina,tuangane foolikiifoo,fakatau tuangane,taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,taina foolikiifoo,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau tuangane,tuangane matuaatu,maatua,maatua,maatua,maatua,maatua,maatua,tuatina,maatua,maatua,tamana,tamana,maatua,maatua,tuatina,tamana,matua,tamana,tuatina,tamana,tamana,tuatina,tuatina,maatua,tamana,matua,tuatina,tamana,maatua
3,0.1096537970718896,1.2782107184100369,1.1685569213381473,fakatau taina,tuangane,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,tuangane foolikiifoo,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,tuangane matuaatu,fakatau tuangane,fakatau tuangane,taina matuaatu,fakatau taina,fakatau taina,fakatau tuangane,tuangane foolikiifoo,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,taina,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,taina matuaatu,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,taina foolikiifoo,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau taina,taina foolikiifoo,fakatau taina,fakatau tuangane,tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,tuangane matuaatu,fakatau tuangane,maatua,tuatina,tuatina,tamana,matua,tuatina,tamana,maatua,maatua,tuatina,matua,maatua,tamana,maatua,tamana,tamana,tamana,tuatina,maatua,maatua,maatua,maatua,maatua,tamana,tamana,maatua,tuatina,maatua
4,0.11770395049321469,1.246839159099175,1.1291352086059603,fakatau taina,fakatau tuangane,taina matuaatu,tuangane foolikiifoo,taina foolikiifoo,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,taina foolikiifoo,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau taina,taina matuaatu,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,tuangane matuaatu,fakatau tuangane,fakatau taina,fakatau tuangane,tuangane foolikiifoo,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,tuangane matuaatu,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau taina,fakatau tuangane,taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,tuangane,matua,tamana,matua,tamana,maatua,tuatina,tamana,maatua,tamana,tamana,maatua,maatua,tamana,maatua,maatua,maatua,maatua,maatua,tamana,maatua,maatua,tuatina,tuatina,maatua,tuatina,tuatina,tuatina,tamana
5,0.22511480219270386,1.230324170697711,1.0052093685050072,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,taina foolikiifoo,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau tuangane,tuangane,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,taina matuaatu,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,tuangane foolikiifoo,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,taina foolikiifoo,fakatau taina,fakatau taina,tuangane matuaatu,taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,tuangane foolikiifoo,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,taina matuaatu,fakatau taina,fakatau tuangane,fakatau tuangane,tuangane matuaatu,maatua,maatua,maatua,tamana,tamana,tamana,tamana,tamana,tuatina,tuatina,tamana,maatua,tamana,maatua,tuatina,tuatina,matua,maatua,maatua,maatua,matua,maatua,tuatina,maatua,tamana,maatua,tuatina,maatua
6,0.16229833685171724,1.2218272766743552,1.059528939822638,fakatau tuangane,fakatau taina,tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,tuangane matuaatu,taina foolikiifoo,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,tuangane matuaatu,taina,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,taina matuaatu,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,tuangane foolikiifoo,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,taina foolikiifoo,fakatau tuangane,fakatau tuangane,tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,taina matuaatu,tuangane foolikiifoo,fakatau taina,fakatau taina,maatua,maatua,tamana,matua,tamana,maatua,tamana,tuatina,tamana,tuatina,tuatina,maatua,tamana,tamana,tuatina,maatua,tamana,maatua,maatua,maatua,maatua,maatua,maatua,matua,tamana,maatua,tuatina,tuatina
7,0.13906174833589935,1.2118347261952342,1.072772977859335,fakatau tuangane,tuangane matuaatu,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,tuangane foolikiifoo,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,taina foolikiifoo,fakatau taina,taina foolikiifoo,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,tuangane matuaatu,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,taina matuaatu,tuangane foolikiifoo,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau taina,tuangane,fakatau tuangane,fakatau tuangane,taina,fakatau taina,taina matuaatu,fakatau taina,fakatau tuangane,fakatau tuangane,tamana,maatua,matua,maatua,tuatina,maatua,tuatina,maatua,tamana,maatua,tamana,matua,maatua,tuatina,tuatina,maatua,maatua,maatua,tamana,maatua,maatua,tuatina,tuatina,tamana,tamana,maatua,tamana,tamana
8,0.09695081881994061,1.2731509152115241,1.1762000963915835,fakatau taina,fakatau tuangane,tuangane,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,taina foolikiifoo,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,tuangane foolikiifoo,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau taina,fakatau tuangane,taina matuaatu,tuangane foolikiifoo,fakatau taina,fakatau taina,tuangane matuaatu,tuangane matuaatu,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,tuangane,taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,taina foolikiifoo,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,taina matuaatu,fakatau taina,fakatau taina,tuatina,maatua,tamana,tuatina,tuatina,tamana,maatua,maatua,tamana,tamana,tuatina,maatua,maatua,tamana,maatua,tuatina,tamana,matua,maatua,maatua,matua,maatua,tamana,tuatina,maatua,maatua,maatua,tamana
9,0.14681605821915866,1.275536294692448,1.1287202364732893,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau taina,taina matuaatu,fakatau tuangane,fakatau taina,fakatau taina,tuangane matuaatu,fakatau tuangane,fakatau taina,fakatau taina,tuangane matuaatu,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,tuangane foolikiifoo,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau taina,fakatau tuangane,taina foolikiifoo,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,taina matuaatu,fakatau tuangane,taina,fakatau tuangane,fakatau tuangane,taina foolikiifoo,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau tuangane,fakatau taina,fakatau taina,fakatau taina,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau tuangane,tuangane,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau tuangane,fakatau tuangane,fakatau tuangane,fakatau taina,fakatau taina,tuangane foolikiifoo,fakatau taina,fakatau tuangane,fakatau taina,tamana,tuatina,maatua,tamana,tuatina,tuatina,maatua,matua,maatua,tamana,maatua,tuatina,tuatina,maatua,maatua,tamana,matua,tuatina,maatua,tamana,tamana,tamana,maatua,tamana,maatua,maatua,maatua,maatua
