simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,meZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFyZ,mMeZ,mMyZ,mMeB,mMyB,mFeZ
0,0.3141486737303991,1.346471967332209,1.0323232936018099,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mwipwa,n-dume-yangi,n-kazi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mu-ala,n-dume-yangi,mu-ala,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mwana,n-dume-yangi,n-dume-yangi,mukulu,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mwana,nhina,mu-inzyo,mwinzyo,nhina,nhina,nhina,mwinzyo,mwinzyo,nhina,mwinzyo,nh-ina,nhina,tata,yama
1,0.17607151398184584,1.388951002954956,1.2128794889731103,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mwipwa,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-kazi,n-dume-yangi,mu-ala,n-dume-yangi,n-dume-yangi,n-dume-yangi,mukulu,n-dume-yangi,n-dume-yangi,mwana,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mwana,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mu-ala,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mu-inzyo,mwinzyo,nhina,mwinzyo,nhina,nhina,nhina,nhina,yama,tata,mwinzyo,nh-ina,nhina,mwinzyo
2,0.31581362806648694,1.5319123997981903,1.2160987717317033,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mwana,n-dume-yangi,n-dume-yangi,mwana,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mu-ala,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mukulu,n-dume-yangi,mwipwa,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-kazi,mu-ala,tata,nhina,nhina,nhina,nh-ina,yama,nhina,mwinzyo,mwinzyo,nhina,mu-inzyo,mwinzyo,mwinzyo,nhina
3,0.16635127510575498,1.5157802117456352,1.3494289366398802,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mwana,mu-ala,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mwipwa,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mwana,n-dume-yangi,n-kazi,n-dume-yangi,mu-ala,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mukulu,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mwinzyo,mwinzyo,yama,mwinzyo,nhina,mu-inzyo,tata,nh-ina,nhina,nhina,mwinzyo,nhina,nhina,nhina
4,0.16870156298542782,1.432142390841795,1.2634408278563671,n-dume-yangi,n-dume-yangi,n-kazi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mu-ala,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mu-ala,mwipwa,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mukulu,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mwana,n-dume-yangi,n-dume-yangi,mwana,n-dume-yangi,mwinzyo,yama,nhina,nhina,nhina,mu-inzyo,mwinzyo,nhina,nh-ina,mwinzyo,mwinzyo,nhina,nhina,tata
5,0.16538195276941203,1.5692229182647301,1.4038409654953181,mukulu,n-dume-yangi,n-dume-yangi,n-dume-yangi,mwipwa,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mu-ala,n-dume-yangi,n-kazi,mwana,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mu-ala,n-dume-yangi,n-dume-yangi,n-dume-yangi,mwana,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,nhina,mwinzyo,nhina,nh-ina,yama,tata,mwinzyo,nhina,nhina,mu-inzyo,nhina,nhina,mwinzyo,mwinzyo
6,0.22051995818137993,1.4731904126102406,1.2526704544288607,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mwipwa,n-dume-yangi,n-dume-yangi,mwana,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mu-ala,n-kazi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mu-ala,mwana,n-dume-yangi,n-dume-yangi,n-dume-yangi,mukulu,n-dume-yangi,mu-inzyo,nhina,nhina,mwinzyo,nhina,yama,nhina,nhina,mwinzyo,mwinzyo,nhina,mwinzyo,tata,nh-ina
7,0.27020484948815526,1.4165600931367195,1.1463552436485642,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mukulu,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-kazi,n-dume-yangi,mwana,n-dume-yangi,mu-ala,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mu-ala,n-dume-yangi,n-dume-yangi,mwipwa,n-dume-yangi,n-dume-yangi,n-dume-yangi,mwana,n-dume-yangi,n-dume-yangi,nhina,mwinzyo,nhina,nhina,yama,mwinzyo,mwinzyo,mwinzyo,mu-inzyo,tata,nhina,nh-ina,nhina,nhina
8,0.2512328607586294,1.4380683852180522,1.1868355244594229,n-dume-yangi,mu-ala,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-kazi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mu-ala,n-dume-yangi,mwana,mwipwa,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mukulu,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mwana,n-dume-yangi,nh-ina,yama,mwinzyo,mwinzyo,nhina,nhina,mu-inzyo,nhina,tata,mwinzyo,mwinzyo,nhina,nhina,nhina
9,0.2638429328988552,1.4994226308586,1.2355796979597449,n-dume-yangi,n-dume-yangi,mukulu,mwana,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mwana,n-dume-yangi,n-dume-yangi,n-kazi,mu-ala,n-dume-yangi,n-dume-yangi,mwipwa,n-dume-yangi,n-dume-yangi,mu-ala,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,n-dume-yangi,mwinzyo,mwinzyo,mu-inzyo,tata,nhina,nhina,nh-ina,yama,nhina,nhina,nhina,nhina,mwinzyo,mwinzyo
