simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFBD,mMZD,mFeBD,mFyBD,mMeZD,mMyZD,mFBeD,mFByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFBS,fMZS,fFeBS,fFyBS,fMeZS,fMyZS,fFBeS,fFByS,fMZyS,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fMeZ,fMyZ,fFeZ,fFyZ,fMeB,fMyB
0,0.23890550656502052,1.7318764397275745,1.492970933162554,nyarrumpa,marlanypa,nyarrumpa,nyarrumpa,pirnku,nyarrumpa,nyarrumpa,nyarrumpa,marlanypa,nyarrumpa,nyarrumpa,kangkuru,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,marlanypa,pirnku,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,marlanypa,marlanypa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,kurta,nyarrumpa,kurta,tyina mama,nyuyul,kulypal,tyina mama,ngunytyu purlka,nyuyul,kulypal,kulypal,kurntili,kurntili,kulypal,kurntili,mama purlka,mama marlatya,kurntili,mama,kurntili,mama,kulypal,kurntili,mama purlka,ngunytyu marlatya,ngunytyu marlatya,kulypal,ngunytyu,ngunytyu purlka,ngunytyu,mama marlatya
1,0.5375846305933101,2.0356672927773714,1.4980826621840613,nyarrumpa,nyarrumpa,nyarrumpa,pirnku,nyarrumpa,pirnku,nyarrumpa,marlanypa,nyarrumpa,kurta,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,marlanypa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,marlanypa,kangkuru,nyarrumpa,nyarrumpa,nyarrumpa,kurta,marlanypa,nyarrumpa,marlanypa,nyarrumpa,mama,kurntili,mama purlka,kulypal,kurntili,nyuyul,kurntili,ngunytyu,kulypal,kulypal,kurntili,kulypal,kulypal,ngunytyu marlatya,mama purlka,tyina mama,kulypal,mama marlatya,tyina mama,kurntili,ngunytyu,ngunytyu purlka,ngunytyu purlka,mama marlatya,nyuyul,ngunytyu marlatya,mama,kurntili
2,0.38876443356102297,1.8330697634454056,1.4443053298843826,marlanypa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,marlanypa,nyarrumpa,kurta,nyarrumpa,nyarrumpa,nyarrumpa,pirnku,nyarrumpa,nyarrumpa,kangkuru,nyarrumpa,marlanypa,nyarrumpa,kurta,nyarrumpa,pirnku,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,marlanypa,marlanypa,nyarrumpa,nyarrumpa,tyina mama,mama,kulypal,ngunytyu,kulypal,tyina mama,kurntili,ngunytyu purlka,mama purlka,ngunytyu marlatya,kurntili,kurntili,mama,mama marlatya,mama purlka,kulypal,kulypal,nyuyul,ngunytyu marlatya,kulypal,nyuyul,kulypal,kurntili,ngunytyu purlka,kurntili,ngunytyu,mama marlatya,kurntili
3,0.4317661096798626,1.7405131557706566,1.308747046090794,nyarrumpa,nyarrumpa,marlanypa,nyarrumpa,marlanypa,marlanypa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,marlanypa,nyarrumpa,kurta,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,pirnku,nyarrumpa,nyarrumpa,nyarrumpa,kangkuru,marlanypa,kurta,nyarrumpa,pirnku,nyarrumpa,mama marlatya,kurntili,kulypal,ngunytyu,mama purlka,kurntili,nyuyul,ngunytyu marlatya,kurntili,mama,kulypal,mama purlka,kulypal,tyina mama,kurntili,ngunytyu,kulypal,kurntili,ngunytyu marlatya,kurntili,mama,nyuyul,mama marlatya,ngunytyu purlka,kulypal,tyina mama,ngunytyu purlka,kulypal
4,0.36726596760438746,2.0257554380185203,1.6584894704141329,marlanypa,marlanypa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,kurta,nyarrumpa,marlanypa,pirnku,nyarrumpa,nyarrumpa,kurta,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,kangkuru,nyarrumpa,pirnku,nyarrumpa,nyarrumpa,marlanypa,nyarrumpa,marlanypa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,ngunytyu marlatya,kurntili,nyuyul,ngunytyu purlka,ngunytyu marlatya,ngunytyu,kulypal,mama marlatya,kurntili,kurntili,kulypal,mama marlatya,kulypal,mama,kulypal,tyina mama,mama purlka,ngunytyu purlka,ngunytyu,kulypal,kulypal,mama,mama purlka,tyina mama,kurntili,nyuyul,kurntili,kurntili
5,0.5210568343411901,2.0087368558316214,1.4876800214904313,marlanypa,marlanypa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,kurta,nyarrumpa,nyarrumpa,pirnku,marlanypa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,kangkuru,nyarrumpa,nyarrumpa,marlanypa,pirnku,nyarrumpa,nyarrumpa,nyarrumpa,kurta,nyarrumpa,marlanypa,nyuyul,kulypal,nyuyul,tyina mama,kurntili,ngunytyu marlatya,kulypal,kulypal,ngunytyu purlka,kurntili,kulypal,ngunytyu,kulypal,ngunytyu marlatya,ngunytyu,ngunytyu purlka,mama marlatya,kulypal,mama,tyina mama,kurntili,mama purlka,mama marlatya,kurntili,kurntili,mama,kurntili,mama purlka
6,0.3243129557749269,1.6752596858956041,1.3509467301206772,pirnku,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,pirnku,nyarrumpa,nyarrumpa,nyarrumpa,marlanypa,marlanypa,marlanypa,nyarrumpa,marlanypa,marlanypa,nyarrumpa,kurta,nyarrumpa,nyarrumpa,kurta,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,kangkuru,nyarrumpa,nyarrumpa,kulypal,kulypal,nyuyul,ngunytyu purlka,kurntili,kurntili,kulypal,tyina mama,kurntili,nyuyul,mama,kurntili,mama purlka,mama marlatya,mama purlka,kulypal,ngunytyu,ngunytyu,ngunytyu marlatya,tyina mama,kulypal,kurntili,mama,ngunytyu purlka,ngunytyu marlatya,kurntili,kulypal,mama marlatya
7,0.5231618301429157,2.0009053155276257,1.47774348538471,kurta,nyarrumpa,nyarrumpa,nyarrumpa,kangkuru,nyarrumpa,marlanypa,kurta,marlanypa,nyarrumpa,marlanypa,marlanypa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,pirnku,marlanypa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,pirnku,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,mama marlatya,nyuyul,mama purlka,kulypal,ngunytyu marlatya,kurntili,kulypal,kurntili,ngunytyu marlatya,kulypal,mama purlka,kurntili,nyuyul,tyina mama,kulypal,ngunytyu,ngunytyu,kurntili,ngunytyu purlka,kurntili,kurntili,mama,ngunytyu purlka,mama marlatya,kulypal,kulypal,mama,tyina mama
8,0.39079262024983397,1.965888488378614,1.57509586812878,pirnku,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,kurta,nyarrumpa,marlanypa,nyarrumpa,marlanypa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,marlanypa,nyarrumpa,nyarrumpa,kangkuru,pirnku,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,marlanypa,kurta,nyarrumpa,marlanypa,kurntili,kulypal,tyina mama,nyuyul,kulypal,kurntili,mama purlka,tyina mama,kulypal,nyuyul,kurntili,kulypal,kurntili,mama,ngunytyu purlka,ngunytyu,mama marlatya,mama marlatya,kulypal,kurntili,mama purlka,ngunytyu marlatya,kulypal,ngunytyu,ngunytyu marlatya,ngunytyu purlka,kurntili,mama
9,0.39377961687048213,1.746796162216023,1.353016545345541,nyarrumpa,pirnku,nyarrumpa,nyarrumpa,nyarrumpa,kurta,marlanypa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,marlanypa,kangkuru,marlanypa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,nyarrumpa,kurta,nyarrumpa,nyarrumpa,marlanypa,pirnku,nyarrumpa,marlanypa,nyarrumpa,nyarrumpa,nyarrumpa,kulypal,kurntili,nyuyul,mama,ngunytyu,kulypal,tyina mama,ngunytyu marlatya,mama marlatya,kurntili,tyina mama,ngunytyu purlka,kulypal,mama purlka,kurntili,ngunytyu marlatya,kulypal,mama marlatya,kurntili,ngunytyu,kulypal,mama,kurntili,nyuyul,mama purlka,kurntili,ngunytyu purlka,kulypal
