simulation_number,mutual_information,entropy,conditional_entropy,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fyZ,meZ,feZ,mB,fZ,mM,mFeB,mFyB,mMeZ,mMyZ,fM,fFeB,fFyB,fMeZ,fMyZ,mF,mFZ,mFeZ,mFyZ,fF,fFZ,fFeZ,fFyZ
0,0.34982401940728725,1.4643174205138076,1.1144934011065204,unnuguna,untaani,untaani,umwana gwa,untaani,gwa mietu,untaani,umwana gwa,gwa mietu,ulilumbu unkulumba,gwa mietu,untaani,lumbu,gwa mietu,untaani,untaani,umwana gwa,umwana gwa,gwa mietu,umwana gwa,gwa mietu,untaani,umwana gwa,untaani,untaani,untaani,lumbu,untaani,umwana gwa,untaani,untaani,gwa mietu,umwana gwa,unnuguna,ulilumbu unnandi,untaani,gwa mietu,untaani,untaani,untaani,unkulu,umwana gwa,gwa mietu,umwana gwa,untaani,untaani,gwa mietu,unnyasenga,taata unnandi,unnyasenga,unnyasenga,juuba,mama unnandi,mama unkulumba,taata unkulumba,juuba,tata,taata unkulumba,unnyasenga,unnyasenga,tata,mama unnandi,taata unnandi,mama unkulumba,unnyasenga
1,0.581605216669097,1.8507877898941267,1.2691825732250297,ulilumbu unkulumba,umwana gwa,umwana gwa,unnuguna,untaani,gwa mietu,untaani,umwana gwa,untaani,umwana gwa,untaani,unnuguna,umwana gwa,untaani,gwa mietu,umwana gwa,untaani,untaani,untaani,gwa mietu,untaani,untaani,gwa mietu,umwana gwa,lumbu,untaani,gwa mietu,untaani,gwa mietu,untaani,gwa mietu,untaani,unkulu,gwa mietu,ulilumbu unnandi,lumbu,gwa mietu,untaani,gwa mietu,untaani,untaani,untaani,untaani,umwana gwa,untaani,umwana gwa,umwana gwa,mama unnandi,taata unkulumba,taata unkulumba,tata,juuba,unnyasenga,mama unkulumba,taata unnandi,unnyasenga,unnyasenga,unnyasenga,tata,juuba,taata unnandi,mama unkulumba,unnyasenga,mama unnandi,unnyasenga
2,0.5761540387774664,1.8756297445116723,1.299475705734206,untaani,untaani,unkulu,unnuguna,umwana gwa,unnuguna,gwa mietu,umwana gwa,untaani,gwa mietu,gwa mietu,untaani,gwa mietu,untaani,untaani,untaani,gwa mietu,gwa mietu,untaani,umwana gwa,umwana gwa,untaani,gwa mietu,untaani,untaani,untaani,gwa mietu,umwana gwa,umwana gwa,ulilumbu unkulumba,gwa mietu,umwana gwa,untaani,untaani,umwana gwa,lumbu,untaani,gwa mietu,untaani,untaani,untaani,lumbu,ulilumbu unnandi,umwana gwa,untaani,umwana gwa,untaani,taata unkulumba,tata,mama unnandi,juuba,unnyasenga,unnyasenga,unnyasenga,taata unnandi,unnyasenga,unnyasenga,tata,taata unnandi,mama unkulumba,unnyasenga,mama unnandi,juuba,taata unkulumba,mama unkulumba
3,0.46970640202883396,1.8321973236792994,1.3624909216504655,gwa mietu,untaani,gwa mietu,untaani,untaani,gwa mietu,gwa mietu,untaani,umwana gwa,lumbu,untaani,umwana gwa,umwana gwa,untaani,untaani,untaani,unkulu,untaani,untaani,gwa mietu,gwa mietu,lumbu,ulilumbu unkulumba,gwa mietu,umwana gwa,untaani,unnuguna,umwana gwa,umwana gwa,umwana gwa,gwa mietu,umwana gwa,untaani,untaani,ulilumbu unnandi,untaani,umwana gwa,untaani,untaani,untaani,unnuguna,gwa mietu,gwa mietu,untaani,umwana gwa,untaani,untaani,tata,juuba,mama unnandi,unnyasenga,taata unnandi,tata,unnyasenga,juuba,unnyasenga,taata unnandi,mama unkulumba,mama unkulumba,unnyasenga,taata unkulumba,mama unnandi,unnyasenga,unnyasenga,taata unkulumba
4,0.798358341339213,1.76311789060788,0.9647595492686669,unkulu,gwa mietu,untaani,untaani,gwa mietu,untaani,umwana gwa,umwana gwa,untaani,gwa mietu,lumbu,umwana gwa,umwana gwa,gwa mietu,unnuguna,umwana gwa,untaani,ulilumbu unnandi,umwana gwa,untaani,untaani,gwa mietu,untaani,lumbu,gwa mietu,umwana gwa,ulilumbu unkulumba,untaani,untaani,umwana gwa,untaani,untaani,untaani,gwa mietu,unnuguna,untaani,untaani,untaani,untaani,umwana gwa,gwa mietu,untaani,untaani,gwa mietu,untaani,gwa mietu,umwana gwa,mama unnandi,tata,juuba,unnyasenga,unnyasenga,unnyasenga,tata,taata unnandi,taata unkulumba,unnyasenga,unnyasenga,mama unkulumba,juuba,taata unnandi,taata unkulumba,mama unnandi,unnyasenga,mama unkulumba
5,0.28004644942529544,1.247134930127779,0.9670884807024835,untaani,gwa mietu,untaani,untaani,gwa mietu,umwana gwa,lumbu,untaani,lumbu,untaani,untaani,untaani,gwa mietu,untaani,gwa mietu,umwana gwa,umwana gwa,umwana gwa,unkulu,untaani,unnuguna,umwana gwa,umwana gwa,unnuguna,untaani,gwa mietu,gwa mietu,untaani,untaani,untaani,gwa mietu,untaani,umwana gwa,umwana gwa,untaani,umwana gwa,gwa mietu,umwana gwa,gwa mietu,untaani,untaani,ulilumbu unnandi,untaani,gwa mietu,untaani,ulilumbu unkulumba,untaani,unnyasenga,juuba,tata,unnyasenga,taata unnandi,juuba,taata unkulumba,mama unkulumba,unnyasenga,mama unnandi,taata unnandi,unnyasenga,unnyasenga,tata,unnyasenga,taata unkulumba,mama unkulumba,mama unnandi
6,0.4265934975182193,1.359537175623986,0.9329436781057667,gwa mietu,untaani,unnuguna,untaani,umwana gwa,unnuguna,untaani,untaani,lumbu,umwana gwa,umwana gwa,ulilumbu unkulumba,untaani,untaani,unkulu,gwa mietu,gwa mietu,untaani,untaani,untaani,gwa mietu,umwana gwa,gwa mietu,lumbu,umwana gwa,untaani,gwa mietu,gwa mietu,umwana gwa,untaani,untaani,gwa mietu,gwa mietu,gwa mietu,umwana gwa,untaani,ulilumbu unnandi,untaani,umwana gwa,untaani,umwana gwa,untaani,untaani,untaani,umwana gwa,untaani,untaani,unnyasenga,unnyasenga,mama unnandi,juuba,unnyasenga,unnyasenga,taata unkulumba,taata unnandi,mama unnandi,taata unkulumba,tata,mama unkulumba,unnyasenga,unnyasenga,mama unkulumba,taata unnandi,tata,juuba
7,0.47342859288686356,1.6359509235051695,1.162522330618306,umwana gwa,unkulu,untaani,untaani,gwa mietu,umwana gwa,umwana gwa,umwana gwa,ulilumbu unnandi,untaani,untaani,untaani,untaani,gwa mietu,umwana gwa,gwa mietu,untaani,gwa mietu,gwa mietu,untaani,untaani,untaani,gwa mietu,gwa mietu,unnuguna,untaani,gwa mietu,umwana gwa,untaani,lumbu,umwana gwa,unnuguna,lumbu,untaani,untaani,umwana gwa,untaani,ulilumbu unkulumba,gwa mietu,untaani,untaani,gwa mietu,untaani,untaani,untaani,umwana gwa,umwana gwa,unnyasenga,mama unkulumba,taata unnandi,unnyasenga,taata unnandi,unnyasenga,mama unnandi,unnyasenga,mama unnandi,taata unkulumba,juuba,tata,tata,unnyasenga,taata unkulumba,mama unkulumba,juuba,unnyasenga
8,0.9289185369596338,1.8767681067355977,0.9478495697759639,gwa mietu,ulilumbu unnandi,umwana gwa,gwa mietu,gwa mietu,umwana gwa,untaani,untaani,gwa mietu,untaani,untaani,umwana gwa,untaani,untaani,untaani,umwana gwa,umwana gwa,unkulu,untaani,umwana gwa,ulilumbu unkulumba,gwa mietu,gwa mietu,untaani,untaani,untaani,umwana gwa,gwa mietu,gwa mietu,umwana gwa,gwa mietu,umwana gwa,lumbu,untaani,gwa mietu,untaani,untaani,untaani,untaani,untaani,umwana gwa,untaani,untaani,unnuguna,lumbu,unnuguna,untaani,juuba,taata unnandi,taata unnandi,mama unnandi,unnyasenga,tata,mama unnandi,unnyasenga,unnyasenga,unnyasenga,juuba,taata unkulumba,unnyasenga,mama unkulumba,tata,mama unkulumba,taata unkulumba,unnyasenga
9,0.49958686138535247,1.7685599212972554,1.268973059911903,umwana gwa,untaani,untaani,untaani,gwa mietu,umwana gwa,umwana gwa,unnuguna,untaani,gwa mietu,untaani,untaani,untaani,gwa mietu,ulilumbu unkulumba,umwana gwa,untaani,ulilumbu unnandi,untaani,umwana gwa,untaani,gwa mietu,lumbu,unnuguna,gwa mietu,umwana gwa,untaani,untaani,untaani,untaani,untaani,umwana gwa,gwa mietu,gwa mietu,untaani,untaani,untaani,gwa mietu,umwana gwa,lumbu,untaani,untaani,umwana gwa,gwa mietu,gwa mietu,umwana gwa,unkulu,unnyasenga,mama unnandi,juuba,taata unnandi,tata,taata unnandi,unnyasenga,mama unkulumba,taata unkulumba,tata,taata unkulumba,unnyasenga,juuba,unnyasenga,mama unkulumba,mama unnandi,unnyasenga,unnyasenga
