simulation_number,mutual_information,entropy,conditional_entropy,feZ,fFBeD,fMZeD,fFZeD,fFZyD,meB,mMZeS,meZ,fyZ,mMZeD,myZ,mMZyD,fFByD,fMZyD,feB,mFBeS,fFBeS,fyB,myB,mMZyS,fMZyS,mFByS,fFByS,mMBeS,fMBeS,mMByS,fMByS,fFZeS,fFZyS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeD,fMBeD,mMByD,fMByD,mFeZ,mFyZ,fFeZ,fFyZ,mMeB,mMyB,fMeB,fMyB,mF,fF,mFeB,mFyB,fFeB,fFyB,mM,fM,mMeZ,mMyZ,fMeZ,fMyZ
0,0.5198603854199589,1.0397207708399179,0.5198603854199589,wee-sǒn̤ʼ-gä,we-tǒnʼ-ga,we-zhun̤ʼ-ga,wee-zheʼ-thǎ,wee-zhun̤ʼ-ga,wee-tǒnʼ-ga,wee-tǒuʼ-ga,we-toansʼ-kä,wee-teʼ-noo,wee-zhun̤ʼ-ga,wee-tǒn̤ʼ-ga,e-näʼ-hä,wee-sǒn̤ʼ-gä,wee-sǒnʼ-gä,e-näʼ-hä,wee-zheʼ-thǎ,wee-näʼ-gee,wee-tǒnʼ-ga,wee-näʼ-gee,wee-näʼ-gee,wee-teʼ-noo,we-teʼ-zhä,we-teʼ-zhä,wee-zǒnʼ-thä,wee-teʼ-noo,wee-näʼ-gee,e-näʼ-hä,we-toansʼ-kä,we-zhin̤ʼ-ga,"wee-sǒn̤ʼ-gä, käʼ-gä","wee-tǒnʼ-gä, weeʼ-hä",wee-tǒnʼ-gä,wee-sǒn̤ʼ-gä,wee-tǒnʼ-gä,wee-zǒn̤ʼ-thǎ,wee-zǒnʼ-thǎ,we-tǒn̤ʼ-ga,wee-sǒnʼ-gä,e-näʼ-hä,wee-teeʼ-me,eʼ-näʼ-ha,in-däʼ-de,in-däʼ-de,e-näʼ-hä,wee-näʼ-gee,in-däʼ-de,e-näʼ-hä,wee-teeʼ-me,eʼ-näʼ-ha,in-däʼ-de,wee-näʼ-gee,in-däʼ-de,wee-näʼ-gee,wee-teeʼ-me,e-näʼ-hä,wee-teeʼ-me,e-näʼ-hä,wee-näʼ-gee,in-däʼ-de
1,0.21576155433883565,0.5623351446188083,0.34657359027997264,wee-sǒn̤ʼ-gä,wee-tǒnʼ-gä,wee-teʼ-noo,we-teʼ-zhä,e-näʼ-hä,wee-tǒn̤ʼ-ga,wee-tǒuʼ-ga,we-toansʼ-kä,wee-näʼ-gee,e-näʼ-hä,wee-tǒnʼ-ga,e-näʼ-hä,we-toansʼ-kä,we-zhin̤ʼ-ga,wee-näʼ-gee,wee-zheʼ-thǎ,wee-zhun̤ʼ-ga,wee-näʼ-gee,wee-teʼ-noo,we-zhun̤ʼ-ga,wee-zǒnʼ-thä,wee-zheʼ-thǎ,wee-teʼ-noo,wee-sǒnʼ-gä,we-tǒn̤ʼ-ga,we-tǒnʼ-ga,wee-tǒnʼ-gä,wee-tǒnʼ-ga,wee-sǒnʼ-gä,wee-zǒnʼ-thǎ,wee-zhun̤ʼ-ga,wee-zǒn̤ʼ-thǎ,e-näʼ-hä,wee-sǒn̤ʼ-gä,we-teʼ-zhä,wee-sǒn̤ʼ-gä,"wee-tǒnʼ-gä, weeʼ-hä","wee-sǒn̤ʼ-gä, käʼ-gä",wee-näʼ-gee,in-däʼ-de,wee-teeʼ-me,in-däʼ-de,e-näʼ-hä,eʼ-näʼ-ha,wee-näʼ-gee,in-däʼ-de,in-däʼ-de,wee-teeʼ-me,eʼ-näʼ-ha,e-näʼ-hä,wee-näʼ-gee,e-näʼ-hä,in-däʼ-de,wee-teeʼ-me,wee-teeʼ-me,e-näʼ-hä,in-däʼ-de,wee-näʼ-gee,wee-näʼ-gee
2,0.3465735902799726,1.0397207708399179,0.6931471805599453,wee-zǒn̤ʼ-thǎ,wee-teʼ-noo,wee-sǒn̤ʼ-gä,wee-näʼ-gee,wee-tǒn̤ʼ-ga,wee-tǒuʼ-ga,wee-näʼ-gee,wee-tǒnʼ-gä,wee-zhun̤ʼ-ga,we-zhun̤ʼ-ga,e-näʼ-hä,"wee-sǒn̤ʼ-gä, käʼ-gä",we-toansʼ-kä,wee-tǒnʼ-ga,wee-sǒn̤ʼ-gä,wee-teʼ-noo,we-toansʼ-kä,wee-näʼ-gee,wee-sǒnʼ-gä,wee-sǒn̤ʼ-gä,wee-sǒnʼ-gä,wee-teʼ-noo,wee-zǒnʼ-thǎ,wee-tǒnʼ-ga,wee-näʼ-gee,we-tǒn̤ʼ-ga,we-zhin̤ʼ-ga,we-tǒnʼ-ga,wee-zǒnʼ-thä,e-näʼ-hä,wee-zhun̤ʼ-ga,e-näʼ-hä,we-teʼ-zhä,wee-tǒnʼ-gä,"wee-tǒnʼ-gä, weeʼ-hä",wee-zheʼ-thǎ,wee-zheʼ-thǎ,e-näʼ-hä,we-teʼ-zhä,wee-teeʼ-me,wee-teeʼ-me,in-däʼ-de,in-däʼ-de,wee-näʼ-gee,eʼ-näʼ-ha,in-däʼ-de,in-däʼ-de,wee-teeʼ-me,in-däʼ-de,eʼ-näʼ-ha,wee-näʼ-gee,e-näʼ-hä,e-näʼ-hä,in-däʼ-de,wee-näʼ-gee,e-näʼ-hä,wee-näʼ-gee,e-näʼ-hä,wee-teeʼ-me
3,0.6931471805599453,1.3862943611198906,0.6931471805599453,wee-teʼ-noo,e-näʼ-hä,we-zhin̤ʼ-ga,wee-näʼ-gee,we-teʼ-zhä,wee-sǒn̤ʼ-gä,wee-zheʼ-thǎ,we-teʼ-zhä,wee-tǒnʼ-ga,wee-sǒnʼ-gä,wee-tǒnʼ-gä,e-näʼ-hä,wee-zheʼ-thǎ,wee-zǒnʼ-thä,"wee-sǒn̤ʼ-gä, käʼ-gä",wee-tǒnʼ-gä,we-zhun̤ʼ-ga,"wee-tǒnʼ-gä, weeʼ-hä",we-toansʼ-kä,wee-teʼ-noo,wee-näʼ-gee,wee-teʼ-noo,wee-zhun̤ʼ-ga,wee-tǒnʼ-ga,we-toansʼ-kä,e-näʼ-hä,we-tǒnʼ-ga,wee-näʼ-gee,wee-zhun̤ʼ-ga,we-tǒn̤ʼ-ga,wee-sǒnʼ-gä,wee-sǒn̤ʼ-gä,wee-zǒnʼ-thǎ,wee-tǒuʼ-ga,wee-zǒn̤ʼ-thǎ,e-näʼ-hä,wee-näʼ-gee,wee-sǒn̤ʼ-gä,wee-tǒn̤ʼ-ga,wee-näʼ-gee,in-däʼ-de,in-däʼ-de,eʼ-näʼ-ha,e-näʼ-hä,in-däʼ-de,e-näʼ-hä,wee-teeʼ-me,in-däʼ-de,wee-teeʼ-me,in-däʼ-de,wee-näʼ-gee,wee-teeʼ-me,e-näʼ-hä,wee-näʼ-gee,e-näʼ-hä,in-däʼ-de,wee-teeʼ-me,wee-näʼ-gee,eʼ-näʼ-ha
4,0.3465735902799726,1.0397207708399179,0.6931471805599453,wee-teʼ-noo,we-teʼ-zhä,wee-näʼ-gee,wee-zhun̤ʼ-ga,wee-zheʼ-thǎ,wee-sǒnʼ-gä,wee-tǒnʼ-ga,e-näʼ-hä,wee-teʼ-noo,wee-sǒn̤ʼ-gä,"wee-sǒn̤ʼ-gä, käʼ-gä","wee-tǒnʼ-gä, weeʼ-hä",wee-zǒnʼ-thǎ,wee-zǒn̤ʼ-thǎ,wee-zǒnʼ-thä,wee-tǒnʼ-gä,e-näʼ-hä,we-toansʼ-kä,wee-sǒn̤ʼ-gä,wee-tǒnʼ-ga,we-tǒnʼ-ga,wee-zheʼ-thǎ,wee-tǒnʼ-gä,we-zhun̤ʼ-ga,wee-tǒn̤ʼ-ga,wee-näʼ-gee,we-tǒn̤ʼ-ga,wee-sǒn̤ʼ-gä,wee-näʼ-gee,e-näʼ-hä,wee-zhun̤ʼ-ga,wee-teʼ-noo,e-näʼ-hä,we-teʼ-zhä,wee-tǒuʼ-ga,we-toansʼ-kä,wee-sǒnʼ-gä,wee-näʼ-gee,we-zhin̤ʼ-ga,wee-teeʼ-me,e-näʼ-hä,in-däʼ-de,in-däʼ-de,eʼ-näʼ-ha,wee-näʼ-gee,in-däʼ-de,wee-näʼ-gee,in-däʼ-de,in-däʼ-de,e-näʼ-hä,wee-teeʼ-me,in-däʼ-de,eʼ-näʼ-ha,e-näʼ-hä,wee-teeʼ-me,wee-teeʼ-me,wee-näʼ-gee,wee-näʼ-gee,e-näʼ-hä
5,0.1618211657541267,0.5623351446188083,0.4005139788646816,wee-näʼ-gee,e-näʼ-hä,wee-tǒuʼ-ga,wee-tǒn̤ʼ-ga,we-toansʼ-kä,we-teʼ-zhä,wee-zheʼ-thǎ,wee-näʼ-gee,wee-teʼ-noo,we-zhun̤ʼ-ga,we-toansʼ-kä,we-zhin̤ʼ-ga,wee-sǒn̤ʼ-gä,wee-teʼ-noo,wee-zhun̤ʼ-ga,wee-näʼ-gee,wee-näʼ-gee,wee-zǒn̤ʼ-thǎ,we-teʼ-zhä,wee-tǒnʼ-gä,wee-sǒn̤ʼ-gä,wee-tǒnʼ-gä,wee-sǒnʼ-gä,e-näʼ-hä,"wee-tǒnʼ-gä, weeʼ-hä",e-näʼ-hä,we-tǒn̤ʼ-ga,wee-tǒnʼ-ga,wee-zhun̤ʼ-ga,"wee-sǒn̤ʼ-gä, käʼ-gä",e-näʼ-hä,we-tǒnʼ-ga,wee-zheʼ-thǎ,wee-sǒnʼ-gä,wee-zǒnʼ-thǎ,wee-tǒnʼ-ga,wee-zǒnʼ-thä,wee-teʼ-noo,wee-sǒn̤ʼ-gä,wee-teeʼ-me,in-däʼ-de,eʼ-näʼ-ha,wee-teeʼ-me,e-näʼ-hä,e-näʼ-hä,wee-näʼ-gee,wee-teeʼ-me,in-däʼ-de,wee-näʼ-gee,wee-näʼ-gee,e-näʼ-hä,eʼ-näʼ-ha,in-däʼ-de,in-däʼ-de,in-däʼ-de,e-näʼ-hä,wee-näʼ-gee,in-däʼ-de,wee-teeʼ-me
6,0.21576155433883565,0.5623351446188083,0.34657359027997264,wee-tǒnʼ-ga,e-näʼ-hä,we-tǒnʼ-ga,wee-zhun̤ʼ-ga,wee-tǒnʼ-ga,we-toansʼ-kä,wee-tǒn̤ʼ-ga,we-zhun̤ʼ-ga,wee-zheʼ-thǎ,wee-teʼ-noo,"wee-tǒnʼ-gä, weeʼ-hä",e-näʼ-hä,we-toansʼ-kä,wee-zheʼ-thǎ,wee-sǒnʼ-gä,e-näʼ-hä,wee-sǒn̤ʼ-gä,e-näʼ-hä,we-teʼ-zhä,wee-näʼ-gee,wee-näʼ-gee,"wee-sǒn̤ʼ-gä, käʼ-gä",wee-zhun̤ʼ-ga,wee-zǒnʼ-thä,wee-tǒuʼ-ga,wee-näʼ-gee,wee-sǒn̤ʼ-gä,wee-teʼ-noo,wee-tǒnʼ-gä,wee-näʼ-gee,wee-teʼ-noo,we-zhin̤ʼ-ga,wee-tǒnʼ-gä,wee-sǒn̤ʼ-gä,we-tǒn̤ʼ-ga,we-teʼ-zhä,wee-zǒn̤ʼ-thǎ,wee-sǒnʼ-gä,wee-zǒnʼ-thǎ,e-näʼ-hä,wee-teeʼ-me,wee-näʼ-gee,in-däʼ-de,wee-teeʼ-me,wee-näʼ-gee,in-däʼ-de,wee-näʼ-gee,in-däʼ-de,in-däʼ-de,e-näʼ-hä,e-näʼ-hä,wee-näʼ-gee,wee-teeʼ-me,wee-teeʼ-me,in-däʼ-de,in-däʼ-de,eʼ-näʼ-ha,e-näʼ-hä,eʼ-näʼ-ha
7,0.6931471805599452,1.0397207708399179,0.34657359027997264,wee-tǒnʼ-gä,wee-näʼ-gee,e-näʼ-hä,wee-tǒuʼ-ga,e-näʼ-hä,wee-zǒn̤ʼ-thǎ,wee-sǒnʼ-gä,wee-zǒnʼ-thǎ,we-tǒn̤ʼ-ga,wee-sǒnʼ-gä,we-toansʼ-kä,wee-sǒn̤ʼ-gä,e-näʼ-hä,"wee-tǒnʼ-gä, weeʼ-hä",wee-teʼ-noo,wee-tǒnʼ-ga,e-näʼ-hä,we-teʼ-zhä,wee-zǒnʼ-thä,wee-zheʼ-thǎ,wee-sǒn̤ʼ-gä,"wee-sǒn̤ʼ-gä, käʼ-gä",we-zhun̤ʼ-ga,we-toansʼ-kä,wee-näʼ-gee,wee-zheʼ-thǎ,wee-näʼ-gee,wee-tǒnʼ-ga,we-tǒnʼ-ga,we-teʼ-zhä,wee-zhun̤ʼ-ga,wee-näʼ-gee,wee-tǒnʼ-gä,we-zhin̤ʼ-ga,wee-tǒn̤ʼ-ga,wee-teʼ-noo,wee-zhun̤ʼ-ga,wee-sǒn̤ʼ-gä,wee-teʼ-noo,wee-näʼ-gee,wee-teeʼ-me,wee-näʼ-gee,wee-näʼ-gee,eʼ-näʼ-ha,in-däʼ-de,wee-näʼ-gee,in-däʼ-de,in-däʼ-de,wee-teeʼ-me,e-näʼ-hä,wee-teeʼ-me,wee-teeʼ-me,in-däʼ-de,in-däʼ-de,e-näʼ-hä,e-näʼ-hä,in-däʼ-de,eʼ-näʼ-ha,e-näʼ-hä
8,0.6931471805599452,1.0397207708399179,0.34657359027997264,wee-teʼ-noo,wee-teʼ-noo,wee-zǒn̤ʼ-thǎ,wee-sǒnʼ-gä,"wee-tǒnʼ-gä, weeʼ-hä",wee-zhun̤ʼ-ga,wee-näʼ-gee,we-teʼ-zhä,wee-tǒnʼ-ga,wee-tǒnʼ-ga,wee-zheʼ-thǎ,wee-sǒnʼ-gä,wee-sǒn̤ʼ-gä,e-näʼ-hä,e-näʼ-hä,wee-tǒn̤ʼ-ga,wee-sǒn̤ʼ-gä,we-toansʼ-kä,wee-sǒn̤ʼ-gä,wee-tǒnʼ-gä,wee-zheʼ-thǎ,"wee-sǒn̤ʼ-gä, käʼ-gä",wee-tǒnʼ-gä,wee-näʼ-gee,wee-zǒnʼ-thǎ,wee-zhun̤ʼ-ga,we-zhin̤ʼ-ga,wee-zǒnʼ-thä,we-tǒnʼ-ga,e-näʼ-hä,e-näʼ-hä,we-teʼ-zhä,wee-näʼ-gee,wee-tǒuʼ-ga,wee-näʼ-gee,we-toansʼ-kä,we-zhun̤ʼ-ga,we-tǒn̤ʼ-ga,wee-teʼ-noo,wee-näʼ-gee,eʼ-näʼ-ha,e-näʼ-hä,wee-teeʼ-me,wee-teeʼ-me,in-däʼ-de,in-däʼ-de,in-däʼ-de,in-däʼ-de,wee-näʼ-gee,wee-teeʼ-me,wee-teeʼ-me,wee-näʼ-gee,e-näʼ-hä,in-däʼ-de,e-näʼ-hä,eʼ-näʼ-ha,wee-näʼ-gee,in-däʼ-de,e-näʼ-hä
9,0.5198603854199589,1.3862943611198906,0.8664339756999316,wee-teʼ-noo,e-näʼ-hä,wee-zhun̤ʼ-ga,wee-sǒnʼ-gä,wee-tǒnʼ-gä,wee-sǒn̤ʼ-gä,wee-zhun̤ʼ-ga,wee-teʼ-noo,e-näʼ-hä,wee-tǒuʼ-ga,wee-näʼ-gee,we-toansʼ-kä,wee-tǒnʼ-gä,wee-sǒn̤ʼ-gä,e-näʼ-hä,wee-näʼ-gee,wee-näʼ-gee,wee-zǒnʼ-thä,we-zhin̤ʼ-ga,wee-sǒnʼ-gä,e-näʼ-hä,wee-zǒn̤ʼ-thǎ,wee-zheʼ-thǎ,"wee-tǒnʼ-gä, weeʼ-hä",wee-tǒnʼ-ga,we-teʼ-zhä,wee-tǒn̤ʼ-ga,we-teʼ-zhä,wee-näʼ-gee,wee-teʼ-noo,wee-zheʼ-thǎ,wee-zǒnʼ-thǎ,we-tǒnʼ-ga,wee-tǒnʼ-ga,we-zhun̤ʼ-ga,we-tǒn̤ʼ-ga,we-toansʼ-kä,"wee-sǒn̤ʼ-gä, käʼ-gä",wee-sǒn̤ʼ-gä,in-däʼ-de,wee-teeʼ-me,wee-teeʼ-me,e-näʼ-hä,in-däʼ-de,in-däʼ-de,wee-näʼ-gee,wee-teeʼ-me,eʼ-näʼ-ha,wee-näʼ-gee,wee-teeʼ-me,wee-näʼ-gee,e-näʼ-hä,wee-näʼ-gee,e-näʼ-hä,in-däʼ-de,e-näʼ-hä,in-däʼ-de,eʼ-näʼ-ha,in-däʼ-de
