simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mFBS,mFZS,mMBS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,feB,fyB,feZ,fyZ,mF,mM,mFB,mMB,mMZ,mFeB,mFyB,mMeZ,mMyZ,mMeB,mMyB,mFZ,mFeZ,mFyZ
0,0.3549981377407275,1.2134241544032796,0.858426016662552,hangwé,mamà,mwana,mbomo,hangwé,mamà,mbomo,mamà,mwana,ndomi,kadji,mamà,mbomo,hangwé,kádʒì,kadi,mwana,mbomo,mwana,hangwé,mbomo,ndomi,zimi,mamà,kadji,kadi,hangwé,mwana,kadi,kadi,mbomo,zimi,kadi,mbomo,màmá,hangwè,hangwè,lawu,lawu,màmá,nyangwè,màmá,màmá,hangwè,hangwè,màmá,lawu,màmá
1,0.47160914588576197,1.1870344099879637,0.7154252641022018,hangwé,mbomo,mbomo,mamà,mbomo,kadji,kádʒì,kadi,hangwé,mamà,mwana,hangwé,kadi,zimi,ndomi,mbomo,mbomo,mamà,ndomi,mamà,mamà,mwana,kadi,mbomo,hangwé,kadi,hangwé,mwana,mwana,mwana,mbomo,kadji,kadi,zimi,màmá,hangwè,lawu,lawu,màmá,hangwè,màmá,màmá,màmá,hangwè,nyangwè,màmá,lawu,hangwè
2,0.4859258059413636,1.183713961070524,0.6977881551291605,mbomo,ndomi,kadji,ndomi,hangwé,hangwé,mbomo,zimi,kadi,mamà,mbomo,mwana,kadi,mbomo,mbomo,mamà,kádʒì,kadji,kadi,mwana,kadi,hangwé,zimi,hangwé,mwana,mwana,mamà,mamà,kadi,mwana,hangwé,mbomo,mamà,mbomo,hangwè,nyangwè,hangwè,màmá,lawu,màmá,màmá,lawu,màmá,hangwè,hangwè,màmá,lawu,màmá
3,0.24650241676060392,1.0012222780881772,0.7547198613275733,mbomo,mbomo,ndomi,mwana,mamà,hangwé,mwana,mamà,mwana,mamà,kadji,mbomo,kadi,kadi,kádʒì,ndomi,mbomo,mbomo,mamà,hangwé,hangwé,kadji,kadi,mwana,mbomo,hangwé,kadi,mbomo,zimi,kadi,mamà,mwana,zimi,hangwé,màmá,hangwè,hangwè,màmá,lawu,màmá,lawu,lawu,màmá,nyangwè,hangwè,màmá,màmá,hangwè
4,0.3552758992376883,1.1810877790842302,0.8258118798465419,mbomo,hangwé,mwana,mwana,mbomo,mwana,kadi,mamà,mamà,mwana,mwana,mbomo,ndomi,kadji,kadji,hangwé,kádʒì,mbomo,kadi,hangwé,ndomi,hangwé,mbomo,kadi,mbomo,mamà,mbomo,mamà,mamà,kadi,zimi,hangwé,kadi,zimi,hangwè,màmá,hangwè,lawu,màmá,màmá,lawu,hangwè,hangwè,nyangwè,màmá,lawu,màmá,màmá
5,0.34859837278124195,1.2658567518727373,0.9172583790914953,ndomi,kadji,zimi,mamà,mbomo,kadi,hangwé,mwana,kadi,mbomo,kádʒì,hangwé,ndomi,mamà,kadi,mbomo,zimi,kadi,hangwé,mwana,hangwé,mamà,mbomo,mwana,kadi,kadji,mamà,mamà,hangwé,mbomo,mwana,mwana,mbomo,mbomo,lawu,hangwè,màmá,hangwè,màmá,màmá,màmá,màmá,màmá,lawu,hangwè,hangwè,lawu,nyangwè
6,0.4492557107635765,1.2309316230479221,0.7816759122843456,hangwé,mwana,ndomi,kadji,mamà,mbomo,mamà,mbomo,kadi,mwana,hangwé,mamà,mamà,mbomo,mwana,mbomo,hangwé,mbomo,mbomo,mwana,kadi,kadi,ndomi,zimi,kadi,hangwé,kadi,mwana,hangwé,kádʒì,kadji,mamà,mbomo,zimi,hangwè,màmá,màmá,màmá,lawu,nyangwè,hangwè,hangwè,màmá,màmá,hangwè,lawu,màmá,lawu
7,0.4400908851422113,1.3355044630554667,0.8954135779132554,mamà,mbomo,kadji,mamà,zimi,mamà,hangwé,kadi,mwana,mwana,ndomi,mbomo,mwana,mbomo,mwana,kadi,zimi,hangwé,hangwé,hangwé,mbomo,kádʒì,mamà,kadi,kadi,kadji,mbomo,kadi,mbomo,mbomo,hangwé,mwana,mamà,ndomi,hangwè,nyangwè,lawu,hangwè,màmá,màmá,hangwè,màmá,hangwè,lawu,màmá,màmá,lawu,màmá
8,0.48895551705699025,1.2461452126358115,0.7571896955788212,mwana,zimi,mbomo,mwana,mbomo,mbomo,mbomo,mamà,hangwé,mbomo,mamà,kadji,ndomi,mbomo,kadi,kadi,kadi,mamà,hangwé,kadji,hangwé,ndomi,mbomo,mwana,mamà,hangwé,kádʒì,zimi,mwana,mwana,mamà,kadi,kadi,hangwé,màmá,màmá,hangwè,hangwè,màmá,lawu,màmá,hangwè,lawu,lawu,màmá,nyangwè,màmá,hangwè
9,0.6193483034005522,1.3099140078642553,0.690565704463703,mbomo,zimi,mbomo,zimi,mamà,hangwé,kadi,hangwé,mwana,mwana,kadji,ndomi,mbomo,mwana,kadi,kadji,kádʒì,kadi,mwana,ndomi,hangwé,kadi,mbomo,mamà,mbomo,kadi,mwana,mbomo,mamà,hangwé,mamà,mbomo,mamà,hangwé,màmá,hangwè,nyangwè,hangwè,lawu,màmá,lawu,hangwè,màmá,màmá,màmá,hangwè,lawu,màmá
