simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,feZ,fyZ,mFZS,mFZD,mMBD,fFZS,fMBS,fMZS,fFZD,fMBD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeD,mMByD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB
0,0.142583966204334,1.2949884483244205,1.1524044821200865,kogule,kogule,papa ruang,muge,kogule,kogule,kogule,kogule,kogule,muge,kogup,kogule,kogup,kogule,kogule,kogup,kogule,kogule,muge,kogule,kogup,muge,papa,kogule,kogup,kogup,muge,kogule,kogule,muge,muge,kogup,muge,kogule,kogule,kogup,kogup,kogule,kogule,muge,papa,kogup,papa,namo,nangan,nambura,nangan,namo,nambura,namo,tatah,nambura,namo,namo,nambura,namo,tatah,tatah,tatah
1,0.24895937378562238,1.0952733774372052,0.8463140036515828,kogule,muge,muge,muge,kogup,kogule,papa,kogup,kogup,kogule,muge,kogule,papa,kogup,papa ruang,kogup,kogule,muge,kogule,kogup,kogule,kogup,kogule,muge,kogule,kogule,muge,kogule,kogule,kogule,kogule,muge,kogule,papa,kogule,kogule,muge,kogup,kogup,kogule,kogule,kogup,kogule,tatah,nambura,nambura,tatah,nangan,nangan,tatah,namo,namo,nambura,namo,namo,namo,tatah,nambura,namo
2,0.3343287242518038,1.303072397206696,0.9687436729548922,kogup,kogule,kogup,kogup,kogule,muge,kogule,muge,kogule,kogup,kogule,kogule,muge,kogup,papa,kogule,muge,kogup,kogup,muge,kogule,muge,kogule,kogup,muge,kogule,kogule,kogule,papa ruang,muge,kogup,kogup,papa,kogule,kogule,kogule,kogule,kogule,kogule,kogule,papa,kogule,muge,namo,namo,tatah,nambura,namo,tatah,namo,namo,nambura,tatah,nangan,nambura,nangan,tatah,namo,nambura
3,0.24254704565110574,1.2357414870437706,0.9931944413926649,kogule,papa ruang,papa,kogule,kogule,muge,muge,kogule,kogup,kogule,kogup,kogule,kogup,muge,kogule,muge,kogule,kogup,kogule,kogule,kogule,kogup,muge,kogup,muge,kogup,kogule,kogule,kogule,kogup,kogule,kogup,muge,muge,kogup,papa,kogule,kogule,muge,papa,kogule,kogule,kogule,namo,tatah,namo,tatah,tatah,nambura,nambura,nambura,nangan,namo,tatah,nambura,namo,nangan,namo,namo
4,0.253880705102538,1.3321790402101223,1.0782983351075843,muge,kogule,kogup,kogule,kogule,kogule,kogup,kogup,kogule,kogule,kogule,kogule,kogule,kogup,muge,kogup,muge,muge,kogule,kogule,kogule,muge,muge,kogup,papa,kogule,kogup,kogup,kogule,kogule,papa,muge,kogup,papa,kogup,kogule,kogule,kogule,papa ruang,muge,kogule,muge,kogule,namo,tatah,namo,nangan,nambura,namo,nambura,nambura,tatah,namo,nambura,tatah,namo,namo,nangan,tatah
5,0.354691183862503,1.2105578441774711,0.8558666603149682,muge,kogule,kogup,kogule,kogule,kogup,muge,kogule,papa,kogule,muge,kogup,kogup,kogule,kogup,kogule,kogule,kogule,papa ruang,muge,kogup,muge,kogule,kogule,kogup,kogule,kogup,kogule,kogule,kogule,kogule,kogule,kogule,muge,kogup,papa,papa,muge,muge,kogule,muge,kogup,kogule,namo,namo,namo,tatah,tatah,nangan,namo,tatah,nambura,nangan,tatah,nambura,namo,nambura,nambura,namo
6,0.34820240167112104,1.2888100469859483,0.9406076453148272,kogup,kogule,kogup,kogule,muge,kogup,kogule,kogule,papa,kogule,kogule,papa ruang,kogup,kogule,kogule,muge,kogule,kogup,kogule,kogule,muge,papa,muge,kogule,kogule,kogup,kogule,kogup,muge,kogule,papa,muge,kogup,kogule,kogule,kogup,kogule,muge,kogule,muge,kogule,kogup,muge,namo,namo,nambura,tatah,namo,nambura,tatah,nambura,nambura,namo,namo,nangan,nangan,namo,tatah,tatah
7,0.07866132675474202,1.3512196258319578,1.2725582990772157,muge,kogule,muge,kogule,muge,kogule,kogule,kogule,kogup,kogup,kogup,kogule,kogule,kogule,kogule,kogup,kogup,kogup,kogule,kogule,papa ruang,kogup,muge,papa,kogule,kogule,muge,kogule,kogup,muge,kogup,papa,muge,kogule,kogule,kogup,papa,muge,kogule,kogule,kogule,muge,kogule,namo,tatah,nambura,nambura,tatah,namo,tatah,nangan,tatah,nambura,namo,namo,nangan,nambura,namo,namo
8,0.235699168883454,1.3672257205927163,1.1315265517092623,kogup,muge,papa,papa,kogup,kogule,kogule,kogule,kogule,kogule,kogule,kogup,kogule,kogule,kogup,kogup,kogup,muge,kogule,kogule,kogup,kogule,muge,kogule,kogup,kogule,kogule,kogule,muge,muge,muge,kogule,kogule,kogup,papa,kogup,muge,muge,muge,kogule,papa ruang,kogule,kogule,tatah,nambura,nangan,tatah,nambura,namo,nambura,tatah,namo,namo,namo,namo,tatah,namo,nangan,nambura
9,0.14698424246306496,1.34791009821198,1.200925855748915,kogule,kogup,kogule,kogule,kogup,kogule,kogup,kogule,muge,kogule,kogup,kogule,kogule,muge,kogule,kogule,kogup,muge,muge,kogule,kogup,kogule,kogule,papa ruang,papa,muge,kogule,kogule,muge,muge,muge,kogule,kogup,kogule,papa,kogup,kogup,muge,kogule,kogule,kogup,papa,kogule,namo,namo,nambura,namo,nambura,nambura,nangan,tatah,namo,nambura,tatah,namo,tatah,tatah,nangan,namo
