simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mFZ,mFeZ,mFyZ,fFZ,fFeZ,fFyZ,mF,mM,mMB,mMeB,mMyB,fF,fM,fMB,fMeB,fMyB,mMZ,mMeZ,mMyZ,fMZ,fMeZ,fMyZ
0,0.1825269661924196,1.5366490712429404,1.3541221050505208,maviēr,phupphēr,maviēr,phupphēr,masēr,maviēr,pitrēr,maviēr,bhrā,phupphēr,maviēr,pitrēr,masēr,masēr,phupphēr,masēr,phupphēr,masēr,maviēr,maviēr,pitrēr,pitrēr,phupphēr,masēr,masēr,maviēr,pitrēr,pitrēr,masēr,masēr,maviēr,maviēr,bhrā,phupphēr,pitrēr,bhéṇ,phupphēr,bhrā,phupphēr,pitrēr,bhrā,phupphēr,pitrēr,phupphēr,pitrēr,phupphēr,pitrēr,masēr,pitrēr,phupphēr,masēr,pitrēr,maviēr,bhéṇ,maviēr,maviēr,masēr,pitrēr,masēr,bhrā,masēr,maviēr,masēr,phupphēr,maviēr,pitrēr,pitrēr,maviēr,maviēr,pitrēr,phupphēr,bhéṇ,phupphēr,maviēr,bhrā,maviēr,phupphēr,masēr,pitrēr,maviēr,masēr,pitrēr,phupphēr,bhéṇ,phupphēr,bhéṇ,phupphēr,masēr,bhéṇ,masēr,māmā,māsī,māmā,māsī,phupphī,māmā,peō,phupphī,peō,māmā,mā,māsī,māsī,phupphī,māsī,māmā,mā,phupphī,māmā,phupphī,māsī,phupphī
1,0.1689609301664461,1.4651909613750254,1.2962300312085793,pitrēr,phupphēr,maviēr,pitrēr,phupphēr,pitrēr,pitrēr,phupphēr,masēr,bhéṇ,pitrēr,maviēr,phupphēr,bhrā,masēr,masēr,maviēr,bhéṇ,masēr,phupphēr,pitrēr,pitrēr,phupphēr,masēr,pitrēr,maviēr,pitrēr,maviēr,phupphēr,phupphēr,bhrā,maviēr,bhrā,phupphēr,maviēr,maviēr,maviēr,bhéṇ,masēr,masēr,pitrēr,maviēr,phupphēr,phupphēr,pitrēr,masēr,pitrēr,maviēr,masēr,pitrēr,masēr,bhéṇ,phupphēr,phupphēr,masēr,bhéṇ,maviēr,maviēr,pitrēr,masēr,phupphēr,phupphēr,masēr,pitrēr,phupphēr,masēr,phupphēr,masēr,phupphēr,bhrā,bhrā,masēr,maviēr,bhéṇ,maviēr,maviēr,maviēr,masēr,pitrēr,masēr,maviēr,pitrēr,pitrēr,phupphēr,maviēr,phupphēr,maviēr,bhrā,masēr,pitrēr,phupphī,mā,phupphī,phupphī,māmā,māmā,māsī,phupphī,māmā,mā,māsī,māsī,māsī,māsī,māmā,māsī,peō,peō,māmā,phupphī,māmā,phupphī
2,0.11417743653862211,1.5107834969429883,1.3966060604043662,masēr,phupphēr,maviēr,maviēr,pitrēr,maviēr,maviēr,pitrēr,phupphēr,pitrēr,pitrēr,masēr,phupphēr,phupphēr,bhéṇ,phupphēr,pitrēr,maviēr,bhrā,maviēr,phupphēr,pitrēr,phupphēr,phupphēr,masēr,pitrēr,masēr,bhrā,pitrēr,maviēr,pitrēr,masēr,maviēr,phupphēr,bhéṇ,pitrēr,pitrēr,phupphēr,masēr,bhrā,maviēr,pitrēr,pitrēr,phupphēr,masēr,maviēr,phupphēr,maviēr,bhéṇ,pitrēr,maviēr,bhéṇ,phupphēr,masēr,pitrēr,masēr,phupphēr,pitrēr,phupphēr,bhrā,maviēr,masēr,masēr,maviēr,maviēr,masēr,masēr,maviēr,masēr,pitrēr,phupphēr,bhéṇ,maviēr,masēr,masēr,maviēr,bhéṇ,phupphēr,masēr,maviēr,phupphēr,maviēr,pitrēr,phupphēr,bhrā,pitrēr,bhrā,masēr,phupphēr,masēr,phupphī,māmā,phupphī,phupphī,māsī,māsī,māmā,māsī,māmā,māmā,māmā,māsī,phupphī,māmā,phupphī,mā,peō,māsī,phupphī,mā,peō,māsī
3,0.15210387960943184,1.4464131264606834,1.2943092468512516,maviēr,phupphēr,masēr,maviēr,pitrēr,phupphēr,bhrā,masēr,phupphēr,phupphēr,masēr,bhrā,maviēr,masēr,maviēr,maviēr,masēr,maviēr,phupphēr,pitrēr,maviēr,phupphēr,maviēr,pitrēr,masēr,pitrēr,masēr,bhrā,pitrēr,phupphēr,pitrēr,phupphēr,phupphēr,masēr,phupphēr,bhéṇ,masēr,bhrā,phupphēr,maviēr,phupphēr,maviēr,pitrēr,phupphēr,bhéṇ,phupphēr,maviēr,maviēr,pitrēr,masēr,pitrēr,bhéṇ,masēr,masēr,masēr,pitrēr,pitrēr,phupphēr,pitrēr,maviēr,bhéṇ,bhéṇ,pitrēr,maviēr,masēr,pitrēr,pitrēr,phupphēr,masēr,bhrā,pitrēr,masēr,bhrā,maviēr,maviēr,maviēr,phupphēr,phupphēr,masēr,masēr,masēr,pitrēr,maviēr,bhéṇ,pitrēr,maviēr,pitrēr,phupphēr,maviēr,phupphēr,phupphī,phupphī,māmā,phupphī,phupphī,peō,phupphī,māsī,māsī,mā,māmā,mā,phupphī,māmā,māsī,peō,māsī,māmā,māsī,māmā,māsī,māmā
4,0.15180463916083498,1.511459878719785,1.35965523955895,pitrēr,masēr,masēr,pitrēr,maviēr,maviēr,maviēr,maviēr,phupphēr,pitrēr,masēr,pitrēr,bhrā,maviēr,maviēr,bhéṇ,masēr,phupphēr,masēr,pitrēr,phupphēr,phupphēr,maviēr,bhéṇ,phupphēr,maviēr,masēr,maviēr,maviēr,maviēr,phupphēr,phupphēr,bhéṇ,phupphēr,masēr,masēr,maviēr,phupphēr,masēr,pitrēr,pitrēr,maviēr,pitrēr,phupphēr,maviēr,pitrēr,phupphēr,phupphēr,bhrā,phupphēr,pitrēr,pitrēr,pitrēr,bhrā,pitrēr,pitrēr,masēr,phupphēr,phupphēr,phupphēr,bhrā,pitrēr,masēr,masēr,pitrēr,bhrā,bhéṇ,phupphēr,masēr,bhéṇ,pitrēr,masēr,masēr,maviēr,bhrā,pitrēr,masēr,masēr,pitrēr,maviēr,phupphēr,maviēr,phupphēr,bhéṇ,maviēr,maviēr,maviēr,masēr,phupphēr,masēr,māsī,māsī,māmā,māmā,phupphī,māsī,mā,māsī,mā,phupphī,peō,peō,māmā,māmā,māsī,phupphī,phupphī,māmā,phupphī,māmā,phupphī,māsī
5,0.19062169747793445,1.4716023189838392,1.2809806215059047,masēr,masēr,phupphēr,phupphēr,bhrā,pitrēr,masēr,pitrēr,maviēr,phupphēr,phupphēr,pitrēr,masēr,pitrēr,maviēr,phupphēr,masēr,phupphēr,bhrā,pitrēr,bhéṇ,masēr,maviēr,pitrēr,bhrā,pitrēr,maviēr,phupphēr,maviēr,masēr,phupphēr,bhéṇ,pitrēr,phupphēr,masēr,maviēr,pitrēr,phupphēr,bhrā,masēr,bhéṇ,bhrā,masēr,pitrēr,maviēr,phupphēr,maviēr,phupphēr,masēr,phupphēr,masēr,pitrēr,masēr,bhéṇ,pitrēr,maviēr,bhrā,pitrēr,phupphēr,bhéṇ,phupphēr,pitrēr,maviēr,phupphēr,masēr,phupphēr,phupphēr,bhéṇ,masēr,phupphēr,pitrēr,masēr,pitrēr,pitrēr,masēr,pitrēr,maviēr,maviēr,maviēr,maviēr,maviēr,masēr,maviēr,maviēr,maviēr,pitrēr,maviēr,masēr,maviēr,phupphēr,phupphī,phupphī,phupphī,phupphī,peō,mā,phupphī,māsī,māsī,māmā,māmā,māmā,māmā,māsī,māsī,phupphī,mā,māsī,māmā,māmā,peō,māsī
6,0.19851258078852996,1.4773477607728762,1.2788351799843463,maviēr,pitrēr,maviēr,masēr,pitrēr,phupphēr,pitrēr,pitrēr,phupphēr,bhrā,pitrēr,maviēr,bhéṇ,masēr,bhrā,bhéṇ,phupphēr,pitrēr,masēr,phupphēr,pitrēr,pitrēr,maviēr,maviēr,bhrā,maviēr,maviēr,pitrēr,masēr,bhéṇ,pitrēr,maviēr,masēr,maviēr,masēr,masēr,phupphēr,maviēr,maviēr,phupphēr,pitrēr,pitrēr,maviēr,pitrēr,masēr,pitrēr,bhrā,phupphēr,masēr,phupphēr,masēr,bhéṇ,maviēr,bhéṇ,bhéṇ,phupphēr,masēr,phupphēr,phupphēr,maviēr,phupphēr,maviēr,phupphēr,maviēr,masēr,pitrēr,masēr,phupphēr,pitrēr,maviēr,masēr,maviēr,pitrēr,bhrā,phupphēr,phupphēr,masēr,masēr,bhrā,phupphēr,masēr,phupphēr,maviēr,phupphēr,pitrēr,masēr,pitrēr,masēr,phupphēr,maviēr,māsī,māsī,phupphī,māsī,māmā,māmā,māmā,phupphī,peō,phupphī,mā,māmā,peō,phupphī,mā,māmā,māsī,māsī,phupphī,māsī,māmā,phupphī
7,0.21886356243567318,1.5044860575959695,1.2856224951602964,masēr,bhrā,masēr,masēr,bhéṇ,pitrēr,pitrēr,pitrēr,masēr,masēr,pitrēr,phupphēr,bhéṇ,phupphēr,bhrā,pitrēr,phupphēr,phupphēr,maviēr,pitrēr,maviēr,pitrēr,maviēr,pitrēr,maviēr,phupphēr,masēr,masēr,maviēr,pitrēr,bhrā,masēr,maviēr,pitrēr,masēr,bhéṇ,phupphēr,phupphēr,bhéṇ,masēr,pitrēr,masēr,phupphēr,phupphēr,maviēr,masēr,phupphēr,phupphēr,masēr,pitrēr,masēr,maviēr,bhrā,masēr,maviēr,maviēr,phupphēr,bhéṇ,masēr,pitrēr,maviēr,pitrēr,phupphēr,maviēr,phupphēr,masēr,bhrā,pitrēr,phupphēr,maviēr,phupphēr,phupphēr,phupphēr,phupphēr,masēr,pitrēr,pitrēr,maviēr,pitrēr,bhrā,phupphēr,bhéṇ,maviēr,masēr,maviēr,maviēr,pitrēr,maviēr,maviēr,maviēr,phupphī,mā,phupphī,peō,māsī,phupphī,māsī,māsī,māmā,phupphī,peō,māmā,phupphī,māsī,māmā,phupphī,māsī,māsī,māmā,mā,māmā,māmā
8,0.17582539156777144,1.5371433126646408,1.3613179210968693,pitrēr,phupphēr,masēr,masēr,pitrēr,masēr,pitrēr,maviēr,maviēr,phupphēr,maviēr,phupphēr,bhrā,pitrēr,maviēr,masēr,masēr,phupphēr,phupphēr,bhéṇ,masēr,masēr,phupphēr,bhéṇ,maviēr,bhéṇ,pitrēr,masēr,maviēr,maviēr,masēr,maviēr,pitrēr,phupphēr,bhrā,pitrēr,maviēr,maviēr,maviēr,pitrēr,phupphēr,phupphēr,phupphēr,masēr,masēr,pitrēr,maviēr,phupphēr,maviēr,masēr,pitrēr,pitrēr,pitrēr,phupphēr,maviēr,pitrēr,maviēr,pitrēr,bhrā,masēr,bhéṇ,masēr,phupphēr,pitrēr,maviēr,pitrēr,pitrēr,phupphēr,phupphēr,maviēr,masēr,maviēr,pitrēr,phupphēr,masēr,phupphēr,pitrēr,masēr,bhrā,bhéṇ,maviēr,bhrā,bhéṇ,phupphēr,phupphēr,masēr,maviēr,bhrā,phupphēr,masēr,phupphī,phupphī,phupphī,māsī,māsī,phupphī,peō,māmā,māmā,māmā,māsī,māsī,phupphī,peō,māsī,phupphī,māmā,māmā,māsī,mā,māmā,mā
9,0.15151405358109704,1.4651909613750251,1.313676907793928,bhrā,bhéṇ,phupphēr,phupphēr,masēr,maviēr,pitrēr,maviēr,pitrēr,bhrā,masēr,masēr,phupphēr,phupphēr,maviēr,bhrā,maviēr,phupphēr,pitrēr,phupphēr,maviēr,maviēr,maviēr,phupphēr,masēr,pitrēr,phupphēr,pitrēr,pitrēr,pitrēr,phupphēr,masēr,maviēr,bhéṇ,phupphēr,maviēr,pitrēr,pitrēr,masēr,masēr,phupphēr,bhéṇ,phupphēr,pitrēr,masēr,bhéṇ,bhéṇ,masēr,masēr,masēr,masēr,phupphēr,pitrēr,maviēr,phupphēr,masēr,phupphēr,masēr,pitrēr,masēr,maviēr,pitrēr,phupphēr,masēr,bhrā,maviēr,masēr,pitrēr,phupphēr,phupphēr,maviēr,maviēr,bhrā,pitrēr,pitrēr,phupphēr,masēr,pitrēr,pitrēr,maviēr,maviēr,maviēr,bhrā,maviēr,phupphēr,bhéṇ,maviēr,pitrēr,masēr,maviēr,phupphī,māmā,phupphī,mā,mā,phupphī,phupphī,phupphī,māmā,peō,māsī,māsī,māsī,māsī,māmā,peō,māsī,māmā,māmā,phupphī,māsī,māmā
