simulation_number,mutual_information,entropy,conditional_entropy,mFZ,mMB,mFeZ,mFyZ,mMeB,mMyB
0,NA,NA,NA,woto,kiva,woto,kiva,woto,kiva
1,NA,NA,NA,kiva,kiva,woto,kiva,woto,woto
2,NA,NA,NA,woto,kiva,kiva,kiva,woto,woto
3,NA,NA,NA,woto,woto,kiva,kiva,kiva,woto
4,NA,NA,NA,woto,kiva,kiva,woto,woto,kiva
5,NA,NA,NA,woto,kiva,woto,woto,kiva,kiva
6,NA,NA,NA,kiva,woto,kiva,woto,woto,kiva
7,NA,NA,NA,kiva,kiva,kiva,woto,woto,woto
8,NA,NA,NA,kiva,kiva,woto,kiva,woto,woto
9,NA,NA,NA,woto,kiva,kiva,woto,woto,kiva
