simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,meZ,feZ,mB,fB,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mMeZ,mMyZ,mMeB,mMyB,mFeZ,mFyZ,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fMeZ,fMyZ,fMeB,fMyB,fFeZ,fFyZ
0,0.29778486083568767,2.098627075100911,1.8008422142652232,mtani,mtani,mtani,mtani,lumbu,mtani,mtani,mtani,mtani,mtani,sekulu,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,ndugu,mtani,mtani,mtani,mtani,muari,sekulu,mtani,mtani,mtani,mtani,mtani,mtani,mdodo,mtani,mtani,mtani,mdodo,mama,mama mdodo,tata,mama mdodo,tata mdodo,mama sangazi,mtumba mkulu,mama mkulu,mama sangazi,tata mkulu,mama,tata,tata,mama,mama mkulu,mama sangazi,mama sangazi,mtumba mkulu,mtumba mdodo,mtumba,tata,mtumba,mama,tata mdodo,mama sangazi,tata mkulu,mama sangazi,mtumba mdodo
1,0.25843380460366383,1.9471710020263382,1.6887371974226744,mtani,mtani,mtani,ndugu,mtani,mtani,mtani,sekulu,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mdodo,lumbu,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mdodo,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,sekulu,muari,mama sangazi,mama sangazi,tata,tata mkulu,tata mdodo,mama sangazi,tata,mtumba mkulu,mtumba mkulu,tata,mama,mama,mama mdodo,mama mkulu,mama sangazi,mama,mtumba mdodo,tata mdodo,mtumba,mama sangazi,tata mkulu,mtumba mdodo,mtumba,mama mkulu,tata,mama,mama sangazi,mama mdodo
2,0.2501546233970737,1.9856071297550866,1.7354525063580128,mtani,mtani,mtani,mtani,mtani,mtani,mdodo,ndugu,mtani,mtani,mtani,sekulu,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mdodo,mtani,muari,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,sekulu,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,lumbu,mtani,mtani,mtani,mtani,mtani,mtumba,mtumba mkulu,mama sangazi,mama mkulu,mama,mtumba mkulu,tata mdodo,mtumba mdodo,mama sangazi,mama sangazi,tata,mama,mama sangazi,tata,tata,tata,tata mkulu,tata mkulu,mama mkulu,mama mdodo,mama mdodo,mtumba mdodo,mama sangazi,mama,mama sangazi,tata mdodo,mtumba,mama
3,0.3258176496575622,2.2000306239890515,1.8742129743314893,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,muari,sekulu,ndugu,mtani,mtani,mtani,mtani,sekulu,mtani,mtani,mtani,mtani,mdodo,mtani,mtani,mdodo,lumbu,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtumba,tata,mama sangazi,mama mkulu,mama sangazi,tata mkulu,mama sangazi,mama,mtumba mkulu,tata,mama,tata,tata mdodo,mama mdodo,mama mdodo,mama sangazi,tata,mtumba,mtumba mkulu,mama,mama mkulu,mama,tata mdodo,mama sangazi,mtumba mdodo,mama sangazi,mtumba mdodo,tata mkulu
4,0.2283608556523431,1.8346595883343046,1.6062987326819615,mtani,mtani,sekulu,mtani,mtani,muari,mtani,mdodo,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,ndugu,mtani,mtani,mtani,lumbu,mtani,mdodo,mtani,mtani,mtani,mtani,mtani,sekulu,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mama mdodo,mama sangazi,mama mkulu,mama sangazi,mama sangazi,mtumba mkulu,mama,mtumba mdodo,mama,tata,mtumba,mama sangazi,mama,tata mkulu,mtumba mkulu,mama sangazi,mama mkulu,mama,tata mdodo,tata,mtumba mdodo,mtumba,mama sangazi,tata,tata mkulu,tata mdodo,mama mdodo,tata
5,0.26825931798591585,2.0865178202898274,1.8182585023039115,mtani,mtani,mdodo,mtani,lumbu,mtani,muari,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,sekulu,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,sekulu,mtani,mtani,mtani,mtani,mtani,mtani,mtani,ndugu,mtani,mdodo,mtani,mtani,mtani,mama,mama mkulu,tata mkulu,mama sangazi,mtumba mdodo,mama,tata,mtumba,mtumba,mama,tata mkulu,mtumba mdodo,mama sangazi,tata mdodo,mtumba mkulu,tata,mama sangazi,mama mkulu,mama mdodo,mama sangazi,mama sangazi,tata,mama mdodo,mtumba mkulu,mama,mama sangazi,tata mdodo,tata
6,0.24133926508621584,1.9619612204991237,1.7206219554129079,mtani,mtani,mtani,ndugu,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,sekulu,mtani,mdodo,mtani,mtani,lumbu,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,sekulu,mtani,mtani,mtani,mtani,mtani,mdodo,mtani,mtani,mtani,mtani,mtani,mtani,muari,mtani,mtani,mtani,mama mdodo,mama mkulu,mtumba mdodo,mama,tata,tata,mtumba mkulu,mama sangazi,mama mdodo,mama sangazi,mama sangazi,mama,mama mkulu,mama sangazi,mtumba mdodo,tata mkulu,tata mkulu,mama,mtumba,tata mdodo,mama sangazi,mtumba mkulu,mtumba,mama sangazi,tata,tata mdodo,tata,mama
7,0.243658037087072,2.067720709416244,1.824062672329172,mtani,mdodo,mtani,mtani,ndugu,mtani,mtani,mtani,mtani,mtani,mtani,sekulu,muari,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,sekulu,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,lumbu,mdodo,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtumba,mama,tata,mama,mama sangazi,tata mdodo,mama mkulu,mama sangazi,tata mkulu,tata mkulu,mama sangazi,mtumba,mama sangazi,mama mdodo,tata,mama sangazi,mama,tata,mtumba mkulu,mama mdodo,tata,mtumba mkulu,mama,mama sangazi,mtumba mdodo,mama mkulu,mtumba mdodo,tata mdodo
8,0.29477431095218365,1.959722843972837,1.6649485330206533,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,sekulu,mtani,mdodo,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,muari,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mdodo,mtani,mtani,mtani,mtani,lumbu,ndugu,mtani,sekulu,mtani,mtani,mtani,mtani,mtani,mama sangazi,mama sangazi,mtumba mkulu,tata mdodo,mama,mtumba mdodo,mtumba mkulu,mama,tata,mtumba mdodo,mama mdodo,mtumba,mama sangazi,mama mkulu,tata mdodo,tata mkulu,mama,mama mkulu,mtumba,mama sangazi,tata,tata,mama mdodo,mama sangazi,tata,tata mkulu,mama sangazi,mama
9,0.33262952807574964,2.0167603347298546,1.684130806654105,muari,mtani,mtani,sekulu,mtani,sekulu,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,lumbu,mtani,mtani,mtani,mtani,mtani,mtani,mdodo,mtani,mtani,mtani,mtani,mtani,mtani,mdodo,mtani,mtani,mtani,mtani,mtani,mtani,ndugu,mtani,mtani,mtumba,mama mdodo,mama sangazi,mama sangazi,mama mkulu,mama sangazi,mama sangazi,mtumba mdodo,tata mkulu,tata,mama,mtumba mkulu,mtumba mdodo,mtumba mkulu,tata mdodo,mama mdodo,mtumba,mama,mama,mama,tata mkulu,tata,tata,tata mdodo,mama mkulu,mama sangazi,tata,mama sangazi
