simulation_number,mutual_information,entropy,conditional_entropy,mMZD,mFZS,mMBS,mMZS,mFeZS,mFyZS,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFZeS,mFZyS,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fMBD,fMZD,fFZS,fMBS,fMZS,fFeZS,fFyZS,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFZeS,fFZyS,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,meB,myB,mFZD,mFBD,mFBS,mFeBS,mFyBS,mFeBD,mFyBD,mFeZD,mFyZD,mFBeS,mFByS,mFBeD,mFByD,mFZeD,mFZyD,fB,feB,fyB,fFZD,fFBD,fFBS,fFeBS,fFyBS,fFeBD,fFeZD,fFyZD,fFBeS,fFByS,fFBeD,fFByD,fFZeD,fFZyD,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.05775562983336924,1.545790356425342,1.4880347265919727,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,braθ,braθ,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,naxozatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,naxozatk,naxozatk,braθ,naxozatk,trizatk,braθ,trizatk,trizatk,naxozatk,naxozatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,braθ,trizatk,naxozatk,trizatk,trizatk,braθ,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,naxozatk,trizatk,trizatk,naxozatk,pupu,mama,mama,mama,masi,mama,masi,maθ,baba,mama,masi,pupu,baba,baba,maθ,baba,baba,mama,pupu,pupu,baba,masi,pupu,masi,masi,pupu
1,0.03948050919784385,1.5545874213266502,1.5151069121288063,trizatk,naxozatk,trizatk,trizatk,naxozatk,naxozatk,trizatk,naxozatk,braθ,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,naxozatk,trizatk,trizatk,braθ,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,braθ,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,naxozatk,braθ,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,naxozatk,trizatk,naxozatk,trizatk,trizatk,trizatk,braθ,trizatk,trizatk,braθ,trizatk,trizatk,naxozatk,trizatk,trizatk,naxozatk,trizatk,trizatk,baba,maθ,pupu,pupu,pupu,mama,pupu,masi,masi,baba,masi,baba,maθ,masi,masi,mama,mama,mama,mama,pupu,baba,baba,masi,mama,baba,pupu
2,0.03364683271507252,1.5251607359245758,1.4915139032095033,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,braθ,trizatk,naxozatk,naxozatk,naxozatk,trizatk,trizatk,braθ,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,braθ,trizatk,naxozatk,naxozatk,naxozatk,naxozatk,trizatk,braθ,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,braθ,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,naxozatk,braθ,trizatk,naxozatk,trizatk,masi,pupu,baba,pupu,pupu,baba,pupu,baba,pupu,mama,masi,baba,maθ,baba,mama,mama,masi,mama,mama,pupu,masi,baba,mama,maθ,masi,masi
3,0.12118867803297428,1.5545874213266502,1.433398743293676,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,braθ,trizatk,trizatk,naxozatk,trizatk,trizatk,naxozatk,naxozatk,trizatk,trizatk,trizatk,naxozatk,trizatk,naxozatk,trizatk,naxozatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,braθ,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,naxozatk,braθ,trizatk,trizatk,trizatk,naxozatk,braθ,trizatk,naxozatk,naxozatk,naxozatk,trizatk,trizatk,braθ,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,braθ,baba,pupu,pupu,mama,mama,masi,mama,masi,baba,masi,mama,pupu,masi,baba,maθ,baba,pupu,mama,masi,mama,masi,baba,pupu,maθ,pupu,baba
4,0.046395853999711134,1.5466470121486489,1.5002511581489377,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,braθ,naxozatk,trizatk,trizatk,braθ,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,braθ,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,braθ,naxozatk,naxozatk,naxozatk,trizatk,naxozatk,naxozatk,trizatk,naxozatk,trizatk,naxozatk,naxozatk,trizatk,braθ,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,naxozatk,naxozatk,trizatk,trizatk,braθ,trizatk,naxozatk,naxozatk,trizatk,pupu,masi,pupu,maθ,pupu,masi,mama,masi,masi,baba,pupu,baba,mama,masi,mama,pupu,mama,baba,pupu,baba,baba,mama,maθ,mama,masi,baba
5,0.043200233600062976,1.5812318529009879,1.538031619300925,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,naxozatk,braθ,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,naxozatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,braθ,naxozatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,naxozatk,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,braθ,trizatk,trizatk,trizatk,braθ,naxozatk,trizatk,trizatk,braθ,trizatk,naxozatk,trizatk,braθ,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,naxozatk,naxozatk,naxozatk,trizatk,trizatk,trizatk,pupu,mama,baba,maθ,pupu,baba,baba,pupu,masi,mama,mama,pupu,masi,masi,mama,masi,maθ,masi,pupu,mama,masi,baba,mama,baba,baba,pupu
6,0.06754333573973859,1.52460802219722,1.4570646864574814,trizatk,trizatk,trizatk,naxozatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,naxozatk,trizatk,trizatk,braθ,braθ,trizatk,trizatk,naxozatk,trizatk,trizatk,naxozatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,braθ,trizatk,trizatk,trizatk,naxozatk,trizatk,naxozatk,trizatk,trizatk,trizatk,naxozatk,trizatk,naxozatk,trizatk,naxozatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,naxozatk,naxozatk,trizatk,trizatk,braθ,braθ,braθ,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,naxozatk,maθ,mama,mama,masi,pupu,maθ,pupu,baba,baba,mama,mama,baba,masi,pupu,baba,pupu,mama,masi,pupu,baba,masi,mama,baba,masi,masi,pupu
7,0.04563366287356163,1.5572074179842654,1.5115737551107038,trizatk,naxozatk,trizatk,trizatk,braθ,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,naxozatk,naxozatk,trizatk,braθ,trizatk,braθ,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,naxozatk,naxozatk,braθ,trizatk,naxozatk,naxozatk,trizatk,trizatk,braθ,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,naxozatk,naxozatk,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,naxozatk,trizatk,naxozatk,trizatk,naxozatk,trizatk,braθ,trizatk,trizatk,trizatk,baba,masi,baba,baba,mama,maθ,pupu,masi,mama,pupu,masi,mama,mama,masi,baba,masi,maθ,mama,baba,masi,baba,pupu,pupu,pupu,pupu,mama
8,0.02890058891256042,1.520603720902348,1.4917031319897875,naxozatk,trizatk,trizatk,naxozatk,naxozatk,trizatk,trizatk,braθ,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,naxozatk,trizatk,naxozatk,trizatk,naxozatk,naxozatk,trizatk,trizatk,naxozatk,naxozatk,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,naxozatk,braθ,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,braθ,trizatk,braθ,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,braθ,trizatk,trizatk,trizatk,naxozatk,naxozatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,naxozatk,trizatk,braθ,trizatk,baba,baba,pupu,pupu,baba,masi,masi,maθ,mama,masi,masi,maθ,baba,mama,baba,masi,pupu,mama,mama,masi,pupu,baba,mama,pupu,pupu,mama
9,0.10849947171185348,1.5265546057293533,1.4180551340174998,naxozatk,trizatk,trizatk,naxozatk,trizatk,trizatk,braθ,naxozatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,braθ,trizatk,trizatk,trizatk,trizatk,trizatk,braθ,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,naxozatk,braθ,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,naxozatk,trizatk,braθ,trizatk,trizatk,trizatk,trizatk,naxozatk,naxozatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,naxozatk,trizatk,trizatk,naxozatk,trizatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,naxozatk,trizatk,trizatk,trizatk,naxozatk,naxozatk,trizatk,trizatk,braθ,trizatk,trizatk,mama,masi,pupu,masi,pupu,baba,masi,masi,baba,maθ,pupu,baba,pupu,baba,mama,baba,pupu,baba,mama,masi,mama,mama,masi,mama,pupu,maθ
