simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM
0,0.08878194993480426,0.6829081047004717,0.5941261547656674,néna,wòbia,wòbia,néna,wòbia,wòbia,néna,nima,nima,nowa,nowa
1,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,néna,wòbia,wòbia,wòbia,néna,néna,wòbia,nowa,nima,nima,nowa
2,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,wòbia,wòbia,wòbia,néna,néna,néna,wòbia,nima,nowa,nima,nowa
3,0.014032215111297486,0.6829081047004717,0.6688758895891742,néna,wòbia,néna,wòbia,wòbia,wòbia,néna,nima,nima,nowa,nowa
4,0.08878194993480426,0.6829081047004717,0.5941261547656674,néna,néna,wòbia,wòbia,néna,wòbia,wòbia,nima,nima,nowa,nowa
5,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,wòbia,wòbia,néna,néna,wòbia,néna,wòbia,nima,nowa,nima,nowa
6,0.08878194993480426,0.6829081047004717,0.5941261547656674,néna,néna,wòbia,wòbia,néna,wòbia,wòbia,nima,nima,nowa,nowa
7,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,wòbia,wòbia,wòbia,wòbia,néna,néna,néna,nowa,nima,nima,nowa
8,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,wòbia,néna,wòbia,néna,néna,wòbia,wòbia,nima,nowa,nowa,nima
9,0.36157373634686696,0.6829081047004717,0.32133436835360474,wòbia,wòbia,néna,wòbia,wòbia,néna,néna,nima,nima,nowa,nowa
