simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mFZD,mMBD,fFZS,fMBS,fFZD,fMBD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.2498411421383202,1.3680829237577115,1.1182417816193913,natök,tate,tate,natök,vavwe,söghösök,tate,tate,natök,natök,tisuk,natök,natök,natök,vavwe,vavwe,natök,natök,tate,tate,natök,tate,lelei,natök,tisuk waven,vavwe,söghösök,vavwe,natök,natök,vavwe,natök,söghösök dövat,vavwe,vavwe,natök,natök,vavwe,natök,tate,natök,tate,söghösök dövat,natök,tate,natök,vavwe,vavwe,tate,"pepe, wunei",bini,vavwe,tate,tate,vavwe,tate,tate,bini,"pepe, wunei",bini,"pepe, wunei",bini,"pepe, wunei","pepe, wunei",vavwe,"pepe, wunei",tate
1,0.4717108492223886,1.3608557628200932,0.8891449135977046,söghösök dövat,vavwe,natök,natök,tate,natök,vavwe,natök,söghösök,vavwe,natök,natök,tate,vavwe,vavwe,natök,natök,natök,vavwe,söghösök,tate,natök,vavwe,natök,tate,vavwe,tate,natök,tisuk,natök,natök,tisuk waven,natök,vavwe,natök,tate,tate,lelei,tate,natök,vavwe,tate,natök,natök,natök,tate,söghösök dövat,bini,bini,"pepe, wunei",tate,tate,vavwe,vavwe,vavwe,vavwe,tate,"pepe, wunei",tate,bini,"pepe, wunei","pepe, wunei",tate,tate,bini,"pepe, wunei","pepe, wunei"
2,0.16226407439502677,1.3508553547702085,1.1885912803751817,tate,natök,natök,natök,vavwe,söghösök,tate,natök,söghösök dövat,tate,tate,natök,tate,lelei,natök,söghösök dövat,natök,vavwe,tate,natök,natök,vavwe,natök,natök,tate,vavwe,vavwe,vavwe,natök,vavwe,natök,vavwe,natök,natök,vavwe,natök,tate,tate,natök,natök,vavwe,söghösök,tisuk waven,tate,tisuk,natök,natök,"pepe, wunei",tate,tate,bini,tate,"pepe, wunei","pepe, wunei",bini,tate,vavwe,vavwe,bini,vavwe,tate,tate,bini,"pepe, wunei",vavwe,"pepe, wunei","pepe, wunei"
3,0.2706339912648559,1.3680829237577115,1.0974489324928556,tate,natök,tate,natök,vavwe,tisuk waven,natök,natök,vavwe,söghösök dövat,natök,tate,tate,natök,söghösök dövat,natök,natök,söghösök,tate,natök,lelei,natök,vavwe,vavwe,tisuk,natök,tate,natök,natök,tate,tate,natök,vavwe,söghösök,natök,vavwe,vavwe,vavwe,natök,natök,vavwe,vavwe,tate,natök,natök,natök,tate,bini,"pepe, wunei",tate,bini,"pepe, wunei",tate,"pepe, wunei",vavwe,tate,vavwe,tate,bini,bini,"pepe, wunei",tate,vavwe,"pepe, wunei",vavwe,"pepe, wunei",tate
4,0.10515544128418552,1.3512571681030596,1.246101726818874,natök,vavwe,natök,natök,tate,natök,vavwe,vavwe,natök,tisuk waven,natök,natök,natök,vavwe,söghösök,natök,tate,vavwe,natök,natök,natök,natök,natök,lelei,natök,vavwe,vavwe,tate,tate,vavwe,natök,natök,söghösök dövat,natök,tate,söghösök dövat,tate,tate,natök,tate,natök,vavwe,vavwe,tate,söghösök,tate,tisuk,"pepe, wunei","pepe, wunei",bini,vavwe,vavwe,bini,tate,bini,tate,tate,"pepe, wunei",bini,"pepe, wunei",tate,"pepe, wunei","pepe, wunei",tate,vavwe,tate,vavwe
5,0.12314996072807949,1.3508553547702085,1.227705394042129,vavwe,tisuk,tate,natök,natök,natök,vavwe,natök,vavwe,söghösök,söghösök dövat,tate,natök,natök,söghösök dövat,natök,tate,tate,natök,natök,vavwe,tate,natök,tisuk waven,lelei,natök,söghösök,vavwe,tate,natök,natök,tate,tate,natök,natök,natök,natök,vavwe,tate,vavwe,natök,natök,vavwe,natök,tate,vavwe,vavwe,"pepe, wunei",bini,tate,bini,tate,tate,bini,tate,vavwe,vavwe,"pepe, wunei",vavwe,tate,"pepe, wunei",tate,vavwe,"pepe, wunei",bini,"pepe, wunei","pepe, wunei"
6,0.10098209754595766,1.2827201270842603,1.1817380295383026,tate,tate,vavwe,natök,natök,natök,tisuk waven,natök,vavwe,tate,vavwe,vavwe,natök,vavwe,söghösök dövat,vavwe,tate,natök,tate,tate,natök,natök,natök,natök,natök,tisuk,söghösök,söghösök,natök,tate,natök,vavwe,vavwe,natök,natök,tate,vavwe,tate,vavwe,lelei,natök,natök,söghösök dövat,natök,tate,natök,natök,vavwe,"pepe, wunei",tate,bini,vavwe,tate,"pepe, wunei","pepe, wunei",tate,tate,tate,bini,vavwe,"pepe, wunei",bini,tate,bini,"pepe, wunei",vavwe,"pepe, wunei"
7,0.21753080485930387,1.2571090926788262,1.0395782878195223,tisuk,tate,tate,vavwe,natök,natök,tisuk waven,söghösök,natök,natök,natök,vavwe,natök,tate,natök,söghösök,natök,natök,tate,vavwe,tate,tate,tate,natök,natök,natök,lelei,vavwe,söghösök dövat,vavwe,vavwe,söghösök dövat,natök,natök,vavwe,natök,natök,vavwe,natök,natök,natök,tate,tate,tate,vavwe,natök,vavwe,tate,vavwe,tate,"pepe, wunei","pepe, wunei","pepe, wunei",bini,tate,bini,tate,tate,vavwe,vavwe,bini,bini,"pepe, wunei",tate,"pepe, wunei",vavwe,"pepe, wunei"
8,0.24986962276307478,1.3680829237577115,1.1182133009946367,natök,tate,söghösök,tate,tate,natök,vavwe,natök,vavwe,tisuk waven,tate,vavwe,natök,natök,söghösök dövat,vavwe,natök,vavwe,natök,tate,natök,natök,tate,tisuk,natök,tate,natök,natök,natök,tate,natök,vavwe,vavwe,natök,söghösök dövat,lelei,natök,natök,natök,tate,vavwe,vavwe,tate,natök,söghösök,natök,vavwe,vavwe,tate,vavwe,bini,"pepe, wunei",bini,tate,bini,vavwe,tate,vavwe,"pepe, wunei",tate,"pepe, wunei","pepe, wunei","pepe, wunei","pepe, wunei",tate,bini,tate
9,0.3707907988880518,1.3680829237577115,0.9972921248696597,natök,natök,tate,natök,natök,tate,tate,natök,tate,natök,lelei,natök,tate,natök,natök,vavwe,natök,tisuk waven,tate,vavwe,natök,natök,vavwe,söghösök dövat,söghösök dövat,tate,natök,vavwe,natök,vavwe,vavwe,tisuk,natök,natök,söghösök,vavwe,tate,vavwe,natök,söghösök,tate,natök,tate,natök,natök,vavwe,vavwe,bini,bini,"pepe, wunei",vavwe,"pepe, wunei",vavwe,bini,vavwe,"pepe, wunei","pepe, wunei",vavwe,bini,tate,tate,tate,tate,tate,tate,"pepe, wunei","pepe, wunei"
