simulation_number,mutual_information,entropy,conditional_entropy,mFBeD,mMZeD,mFZeD,mFZeS,mFZyD,mFZyS,mMBeS,fMBeS,mMByS,fMByS,mMBeD,fMBeD,mMByD,fMByD,myB,mFByS,mMZyS,fyZ,mFByD,fFByD,fMZyD,fMZeD,myZ,mMZyD,fFBeD,feZ,meB,feB,mFBeS,fFBeS,fFZeD,fFZyD,mMZeS,fFZeS,fFZyS,fyB,fMZyS,fFByS,mF,fF,mFeB,mFyB,fFeB,fFyB,mMeB,mMyB,fMeB,fMyB,mM,fM,mMeZ,mMyZ,fMeZ,fMyZ,mFeZ,mFyZ,fFeZ,fFyZ
0,0.20218548540814574,0.5982695885852573,0.3960841031771115,heen-tänʼ-ga,hee-yeʼ-nä,hin-tose-kee-me,e-chunʼ-che,heen-tauʼ-gǎ,hin-teseʼ-kee,heen-tänʼ-gǎ,he-neʼ-cha,heen-thunʼ-ga,he-yeʼ-nä,hee-yeʼ-nä,he-neʼ-cha,e-chunʼ-cha,hin-chäʼ-kä,heʼ-nah,heen-tangʼ-a,hin-chäʼ-kä,hin-toseʼ-kee,heen-tauʼ-gǎ,heen-thunʼ-ga,wau-heʼ-cha,heʼ-nah,hee-yeʼ-nä,hin-chäʼ-kä,wau-heʼ-cha,he-yun̤ʼ-ga,hee-yeʼ-nä,heen-tänʼ-gǎ,hin-toseʼ-kee-me,hin-chäʼ-kä,heen-tängʼ-a,heʼ-nah,heen-thunʼ-ga,heen-tan̤ʼ-gǎ,heʼ-nah,heen-tan̤ʼ-gǎ,e-chunʼ-che,he-yun̤ʼ-ga,heʼ-nah,e-tǔʼ-me,e-tǔʼ-me,hin-chaʼ-kä,hinʼ-kä,heʼ-nah,e-tǔʼ-me,hinʼ-kä,hinʼ-kä,hinʼ-kä,heʼ-nah,heʼ-nah,heʼ-nah,hinʼ-kä,hin-chaʼ-kä,hin-chaʼ-kä,hin-chaʼ-kä,heʼ-nah,e-tǔʼ-me,hinʼ-kä
1,0.24243302655595833,1.0346012329101812,0.7921682063542229,heen-tänʼ-ga,heen-thunʼ-ga,heen-tänʼ-gǎ,e-chunʼ-che,he-yun̤ʼ-ga,heen-thunʼ-ga,heen-tan̤ʼ-gǎ,e-chunʼ-cha,hee-yeʼ-nä,heen-tänʼ-gǎ,heʼ-nah,heen-tangʼ-a,hin-chäʼ-kä,heen-tauʼ-gǎ,he-yeʼ-nä,he-yun̤ʼ-ga,hin-chäʼ-kä,heen-tängʼ-a,hin-toseʼ-kee,wau-heʼ-cha,heen-tauʼ-gǎ,heen-thunʼ-ga,hin-chäʼ-kä,hee-yeʼ-nä,heʼ-nah,hee-yeʼ-nä,hee-yeʼ-nä,e-chunʼ-che,wau-heʼ-cha,heʼ-nah,hin-chäʼ-kä,he-neʼ-cha,hin-teseʼ-kee,heʼ-nah,heen-tan̤ʼ-gǎ,he-neʼ-cha,hin-toseʼ-kee-me,hin-tose-kee-me,hin-chaʼ-kä,heʼ-nah,hinʼ-kä,e-tǔʼ-me,e-tǔʼ-me,heʼ-nah,hinʼ-kä,heʼ-nah,heʼ-nah,hin-chaʼ-kä,hinʼ-kä,hinʼ-kä,hin-chaʼ-kä,e-tǔʼ-me,heʼ-nah,heʼ-nah,hinʼ-kä,hinʼ-kä,e-tǔʼ-me,hin-chaʼ-kä
2,0.6829081047004717,1.0789922078775833,0.39608410317711157,he-yeʼ-nä,e-chunʼ-cha,he-yun̤ʼ-ga,heʼ-nah,heen-thunʼ-ga,hee-yeʼ-nä,he-yun̤ʼ-ga,hee-yeʼ-nä,hin-toseʼ-kee-me,hin-chäʼ-kä,hin-toseʼ-kee,hin-chäʼ-kä,he-neʼ-cha,he-neʼ-cha,heʼ-nah,heʼ-nah,wau-heʼ-cha,heen-tan̤ʼ-gǎ,hin-chäʼ-kä,heen-tauʼ-gǎ,e-chunʼ-che,hee-yeʼ-nä,hin-chäʼ-kä,heen-tänʼ-ga,hin-tose-kee-me,heen-tan̤ʼ-gǎ,heen-thunʼ-ga,hee-yeʼ-nä,heen-tauʼ-gǎ,heen-tangʼ-a,heen-tängʼ-a,heen-tänʼ-gǎ,e-chunʼ-che,heʼ-nah,heen-thunʼ-ga,heen-tänʼ-gǎ,wau-heʼ-cha,hin-teseʼ-kee,hinʼ-kä,e-tǔʼ-me,hinʼ-kä,hinʼ-kä,heʼ-nah,hinʼ-kä,heʼ-nah,hinʼ-kä,heʼ-nah,heʼ-nah,hinʼ-kä,hin-chaʼ-kä,heʼ-nah,e-tǔʼ-me,e-tǔʼ-me,e-tǔʼ-me,hin-chaʼ-kä,hin-chaʼ-kä,hin-chaʼ-kä,heʼ-nah
3,0.6829081047004718,1.0789922078775833,0.3960841031771115,e-chunʼ-cha,hin-chäʼ-kä,heen-thunʼ-ga,heʼ-nah,heen-tänʼ-gǎ,wau-heʼ-cha,hin-toseʼ-kee-me,hin-chäʼ-kä,hin-toseʼ-kee,e-chunʼ-che,hin-chäʼ-kä,hin-tose-kee-me,heʼ-nah,heen-tängʼ-a,e-chunʼ-che,heen-tänʼ-ga,he-neʼ-cha,heʼ-nah,heen-thunʼ-ga,heen-tauʼ-gǎ,heen-tauʼ-gǎ,he-yun̤ʼ-ga,he-yeʼ-nä,heʼ-nah,hee-yeʼ-nä,hin-teseʼ-kee,heen-tan̤ʼ-gǎ,he-neʼ-cha,heen-tänʼ-gǎ,hin-chäʼ-kä,heen-tan̤ʼ-gǎ,hee-yeʼ-nä,he-yun̤ʼ-ga,heen-tangʼ-a,hee-yeʼ-nä,wau-heʼ-cha,hee-yeʼ-nä,heen-thunʼ-ga,e-tǔʼ-me,heʼ-nah,hinʼ-kä,hinʼ-kä,e-tǔʼ-me,hin-chaʼ-kä,heʼ-nah,heʼ-nah,e-tǔʼ-me,heʼ-nah,e-tǔʼ-me,hinʼ-kä,hinʼ-kä,hin-chaʼ-kä,hinʼ-kä,heʼ-nah,hinʼ-kä,heʼ-nah,hin-chaʼ-kä,hin-chaʼ-kä
4,0.34145405235023585,1.034601232910181,0.6931471805599452,heen-tauʼ-gǎ,hin-chäʼ-kä,heen-thunʼ-ga,he-neʼ-cha,he-yeʼ-nä,heen-tan̤ʼ-gǎ,wau-heʼ-cha,e-chunʼ-che,hin-toseʼ-kee-me,e-chunʼ-cha,hin-chäʼ-kä,heen-tänʼ-ga,hee-yeʼ-nä,hee-yeʼ-nä,heen-tänʼ-gǎ,he-neʼ-cha,he-yun̤ʼ-ga,he-yun̤ʼ-ga,hin-chäʼ-kä,hin-toseʼ-kee,heen-tan̤ʼ-gǎ,e-chunʼ-che,heen-tangʼ-a,hin-teseʼ-kee,hee-yeʼ-nä,heen-tängʼ-a,heen-tänʼ-gǎ,hin-tose-kee-me,heʼ-nah,wau-heʼ-cha,heʼ-nah,heen-tauʼ-gǎ,heʼ-nah,heʼ-nah,heen-thunʼ-ga,hee-yeʼ-nä,hin-chäʼ-kä,heen-thunʼ-ga,hin-chaʼ-kä,hinʼ-kä,hinʼ-kä,hin-chaʼ-kä,heʼ-nah,hin-chaʼ-kä,heʼ-nah,heʼ-nah,e-tǔʼ-me,hin-chaʼ-kä,e-tǔʼ-me,e-tǔʼ-me,heʼ-nah,heʼ-nah,hinʼ-kä,e-tǔʼ-me,hinʼ-kä,heʼ-nah,hinʼ-kä,hinʼ-kä
5,0.34145405235023607,1.0346012329101812,0.6931471805599452,wau-heʼ-cha,heen-tänʼ-gǎ,hin-toseʼ-kee-me,he-yun̤ʼ-ga,hin-chäʼ-kä,heen-tan̤ʼ-gǎ,e-chunʼ-cha,wau-heʼ-cha,heen-tangʼ-a,heen-tänʼ-ga,hin-toseʼ-kee,e-chunʼ-che,hee-yeʼ-nä,heʼ-nah,hin-chäʼ-kä,heʼ-nah,e-chunʼ-che,hee-yeʼ-nä,hin-tose-kee-me,he-neʼ-cha,heen-tan̤ʼ-gǎ,heen-thunʼ-ga,heen-thunʼ-ga,heen-thunʼ-ga,he-neʼ-cha,hee-yeʼ-nä,heʼ-nah,heen-tauʼ-gǎ,heen-tängʼ-a,heʼ-nah,hin-chäʼ-kä,he-yeʼ-nä,he-yun̤ʼ-ga,hee-yeʼ-nä,heen-tauʼ-gǎ,heen-tänʼ-gǎ,hin-teseʼ-kee,hin-chäʼ-kä,heʼ-nah,hin-chaʼ-kä,hin-chaʼ-kä,heʼ-nah,heʼ-nah,hin-chaʼ-kä,hinʼ-kä,hinʼ-kä,hin-chaʼ-kä,heʼ-nah,hinʼ-kä,heʼ-nah,hinʼ-kä,e-tǔʼ-me,e-tǔʼ-me,heʼ-nah,hinʼ-kä,e-tǔʼ-me,e-tǔʼ-me,hinʼ-kä
6,0.242433026555958,1.034601232910181,0.792168206354223,heen-thunʼ-ga,heen-tänʼ-gǎ,he-yun̤ʼ-ga,heʼ-nah,hee-yeʼ-nä,wau-heʼ-cha,hin-toseʼ-kee-me,hee-yeʼ-nä,heen-tan̤ʼ-gǎ,hin-tose-kee-me,hin-chäʼ-kä,heʼ-nah,hin-teseʼ-kee,heen-tänʼ-ga,heen-thunʼ-ga,heen-tänʼ-gǎ,hin-chäʼ-kä,e-chunʼ-cha,hin-chäʼ-kä,hee-yeʼ-nä,heʼ-nah,e-chunʼ-che,heen-tangʼ-a,heen-tauʼ-gǎ,heʼ-nah,e-chunʼ-che,hee-yeʼ-nä,heen-thunʼ-ga,he-yun̤ʼ-ga,he-neʼ-cha,heen-tauʼ-gǎ,hin-toseʼ-kee,wau-heʼ-cha,he-yeʼ-nä,he-neʼ-cha,heen-tan̤ʼ-gǎ,heen-tängʼ-a,hin-chäʼ-kä,heʼ-nah,hinʼ-kä,hinʼ-kä,hinʼ-kä,heʼ-nah,hin-chaʼ-kä,heʼ-nah,hin-chaʼ-kä,e-tǔʼ-me,hin-chaʼ-kä,e-tǔʼ-me,heʼ-nah,hin-chaʼ-kä,heʼ-nah,hinʼ-kä,hinʼ-kä,heʼ-nah,e-tǔʼ-me,e-tǔʼ-me,hinʼ-kä
7,0.34145405235023596,1.034601232910181,0.6931471805599451,heen-thunʼ-ga,hee-yeʼ-nä,he-neʼ-cha,he-yun̤ʼ-ga,hin-chäʼ-kä,hin-tose-kee-me,hin-chäʼ-kä,heen-tangʼ-a,hin-toseʼ-kee,hin-chäʼ-kä,wau-heʼ-cha,heʼ-nah,hee-yeʼ-nä,heʼ-nah,heen-tan̤ʼ-gǎ,hin-teseʼ-kee,heen-tan̤ʼ-gǎ,e-chunʼ-cha,heen-tauʼ-gǎ,wau-heʼ-cha,e-chunʼ-che,heen-tauʼ-gǎ,heʼ-nah,heen-thunʼ-ga,heʼ-nah,he-yeʼ-nä,he-neʼ-cha,heen-tänʼ-gǎ,heen-thunʼ-ga,heen-tänʼ-ga,e-chunʼ-che,hee-yeʼ-nä,heen-tänʼ-gǎ,hee-yeʼ-nä,hin-toseʼ-kee-me,he-yun̤ʼ-ga,hin-chäʼ-kä,heen-tängʼ-a,e-tǔʼ-me,hinʼ-kä,e-tǔʼ-me,heʼ-nah,hinʼ-kä,hin-chaʼ-kä,e-tǔʼ-me,heʼ-nah,hinʼ-kä,hinʼ-kä,hin-chaʼ-kä,hin-chaʼ-kä,heʼ-nah,e-tǔʼ-me,hin-chaʼ-kä,heʼ-nah,heʼ-nah,hinʼ-kä,heʼ-nah,hinʼ-kä
8,0.22251676174768176,0.5195798391305154,0.29706307738283366,heʼ-nah,heen-tänʼ-ga,heen-thunʼ-ga,heen-thunʼ-ga,hin-chäʼ-kä,wau-heʼ-cha,he-neʼ-cha,hin-tose-kee-me,e-chunʼ-che,hee-yeʼ-nä,heen-tängʼ-a,he-yun̤ʼ-ga,heen-tan̤ʼ-gǎ,hin-chäʼ-kä,hee-yeʼ-nä,hin-toseʼ-kee-me,heen-tan̤ʼ-gǎ,heʼ-nah,heen-tauʼ-gǎ,heen-tänʼ-gǎ,he-yeʼ-nä,heen-tauʼ-gǎ,e-chunʼ-che,heen-thunʼ-ga,hee-yeʼ-nä,wau-heʼ-cha,hin-chäʼ-kä,he-yun̤ʼ-ga,heen-tangʼ-a,heʼ-nah,heen-tänʼ-gǎ,hin-toseʼ-kee,hee-yeʼ-nä,heʼ-nah,he-neʼ-cha,hin-teseʼ-kee,e-chunʼ-cha,hin-chäʼ-kä,heʼ-nah,heʼ-nah,e-tǔʼ-me,hinʼ-kä,hin-chaʼ-kä,e-tǔʼ-me,hin-chaʼ-kä,hinʼ-kä,e-tǔʼ-me,hin-chaʼ-kä,e-tǔʼ-me,heʼ-nah,heʼ-nah,hinʼ-kä,heʼ-nah,hinʼ-kä,hinʼ-kä,hin-chaʼ-kä,heʼ-nah,hinʼ-kä
9,0.34145405235023596,1.034601232910181,0.6931471805599451,hin-chäʼ-kä,he-yun̤ʼ-ga,heen-thunʼ-ga,heen-tangʼ-a,hee-yeʼ-nä,hee-yeʼ-nä,heʼ-nah,wau-heʼ-cha,e-chunʼ-che,e-chunʼ-cha,heen-tauʼ-gǎ,heen-thunʼ-ga,he-yeʼ-nä,he-neʼ-cha,hin-teseʼ-kee,hin-chäʼ-kä,wau-heʼ-cha,heen-thunʼ-ga,hin-tose-kee-me,hin-toseʼ-kee,he-neʼ-cha,heen-tänʼ-ga,hin-chäʼ-kä,heʼ-nah,heʼ-nah,heen-tängʼ-a,heen-tauʼ-gǎ,he-yun̤ʼ-ga,hee-yeʼ-nä,e-chunʼ-che,heen-tänʼ-gǎ,hin-toseʼ-kee-me,hin-chäʼ-kä,heen-tänʼ-gǎ,heen-tan̤ʼ-gǎ,heen-tan̤ʼ-gǎ,heʼ-nah,hee-yeʼ-nä,heʼ-nah,hinʼ-kä,hin-chaʼ-kä,hinʼ-kä,hinʼ-kä,e-tǔʼ-me,e-tǔʼ-me,heʼ-nah,hinʼ-kä,hinʼ-kä,hin-chaʼ-kä,hin-chaʼ-kä,e-tǔʼ-me,e-tǔʼ-me,hinʼ-kä,heʼ-nah,hin-chaʼ-kä,heʼ-nah,heʼ-nah,heʼ-nah
