simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mFZD,mMBD,fFZS,fMBS,fFZD,fMBD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.6844842860732098,1.50160871041898,0.8171244243457702,ta kawe,"cakwa: fine, cakwa: togótogó",tuku tariki,tuku tariki,tuku fine,"tuku awe taurumatua, tuku kawe",tuku tariki,tuku tariki,tuku tariki,tuku fine,tuku tariki,tuku fine,"cakwa: fine, cakwa: togótogó",tuku fine,tuku fine,ta fungoku,tuku tariki,"cakwa: fine, cakwa: togótogó",ta fungoku,ta fungoku,"cakwa: fine, cakwa: togótogó",ta fungoku,tuku fine,tuku tariki,ta fungoku,tuku kawe,tuku fine,"cakwa: fine, cakwa: togótogó","cakwa: fine, cakwa: togótogó",ta fungoku,ta fungoku,"cakwa: fine, cakwa: togótogó","cakwa: fine, cakwa: togótogó",tuku tariki,tuku fine,ta fungoku,ta fungoku,"ta kawe, tuku awe taurumatua",tuku só,"cakwa: fine, cakwa: togótogó","tuku só, tuku só raurumatua",tuku fine,ta fungoku,tuku só,tuku fine,"cakwa: fine, cakwa: togótogó",tuku tariki,caku tata,caku mama,caku mama,kaka,caku tata,"mahaway, ta kawe tata",kaka,kaka,"mahaway, ta kawe tata",caku tata,"mahaway, ta kawe tata","mahaway, ta kawe tata",caku tata,kaka,caku mama,caku mama,caku tata taurumutua,caku tata taurumutua,caku mama,caku mama
1,0.5137013454225638,1.5116091184688645,0.9979077730463006,"cakwa: fine, cakwa: togótogó","cakwa: fine, cakwa: togótogó",tuku tariki,"cakwa: fine, cakwa: togótogó",tuku fine,tuku tariki,"cakwa: fine, cakwa: togótogó",ta fungoku,ta kawe,ta fungoku,"ta kawe, tuku awe taurumatua","cakwa: fine, cakwa: togótogó",tuku tariki,tuku fine,ta fungoku,tuku tariki,"cakwa: fine, cakwa: togótogó","cakwa: fine, cakwa: togótogó",tuku fine,"cakwa: fine, cakwa: togótogó","cakwa: fine, cakwa: togótogó",tuku fine,ta fungoku,tuku só,ta fungoku,tuku tariki,tuku tariki,ta fungoku,"cakwa: fine, cakwa: togótogó",ta fungoku,"tuku só, tuku só raurumatua",tuku fine,ta fungoku,tuku só,tuku fine,tuku fine,tuku fine,"tuku awe taurumatua, tuku kawe",ta fungoku,tuku fine,tuku tariki,tuku kawe,tuku fine,tuku tariki,ta fungoku,tuku tariki,tuku tariki,"mahaway, ta kawe tata",caku mama,caku tata,caku mama,caku tata,caku mama,caku mama,caku mama,"mahaway, ta kawe tata","mahaway, ta kawe tata","mahaway, ta kawe tata",caku tata taurumutua,kaka,caku tata,kaka,kaka,caku tata taurumutua,caku tata,kaka,caku mama
2,0.632405303433194,1.430753298624558,0.7983479951913639,ta fungoku,tuku tariki,"cakwa: fine, cakwa: togótogó","ta kawe, tuku awe taurumatua",tuku fine,"cakwa: fine, cakwa: togótogó","cakwa: fine, cakwa: togótogó",tuku tariki,ta fungoku,tuku fine,"cakwa: fine, cakwa: togótogó",tuku tariki,"cakwa: fine, cakwa: togótogó",tuku fine,"cakwa: fine, cakwa: togótogó","cakwa: fine, cakwa: togótogó",ta fungoku,"cakwa: fine, cakwa: togótogó",ta fungoku,"tuku awe taurumatua, tuku kawe",ta fungoku,tuku fine,tuku tariki,tuku só,ta fungoku,tuku tariki,ta fungoku,tuku tariki,ta kawe,tuku fine,tuku fine,tuku tariki,tuku fine,tuku tariki,tuku tariki,ta fungoku,"cakwa: fine, cakwa: togótogó",tuku kawe,tuku fine,tuku só,ta fungoku,"cakwa: fine, cakwa: togótogó",ta fungoku,tuku tariki,tuku fine,tuku fine,"tuku só, tuku só raurumatua",caku mama,caku mama,"mahaway, ta kawe tata",kaka,caku tata taurumutua,caku tata,kaka,caku mama,caku mama,caku mama,kaka,"mahaway, ta kawe tata",caku mama,caku tata,caku tata taurumutua,kaka,"mahaway, ta kawe tata",caku tata,caku tata,"mahaway, ta kawe tata"
3,0.2373625763332139,1.2984181566602382,1.0610555803270243,tuku fine,tuku fine,ta fungoku,tuku fine,tuku só,ta fungoku,tuku tariki,"cakwa: fine, cakwa: togótogó",tuku tariki,tuku fine,ta fungoku,"tuku awe taurumatua, tuku kawe",tuku tariki,ta fungoku,"cakwa: fine, cakwa: togótogó","cakwa: fine, cakwa: togótogó",tuku tariki,ta fungoku,"cakwa: fine, cakwa: togótogó",tuku tariki,tuku tariki,"cakwa: fine, cakwa: togótogó","cakwa: fine, cakwa: togótogó",tuku só,ta fungoku,ta kawe,tuku kawe,tuku tariki,"cakwa: fine, cakwa: togótogó",tuku tariki,ta fungoku,tuku fine,"cakwa: fine, cakwa: togótogó","cakwa: fine, cakwa: togótogó",ta fungoku,tuku fine,"cakwa: fine, cakwa: togótogó",ta fungoku,tuku tariki,tuku fine,ta fungoku,"tuku só, tuku só raurumatua",tuku tariki,tuku fine,tuku fine,"ta kawe, tuku awe taurumatua",tuku fine,caku tata,"mahaway, ta kawe tata",caku mama,caku tata,kaka,kaka,caku mama,caku mama,caku tata,kaka,caku tata taurumutua,caku tata,"mahaway, ta kawe tata",caku mama,kaka,caku mama,caku mama,"mahaway, ta kawe tata","mahaway, ta kawe tata",caku tata taurumutua
4,0.595323631054201,1.562017012835852,0.9666933817816509,ta kawe,tuku fine,tuku só,ta fungoku,tuku kawe,tuku fine,tuku fine,tuku tariki,"cakwa: fine, cakwa: togótogó",ta fungoku,ta fungoku,ta fungoku,tuku tariki,tuku fine,"cakwa: fine, cakwa: togótogó",tuku tariki,tuku tariki,ta fungoku,tuku tariki,tuku fine,"cakwa: fine, cakwa: togótogó","cakwa: fine, cakwa: togótogó","cakwa: fine, cakwa: togótogó",tuku fine,"cakwa: fine, cakwa: togótogó","cakwa: fine, cakwa: togótogó",ta fungoku,tuku fine,tuku tariki,"ta kawe, tuku awe taurumatua","tuku só, tuku só raurumatua",ta fungoku,tuku fine,tuku tariki,"tuku awe taurumatua, tuku kawe","cakwa: fine, cakwa: togótogó",tuku tariki,"cakwa: fine, cakwa: togótogó",tuku fine,tuku tariki,tuku fine,tuku tariki,tuku só,ta fungoku,ta fungoku,"cakwa: fine, cakwa: togótogó",ta fungoku,"mahaway, ta kawe tata",caku tata,caku tata,caku tata taurumutua,caku mama,caku mama,caku mama,"mahaway, ta kawe tata",kaka,caku mama,kaka,"mahaway, ta kawe tata",caku mama,caku mama,kaka,"mahaway, ta kawe tata",kaka,caku tata,caku tata taurumutua,caku tata
5,0.360507858566936,1.2230557680366716,0.8625479094697356,ta fungoku,tuku tariki,ta fungoku,tuku fine,"cakwa: fine, cakwa: togótogó","cakwa: fine, cakwa: togótogó",tuku fine,"cakwa: fine, cakwa: togótogó",tuku fine,ta fungoku,ta fungoku,tuku tariki,"cakwa: fine, cakwa: togótogó",tuku fine,tuku tariki,ta fungoku,"cakwa: fine, cakwa: togótogó",tuku fine,tuku tariki,"cakwa: fine, cakwa: togótogó",tuku kawe,"cakwa: fine, cakwa: togótogó",ta fungoku,"cakwa: fine, cakwa: togótogó",tuku fine,tuku tariki,tuku tariki,tuku só,tuku fine,ta kawe,ta fungoku,"tuku awe taurumatua, tuku kawe",tuku só,tuku tariki,tuku tariki,ta fungoku,tuku fine,"cakwa: fine, cakwa: togótogó","ta kawe, tuku awe taurumatua",tuku tariki,"cakwa: fine, cakwa: togótogó",tuku fine,tuku tariki,"tuku só, tuku só raurumatua",ta fungoku,ta fungoku,tuku fine,kaka,caku mama,caku tata,caku mama,"mahaway, ta kawe tata",kaka,caku tata taurumutua,caku mama,caku tata,caku mama,caku tata taurumutua,"mahaway, ta kawe tata",caku mama,"mahaway, ta kawe tata",caku tata,caku tata,caku mama,kaka,"mahaway, ta kawe tata",kaka
6,0.4032891146561294,1.378083331807596,0.9747942171514666,"cakwa: fine, cakwa: togótogó",ta fungoku,"cakwa: fine, cakwa: togótogó",ta fungoku,tuku tariki,tuku fine,ta kawe,tuku tariki,ta fungoku,tuku fine,ta fungoku,"cakwa: fine, cakwa: togótogó",tuku tariki,ta fungoku,tuku tariki,tuku tariki,"cakwa: fine, cakwa: togótogó","cakwa: fine, cakwa: togótogó",tuku tariki,tuku tariki,"tuku awe taurumatua, tuku kawe","cakwa: fine, cakwa: togótogó",tuku só,"ta kawe, tuku awe taurumatua",tuku fine,"cakwa: fine, cakwa: togótogó",ta fungoku,tuku fine,tuku tariki,tuku fine,ta fungoku,"tuku só, tuku só raurumatua",tuku fine,"cakwa: fine, cakwa: togótogó",tuku fine,tuku fine,tuku fine,tuku kawe,tuku tariki,ta fungoku,"cakwa: fine, cakwa: togótogó",tuku fine,ta fungoku,ta fungoku,tuku tariki,tuku só,"cakwa: fine, cakwa: togótogó",caku mama,"mahaway, ta kawe tata","mahaway, ta kawe tata",kaka,caku tata,kaka,caku mama,caku mama,caku tata taurumutua,caku mama,caku tata taurumutua,caku tata,"mahaway, ta kawe tata","mahaway, ta kawe tata",caku mama,caku mama,caku tata,kaka,kaka,caku tata
7,0.726587345265495,1.562017012835852,0.835429667570357,ta fungoku,tuku fine,tuku tariki,tuku fine,"tuku só, tuku só raurumatua",tuku só,tuku fine,tuku fine,"cakwa: fine, cakwa: togótogó","ta kawe, tuku awe taurumatua",tuku fine,ta fungoku,tuku tariki,tuku tariki,"cakwa: fine, cakwa: togótogó",ta fungoku,"cakwa: fine, cakwa: togótogó",tuku fine,tuku só,tuku tariki,tuku tariki,"cakwa: fine, cakwa: togótogó",tuku tariki,ta kawe,tuku fine,tuku tariki,"cakwa: fine, cakwa: togótogó",ta fungoku,ta fungoku,"cakwa: fine, cakwa: togótogó",ta fungoku,ta fungoku,"tuku awe taurumatua, tuku kawe","cakwa: fine, cakwa: togótogó",tuku kawe,tuku fine,"cakwa: fine, cakwa: togótogó",tuku tariki,"cakwa: fine, cakwa: togótogó",ta fungoku,tuku tariki,ta fungoku,tuku tariki,"cakwa: fine, cakwa: togótogó",tuku fine,ta fungoku,tuku fine,caku mama,caku tata,caku tata,kaka,caku mama,caku tata,caku tata,"mahaway, ta kawe tata",caku tata taurumutua,caku mama,kaka,caku mama,caku mama,kaka,"mahaway, ta kawe tata",caku tata taurumutua,caku mama,"mahaway, ta kawe tata",kaka,"mahaway, ta kawe tata"
8,0.3777474528476634,1.5456624431110193,1.1679149902633559,tuku tariki,"cakwa: fine, cakwa: togótogó",tuku fine,tuku fine,tuku fine,"cakwa: fine, cakwa: togótogó",tuku tariki,tuku fine,ta fungoku,tuku tariki,ta fungoku,"tuku só, tuku só raurumatua",tuku fine,ta fungoku,ta kawe,"cakwa: fine, cakwa: togótogó","cakwa: fine, cakwa: togótogó",tuku fine,tuku kawe,tuku fine,tuku tariki,ta fungoku,"cakwa: fine, cakwa: togótogó","cakwa: fine, cakwa: togótogó",ta fungoku,ta fungoku,tuku fine,"cakwa: fine, cakwa: togótogó","cakwa: fine, cakwa: togótogó",ta fungoku,tuku tariki,tuku fine,tuku tariki,tuku tariki,"tuku awe taurumatua, tuku kawe","cakwa: fine, cakwa: togótogó",tuku tariki,"ta kawe, tuku awe taurumatua","cakwa: fine, cakwa: togótogó",tuku só,ta fungoku,tuku fine,ta fungoku,tuku só,ta fungoku,tuku tariki,tuku tariki,caku tata taurumutua,caku mama,caku tata,caku mama,kaka,caku mama,kaka,caku mama,"mahaway, ta kawe tata",kaka,"mahaway, ta kawe tata",caku tata taurumutua,caku tata,caku mama,caku tata,kaka,"mahaway, ta kawe tata","mahaway, ta kawe tata",caku tata,caku mama
9,0.3935558927311773,1.492355256900581,1.0987993641694036,tuku fine,ta kawe,tuku tariki,ta fungoku,tuku tariki,"cakwa: fine, cakwa: togótogó",ta fungoku,tuku fine,tuku fine,tuku kawe,"cakwa: fine, cakwa: togótogó",tuku fine,tuku tariki,"cakwa: fine, cakwa: togótogó","cakwa: fine, cakwa: togótogó",ta fungoku,tuku tariki,ta fungoku,tuku tariki,ta fungoku,tuku fine,tuku fine,tuku tariki,ta fungoku,tuku tariki,ta fungoku,tuku tariki,"ta kawe, tuku awe taurumatua",ta fungoku,tuku tariki,"cakwa: fine, cakwa: togótogó","cakwa: fine, cakwa: togótogó",tuku fine,"cakwa: fine, cakwa: togótogó",tuku só,"cakwa: fine, cakwa: togótogó","tuku só, tuku só raurumatua",tuku fine,tuku fine,"cakwa: fine, cakwa: togótogó","cakwa: fine, cakwa: togótogó",tuku fine,ta fungoku,tuku só,"tuku awe taurumatua, tuku kawe",ta fungoku,tuku tariki,caku mama,kaka,"mahaway, ta kawe tata","mahaway, ta kawe tata",caku mama,kaka,caku tata taurumutua,caku mama,"mahaway, ta kawe tata",caku tata taurumutua,caku mama,caku tata,caku mama,caku tata,caku mama,caku tata,caku tata,"mahaway, ta kawe tata",kaka,kaka
