simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFZ,mMB,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fFeZ,fFyZ,fMeB,fMyB
0,0.0944001758173445,1.3024011661066537,1.2080009902893092,di'i,asi-,asi-,asi-,di'i,di'i,di'i,di'i,asi-,di'i,di'i,di'i,asi-,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,asi-,di'i,asi-,di'i,asi-,di'i,di'i,di'i,di'i,di'i,di'i,di'i,asi-,di'i,asi-,di'i,di'i,di'i,asi-,di'i,di'i,di'i,di'i,di'i,di'i,ma'a,uweli,ma'a,nike,nike,uweli,uweli,nike,uweli,nike,teitei,nike,teitei,uweli,nike,uweli
1,0.04915496922426654,1.2172291199827134,1.168074150758447,asi-,asi-,asi-,asi-,di'i,asi-,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,asi-,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,asi-,di'i,asi-,di'i,di'i,asi-,di'i,asi-,di'i,asi-,di'i,di'i,di'i,di'i,uweli,uweli,nike,uweli,uweli,nike,ma'a,teitei,nike,uweli,ma'a,uweli,nike,teitei,nike,nike
2,0.10269805664377674,1.266612535685849,1.1639144790420723,asi-,di'i,di'i,asi-,di'i,di'i,di'i,asi-,di'i,di'i,di'i,di'i,di'i,di'i,di'i,asi-,di'i,di'i,asi-,asi-,di'i,di'i,di'i,asi-,di'i,di'i,di'i,di'i,asi-,asi-,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,asi-,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,asi-,uweli,teitei,teitei,nike,uweli,uweli,ma'a,uweli,ma'a,uweli,nike,nike,nike,nike,nike,uweli
3,0.03597628967965383,1.1672864936177827,1.1313102039381289,asi-,di'i,di'i,di'i,asi-,di'i,di'i,di'i,di'i,di'i,asi-,di'i,di'i,di'i,di'i,di'i,asi-,di'i,di'i,di'i,di'i,asi-,di'i,di'i,di'i,di'i,di'i,di'i,di'i,asi-,asi-,di'i,di'i,di'i,di'i,di'i,asi-,di'i,di'i,asi-,asi-,di'i,di'i,di'i,di'i,di'i,di'i,asi-,di'i,di'i,di'i,uweli,nike,uweli,uweli,nike,ma'a,uweli,teitei,uweli,nike,nike,nike,nike,teitei,uweli,ma'a
4,0.09259064517954552,1.268951497359191,1.1763608521796456,asi-,di'i,di'i,asi-,asi-,di'i,asi-,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,asi-,di'i,di'i,asi-,di'i,di'i,di'i,di'i,di'i,di'i,asi-,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,asi-,di'i,di'i,di'i,di'i,asi-,di'i,di'i,di'i,di'i,di'i,di'i,asi-,asi-,uweli,uweli,uweli,uweli,uweli,nike,ma'a,teitei,nike,nike,teitei,ma'a,uweli,nike,nike,nike
5,0.04417716029471541,1.2231931462406396,1.1790159859459242,di'i,di'i,asi-,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,asi-,asi-,di'i,di'i,di'i,di'i,asi-,di'i,di'i,di'i,asi-,di'i,di'i,di'i,asi-,asi-,di'i,di'i,di'i,di'i,di'i,asi-,di'i,di'i,di'i,asi-,di'i,di'i,di'i,di'i,di'i,asi-,asi-,di'i,nike,uweli,nike,uweli,teitei,uweli,ma'a,nike,uweli,nike,uweli,teitei,ma'a,uweli,nike,nike
6,0.02474379267973248,1.2231931462406396,1.198449353560907,di'i,di'i,di'i,di'i,asi-,asi-,di'i,di'i,di'i,di'i,di'i,asi-,asi-,di'i,asi-,di'i,asi-,di'i,di'i,di'i,asi-,di'i,di'i,di'i,di'i,di'i,asi-,di'i,di'i,di'i,di'i,di'i,di'i,di'i,asi-,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,asi-,di'i,asi-,di'i,uweli,ma'a,nike,uweli,teitei,nike,teitei,uweli,uweli,ma'a,nike,uweli,nike,uweli,nike,nike
7,0.09073753223088543,1.2928285144402503,1.2020909822093648,di'i,di'i,asi-,di'i,di'i,asi-,di'i,di'i,di'i,di'i,asi-,di'i,di'i,asi-,di'i,di'i,di'i,di'i,di'i,di'i,asi-,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,asi-,di'i,asi-,di'i,asi-,di'i,di'i,di'i,di'i,di'i,di'i,asi-,di'i,di'i,asi-,di'i,di'i,di'i,di'i,di'i,asi-,nike,uweli,nike,ma'a,nike,nike,nike,uweli,teitei,uweli,uweli,teitei,uweli,ma'a,nike,uweli
8,0.053532455338613616,1.2636544318820966,1.210121976543483,di'i,di'i,di'i,di'i,di'i,di'i,di'i,asi-,di'i,di'i,di'i,di'i,di'i,di'i,di'i,asi-,asi-,asi-,di'i,asi-,asi-,di'i,di'i,di'i,asi-,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,asi-,di'i,di'i,di'i,di'i,di'i,asi-,di'i,di'i,di'i,di'i,di'i,di'i,asi-,asi-,di'i,di'i,di'i,uweli,nike,nike,teitei,ma'a,nike,uweli,uweli,uweli,nike,uweli,teitei,nike,nike,uweli,ma'a
9,0.12827993675156235,1.2172291199827134,1.088949183231151,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,asi-,asi-,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,asi-,di'i,di'i,di'i,asi-,di'i,di'i,di'i,di'i,asi-,di'i,di'i,asi-,asi-,di'i,asi-,asi-,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,di'i,asi-,asi-,uweli,nike,teitei,uweli,nike,uweli,ma'a,ma'a,nike,nike,uweli,uweli,uweli,teitei,nike,nike
