simulation_number,mutual_information,entropy,conditional_entropy,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.046900484488158645,1.367001366269417,1.3201008817812583,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,win yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,yees,waas,waas,waas,waas,win yees,waas,waas,wobna,kawo,kawo,kawo,baaba,baaba,kawo,baaba,kawo,wobna,kawo,kawo,kawo,wobna,wobna,wobna,baaba,baaba,baa,kawo,dee,baa,kawo,wobna,kawo,baaba,dee,kawo
1,0.05849971364068618,1.3874398391472214,1.3289401255065352,win yees,waas,yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,win yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,yees,waas,baaba,dee,baaba,wobna,kawo,wobna,wobna,baa,kawo,kawo,kawo,kawo,kawo,baaba,kawo,wobna,kawo,wobna,kawo,baaba,wobna,baaba,baa,kawo,baaba,kawo,dee,kawo
2,0.03435493606596274,1.3918338923642517,1.357478956298289,waas,waas,yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,win yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,win yees,waas,waas,waas,waas,baaba,kawo,wobna,kawo,wobna,kawo,baa,baaba,kawo,baa,baaba,kawo,wobna,baaba,kawo,kawo,dee,kawo,wobna,baaba,wobna,kawo,dee,kawo,kawo,wobna,baaba,kawo
3,0.05820541582596328,1.4247788840884352,1.366573468262472,waas,yees,waas,waas,waas,yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,win yees,waas,waas,waas,yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,win yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,baa,kawo,baaba,kawo,kawo,dee,wobna,kawo,baaba,kawo,baaba,kawo,dee,wobna,baa,baaba,kawo,baaba,wobna,wobna,wobna,baaba,kawo,kawo,kawo,kawo,kawo,wobna
4,0.04768166952752373,1.4034552904479465,1.3557736209204228,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,win yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,win yees,waas,waas,waas,waas,yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,yees,waas,waas,waas,waas,waas,waas,waas,kawo,baaba,baaba,wobna,kawo,wobna,kawo,wobna,kawo,baa,dee,baaba,kawo,baaba,baaba,baaba,dee,kawo,wobna,kawo,kawo,kawo,kawo,kawo,kawo,baa,wobna,wobna
5,0.07911529431088038,1.4247788840884352,1.3456635897775548,waas,waas,waas,yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,win yees,waas,win yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,yees,waas,waas,yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,wobna,baaba,kawo,dee,kawo,kawo,kawo,wobna,dee,baaba,baaba,kawo,wobna,kawo,baaba,kawo,kawo,wobna,baaba,baa,kawo,kawo,baa,wobna,kawo,wobna,baaba,kawo
6,0.041234145851464454,1.3553607182748468,1.3141265724233824,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,win yees,waas,waas,waas,waas,waas,waas,waas,win yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,wobna,kawo,kawo,kawo,kawo,baaba,wobna,baaba,wobna,wobna,wobna,baa,baaba,kawo,baa,wobna,kawo,dee,kawo,kawo,kawo,kawo,baaba,baaba,baaba,kawo,kawo,dee
7,0.0564072571547376,1.3423648756599158,1.2859576185051782,waas,waas,waas,waas,waas,waas,win yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,win yees,waas,waas,waas,waas,waas,waas,yees,waas,waas,waas,waas,yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,dee,dee,baaba,kawo,kawo,kawo,kawo,wobna,baaba,kawo,wobna,kawo,kawo,baa,kawo,wobna,kawo,kawo,kawo,baaba,kawo,baaba,baaba,wobna,wobna,baaba,baa,wobna
8,0.06527761495644269,1.3821518853210342,1.3168742703645915,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,yees,waas,waas,waas,waas,win yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,yees,waas,waas,waas,waas,waas,win yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,kawo,dee,kawo,wobna,kawo,wobna,baaba,baa,kawo,baaba,kawo,wobna,dee,baaba,wobna,wobna,baa,kawo,kawo,kawo,baaba,kawo,kawo,baaba,kawo,wobna,kawo,baaba
9,0.0526092462151766,1.3524061249717099,1.2997968787565333,waas,waas,waas,waas,waas,waas,win yees,waas,waas,yees,yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,win yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,yees,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,baaba,kawo,kawo,kawo,kawo,wobna,kawo,dee,baaba,kawo,kawo,baa,wobna,kawo,wobna,baaba,kawo,kawo,wobna,baa,baaba,wobna,kawo,kawo,baaba,wobna,baaba,dee
