simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.6829081047004718,0.9799711820833055,0.29706307738283366,ngathadi,nguthu,kami,ngathadi,kaku,kami,kami,kami,nguthu,nguthu,ngathadi,ngathadi,ngathadi,kaku,kami,ngathadi,kaku,kami,kami,kaku,nguthu,kaku,kami,kami,kami,kami,kami,kami,ngathadi,kami,kaku,kami,ngathadi,ngathadi,ngathadi,ngathadi,ngathadi,kami,parli,ngama,ngarndri,ngarndri,ngapiri,ngapiri,ngama,parli,"ngarndri, yipi",ngapiri,ngapiri,"ngarndri, yipi",parli,ngapiri,"ngarndri, yipi",ngama,ngama,"ngarndri, yipi",parli,ngapiri
1,0.20218548540814574,0.9799711820833055,0.7777856966751597,ngathadi,kaku,kami,ngathadi,ngathadi,ngathadi,ngathadi,nguthu,kami,kami,kaku,kami,kami,nguthu,kami,kami,kaku,ngathadi,ngathadi,kami,kaku,kami,kaku,ngathadi,kami,kami,kami,ngathadi,ngathadi,kami,kami,kaku,kami,nguthu,kami,ngathadi,nguthu,ngathadi,ngarndri,"ngarndri, yipi",ngapiri,ngapiri,parli,ngapiri,ngapiri,"ngarndri, yipi",parli,ngama,"ngarndri, yipi",ngama,ngapiri,ngama,"ngarndri, yipi",ngama,ngapiri,ngarndri,parli,parli
2,0.22251676174768176,0.5195798391305154,0.29706307738283366,nguthu,ngathadi,kaku,kami,kami,ngathadi,ngathadi,nguthu,ngathadi,kami,kaku,kaku,kami,kami,kaku,ngathadi,kaku,kami,kami,ngathadi,ngathadi,kami,nguthu,kaku,kami,kami,ngathadi,ngathadi,ngathadi,kami,ngathadi,nguthu,kami,kami,kami,ngathadi,kami,kami,ngama,"ngarndri, yipi",ngama,ngama,parli,ngapiri,ngarndri,ngarndri,ngapiri,parli,ngama,parli,"ngarndri, yipi",ngapiri,ngapiri,ngapiri,ngapiri,"ngarndri, yipi",parli,"ngarndri, yipi"
3,0.1373245318763464,0.6829081047004717,0.5455835728241253,kami,kami,ngathadi,kami,ngathadi,nguthu,ngathadi,kami,kami,kami,ngathadi,ngathadi,ngathadi,kami,kami,kami,kami,nguthu,kami,kaku,kami,ngathadi,ngathadi,kami,nguthu,kaku,kaku,ngathadi,nguthu,ngathadi,kaku,ngathadi,kami,kaku,kaku,kami,kami,ngathadi,parli,parli,ngapiri,ngapiri,ngarndri,ngama,parli,ngapiri,ngapiri,ngama,ngarndri,"ngarndri, yipi",ngama,"ngarndri, yipi",ngapiri,ngama,"ngarndri, yipi",parli,ngapiri,"ngarndri, yipi"
4,0.21207426669985363,1.376055285260417,1.1639810185605635,kami,kaku,kami,ngathadi,kaku,kaku,nguthu,kami,kaku,kami,kaku,ngathadi,kami,kami,kaku,kami,ngathadi,ngathadi,kami,ngathadi,kami,nguthu,kami,nguthu,kami,ngathadi,ngathadi,kami,ngathadi,kami,nguthu,kami,ngathadi,ngathadi,kami,kami,ngathadi,ngathadi,"ngarndri, yipi",ngama,ngarndri,parli,ngapiri,ngapiri,parli,ngapiri,ngama,ngapiri,parli,"ngarndri, yipi","ngarndri, yipi",parli,ngama,ngapiri,ngapiri,ngama,ngarndri,"ngarndri, yipi"
5,0.1060371333499266,1.034601232910181,0.9285640995602544,kami,ngathadi,nguthu,kaku,ngathadi,kami,kami,kaku,ngathadi,ngathadi,ngathadi,kaku,kami,ngathadi,kaku,kami,ngathadi,nguthu,kami,ngathadi,kami,ngathadi,kami,kami,ngathadi,ngathadi,kami,nguthu,kami,kami,nguthu,kaku,kami,ngathadi,kaku,kami,kami,kami,"ngarndri, yipi",ngarndri,ngapiri,"ngarndri, yipi",parli,"ngarndri, yipi",parli,ngapiri,ngapiri,ngapiri,ngama,"ngarndri, yipi",ngarndri,ngapiri,ngama,ngapiri,parli,parli,ngama,ngama
6,0.6829081047004717,0.9799711820833054,0.29706307738283366,kami,ngathadi,ngathadi,kami,kami,ngathadi,nguthu,kami,kami,kami,kami,kami,kami,ngathadi,ngathadi,kaku,kami,kami,kami,nguthu,kaku,ngathadi,kaku,kaku,kami,kami,kaku,ngathadi,ngathadi,nguthu,ngathadi,kami,ngathadi,ngathadi,nguthu,ngathadi,kaku,kami,ngama,ngapiri,parli,parli,ngapiri,ngama,ngarndri,ngapiri,"ngarndri, yipi","ngarndri, yipi",ngapiri,ngapiri,parli,ngama,"ngarndri, yipi",ngapiri,ngama,parli,ngarndri,"ngarndri, yipi"
7,0.10109274270407276,1.034601232910181,0.9335084902061083,nguthu,kami,kami,kami,kami,kami,ngathadi,kaku,kami,ngathadi,kaku,ngathadi,ngathadi,kami,kami,nguthu,ngathadi,kami,kami,kaku,ngathadi,kami,ngathadi,kaku,ngathadi,kami,kaku,kaku,kami,kami,ngathadi,kami,ngathadi,ngathadi,nguthu,kami,ngathadi,nguthu,parli,ngama,"ngarndri, yipi",ngama,"ngarndri, yipi",parli,ngapiri,ngarndri,ngapiri,ngapiri,"ngarndri, yipi",ngapiri,ngarndri,ngapiri,ngama,parli,ngapiri,ngama,parli,"ngarndri, yipi"
8,0.014032215111297708,1.376055285260417,1.3620230701491194,ngathadi,ngathadi,ngathadi,kami,kami,kami,kami,kaku,kami,kami,kaku,nguthu,kami,ngathadi,ngathadi,kami,kami,kami,ngathadi,ngathadi,nguthu,ngathadi,ngathadi,kaku,kami,kaku,kaku,nguthu,kami,ngathadi,ngathadi,kami,kami,kami,nguthu,kami,kaku,ngathadi,ngarndri,"ngarndri, yipi",ngapiri,parli,ngapiri,ngapiri,"ngarndri, yipi",ngapiri,ngama,parli,ngama,"ngarndri, yipi","ngarndri, yipi",parli,ngarndri,ngapiri,parli,ngama,ngapiri,ngama
9,0.0020717169097950183,1.0346012329101812,1.0325295160003862,kami,ngathadi,kami,ngathadi,kami,kami,kami,ngathadi,kami,kami,ngathadi,ngathadi,kami,nguthu,ngathadi,ngathadi,kami,kami,kami,kami,ngathadi,kaku,nguthu,kaku,kami,ngathadi,ngathadi,ngathadi,kami,nguthu,nguthu,kami,kaku,ngathadi,kaku,kaku,kaku,kami,ngama,ngapiri,ngama,"ngarndri, yipi",parli,ngapiri,ngapiri,ngapiri,"ngarndri, yipi",ngapiri,ngama,"ngarndri, yipi",ngarndri,parli,"ngarndri, yipi",parli,ngapiri,ngama,ngarndri,parli
