simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,fyB,feZ,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,NA,NA,NA,mutc,elec,mutc,elec,nete,kaha',kaha',kaha',lastcin,kaha',nete,nete,nete,nete,nete,nete,lastcin,kaha',nete,nete,lastcin,lastcin,nete,nete,lastcin,nete,lastcin,kaha'
1,NA,NA,NA,elec,mutc,elec,mutc,lastcin,nete,nete,lastcin,nete,nete,nete,lastcin,kaha',kaha',nete,kaha',nete,lastcin,lastcin,kaha',nete,nete,nete,kaha',nete,kaha',nete,lastcin
2,NA,NA,NA,elec,elec,mutc,mutc,kaha',nete,lastcin,lastcin,nete,kaha',kaha',lastcin,lastcin,nete,lastcin,kaha',nete,nete,nete,nete,nete,nete,kaha',nete,nete,kaha',nete,lastcin
3,NA,NA,NA,mutc,elec,mutc,elec,lastcin,nete,kaha',nete,lastcin,kaha',nete,kaha',lastcin,kaha',kaha',nete,lastcin,nete,nete,kaha',nete,nete,nete,lastcin,nete,nete,nete,lastcin
4,NA,NA,NA,elec,mutc,elec,mutc,nete,nete,lastcin,lastcin,nete,nete,nete,lastcin,nete,lastcin,kaha',kaha',kaha',nete,nete,kaha',nete,kaha',nete,kaha',lastcin,lastcin,nete,nete
5,NA,NA,NA,elec,mutc,elec,mutc,nete,nete,lastcin,kaha',lastcin,nete,lastcin,nete,kaha',nete,kaha',nete,lastcin,kaha',kaha',kaha',nete,nete,nete,nete,nete,lastcin,lastcin,nete
6,NA,NA,NA,mutc,elec,mutc,elec,lastcin,lastcin,lastcin,nete,nete,kaha',kaha',nete,lastcin,nete,nete,nete,nete,nete,nete,nete,kaha',nete,kaha',nete,kaha',lastcin,lastcin,kaha'
7,NA,NA,NA,elec,elec,mutc,mutc,lastcin,nete,lastcin,nete,kaha',nete,lastcin,nete,nete,nete,nete,nete,kaha',kaha',lastcin,kaha',nete,nete,nete,nete,lastcin,kaha',kaha',lastcin
8,NA,NA,NA,mutc,mutc,elec,elec,nete,lastcin,kaha',nete,nete,lastcin,nete,nete,kaha',kaha',kaha',kaha',lastcin,nete,lastcin,nete,nete,lastcin,nete,nete,lastcin,nete,kaha',nete
9,NA,NA,NA,mutc,mutc,elec,elec,nete,nete,nete,nete,kaha',nete,kaha',nete,lastcin,nete,kaha',kaha',nete,nete,lastcin,nete,nete,kaha',lastcin,kaha',lastcin,lastcin,nete,lastcin
